Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,270.9442138671875,287.1300048828125,278.9862976074219,101784.8515625,272.23675537109375,97721.9609375,0.0,0.4720264673233032,-0.13705958425998688,0.26875848461350316,0.008849556619718311,牧野区
2016_01_12,262.1841735839844,272.6109313964844,269.2465515136719,103056.84375,266.6624450683594,98729.5546875,3.7085264921188354e-06,0.4148758351802826,0.8560700416564941,0.1965117403350645,0.053097339718309856,牧野区
2016_01_13,256.1650695800781,279.70489501953125,272.0509338378906,102395.5,266.59326171875,98164.9453125,4.284083843231201e-08,1.0196188688278198,-0.5163227915763855,0.30040127440983444,0.05752211802816901,牧野区
2016_01_14,257.2099304199219,280.5380554199219,272.8432312011719,102005.1640625,266.7755126953125,97811.4375,0.0,0.9329902529716492,-0.14189018309116364,0.27718550818722415,0.061946896338028176,牧野区
2016_01_15,262.559814453125,281.037109375,274.5726623535156,101650.8203125,267.9568786621094,97501.3203125,0.0,0.6245367527008057,0.44838711619377136,0.3170001417307128,0.06637167464788732,牧野区
2016_01_18,258.6485290527344,275.95184326171875,269.8271179199219,102758.3046875,264.3746337890625,98458.4609375,3.6694109439849854e-06,0.2850710451602936,-0.988945484161377,0.23332091468150798,0.07964600957746479,牧野区
2016_01_19,260.144287109375,274.9393615722656,270.919921875,103121.2890625,264.8014831542969,98801.6640625,1.1641532182693481e-05,-0.9500985145568848,-0.6033722162246704,0.2172468285753041,0.08407078788732394,牧野区
2016_01_21,266.2225646972656,275.7073974609375,272.0990905761719,103164.0078125,268.7749328613281,98846.8046875,0.0007658470422029495,-1.0186243057250977,-0.2540595829486847,0.09760000279854654,0.09292034450704226,牧野区
2016_01_23,248.3265838623047,269.0519714355469,264.8518981933594,104433.8515625,260.69427490234375,99937.0,0.0,2.679795026779175,-2.4688334465026855,0.26915295251922955,0.10176990112676056,牧野区
2016_01_24,250.35057067871094,272.7177734375,266.6501770019531,103979.6015625,260.838623046875,99569.5546875,0.0,1.9465688467025757,-0.343531996011734,0.3065781252908548,0.10619467943661971,牧野区
2016_01_25,252.5750274658203,278.5224609375,270.9834899902344,102968.7265625,264.010498046875,98678.8046875,1.862645149230957e-09,1.9673548936843872,0.07329701632261276,0.2828099252269869,0.11061945774647888,牧野区
2016_01_26,255.18067932128906,278.2086486816406,271.9792175292969,102800.4453125,267.0566711425781,98527.40625,4.284083843231201e-08,-0.21939760446548462,-0.061453357338905334,0.2830955491690121,0.11504423605633803,牧野区
