Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,275.96065721430665,286.9192308672114,280.3132006467407,101972.62773184621,274.53662158066516,100053.6233700102,0.0,1.8050509362781537,2.0662909241392695,0.4313657219384501,0.008849556619718311,社旗县
2016_01_03,275.867993536625,286.4164866920337,279.08693107938444,102088.7715598665,275.07199083935217,100165.33243375023,0.0,-1.012907769934948,-1.2126942959297633,0.2772024429394735,0.013274334929577464,社旗县
2016_01_04,272.78916262564616,277.59327026517917,275.6459562644132,102516.41847684974,274.74675006263107,100539.26128078053,0.0005582855904153918,-2.5589675592106196,-3.8163808490779263,0.16233497676943934,0.017699113239436622,社旗县
2016_01_06,272.4593761687335,281.2855305207814,276.77128198731594,103035.51695242248,273.7864894890312,101061.7464246479,0.0,-0.9403865939570126,-1.3112364997527561,0.3784316566593592,0.026548669859154928,社旗县
2016_01_07,271.7216538029633,277.5148580326148,273.97961130646297,102989.22181401917,270.7122369507052,100998.56136952377,6.661866580318356e-07,0.4779399702974447,0.7400526142744771,0.07412843429639454,0.030973448169014088,社旗县
2016_01_08,271.788615038701,278.91098063877473,274.23747764567725,102717.83403006935,270.14653315068443,100739.90165386333,1.862645149230957e-09,-0.651121155300004,-0.017320001557381004,0.45316070068545317,0.035398226478873245,社旗县
2016_01_09,272.317832970792,278.0096282368063,274.89938421798695,102496.32627551313,271.611568239185,100527.65339023591,4.284083843231201e-08,-0.2508225984227195,0.5199545215537956,0.32123400953746195,0.039823004788732394,社旗县
2016_01_13,270.1788666126177,280.5170847332225,275.0080048775469,102654.87775075654,269.45947556321215,100679.47380694964,4.284083843231201e-08,1.3311817598048927,1.0219880838836166,0.39837783349971945,0.05752211802816901,社旗县
2016_01_14,268.10186458095626,282.8076622026436,275.88589436856887,102225.69351300731,270.3407291066443,100269.77813907916,0.0,0.529624282698242,1.103813513290008,0.47063224326159636,0.061946896338028176,社旗县
2016_01_15,271.95372575468036,283.2494933367985,276.78950644658084,101794.45579967489,270.2060971462541,99849.05089943676,0.0,1.340317035469835,2.264002211178829,0.4631210554644047,0.06637167464788732,社旗县
2016_01_16,273.4517992742216,279.73039939333063,276.2393776763338,101921.73287890962,271.942982307121,99972.13253357782,0.00047063464517458985,0.843155756440566,0.022910198341691782,0.22018554385633854,0.07079645295774649,社旗县
2016_01_17,269.3881822327741,279.3167786309939,274.24184137194896,102309.7003284601,270.72821897243165,100327.28661255958,0.0,-2.1806795189576236,-1.902480686923518,0.24956041379564137,0.07522123126760563,社旗县
2016_01_19,261.0668814515572,278.9695607986968,275.0767079472539,102953.24671280634,268.34377401683474,100957.14188586359,5.900540046671827e-06,-1.6533119446231979,-1.099889259249283,0.4734991892021735,0.08407078788732394,社旗县
2016_01_20,265.6892763141008,276.49901463068454,273.63572180841896,103147.73577841824,270.4324048355325,101135.24389002046,0.00013850574646040952,-1.5742471627947918,-1.6335353157559735,0.3881630374350865,0.0884955661971831,社旗县
2016_01_21,267.5706315511605,277.0720812317828,273.4823715426253,103059.42770878824,270.3884062918242,101052.98192374513,4.572682049127616e-05,-1.4731481220359466,-0.46839681340963674,0.40525333776738526,0.09292034450704226,社旗县
2016_01_23,253.03219690957118,274.4095990589383,269.7846210905022,104521.27486037927,265.44212586056585,102453.68746067033,0.0,1.0925853482691603,-3.230127601518604,0.46239604469345785,0.10176990112676056,社旗县
2016_01_24,252.42206732582193,273.3652204166054,268.1793109188474,104354.20334739466,264.2335725041952,102289.13416025377,0.0,1.5778175078924968,-1.0973600635980187,0.49327869819836956,0.10619467943661971,社旗县
2016_01_25,258.58328200865066,277.71034024360137,271.3900444660569,103348.80526420192,264.3432487464235,101330.92530609696,1.862645149230957e-09,1.3895030882829615,1.5956912111910022,0.49758630153032296,0.11061945774647888,社旗县
2016_01_26,263.5245247105977,280.311211463847,274.972723991143,102812.9931031107,267.50174413484086,100831.86501761523,4.284083843231201e-08,-0.2746273312520302,0.8423069458661526,0.4808149635647994,0.11504423605633803,社旗县
2016_01_27,266.01316419157746,280.53004606718764,276.6160676058724,102450.26227369148,270.97171971326827,100488.00518882668,0.0,-0.549447052596454,0.38505222183889537,0.4110333866022999,0.11946901436619718,社旗县
2016_02_02,266.49435335326626,280.1057927877604,273.8344128198067,103035.9341459195,268.4351264036584,101045.82579473204,0.0,1.5077156936005092,2.2391164901046996,0.4740054294442041,0.1460176842253521,社旗县
2016_02_03,267.0509540997352,280.51591557857626,276.1279016480975,102848.42837541571,269.2196727582423,100873.39696584364,1.862645149230957e-09,0.08410425883839316,0.6843875814059753,0.2737014040284713,0.15044246253521126,社旗县
2016_02_04,268.3171147774198,283.4727071994413,276.8002112139518,102866.50123540105,271.8526836038692,100907.89095845254,4.284083843231201e-08,-0.31196073427907756,-0.08337628746254928,0.36434855143326944,0.15486724084507042,社旗县
2016_02_05,259.35531768588453,282.93232592007615,276.6001621407665,103284.16461317854,269.9721956842617,101302.80677468832,0.0,0.8986369116036085,-3.8553849155123023,0.3161909871383839,0.15929201915492958,社旗县
2016_02_06,260.0427631019649,283.6345238924078,276.4725215654221,103064.39493750369,270.32150231535553,101095.67909942017,0.0,1.5357618756486124,0.02581739332290187,0.44441530773830484,0.16371679746478873,社旗县
2016_02_07,265.2625830126565,287.12730094889923,278.80705727958014,102293.33727918877,271.7270915256246,100362.21670335092,0.0,0.7115075311552584,0.42469671756727445,0.4005834570226512,0.1681415757746479,社旗县
2016_02_08,271.57262924497,292.13581285352024,283.3262748147514,101770.72397579285,275.29332141487004,99872.26434923086,0.0,1.7825568470076751,2.1798513050328907,0.4422454574411637,0.17256635408450705,社旗县
2016_02_09,275.03650248749955,290.9473641070375,284.35960959867566,101577.27626089782,277.85989702259985,99687.4956942332,9.3564792068267e-05,-1.3209476894486851,-0.9495190378501458,0.3578185520271517,0.1769911323943662,社旗县
2016_02_11,277.449224033939,288.085313669674,284.0807642864861,101264.7445810437,280.1253269943002,99361.38025863728,0.0004458937931124891,-2.298077090364668,-2.7048636708851714,0.43524056308923004,0.18584068901408451,社旗县
2016_02_16,264.311149195685,285.44905301915213,278.4683453652456,102762.21536312134,271.71979069381626,100812.69993265369,1.862645149230957e-09,0.8395911441251409,-0.3710486643515162,0.4443765898276911,0.2035398022535211,社旗县
2016_02_17,267.69460724599617,286.13632544650545,280.06020787276947,102450.43519746485,273.7664654798425,100512.18782598493,4.284083843231201e-08,1.7421753893774328,1.8389099176497303,0.4452724858948351,0.20796458056338027,社旗县
2016_02_18,269.0976885850746,288.53996326034354,281.92776242189854,102278.41231054717,275.2959127904815,100362.5845996936,0.0,-0.8978965724081006,-0.6176160304747663,0.41580411893948716,0.21238935887323943,社旗县
2016_02_29,269.01010339901023,286.7171420000356,281.2194312582092,102873.25153522834,275.7020234174581,100930.17107496528,0.0,-2.0189869403398273,-0.5045505309511831,0.5051224263850735,0.22123891549295777,社旗县
2016_03_01,273.69057085152997,289.4035044366085,283.57366183586544,102330.03362838719,276.91280722745506,100416.92181739997,0.0017515515859152944,-0.7428895143830597,-0.84673005191807,0.4384479466384978,0.22566369380281692,社旗县
2016_03_02,277.59791282355854,290.6555046069783,285.19010637937384,101994.13626607267,280.0831098251576,100097.61192660153,0.0,1.6665799723789694,1.8870639357852952,0.5126865142664089,0.23008847211267605,社旗县
2016_03_03,279.79637482010986,294.73289431698873,287.71221217553335,101451.12954335299,281.1810035746946,99575.94622695692,0.0,1.5557748023031288,2.549030104018091,0.574730041677349,0.2345132504225352,社旗县
2016_03_04,280.29842441386137,293.6521780737188,288.6895157231316,101630.20292123749,283.5472174035036,99753.12229948695,0.0019822388747586556,1.0659715809570125,-0.1352438513994212,0.31961432782543736,0.23893802873239436,社旗县
2016_03_06,278.4882184929728,292.38919866131056,286.62744030155625,101365.26689898963,281.23218901481954,99492.9997924167,7.052015149103593e-06,-0.231190447065282,0.06351783059292812,0.41155061790378966,0.2477875853521127,社旗县
2016_03_10,266.0331832881849,282.7529096322129,278.2029130016487,103093.1271670808,274.6119137486951,101124.07598342486,0.0,0.2299684331385514,-0.4146750256366964,0.49855897363519647,0.2654866985915493,社旗县
2016_03_11,271.7742001999877,285.30360331646915,280.38308629830084,102190.55353325329,275.58733505242765,100249.19388271165,4.2621070756701466e-05,0.6204779849350504,2.4182002374675373,0.5729805904466997,0.26991147690140843,社旗县
2016_03_13,273.8214725522933,287.3587709782692,281.2770972107302,102503.09191958439,275.03560360953827,100578.21426218552,0.0,-1.5295386250662804,-1.9089423657860722,0.4339986126988371,0.2787610335211268,社旗县
