Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.32482407867618435,271.4810081258095,283.08681524296077,277.42213078373464,102341.28289551548,272.4681708419654,98945.79635554645,0.0,1.5116615425281221,0.6838849579291264,0.0044247783098591556,郏县
2016_01_02,0.37041989764766103,274.06924961866406,287.77765898092304,280.15294281926987,101852.78352898413,272.9583900894652,98504.42111861552,0.0,1.3316435082277895,0.20325338119227876,0.008849556619718311,郏县
2016_01_03,0.2686187872005268,273.2725004744845,286.4374211809193,278.7906016749415,102122.3163023275,272.59386468444444,98733.82108375925,0.0,-0.38687420840550574,-1.4261903189382805,0.013274334929577464,郏县
2016_01_04,0.17939296292877516,270.75214032041464,275.5104403339503,274.30292951107293,102657.02866931882,272.9955980497404,99148.28894570319,0.00019408536345133506,-1.6484835178227595,-2.3961916867045936,0.017699113239436622,郏县
2016_01_06,0.22860445370513244,269.6644303951767,281.32314818365273,275.13818871345745,103067.95938040747,270.7901371677097,99573.43428022623,0.0,1.2707513969792874,-1.596773130175751,0.026548669859154928,郏县
2016_01_08,0.3384334916476277,266.3273088786915,278.5723763040832,272.7518354180837,102732.17095715957,269.27361465194736,99231.56026484663,1.862645149230957e-09,-0.2912579219442305,-0.6298688110994936,0.035398226478873245,郏县
2016_01_09,0.3259311172658215,270.18184249041127,275.7809352668247,272.610049942389,102501.41020396232,269.2882872393376,99016.89275270977,4.284083843231201e-08,0.0590025949269892,0.6067008113673243,0.039823004788732394,郏县
2016_01_12,0.38525072621783113,265.08120032936023,273.329744903053,270.50400621593013,103119.54148873441,268.4623923673333,99560.97408139303,1.2906273189357271e-05,0.886372789955765,-0.15223730481449324,0.053097339718309856,郏县
2016_01_13,0.41097567887223185,258.92766283070745,278.936473945057,274.3723240490083,102611.8039355929,269.3240636432843,99103.64884143826,4.284083843231201e-08,3.9140582942264506,-1.67199811066249,0.05752211802816901,郏县
2016_01_14,0.33748779346070956,260.45004767575597,280.7138665421155,274.39747431578974,102184.42331144112,269.09786128586455,98717.34073466249,0.0,3.404645208220656,-1.6340037395621154,0.061946896338028176,郏县
2016_01_15,0.3819547602730732,268.04233325093924,282.83597235439925,276.5381860253999,101712.64870565326,269.08639641183214,98296.98993103711,0.0,0.816727814929659,0.8814643342715346,0.06637167464788732,郏县
2016_01_17,0.1540489398345634,268.26800441542605,277.66872335556826,272.49468376097536,102384.01382683635,268.6701793495251,98869.90434484652,0.0,-0.7928931182357711,-1.1915099534858484,0.07522123126760563,郏县
2016_01_18,0.22649173721741017,258.01150487467976,276.3168065769166,271.6178334062765,102852.73516209006,266.60408945706706,99310.8194081982,0.0,2.7006462060571956,-2.1885768229792597,0.07964600957746479,郏县
2016_01_19,0.31893640600038,259.87254552263005,277.1770523122402,272.865176583933,103025.25176716274,266.4816000046871,99488.1528042477,0.0,-0.9452657902448917,-0.834545220628643,0.08407078788732394,郏县
2016_01_21,0.272437755610614,266.42197839547134,276.489883014852,272.2452743240052,103103.6670602929,269.6493410845866,99558.40429322235,1.845832631413028e-05,-1.0514601398607957,0.4863506637793769,0.09292034450704226,郏县
2016_01_23,0.29854669966106834,249.5637130092586,270.73711490577193,267.134109302656,104550.84846007841,263.0670809463581,100864.6286572752,0.0,4.657342984607182,-4.458859414606899,0.10176990112676056,郏县
2016_01_24,0.3549475742353151,248.72568827558524,270.30198232119005,267.4484213649956,104293.57324361277,262.76163808754114,100621.34245355109,0.0,5.647160274373914,-3.0763401755672692,0.10619467943661971,郏县
2016_01_25,0.33100666808375334,250.85419037486096,276.4270061597443,271.4915842354122,103268.93657899344,266.0124655737348,99706.65392414205,1.862645149230957e-09,4.008085520991635,-1.3077294744892363,0.11061945774647888,郏县
2016_01_26,0.33711945003896177,257.0470134812704,279.9782027105231,274.5630968546252,102786.05164927569,267.6932812102144,99289.06902079469,4.284083843231201e-08,0.5226911842657429,-0.2976542715391502,0.11504423605633803,郏县
2016_01_27,0.31061540544765587,264.6622393335543,279.31324218625457,275.9742421822016,102477.42504506854,269.45920088290933,99003.7106770717,0.0,-0.9311025778808464,0.5306190750480665,0.11946901436619718,郏县
2016_01_28,0.24762154066468925,264.52144622079396,280.96451812574014,276.04630167624043,102692.7615405927,270.6518039774271,99209.7392643444,1.1348681651151997e-05,-1.150339006306145,-1.6236441281870264,0.12389379267605635,郏县
2016_02_02,0.36022388980015824,262.64345756626574,280.0923747234407,273.9870129568422,102951.80347805996,267.0474701029067,99453.34278637728,0.0,1.1682421681599546,0.6871826267934452,0.1460176842253521,郏县
2016_02_03,0.31783222505320596,266.1139771490602,281.07261142241765,275.7577954431671,102819.29865334045,269.77903541361485,99343.7358898224,1.862645149230957e-09,0.12231032342359037,0.3809772072939098,0.15044246253521126,郏县
2016_02_04,0.2947101959615525,265.64618507666694,282.6027826072444,276.8917471282558,102859.64683693659,271.6909202228159,99397.55542098149,4.284083843231201e-08,0.5530726468987727,-0.26164854630817824,0.15486724084507042,郏县
2016_02_05,0.26360931217529987,255.0038046803944,280.46626208867366,275.9571520955778,103306.86672504192,271.9746041508679,99781.71805143611,0.0,4.060305133650574,-3.426447210325124,0.15929201915492958,郏县
2016_02_06,0.32056210455546036,255.60696399015404,281.16373983609753,275.7486969088959,103011.38328898106,270.95298262703966,99521.49090377397,0.0,3.473345771768018,-1.7765457833825455,0.16371679746478873,郏县
2016_02_07,0.3554027094431954,262.6242305772862,284.34520621105474,277.6687786716944,102207.16367643814,272.4462274386062,98799.32683167512,0.0,3.3335923669277814,-1.5706929395339735,0.1681415757746479,郏县
2016_02_08,0.32366207372348504,264.8747211283984,292.5871511794337,282.1680673437932,101680.32284318966,273.1614634602786,98358.42977384523,0.0,1.8434483603851022,-0.513640671282626,0.17256635408450705,郏县
2016_02_09,0.3473005585382057,268.1413539641542,290.07293794462475,282.39362374301885,101650.91702889236,274.4439733490308,98302.22051956733,0.0,-1.385195792902905,-1.3492483156573276,0.1769911323943662,郏县
2016_02_16,0.37753961353762366,257.742349757903,283.1152682472393,278.2804018407583,102718.68568521472,274.0004499344105,99254.33607170307,1.862645149230957e-09,4.012150157962659,-2.357635020849535,0.2035398022535211,郏县
2016_02_17,0.3552480013413305,263.49182897845594,286.19445102509263,279.6238209355245,102330.93469921252,273.877856833847,98924.46728656876,4.284083843231201e-08,2.0294717665681374,0.2500913245620769,0.20796458056338027,郏县
2016_02_18,0.346291868413058,264.8280141479215,287.89958195758146,281.8134527827784,102301.18912795992,276.05783686007675,98910.56317847519,3.048844465727055e-07,0.48283506731963133,-1.2803000242510012,0.21238935887323943,郏县
