Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,274.00970841338693,287.41651118524135,279.25020361601526,101855.78406597923,273.72195430992866,101180.45339138935,0.0,0.781223033365361,0.697448176372265,0.38422445539857614,0.008849556619718311,长垣县
2016_01_03,273.53507735705057,283.0174633099225,276.8178414403078,102233.17264639334,273.0614791892753,101546.06129635042,2.496716656018299e-06,-0.6268332049600617,-2.7353039179957728,0.17016454487588886,0.013274334929577464,长垣县
2016_01_06,270.21616292454496,278.30215379332253,273.336841220517,103136.95052389287,269.05950649910864,102434.83280830737,2.9535733750937316e-05,-0.8348495328850019,-1.504801697111094,0.14499978579950423,0.026548669859154928,长垣县
2016_01_12,261.813189205165,273.25983956616375,269.25464268229206,103108.82798032663,266.7447346654891,102396.19802818191,1.862645149230957e-09,0.1270179580417323,0.8728753082157055,0.27653716682961593,0.053097339718309856,长垣县
2016_01_13,262.1821450822185,278.9688029401824,271.8874224899051,102448.06684207235,266.8060655911936,101749.38353279501,4.284083843231201e-08,1.1520896529558786,1.2202767315778251,0.2753058147620155,0.05752211802816901,长垣县
2016_01_14,259.5651298741913,280.27284057545745,273.0142881978195,102065.09968755888,266.9505707421367,101372.03524513978,0.0,0.9582592765726469,1.309443329628514,0.35295544929660655,0.061946896338028176,长垣县
2016_01_15,265.63375473089025,281.9525260961249,274.9577154591895,101727.19031845526,267.38490272935957,101042.28604836833,0.0,0.2108329283471057,1.7793577692059745,0.4140868215831766,0.06637167464788732,长垣县
2016_01_18,263.12847505669566,275.31723830812825,269.92615532603253,102832.97619680813,264.74299208958695,102122.79972857481,0.0,-0.641983890490115,-0.24636042303252204,0.2958923620651109,0.07964600957746479,长垣县
2016_01_19,263.1344829605096,276.6110751118799,271.5071162978806,103142.81771697986,264.89726967745287,102433.56049369382,7.240015319054408e-08,-1.4645876914282099,-0.7146182420871852,0.30296040403358204,0.08407078788732394,长垣县
2016_01_21,265.7384453357013,277.410753710033,272.8960015226937,103190.48218188265,269.43061927812334,102483.56949045674,0.00022973548015154725,-0.5942991196378956,0.07339103477115123,0.27090369717504836,0.09292034450704226,长垣县
2016_01_23,250.7611056060981,270.65163218201843,265.751723407414,104424.05692853477,261.25571940541573,103686.44616543823,0.0,2.0732380905815364,-2.495198773064257,0.32966291998638136,0.10176990112676056,长垣县
2016_01_24,251.4031687680366,271.2729945048768,267.118582348919,104025.41216542738,261.5791128978897,103298.27177498626,0.0,2.386150884492336,1.1808831732406802,0.37326050174270536,0.10619467943661971,长垣县
2016_01_25,254.36158226109043,277.23021588673015,271.3158630053728,103033.6062365523,264.56954420163885,102324.55215613078,1.862645149230957e-09,2.110079599861115,1.8212331952040333,0.32365186464347917,0.11061945774647888,长垣县
2016_01_26,256.1175924085289,278.6842904465408,272.0745091191678,102841.60559576478,266.35104939086807,102140.84449861686,4.284083843231201e-08,-1.040563123416139,0.6812637844440567,0.33465219828507453,0.11504423605633803,长垣县
2016_01_27,264.011472529503,281.0736621204654,275.49089325599135,102570.0339023068,267.5315726267609,101876.23599943797,0.0,-1.1946249422505884,1.6381014212989524,0.2755519881233909,0.11946901436619718,长垣县
2016_01_28,264.10093297516073,281.1509433845968,275.72380750810476,102785.52426386975,270.4146723328648,102087.28698586368,0.0,-0.684151214933404,-3.136698151434859,0.22491411759184532,0.12389379267605635,长垣县
2016_02_01,264.31067126325564,278.258861253771,271.1240165170603,103593.07247270252,264.95561732205255,102885.35745540253,0.0,0.9101102217029238,1.1594462972560087,0.27518353360671854,0.14159290591549298,长垣县
2016_02_02,263.23340285686066,280.575361418341,273.54489259441897,102949.99900015582,266.64058809231494,102249.9206385962,0.0,0.6371643451835853,2.332450212836068,0.3145370100229838,0.1460176842253521,长垣县
2016_02_03,266.40772942514684,282.6506981850638,275.89089168035565,102841.6726190404,269.155656157489,102148.97744413101,1.862645149230957e-09,0.3775566529320069,1.8590086918222488,0.3069969847415734,0.15044246253521126,长垣县
2016_02_04,266.105397718512,282.99775299315075,276.16643709619524,102866.52161216721,270.74800647034886,102174.5287771712,4.284083843231201e-08,0.6245995861302575,-0.0028096590276355396,0.28956049613368573,0.15486724084507042,长垣县
2016_02_05,257.82835993737973,281.6030099845651,274.51495386704136,103149.12770674616,268.7765608893584,102449.45530515786,0.0001034433550151749,1.217903689608667,-2.076679070630406,0.27506775561983515,0.15929201915492958,长垣县
2016_02_06,257.27696680074314,281.8234796811841,275.54003723488046,102843.63423907985,269.1158852203528,102149.5511329954,0.0,1.734783070425048,0.8870152193601852,0.2953697073086526,0.16371679746478873,长垣县
2016_02_07,260.23912104883567,284.0720085480781,278.2472416937868,102069.15860341974,270.90337168626337,101387.24760649289,0.0,2.243272952198671,0.718611773284804,0.33078755623380424,0.1681415757746479,长垣县
2016_02_08,266.21850042794966,292.11268541752867,281.9017673861128,101645.56132024126,273.2952843101447,100977.57892948388,0.0,0.9544164048261735,0.7288023131650292,0.28924921718800267,0.17256635408450705,长垣县
2016_02_09,269.9110408325694,287.6483656642154,280.0501751523926,101804.81695951753,273.7431754145189,101128.34955292655,0.0,-1.195117108414449,-2.2021882313639747,0.3214765916095826,0.1769911323943662,长垣县
2016_02_16,264.24962127085786,284.3789871143657,276.94871792925636,102569.78338890318,271.41559123588013,101882.96816739236,1.862645149230957e-09,1.2987248548190058,0.5733291543786313,0.3840566536359829,0.2035398022535211,长垣县
2016_02_17,265.38342321022037,285.4463577051328,279.6972080203006,102234.00015824357,271.8592581431337,101552.35860327505,4.284083843231201e-08,1.817741417891442,1.8982696066033702,0.3156111464600496,0.20796458056338027,长垣县
2016_02_18,266.0148042164178,287.8875920042801,281.1218612609605,102288.23478369607,273.23888087773554,101612.7319929462,3.721382975277378e-08,-0.18978934435899072,-0.019537710763394837,0.3308265606930182,0.21238935887323943,长垣县
2016_02_29,264.017330512685,283.51911497283123,278.17987915091527,103062.83318145828,272.35305077803133,102368.71653503468,0.0,-1.0644507890067805,1.4712409516052278,0.32605017656236157,0.22123891549295777,长垣县
2016_03_01,270.3347844004554,287.7579530715085,282.0811551494666,102333.5263719629,274.82048303945754,101657.11968665515,0.0,0.6651410118136967,2.7400414983352563,0.38163448513057774,0.22566369380281692,长垣县
2016_03_02,271.2913162177036,294.11523627167855,287.02614033190457,101737.42233328358,279.8829809506815,101075.31124291164,0.0,1.4997213058231016,2.758020580111096,0.3323397388407055,0.23008847211267605,长垣县
2016_03_03,276.2881408712172,297.580889396265,290.14455178636945,101301.62180108,282.57477577201195,100645.81703348384,0.0,1.0587282319615101,3.7952222267585114,0.37250129954533584,0.2345132504225352,长垣县
2016_03_04,279.03823246778956,295.23305920780547,288.67054260396736,101606.1493024555,282.4234036526602,100944.93123416361,0.0009349135658905574,-0.3027386369672593,-1.1226820166787344,0.3712557271260427,0.23893802873239436,长垣县
2016_03_09,263.8408712297109,279.77669980325373,276.04254167048765,103361.57438131807,273.07038495166347,102660.19442068477,7.4959451900497085e-06,-1.2642002482806476,-0.9272022827961299,0.3043050025805402,0.2610619202816902,长垣县
2016_03_10,262.9750805044487,282.38074136704273,277.108288542599,102992.93386514613,271.37020170836587,102299.36028030052,1.8816377638112223e-08,0.6158104334938099,0.4551509728083069,0.4917531103171145,0.2654866985915493,长垣县
2016_03_11,262.9815017957098,284.99418075736816,280.6747832206555,102140.68996936436,273.39069586356493,101458.08016392925,5.663256464994541e-08,0.13868933111982784,2.0568875454540927,0.40866905475888554,0.26991147690140843,长垣县
2016_03_13,265.5709399098154,286.51713747182544,280.18636287048577,102590.37114885321,274.35264601190113,101909.76430577623,0.0,-1.3471636778901033,-1.827018452691487,0.3678749557069903,0.2787610335211268,长垣县
2016_03_14,265.69826383542636,289.2453520398601,283.3999614717985,102290.0959532001,276.690816216772,101614.13354894168,0.0,0.14929122618941576,2.9533801856508206,0.4375950624333415,0.28318581183098596,长垣县
2016_03_16,275.32745523424455,290.67293169906765,286.86266565911404,101624.67476681362,279.11395745860847,100959.68113450008,8.568167686462402e-08,-0.18447676621391168,2.479215927763596,0.41444584301404,0.2920353684507042,长垣县
2016_03_17,277.97998314832637,293.07166116385986,288.19728408126747,101110.20389902734,283.39897504687025,100452.76919223399,0.0,0.8558404499144006,2.9504444627022304,0.4085654715789993,0.29646014676056337,长垣县
2016_03_18,279.9096392286223,295.06061449744624,287.51677523834525,101267.7588315333,281.8866197752488,100613.1825775671,0.0,-0.42229280269017655,1.2937486346762588,0.4230699357550545,0.3008849250704225,长垣县
2016_03_19,278.5145978136287,295.6259189767972,288.9181493599846,101913.64164701986,282.29477082577927,101252.2941311525,0.0,-1.6107416470009333,-0.9899204968945655,0.390083471581013,0.3053097033802817,长垣县
2016_03_20,274.33389664145193,291.8095902417743,286.01876779600144,102385.46766438438,280.6725960198358,101714.96312868432,6.607995925287532e-07,-1.3986125950715649,-3.1505479043305966,0.4647247075516351,0.30973448169014084,长垣县
