Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,270.2293106786056,282.0397988954058,275.4835700945962,102582.09460408856,270.64374694153844,95688.51417334263,0.0,0.44639455242647086,-0.65471033950215,0.21471899647346862,0.008630748901098903,修武县
2017_01_03,272.46822466356366,283.8242744930202,277.43353892120643,102183.11158245371,270.66333195254674,95346.75637091025,2.6312737410880987e-06,-0.045217940650264146,-1.0277305094552924,0.2425673843008238,0.012946123351648351,修武县
2017_01_11,264.8490122696362,280.00249184116126,275.33985945447256,102497.47820724489,270.90230868275574,95491.44800536502,4.470348358154297e-08,2.135426707241632,-1.5472878899162985,0.15026616143857496,0.04746911895604396,修武县
2017_01_12,263.3152700904235,282.06183470476327,275.43378540001237,102170.31280899275,270.45576879785636,95207.45464110647,4.284083843231201e-08,2.241024391978709,-2.0780661871075203,0.4451582198262094,0.051784493406593406,修武县
2017_01_13,265.17902432645855,280.62139852046084,274.28538995575076,102612.66932663141,268.91603318247496,95572.68131573214,0.0,-0.8506322001255163,-0.7586256988016337,0.3355454251206008,0.056099867857142854,修武县
2017_01_14,262.60741209348487,275.4230705928692,271.8431432509169,103217.08865670984,268.10175128541454,96052.00379314982,0.0,-1.3316967840587839,-0.2509273270361371,0.3556957696782985,0.06041524230769231,修武县
2017_01_16,268.28238838163253,275.75129804836865,272.63956395801483,102970.34065966004,269.5459832231873,95854.62830598243,0.0003308879928463527,-0.300685462162668,0.043957073056210126,0.0504774897680764,0.06904599120879122,修武县
2017_01_17,269.9682317789575,277.4248230389619,273.4616177982802,102992.01619637522,269.744116011805,95902.42124646375,0.00011233433387888534,-0.4467804920189013,-0.320316193324554,0.042061290083639576,0.07336136565934066,修武县
2017_01_19,254.31642133463367,276.8610406341886,271.35242178998027,103392.07624036158,264.31584585422087,96185.64089699711,1.862645149230957e-09,2.4842550358086064,-3.3031848698798147,0.42693746235289304,0.08199211456043956,修武县
2017_01_20,256.2729678442967,273.6841675724913,270.41175722114684,103207.30954277668,264.7321838745321,96040.52854353482,4.284083843231201e-08,1.3014818881643488,-0.2277709075219914,0.3244793932319873,0.08630748901098902,修武县
2017_01_21,257.2240441385357,279.7128469241021,272.95607298505917,103157.07026023795,267.171651866733,96058.0637012846,1.862645149230957e-09,1.2401325064720787,-1.708497079058359,0.4098635120177106,0.09062286346153847,修武县
2017_01_22,260.03343364504497,278.28042807927034,272.3419524138986,103254.67974016274,267.4813976551768,96160.66429165151,4.284083843231201e-08,0.45263933674491147,-0.2506984192379996,0.269050928622113,0.09493823791208791,修武县
2017_01_23,265.3668537617385,277.09470803906345,272.94259724436847,103226.12789863942,268.76925449944815,96134.78492938439,0.0,-0.782411093116451,-0.47441301762660215,0.27573409469372034,0.09925361236263736,修武县
2017_01_25,268.1735275713545,280.0871651895349,275.64858956928884,102822.11743789178,269.06080563162993,95842.26304596431,1.862645149230957e-09,0.7876424308649516,-0.08168827915442499,0.21929590543290745,0.10788436126373628,修武县
