Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,276.38090690538735,285.00183800943955,279.12350242627775,102615.4933340865,275.4158069086781,101706.08171049296,0.0,-0.8638870970048754,-0.9232251763399841,0.2687615934929816,0.008630748901098903,商城县
2017_01_09,273.9585135501249,281.004080982364,277.74971649192247,102500.51410046489,274.56734186903344,101581.1458496513,1.5821455661582098e-05,-2.224770852577239,-1.0775975133387752,0.227988936159813,0.03883837005494505,商城县
2017_01_11,274.45231407979674,280.34963036915855,277.8386330890526,102700.56659540259,274.2801064157234,101778.99722320602,2.1734120701785805e-05,0.03209775962156096,0.31061834439239583,0.2551778924638433,0.04746911895604396,商城县
2017_01_12,272.51666133431837,283.48050366916556,277.9858678425344,102286.6969768246,274.00572880857726,101376.94445484984,4.284083843231201e-08,2.161652397363569,0.6721277032966614,0.20657901340368567,0.051784493406593406,商城县
2017_01_13,271.65794120651975,283.5806457846925,277.6958430871196,102476.03536018741,273.53786227751164,101559.8620821367,0.0,-0.8011070439240604,-1.2287541645247544,0.29783217388497757,0.056099867857142854,商城县
2017_01_14,268.11748491850835,280.766642710909,276.7726642804279,102974.1556552838,272.90303448499833,102041.89457679467,0.0,-3.9838178156734094,-1.2971600386073452,0.2457436403177398,0.06041524230769231,商城县
2017_01_15,270.13726264336873,279.62880908795626,275.41925996244277,102925.89346536125,271.65230458053406,101993.1611523045,0.0,-2.7811208066989663,-0.5599037034611658,0.3150931683489767,0.06473061675824175,商城县
2017_01_16,271.94820900431586,281.1658303878114,277.27113569132814,102845.11371922733,271.9382334914133,101916.89213389235,1.4184298518992112e-08,-2.4817472689695235,-1.006872408965336,0.27979305634436685,0.06904599120879122,商城县
2017_01_17,273.2593584834192,281.26236661732975,277.54320250041695,102867.06574963257,275.1041142857173,101941.40071703686,0.0,-1.8059042382107917,-1.1792501592631455,0.3343757087018487,0.07336136565934066,商城县
2017_01_20,261.6507253783101,277.7043688327846,272.8090536236031,103397.89491025668,268.6559870840351,102456.82079063407,4.284083843231201e-08,-1.6197575185257154,-0.19793661483684397,0.2810321257014136,0.08630748901098902,商城县
2017_01_21,267.1586103723833,282.7741723919436,276.1329565822958,103164.35705132877,270.9220218925587,102240.75025240419,1.862645149230957e-09,1.0076328664759988,0.5251683295319847,0.23159479802948746,0.09062286346153847,商城县
2017_01_22,269.15391920989623,283.88711076305856,277.17664549166835,103265.75979875917,271.4583679633439,102344.22483364044,4.284083843231201e-08,-1.2074411468155375,-0.1519415278976285,0.24526775931874092,0.09493823791208791,商城县
2017_01_23,269.3772686394791,284.7211318656887,278.26378229467434,103128.41023844246,272.7871192427747,102208.23929078844,0.0,-2.6097119364081394,0.29709947166122574,0.27009356193391826,0.09925361236263736,商城县
2017_01_25,273.2831560897349,285.256209507051,279.20278583993775,103068.10940378162,275.1773792176823,102154.67074768667,1.862645149230957e-09,-0.5743581577115557,0.7788463052650346,0.2742285379515682,0.10788436126373628,商城县
2017_01_26,275.9088225430339,288.39476298216056,282.52484838569643,102664.65489364855,276.68236494958103,101758.40479505333,6.239630672014766e-08,1.3234593954777656,0.7305049173916774,0.2885722494549714,0.11219973571428571,商城县
