Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,274.5069593249065,282.69261969494823,275.84804118556497,102668.9857339944,271.570945749787,102119.20036935697,2.06566998454915e-06,0.010526251959113693,-0.9349208803260056,0.5344159046108318,0.008630748901098903,夏邑县
2017_01_08,273.1224786801957,279.1659352544795,275.17357545167283,102377.66867018378,270.8816960411286,101825.02106230159,0.0,0.6503433019971231,-1.8164959797963875,0.30022506053490633,0.03452299560439561,夏邑县
2017_01_11,273.12194859594183,280.50036225637723,276.37928008119997,102585.69668539934,271.706049876247,102031.89214948023,4.470348358154297e-08,1.4447604653072126,1.9652731789317448,0.4321497469471012,0.04746911895604396,夏邑县
2017_01_12,270.7449229092593,282.0910255456162,275.7755842167341,102148.11007085134,272.14656275693426,101599.10232870597,4.284083843231201e-08,2.182589900624266,-0.1056498791741781,0.48637991483200527,0.051784493406593406,夏邑县
2017_01_13,267.9864025972726,282.3186259426698,275.69245803438923,102593.54742945741,270.3099713791211,102038.41260166427,0.0,-1.1886966960293688,-2.2544649445042153,0.5755251997937154,0.056099867857142854,夏邑县
2017_01_14,263.84407553490803,278.9204061590218,273.95273878745115,103221.56729267674,270.0453942934631,102658.30667056618,0.0,-2.2714135180547506,-0.5099472424048249,0.5639164042149161,0.06041524230769231,夏邑县
2017_01_15,268.51417783824223,277.50982469947775,273.6982295295652,103084.09465168306,270.1202657418253,102521.38127734391,0.0,-1.5800216501192434,1.3401098730106946,0.5775016525063857,0.06473061675824175,夏邑县
2017_01_16,269.2454607035422,278.7253971068083,274.72126328368535,103040.73401985095,270.9507846175134,102480.51708910796,0.0,-1.8552222138870313,0.5476176541112745,0.5431065072166341,0.06904599120879122,夏邑县
2017_01_17,271.25186217468666,279.2561950136838,275.5696644751971,103028.72991154886,271.6738579296418,102471.47546589118,4.6850598034952326e-07,-1.3997477876635818,-0.060570812867298714,0.3861316503563319,0.07336136565934066,夏邑县
2017_01_18,272.5712347989189,279.5342176987394,276.092839610516,103033.46597570732,273.82201211222167,102477.61081564765,0.00013049224748479436,-1.0925602527400637,-0.4270088294537298,0.45800844729640605,0.0776767401098901,夏邑县
2017_01_20,258.5625648551111,275.0865173406798,271.7949926353426,103386.64153455589,267.47013480576834,102817.1992456012,4.284083843231201e-08,-0.09238568382191747,1.008620092139875,0.5466191333254464,0.08630748901098902,夏邑县
2017_01_21,262.7493026061541,280.52837494423216,273.84856710874516,103175.95195712599,268.72815386957967,102615.38959468603,1.862645149230957e-09,-0.19812249797788073,-0.948803349882652,0.5391343562641586,0.09062286346153847,夏邑县
2017_01_22,264.07224571964406,279.8241312429323,273.46248492476076,103399.65006718707,268.6408525945652,102836.5012478082,4.284083843231201e-08,-1.6925942846660829,1.060465204594314,0.5263206282628476,0.09493823791208791,夏邑县
2017_01_23,265.91440485305804,280.3034922258935,274.65501529757813,103351.59640455624,269.6423182755734,102789.21207386316,0.0,-2.3202753116544255,1.679144901209511,0.5257928894686861,0.09925361236263736,夏邑县
2017_01_24,267.66385148587057,280.0719790715539,274.77500181051715,103468.50861927,270.5620923089072,102908.09307750523,0.0,-2.2667681951915912,0.39676869643418633,0.433187439438355,0.10356898681318681,夏邑县
2017_01_25,271.6848197294923,282.85082028738856,277.749429346796,103045.1937333297,270.8937011932062,102492.47402489392,1.862645149230957e-09,-0.26869048188694233,2.7094776474376876,0.52922868775131,0.10788436126373628,夏邑县
2017_01_26,270.8472412249452,287.18762428012286,281.4642027954166,102657.12251517634,275.1841484665138,102110.59423631347,4.470348358154297e-08,0.6229425380772937,-0.09340408546232074,0.5271454181704618,0.11219973571428571,夏邑县
2017_01_27,267.35840243818876,281.9693814899921,278.4777133122683,102717.6072567233,274.7720888770308,102163.27770007637,0.00014695594663651298,-3.0805212862121643,1.1917785263116791,0.5064738879170817,0.11651511016483516,夏邑县
2017_01_30,262.96493776046526,274.6358940365659,271.68712866874836,103530.01451435359,269.06849732744604,102960.07673891522,0.0,-1.614832922802826,-0.9393442167125774,0.5534681059592104,0.1294612335164835,夏邑县
2017_01_31,268.80361386100236,275.3677825991303,272.84412546666704,103119.95777867179,270.1569932342933,102553.76420264196,0.004653613027577187,0.09870593428645431,0.2786443988790447,0.4949827944122951,0.13377660796703297,夏邑县
2017_02_01,268.3640376764206,277.8001680646654,273.1902158155219,103600.33061995092,269.4137853517858,103037.21787009764,1.862645149230957e-09,-0.522188929388162,-0.921977480578148,0.12754563031015975,0.13809198241758244,夏邑县
2017_02_02,271.2278122704744,278.3352616238734,276.11826837520834,102971.23186966073,270.0725046549009,102412.49439702767,0.00047978710427882876,-0.5093219374382914,1.24024223924342,0.5975045156048325,0.14240735686813186,夏邑县
2017_02_04,274.436767707321,282.0318688304445,276.98029819009804,101900.71768393053,272.224156690207,101355.55342219482,8.568167686462402e-08,0.05879218950562615,1.3167654015567931,0.33692697828709567,0.15103810576923077,夏邑县
2017_02_05,273.8374807128836,283.07840497730393,278.2082338212563,102303.98148027636,272.76049170129477,101757.49945544322,1.862645149230957e-09,-1.922978484058773,-0.809591645263483,0.39915643574637283,0.1553534802197802,夏邑县
2017_02_06,268.3084302408835,281.6704101962246,277.3642240195475,102871.05569527812,273.5291320383909,102314.99056311233,8.979798187449137e-05,-3.620934281697492,-0.6570974491100429,0.39998186105971933,0.15966885467032968,夏邑县
2017_02_08,268.8875438145994,275.8976753407203,273.1327821008414,103001.43614797384,269.32100776308283,102438.51434568122,0.00021876205209104177,1.286502941615465,-2.3812554205232153,0.04485281038819454,0.16829960357142856,夏邑县
2017_02_09,262.87632703848266,277.8969299396317,272.82217195614004,102938.27153450699,268.9102042422449,102377.21718988309,0.0,1.064090383944821,-1.9740221002556615,0.5412931197112834,0.17261497802197803,夏邑县
2017_02_10,261.5984714182043,279.70259419320405,273.6231868080772,103123.51776825539,268.59616868700175,102565.42050122902,0.0,1.8202588717918544,-0.8244588464255296,0.5703615479908312,0.17693035247252747,夏邑县
2017_02_11,267.6882662397559,284.1851602321915,276.57925019591227,102933.52325009239,270.79353103948955,102383.55589541006,0.0,1.3630498096036376,2.248904855948503,0.5824623096079019,0.18124572692307694,夏邑县
2017_02_12,270.68091866945014,287.1747646396559,279.80338110889005,102783.30626164631,272.5723406061732,102237.61826520825,0.0,0.3705463051987597,2.557272814266279,0.5748899429594443,0.18556110137362639,夏邑县
2017_02_13,274.9045567977177,289.2195507916181,281.94811220982564,103145.12546835624,274.9246104946931,102603.15473286918,0.0,-0.969292922079,1.2002828007372501,0.5550398846140201,0.18987647582417583,夏邑县
2017_02_15,274.4297659803089,290.27842480087554,285.27944950862997,101948.4450544781,276.90307939483637,101413.19445100294,0.0004487567244358349,-0.2453343079074489,3.600006337065078,0.5278470958322358,0.1985072247252747,夏邑县
2017_02_16,275.7945014916871,292.16540391252795,284.6070200629334,101841.20380274869,276.7640149511083,101304.1913161909,0.0,0.5458640105715847,-1.8350172024398799,0.5733092132304313,0.2028225991758242,夏邑县
2017_02_17,267.3526479046988,281.4466478547184,277.6897071319902,102975.12528125074,274.77763821524326,102421.24539254818,1.862645149230957e-09,-1.6726556317501389,0.1746335437469549,0.4808184621908611,0.20713797362637362,夏邑县
2017_02_18,275.6274060305163,287.0531059751703,282.6112784582205,102053.8518379332,274.9735170965524,101513.70627739058,4.284083843231201e-08,0.6792613866887652,3.729592767746288,0.5551949413255832,0.21145334807692306,夏邑县
2017_02_19,278.8365304112874,293.5493440799235,287.31636985663346,100936.35801222778,280.10608018994935,100410.1016021376,0.0002067727788301594,0.2970090161366645,-0.25967024642544434,0.5451822022903979,0.21576872252747256,夏邑县
2017_02_20,264.6934338413645,282.22428793597146,278.13028251728423,102900.18713340703,273.5899871109636,102343.25305318148,0.00011310904625228102,-4.458307541237332,-2.5043515310467543,0.4676242107005828,0.22008409697802198,夏邑县
2017_02_22,271.08102883890047,276.38276631558216,273.1929144563644,102611.03216463474,268.6868662476757,102052.07854461162,0.0,1.3012228650714992,-1.9452296302279388,0.2717767131607796,0.2287148458791209,夏邑县
2017_02_23,267.9323346871414,281.6965452805781,277.10600245058646,102966.62010456853,272.91437986282585,102413.24571367883,0.0,-0.5395245105041245,-0.7903153618091492,0.32820964550295495,0.23303022032967033,夏邑县
2017_02_24,272.0805775340544,285.44052421271226,278.4075684903676,102639.73184439985,273.60708094886917,102094.61545131636,0.0,1.7434933788022904,1.7037331609856048,0.6080587843253227,0.23734559478021977,夏邑县
2017_02_25,271.69039701879916,287.1597753041022,280.0680068369301,102397.97491470567,274.06489699221004,101856.81816210003,0.0,0.351401282103303,-0.7570334019954384,0.5809000738539072,0.24166096923076924,夏邑县
2017_02_26,270.8350069284362,287.6510436261123,281.040642094558,102615.63354726555,275.6260188063163,102074.73745426121,1.8943987124671416e-06,-0.774105285578371,1.1076450179324235,0.5977413337968932,0.24597634368131868,夏邑县
2017_02_27,272.1923492030947,290.0406546764633,284.23550917672367,102382.4056594416,277.0258401937469,101843.53518542246,0.0,0.3196544624170795,3.187792050589654,0.6564017362114811,0.2502917181318681,夏邑县
2017_02_28,275.7085732953212,290.67220943932233,285.11331551834957,101885.44734650034,278.96825086780814,101350.45411713314,0.0010201872494993926,1.5174664102371296,1.4303716865929963,0.5708176908901239,0.2546070925824176,夏邑县
2017_03_01,270.23375461919903,286.5584990128834,278.5336186851502,102506.00268592812,272.34733781353697,101956.77255106285,0.0003072932119237574,1.6788086946771006,-2.5611309503891944,0.618737574661518,0.258922467032967,夏邑县
2017_03_02,267.5206729549628,285.46654210103975,280.5687159377707,102130.21779975777,274.37688225365963,101585.80672867032,0.0,1.1063901505142713,2.753746550848118,0.6266339092055798,0.2632378414835165,夏邑县
2017_03_03,272.86645730636843,288.886408065507,281.64745288858705,101469.99652416313,275.1659416112979,100936.88199402312,0.0,-0.13323918264525253,2.597878006653092,0.5769040894464067,0.26755321593406595,夏邑县
2017_03_04,276.88014296173395,290.49647860371175,284.00571541196234,101559.82911888897,277.5047177666783,101029.50701531534,0.0,-0.7666948808895508,1.0521683546873337,0.616357774311307,0.27186859038461536,夏邑县
