Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2017_01_01,0.3256962087714871,275.98086804523905,283.153766151529,278.70422987445426,102395.51507803601,273.6974521933466,100786.44937766988,0.0,0.5264722583400873,-0.6888064124298596,0.004315374450549451,平桥区
2017_01_02,0.33331988773942217,276.06832986972273,285.4560059337633,279.1749386826256,102637.06921815666,274.11750546578753,101026.11542073361,0.0,-0.11081937872626618,-1.3485864295727181,0.008630748901098903,平桥区
2017_01_03,0.21413370113237126,277.63233127193774,282.7625429111992,279.6732039604793,102276.00686997978,273.70129559089355,100674.45266673018,1.9831325204188038e-07,-0.6147691406713253,0.3585578151631771,0.012946123351648351,平桥区
2017_01_08,0.20426245429536555,274.0204878689507,281.847545709999,277.2379749542919,102396.92293178505,272.5600767363524,100774.07956171557,0.0,0.34090964862851303,-0.8334463544256429,0.03452299560439561,平桥区
2017_01_09,0.3310642205108096,274.3274549217259,280.7637218904554,277.4869410041213,102520.08962173191,272.9286054573792,100891.86693231507,6.261168688648866e-05,-1.324896052498488,-0.7032288533284883,0.03883837005494505,平桥区
2017_01_12,0.3558112384970131,271.50460938851336,283.89720983336986,277.60772473288404,102283.82961524013,273.0105458004665,100674.31397593897,4.284083843231201e-08,2.3591551082314384,-0.17423081512786998,0.051784493406593406,平桥区
2017_01_13,0.3845236668475334,270.3515591527688,284.1231036330358,277.4718743389449,102495.20363274614,272.31348504516933,100872.37663131107,0.0,-1.3174938116787096,-1.4644003887013757,0.056099867857142854,平桥区
2017_01_14,0.3268975792438604,268.0435137025481,280.14788000615954,275.8354661019696,103016.6926279418,271.3535853632295,101360.79771283889,0.0,-2.6171514784659164,-1.2593917412211608,0.06041524230769231,平桥区
2017_01_15,0.2831987454242651,269.15819115640784,278.4491763420436,274.265888623029,102965.66161900586,270.61970274179373,101308.46575950469,0.0,-1.8272793654743946,-0.9819626339445463,0.06473061675824175,平桥区
2017_01_16,0.34929558411241046,271.4621255086673,279.60426311871385,275.9319099992621,102902.8563757427,271.03490357219584,101253.48825897044,0.0,-1.211494223451369,-1.320621734425139,0.06904599120879122,平桥区
2017_01_19,0.20437938347986667,264.9761130021088,282.2067401298321,276.65298691155846,103292.55238279028,271.08057384058174,101640.17726711836,1.862645149230957e-09,1.2313643861565209,-3.1738518559210678,0.08199211456043956,平桥区
2017_01_20,0.34443657940582467,262.26143000793985,277.53713526628957,273.102755574076,103385.77824452188,269.36910315933204,101719.27280972592,4.284083843231201e-08,-0.9005800054065615,0.5223432790928,0.08630748901098902,平桥区
2017_01_21,0.3271369300678556,265.88688959834735,283.0907936152173,276.29482039322033,103158.73492122762,271.6142223930085,101524.33379934817,1.862645149230957e-09,1.540199986964345,-0.977608786996106,0.09062286346153847,平桥区
2017_01_22,0.263458508273216,267.8849512382752,283.6121066773544,276.8828478151952,103249.74642538067,271.2225470737768,101615.33852594656,4.284083843231201e-08,-1.312674429498694,-0.44020349697323746,0.09493823791208791,平桥区
2017_01_23,0.3430375019779799,270.1367838115522,284.20475554857694,277.5587067405601,103096.20369448319,272.0189569160389,101464.89073573246,0.0,-1.9494555474013422,0.11820957859233486,0.09925361236263736,平桥区
2017_01_25,0.33431643623602425,272.81315896165086,284.4620454008734,278.6928917991953,103034.81413859416,272.78712702767655,101412.16639145694,1.862645149230957e-09,0.06432446172431684,1.5801108320795978,0.10788436126373628,平桥区
2017_01_26,0.3135083122612139,274.5903994692756,287.34628077222504,281.8945939996107,102689.73690002672,276.6865221990154,101079.61392431446,4.470348358154297e-08,1.4750178704353316,-0.36522315577055126,0.11219973571428571,平桥区
2017_01_27,0.25661309484309247,270.0590910534453,282.60899721777207,280.19027772269516,102475.92285509547,277.76333478064504,100853.39655482996,2.2612824903623213e-07,-2.939475893977153,-0.05842152675600737,0.11651511016483516,平桥区
2017_01_30,0.32500916421504183,265.17913119225017,275.73970986569196,273.1047408962853,103411.18792082126,270.8452979192682,101729.05498660005,0.0,-2.2459713230748055,-2.110069086043017,0.1294612335164835,平桥区
2017_02_04,0.33282114731717727,275.2418905304745,283.3230855545026,277.8156539855607,101893.96687523332,272.7071365291777,100286.41212586893,4.419773734862773e-07,1.4616927260302297,0.9096078047658062,0.15103810576923077,平桥区
2017_02_05,0.3451801155127807,276.81258983133745,282.2137034950709,278.48748041037584,102159.54550199982,274.12060691463466,100545.26814098142,1.7631281733489946e-06,-1.8305861738233158,-0.8149784498672663,0.1553534802197802,平桥区
2017_02_08,0.05265277576089601,271.5467513851005,274.9320758888563,273.1818042916517,103110.14606342818,271.17856253287243,101445.44698282651,6.470519086739773e-05,0.6023611585509119,-1.9093419012411046,0.16829960357142856,平桥区
2017_02_09,0.3339265955026854,268.33687959424606,279.42232438968415,274.9990724351463,102993.06226345309,270.16978049119666,101346.1665968264,6.692016992242539e-08,1.314545723766627,-1.3871088807499252,0.17261497802197803,平桥区
2017_02_10,0.3790533089031982,266.2893395736593,281.05884249150074,275.67612408791115,103171.605811383,271.36807323645854,101529.06225208967,0.0,0.33367359214176007,-0.44582218192169754,0.17693035247252747,平桥区
2017_02_11,0.33120713102718413,268.745350980903,285.2856216195935,278.31014362435445,102978.26886559525,272.18781107376003,101359.08384087059,0.0,1.7142888601905226,1.9800930272356976,0.18124572692307694,平桥区
2017_02_12,0.3800492201224011,272.3187176238939,287.415872943675,280.7323318876052,102765.41890281386,273.95794009721664,101160.2523011695,0.0,1.3040440670051645,2.640216548703887,0.18556110137362639,平桥区
