Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_11,268.2702930991772,282.34875745370783,276.1411238818282,102417.01360573647,270.6697014081639,100437.64248389112,4.470348358154297e-08,1.10737008147724,0.6534712641860727,0.1706924222010428,0.04746911895604396,文峰区
2017_01_12,265.5937614521695,283.890459415494,275.9100159274754,102075.7714522353,269.65708555578277,100113.00198768772,4.284083843231201e-08,1.7340577292140664,-0.029772098433005607,0.5214029096847198,0.051784493406593406,文峰区
2017_01_13,265.70047142272466,279.2139738600394,273.9224653775032,102707.0992840558,269.315044080202,100695.95747502634,0.0,-0.6973591909489758,-0.9709382217225849,0.5583835894504335,0.056099867857142854,文峰区
2017_01_14,262.6674163020273,277.7732016316432,272.69192193837955,103268.14902571209,268.0166726998635,101231.6682844707,0.0,-1.1921510293948943,0.29712718210722244,0.48537641222417083,0.06041524230769231,文峰区
2017_01_19,258.3080497329596,279.6884607466331,272.2696742065848,103351.40606736604,264.95786655007214,101311.71730810574,1.862645149230957e-09,1.019380310294755,-2.640041002149349,0.48666661680719847,0.08199211456043956,文峰区
2017_01_20,257.87744476565166,274.8805361975638,270.7935548281191,103149.30508250301,265.51042010551953,101107.75787882862,4.284083843231201e-08,0.03330810564696908,2.456168638359113,0.5051456425873324,0.08630748901098902,文峰区
2017_01_21,259.0665084623368,280.48874323422245,273.34723028148903,103217.3859211462,265.86566963081157,101190.34943324889,1.862645149230957e-09,-0.3228747758247375,-1.6235550830068182,0.45818232039090234,0.09062286346153847,文峰区
2017_01_22,262.53689600479174,277.41463531294113,271.16649160894343,103370.80382390054,266.0809112058598,101329.2107740457,4.284083843231201e-08,-0.5714901770624203,-0.0672858623067518,0.44076802099168133,0.09493823791208791,文峰区
2017_01_23,264.9834831831814,277.1254234020571,272.15074908119874,103359.19055387193,267.28641537638873,101319.75822602847,0.0,-0.48179014546752935,-0.9606027993170234,0.40644059793265797,0.09925361236263736,文峰区
2017_01_25,268.7510274330223,280.3643077786927,275.2799600010804,102756.90568115923,268.333225106584,100763.47395463393,1.862645149230957e-09,0.21840812475457977,2.437644230623478,0.36147077953986784,0.10788436126373628,文峰区
2017_01_26,270.1670347604044,288.44867124389515,279.3900861011635,102690.49321485762,270.57321789745293,100714.03105118453,4.470348358154297e-08,0.35101551217675736,-1.3613902124572486,0.2752447175676249,0.11219973571428571,文峰区
2017_01_27,263.111736187456,280.0352259191969,276.62956911460947,102640.03125196516,270.8099159711528,100635.37147725778,2.527701114680191e-07,-0.6006641392609131,2.407952474894434,0.33704153246825125,0.11651511016483516,文峰区
2017_01_30,257.2545172449823,273.2302618691478,270.9609094750221,103528.07855073668,266.0640205559991,101462.46191510007,0.0,-0.49057404179373787,0.6791390451833624,0.40168376297270325,0.1294612335164835,文峰区
2017_02_01,260.0401630553504,277.22276759630824,272.66668162026156,103677.02814147176,269.0677153670178,101635.26017568859,1.862645149230957e-09,-0.09540869500377863,-0.9859661959773642,0.4293625893630286,0.13809198241758244,文峰区
2017_02_02,265.0093546702944,279.1923445496656,275.3555869783297,102793.5801814731,269.46123216731286,100781.76421872595,3.1710824870720264e-07,0.04855181690901445,3.1006441588031124,0.4765493424760172,0.14240735686813186,文峰区
2017_02_03,269.76702490490305,280.7061129939951,275.0233333245967,102133.44662694896,270.8798365134999,100142.21845000848,3.725290298461914e-09,-0.3657187005955981,2.163332231363028,0.3626331713374245,0.14672273131868133,文峰区
2017_02_09,260.9486503905777,277.84992384089816,272.74630734908516,102968.33225571924,268.0702190582121,100942.72093315414,0.0,-0.051344035723150154,-0.3959377021380083,0.4956633122993299,0.17261497802197803,文峰区
2017_02_10,259.746986456831,280.3414071025218,273.7038378649292,103050.92208883667,268.3492215480548,101041.3660956292,0.0,0.30646103614009673,0.3371902734284581,0.4580906128238244,0.17693035247252747,文峰区
2017_02_11,262.64874893054383,285.1060735533765,276.5509442830681,102781.93221826492,269.14810673970527,100802.84900460464,0.0,0.37473466832972846,1.0785821621530831,0.4979453762383734,0.18124572692307694,文峰区
2017_02_12,265.09406115835475,287.1237134411998,278.69197105505293,102636.2296706871,271.1819205812948,100676.4955647164,0.0,0.30434339125630555,0.402322753093328,0.4788470111805355,0.18556110137362639,文峰区
2017_02_13,267.32865095764663,287.31897907431267,280.51896345188663,103201.02745120425,273.07958207233196,101229.83082773096,0.0,-0.08366755668400834,-1.5879164968803623,0.4232746093198872,0.18987647582417583,文峰区
2017_02_18,271.6308851030996,288.59535471034775,283.1054923369686,101632.41429378862,273.5241778631119,99703.25683220486,4.284083843231201e-08,0.19193284216335088,2.5982744848464425,0.4297619380850485,0.21145334807692306,文峰区
2017_02_23,266.5642090176861,280.9320952670236,276.09106439818606,102905.44535410184,270.92079877594523,100904.88726232627,0.0,-0.02646899627712722,0.8655903808761419,0.40475619932876905,0.23303022032967033,文峰区
2017_02_24,266.0483778177849,285.71841719235044,278.64596118058654,102564.79573761993,271.7897768671283,100599.0342853591,0.0,0.708376131628516,0.06122910491398655,0.4924656604994813,0.23734559478021977,文峰区
2017_02_25,266.65671244936334,286.5484650441004,279.75163431782624,102404.80497776711,272.9654036310888,100446.40048798191,0.0,0.3844604783365749,-0.1362061737454058,0.5182709640375891,0.24166096923076924,文峰区
2017_02_26,268.1783019272916,287.5510815278468,280.5666507229049,102507.14677599874,273.790716197694,100557.05396546617,1.658022727634254e-05,0.7131375806206643,0.6160160372708728,0.48635682134193126,0.24597634368131868,文峰区
2017_02_27,268.322937472713,291.6482850442742,283.94222720009526,102059.96355093732,276.18556337176733,100138.15887624487,0.0,1.6339111832140725,1.5555237891930545,0.5385895234713031,0.2502917181318681,文峰区
2017_03_01,261.60218644407604,284.33606033656775,278.77018374818795,102606.1695451801,272.2735293756112,100627.27346517523,4.918302207489758e-05,0.7473449215291268,-3.0116406434846787,0.4764330250988193,0.258922467032967,文峰区
2017_03_02,262.40077467160245,288.5679659413968,281.3289589813362,101757.21451987409,274.61412916978543,99818.38798448598,0.0,1.021750904398755,3.085692511062533,0.5554825412479995,0.2632378414835165,文峰区
2017_03_03,266.15315645691214,292.57278128126626,283.9739582900729,101327.04495956223,276.09689368653176,99415.79849868189,0.0,-0.03645403850124824,-0.4041898126769751,0.4947132732772421,0.26755321593406595,文峰区
2017_03_06,264.31543554457653,289.50060598189555,282.38685370762124,102020.74521662408,275.3073324597841,100066.24393211876,4.284083843231201e-08,0.9734485539587396,-1.5607119967985084,0.5551443813814632,0.2804993392857143,文峰区
2017_03_07,262.3076851384608,282.577743580203,277.9128635367393,102416.54899125634,272.5199575870469,100430.40520733496,0.0,-0.20409126867872762,-0.26162370317198114,0.5330664716729068,0.2848147137362637,文峰区
2017_03_08,261.34366804730973,287.4008655342748,280.5997890353639,101892.60588583909,274.76295113011236,99946.20791522932,0.0,1.1385221733404547,-0.24236531306407139,0.5595244006688728,0.28913008818681324,文峰区
2017_03_09,260.9712314229948,290.0847818375079,283.25351976087825,101569.27291428698,277.2950965582009,99646.47617997736,0.0,0.7772123043155159,0.17466993983706747,0.5597449232524576,0.29344546263736265,文峰区
2017_03_10,270.9106462528347,291.9618041239551,286.0292136566974,101634.56595449097,278.5645143136477,99724.52746688317,0.0,0.30418031798114786,2.045915805037101,0.33718211833781736,0.29776083708791207,文峰区
2017_03_14,263.2068123617476,288.24149099015204,281.8598683481301,102630.4665567387,276.0911566517769,100672.09482757343,0.0,0.2207418306473254,1.7652864293817982,0.5431605495448067,0.3150223348901099,文峰区
2017_03_16,272.3697215423332,288.07367941117235,282.95351929633347,101985.13107487162,278.7212361339134,100038.15326152284,4.284083843231201e-08,0.1132343968808853,3.213106543027461,0.6130287860110772,0.3236530837912088,文峰区
2017_03_17,274.62703264136786,289.80456389047356,284.21547747734445,101999.79749065329,279.42201687099515,100069.25760740809,0.0,0.36654686873284925,2.4741204321546726,0.538423370312573,0.32796845824175824,文峰区
2017_03_18,274.86860490685615,291.1066365958086,286.11400686170583,102334.22546297956,280.5409879433726,100405.59618096612,0.0,-0.6110369672673791,0.9963162682033134,0.584461728672651,0.3322838326923077,文峰区
2017_03_21,275.23718950506185,286.8792161065273,283.7795561731241,102226.28799342843,277.7929781700984,100276.82264278087,0.0003160202712092452,-0.2300611554123707,0.8470959050918229,0.6365625969846941,0.34522995604395607,文峰区
2017_03_25,269.94686942240656,288.9266348243779,283.80804781231404,102253.78254584045,280.04387350443733,100308.42928824674,1.1110015559344349e-05,1.9279603730638828,-1.758524450732942,0.6973157703408479,0.3624914538461539,文峰区
2017_03_26,267.43560041455675,290.6080263562276,283.73253250160735,102203.94757482856,277.1198124095137,100271.3209683413,4.470348358154297e-08,1.7037368917793612,-1.3862471873259121,0.6203652564592511,0.3668068282967033,文峰区
2017_03_27,270.5600485165454,291.09461428411515,286.0203480531391,101968.18223056433,280.91740714907087,100033.39986919975,0.0006664897501808871,-1.264418566720996,-1.9252200719939174,0.6481112740291287,0.37112220274725277,文峰区
2017_03_28,274.93733344509576,288.02222821645904,282.83845805101924,102165.32383868222,278.42560593121004,100221.6297654445,1.1343241414940219e-08,-0.3951823460387854,-1.5050386246458585,0.40593973964825236,0.37543757719780224,文峰区
2017_03_29,276.8356935561816,292.8106080959756,287.5521133897287,101946.77449910068,281.64661878207033,100028.6994656402,3.0854913800151136e-06,-0.31969046554092106,3.241718932439349,0.2016994003682453,0.37975295164835166,文峰区
2017_03_31,275.9192155796867,289.1679680734244,283.5421615680284,102492.94118969783,279.50703606148835,100550.70859281807,1.7831373182710666e-06,0.39406380424929527,-0.3788845023584239,0.5753578867645686,0.3883837005494506,文峰区
2017_04_01,270.13129761310387,295.8727882142896,288.0217351074417,101749.55416492076,281.39934680192897,99854.69367594665,9.313225746154785e-10,1.7562565579361582,0.5577326156762159,0.6718316077490751,0.392699075,文峰区
2017_04_02,273.1925282838453,298.0469092742349,290.94263706371345,101709.75676089442,284.2113837168024,99820.47451777107,2.1420419216156006e-08,0.0031720923656134853,1.0940212699845622,0.6730384973637437,0.3970144494505494,文峰区
2017_04_06,284.38364806383436,295.7356273080808,289.96581803998697,101128.62854772838,285.2010286480616,99242.17470187628,0.0,-0.19114033257984261,1.7514938237763285,0.6287588682311774,0.41427594725274725,文峰区
2017_04_12,281.5148322084262,296.7127222444331,289.7391212572675,101467.7828948858,284.17025933006545,99581.34270803494,0.0004957965535982833,1.0911784602956494,1.898950320139427,0.6740345212427243,0.44016819395604395,文峰区
2017_04_13,281.52349701221766,297.4231019231208,289.71116278307386,100822.16951524562,282.3456742958756,98951.11206810082,0.0017389086669118267,1.4600999447455518,0.6031784417500553,0.3548137896153743,0.4444835684065934,文峰区
2017_04_17,276.2417949008285,301.58591371146423,296.1105234552529,100145.33129857827,291.19068575024914,98297.56597623977,0.0,3.0668490244003874,0.0942363042144485,0.6647523922764178,0.46174506620879124,文峰区
2017_04_18,276.3992618679821,299.87987481181455,293.42472186847965,100517.70356660816,286.6601210834918,98652.32891297175,1.862645149230957e-09,-0.26945464741842634,-0.3081694327395715,0.7780294873262436,0.46606044065934066,文峰区
2017_04_20,273.9211241793578,298.64587123258343,292.4802005556213,101108.07333312646,286.58553420861125,99226.95752984575,5.3897607026001885e-06,2.2802198380106047,-0.4739239135671962,0.44979180545977016,0.47469118956043954,文峰区
2017_04_21,275.4834039903233,293.2731109315155,288.54218763425956,101618.48464739903,282.8829163900878,99721.28810040788,0.0003061759757221437,1.002523635109592,-1.3972204636989216,0.6633450547673648,0.47900656401098907,文峰区
2017_04_22,273.1264622395672,297.932336982201,291.8466512050053,101004.35884199613,284.66647914263615,99131.29686748885,0.0,1.3852311388225644,2.9029627110706144,0.6910699886463627,0.4833219384615385,文峰区
2017_04_23,280.3596482376228,299.6073851010125,294.5978427005372,100696.05937558229,288.0924950736152,98833.26396412196,1.0027316480437355e-06,0.16396764078551115,1.4171371330790492,0.682766972560323,0.48763731291208795,文峰区
2017_04_24,278.9604632484901,297.18983114601946,292.55537599494335,101314.05560271443,288.54971939313464,99432.58621764978,5.076244386930788e-06,-0.6428202403254604,-2.7585266870150886,0.5740597349185127,0.49195268736263736,文峰区
2017_04_26,272.4162428419429,294.1306345456033,288.8401869044925,102224.57630586265,281.9132260087644,100316.59227012284,1.862645149230957e-09,0.37169585108945835,-1.0991510624409107,0.6753848342786656,0.5005834362637362,文峰区
2017_04_27,270.66657547808165,298.1463503138487,292.0525401956785,101502.27055673508,285.96125194962457,99622.85041174442,4.284083843231201e-08,2.011678993647092,-0.07724143800657013,0.6849641875436758,0.5048988107142858,文峰区
2017_04_28,273.98395470595113,303.0163553300626,295.5521209396417,100769.76733778646,287.2856101827387,98919.75095553245,0.0,2.2987979137625425,-0.4564880002840567,0.6913837918073881,0.5092141851648352,文峰区
