Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_10,267.91461726953526,276.88509996959147,273.540043200223,103007.76817385084,270.4783361579683,100408.11552235897,1.862645149230957e-09,-0.07190567097325953,-0.5071973529992018,0.20222430370770506,0.04315374450549451,殷都区
2017_01_11,267.6841049876923,282.47356245200075,276.077282889295,102410.57700681595,270.34430980284503,99864.05888069147,4.470348358154297e-08,1.2869941386693293,0.48356864998842086,0.40341595308433653,0.04746911895604396,殷都区
2017_01_12,265.0076372727433,283.9152747761232,275.8574340596614,102071.06010507881,269.58627934166157,99544.11577867383,4.284083843231201e-08,2.0505768743225983,-0.1809732647976319,0.45584891071302025,0.051784493406593406,殷都区
2017_01_13,265.6764819616578,278.8646693330668,273.93506894472705,102707.80328595603,269.22927308155363,100118.83406134139,0.0,-0.5543691356291003,-0.8019118700462156,0.3676055930686645,0.056099867857142854,殷都区
2017_01_14,262.4781877520367,277.4514686571898,272.69058460649256,103267.8128855176,268.29688658780276,100646.01784114877,0.0,-1.073503094735261,0.35984605456466845,0.41099355962060774,0.06041524230769231,殷都区
2017_01_17,270.2584459496679,277.7548044808878,273.2717912842348,103076.09443413158,269.2949295346432,100470.00130042929,2.3997823166312307e-06,-0.38493239203069085,-0.6943308721727907,0.009940744484785819,0.07336136565934066,殷都区
2017_01_19,257.6384882898505,279.2863263863975,272.102255727185,103349.77518804373,265.0221831293201,100724.72949467518,1.862645149230957e-09,1.4555806660658501,-2.5893195745589916,0.43319643837494565,0.08199211456043956,殷都区
2017_01_20,258.0471548846929,274.8882393355952,270.5793821424143,103130.7892349216,265.47761281408003,100507.00669535958,4.284083843231201e-08,0.043802841361795145,2.1211430698551856,0.40582579704022465,0.08630748901098902,殷都区
2017_01_21,258.81224755514086,280.3734631525891,273.4279898127711,103216.87908306142,265.8763804026102,100607.99828239418,1.862645149230957e-09,-0.15291294734755162,-1.4970136193133767,0.389448600159888,0.09062286346153847,殷都区
2017_01_22,262.48304635498243,277.17098956411536,271.0107400225147,103367.66412282479,266.06620333092957,100740.28312038584,4.284083843231201e-08,-0.5439892412259989,-0.12235474562345952,0.21967673367172927,0.09493823791208791,殷都区
2017_01_23,264.8243431649461,276.62700900771927,271.93412812093135,103360.71278026316,267.35848324064244,100735.75447170156,0.0,-0.4629553643024949,-1.016387749382788,0.2941397064323703,0.09925361236263736,殷都区
2017_01_24,264.0709847760062,276.094158387763,271.5613521763398,103508.21071515787,268.22632897492844,100886.39471580672,0.0,0.11231131108601952,-0.23749595997695802,0.01568630210871984,0.10356898681318681,殷都区
2017_01_25,268.358545045074,280.1403767902922,274.72539185181523,102738.79194371111,268.02872196508935,100176.69306076237,1.862645149230957e-09,0.21855459878199257,1.8605227035344891,0.2358575749783977,0.10788436126373628,殷都区
2017_01_26,269.8610032458357,288.1589527522493,279.08665816519925,102690.30299797359,270.64064959040536,100147.67761372661,4.470348358154297e-08,0.5024385645015574,-1.5513981044581664,0.16114545272518432,0.11219973571428571,殷都区
2017_01_27,262.9837940410833,279.6970228197077,276.2675870703282,102630.7608596581,270.7825828774612,100050.16568280643,4.0978193283081055e-08,-0.5442112038517275,2.440737648499876,0.31989734486337124,0.11651511016483516,殷都区
2017_01_30,257.0031286404248,272.943145705059,270.7081530703235,103522.1588651843,265.8978376944638,100863.16497857039,0.0,-0.49634654630064573,0.7131205862880194,0.34594818150028395,0.1294612335164835,殷都区
2017_02_01,259.91459924533444,276.9078386114483,272.5171448245363,103677.4069912192,268.9677019800673,101048.98164206109,1.862645149230957e-09,-0.0837174776586532,-0.8206871556513742,0.3376482811599996,0.13809198241758244,殷都区
2017_02_03,269.30939424378334,280.6503705992732,274.7638177837605,102119.11456885144,270.53149109899795,99560.18795242901,3.725290298461914e-09,-0.33783478641126197,1.7958588983560153,0.305110845533821,0.14672273131868133,殷都区
2017_02_09,260.8993723154815,277.94973640854363,272.6697740974204,102963.52528026329,268.11902250730054,100356.93337221876,0.0,0.07641473359256475,-0.3685660090924305,0.4027699362364747,0.17261497802197803,殷都区
2017_02_10,259.5567855018268,280.248353294002,273.5827508010929,103042.94813338613,268.36314848924235,100457.56660282388,0.0,0.396450852979378,0.2240248376959594,0.3752517476764932,0.17693035247252747,殷都区
2017_02_11,262.268289353801,285.02923905034163,276.4891478699676,102772.71080206153,269.31617492327473,100227.20286278837,0.0,0.5197359747629766,0.9218539520217971,0.40850391693865307,0.18124572692307694,殷都区
2017_02_12,264.6621838506848,287.0041164784203,278.54729376668894,102631.22368776334,271.21020744804923,100110.02118391085,0.0,0.3423380619042116,0.2167503658190187,0.3792680480742689,0.18556110137362639,殷都区
2017_02_13,266.8938793735319,287.0409404840084,280.26398638699703,103204.42612863154,272.54027763086856,100666.98891395464,0.0,-0.03481217236973094,-1.4051503424038463,0.3197864100422843,0.18987647582417583,殷都区
2017_02_18,271.4660134665293,288.43022973910695,282.5115714753473,101612.9416121847,273.0611773471068,99133.2730340684,4.284083843231201e-08,0.14558379594661658,2.0846316338257704,0.30624236029082114,0.21145334807692306,殷都区
2017_02_23,266.4218354423719,280.89402444171856,275.8370743317329,102897.16685750023,270.9222633890513,100323.32774792027,0.0,0.0012312180016764436,0.8380793811747779,0.32479988632413304,0.23303022032967033,殷都区
