Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,271.23240829505926,284.0773500226645,275.80427690389365,102635.73354498984,269.6357518290738,100259.6641730372,0.0,0.3374147061547014,-0.40230614373811513,0.3846458493203325,0.008630748901098903,温县
2017_01_03,273.19532925925876,284.5825006437007,277.74533866582766,102220.09336046604,270.07260376035555,99862.55620032892,0.0,-0.013913996783486867,-0.5843080554439376,0.33146173904680915,0.012946123351648351,温县
2017_01_08,271.09404937628244,282.54246724763874,275.8084991114175,102350.38048010654,271.0526288336429,99957.36083446785,1.236948968297008e-06,1.7092758391573524,-0.34483639864215393,0.3662381364098366,0.03452299560439561,温县
2017_01_12,266.5088725662469,284.6121279013587,276.78279311722054,102226.23213393953,270.08618769935765,99841.43891649185,4.284083843231201e-08,2.4807925365426504,-0.33982949851278355,0.445909618179696,0.051784493406593406,温县
2017_01_13,266.6869180560666,283.79652088957886,276.2911522735467,102600.13184063861,269.6491865642703,100186.3702520156,0.0,-1.1992576209260066,-0.7176842151545302,0.4613133020229604,0.056099867857142854,温县
2017_01_14,264.30392027817726,278.4003855503792,273.82562932216183,103189.78472661108,268.92141933346886,100734.25505709845,0.0,-1.9169992368422355,-0.8361088706290989,0.38305585442818213,0.06041524230769231,温县
2017_01_16,268.79639750058715,278.3527856494795,274.59731891502463,102968.90118072806,270.5667414422786,100529.26054703293,0.000169765686032685,-0.4040764733191039,-0.2790830279139226,0.28719692291684235,0.06904599120879122,温县
2017_01_19,258.7196380860895,280.4391416086049,273.5801742976391,103426.03231452907,265.31131525368113,100965.37788846207,1.862645149230957e-09,2.6291896165648136,-1.718164018130884,0.42397027946682797,0.08199211456043956,温县
2017_01_20,258.68763800197496,276.40707087435436,272.53967479782204,103243.01384663275,266.2015826231208,100784.80381024639,4.284083843231201e-08,1.2021748542304367,0.3994596327971255,0.43075854955955023,0.08630748901098902,温县
2017_01_21,260.30505440280115,282.68463742170496,274.376486232999,103185.41098549453,267.8775523760529,100753.24752600618,1.862645149230957e-09,1.4136340047542688,-0.9584813042083652,0.4113156855071899,0.09062286346153847,温县
2017_01_22,263.27780843099913,280.5589370022665,273.0915274390148,103266.0304204101,267.7210649884591,100830.01461807573,4.284083843231201e-08,-0.5032597581313265,-0.37720291789208393,0.27831961822560214,0.09493823791208791,温县
2017_01_23,267.25135003152667,279.6413753602027,274.00993087363224,103220.38529057054,268.7333445553245,100781.47693709545,0.0,-1.368528300609925,-0.9987353931384705,0.31313007221998135,0.09925361236263736,温县
