Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_08,271.28576652063236,282.8856975809673,276.19237096362986,102380.09547777455,271.3156780442334,100447.80898943952,2.3585235732758074e-07,1.403071175485272,-0.7864971866546469,0.32615021231692864,0.03452299560439561,湛河区
2017_01_09,273.2974874777892,280.1620852049436,277.05004578922814,102559.76527895525,271.90696605958766,100616.0927234137,2.409466246361647e-05,-0.6495925462907537,-0.8062705569045487,0.6503828318702933,0.03883837005494505,湛河区
2017_01_12,267.4118388612224,284.516387679454,278.06613482435586,102252.3879159762,272.0166259589857,100334.51160023018,4.284083843231201e-08,2.3838613068486505,-1.2787981495047058,0.6024603341399721,0.051784493406593406,湛河区
2017_01_14,267.47607669531385,279.1613139468092,274.5476596567868,103126.99355955502,270.145492726849,101148.2388015473,0.0,-1.7111377896934028,-1.0044614731572425,0.5328720527229246,0.06041524230769231,湛河区
2017_01_16,270.5169760110276,278.6875082755423,275.13834444323265,102954.62512219946,271.3093212615642,100987.07604940045,1.0310246593852245e-05,-0.8494491678855802,-0.36619705225704063,0.5443360458817413,0.06904599120879122,湛河区
2017_01_17,272.0549005462808,279.4974670410156,276.2217581531627,102966.73487953466,272.8211654232683,101004.56734276444,2.6572593784412274e-05,-0.728933062032833,-0.4892402081970773,0.10300137735965417,0.07336136565934066,湛河区
2017_01_20,259.54258684259315,277.0037712108555,273.428621653234,103329.02950769299,268.3212475613613,101340.97761454966,4.284083843231201e-08,-0.008910926082605138,1.0009778348522542,0.5314220218114336,0.08630748901098902,湛河区
2017_01_21,260.8528411985808,283.4726051021225,276.1966848931005,103169.20852490232,269.4511915465552,101212.75002363119,1.862645149230957e-09,1.759221049362923,-2.085485961364182,0.5774296971767494,0.09062286346153847,湛河区
2017_01_22,265.8743633083725,281.2450586717245,275.24032599925704,103273.03864869113,269.583161700868,101309.79638923878,4.284083843231201e-08,-0.6527846892424384,0.1993948557620453,0.1421802423915739,0.09493823791208791,湛河区
2017_01_23,269.63220624598466,282.67113623546805,276.23224288637635,103132.57961198803,270.6711271615953,101175.25171872778,0.0,-1.469781753979035,-0.0936880583306566,0.4358769835394488,0.09925361236263736,湛河区
2017_01_25,271.3734418167716,282.8376989364688,277.9352405787747,102946.21214741148,270.51052710906947,101001.61735267994,1.862645149230957e-09,0.5972180701423361,2.3244914347155285,0.47742913359364003,0.10788436126373628,湛河区
2017_01_30,262.3022032305018,274.36594989074894,272.3752382753097,103517.28679630914,269.51772383612416,101505.266320126,0.0,-1.7116917166740966,-1.1900068952364944,0.45817916209110754,0.1294612335164835,湛河区
2017_02_01,268.7185895378429,275.6392813473025,272.6856918205606,103634.49865456064,268.4649109816712,101638.07227442255,1.862645149230957e-09,-0.4964449857946452,-0.7474566500347014,0.12723371428814267,0.13809198241758244,湛河区
2017_02_03,271.3809128383844,280.390180966181,275.39478006493806,102220.49965515942,271.3538894545875,100275.16342792363,3.725290298461914e-09,0.05152743475276226,1.4521091716052295,0.4757958549391032,0.14672273131868133,湛河区
2017_02_04,274.12700340286386,284.4262904500927,277.69746277692786,101829.01079253826,271.99388691305955,99917.58927633529,8.568167686462402e-08,0.9295152587303661,0.8508845346921681,0.4419759982134201,0.15103810576923077,湛河区
2017_02_09,261.3412317106362,279.5314410030941,275.08417629028173,103003.9618909294,271.7713975110119,101035.38764438566,0.0,2.3798820144410815,-2.5050076403607493,0.6435699494490363,0.17261497802197803,湛河区
2017_02_10,263.64640149924486,282.4194120420163,275.7797994627075,103120.03894150493,270.36014524587944,101169.67229790718,0.0,1.4276191085679282,-0.9905441198905307,0.5874187722628718,0.17693035247252747,湛河区
2017_02_11,267.0549889415573,286.2588542000681,278.60934776688447,102867.53924640133,270.774122554778,100940.47053528755,0.0,1.7974919102611244,1.2383324176210535,0.5914432449874539,0.18124572692307694,湛河区
2017_02_12,272.5193801930766,287.7697900089853,280.6239000954158,102654.67016777913,273.1733021978497,100741.89801829855,0.0,0.9633296367694996,1.7555552896689472,0.5703646160877384,0.18556110137362639,湛河区
2017_02_13,275.8095544932483,289.07766313845946,283.17908627031346,103041.39309203303,275.4624103065862,101130.01285249408,0.00018033724103965604,-0.8659100125116125,-0.35451208194120304,0.5658669745533851,0.18987647582417583,湛河区
2017_02_15,275.68144314203323,290.6706913128198,285.1558667739436,101786.99644400943,277.5125457020343,99904.71161086835,5.564668679133428e-05,1.3090022465336448,3.399509983601462,0.5515542135124404,0.1985072247252747,湛河区
2017_02_16,274.06958617003016,293.0665475279944,284.9206807261528,101893.55100569742,276.99147386977666,99999.54223196686,0.0,-0.5196924188223786,-1.73599081364559,0.5880647565569622,0.2028225991758242,湛河区
2017_02_19,275.51360143915343,293.18449369034965,286.5928875389862,100885.15340303998,280.168519885595,99024.08219707334,3.8589547807156705e-06,-0.35447926536148844,0.2286376089727768,0.5947167790143286,0.21576872252747256,湛河区
2017_02_23,272.2162146632333,282.6374441296693,278.0346220150229,102950.53555612819,273.644588583699,101007.99724563918,7.0562981192651765e-06,-0.058979491565029865,0.04625519359696972,0.3096571412310413,0.23303022032967033,湛河区
2017_02_24,269.3968116690695,286.5845742145032,280.3633602118195,102640.03758639074,274.040492756205,100725.00173085205,0.0,1.8642908895601582,-0.5487152230995523,0.6179728503175593,0.23734559478021977,湛河区
2017_02_26,269.4962239062535,289.04475973995574,281.07025662590615,102565.63582521603,274.29116045215983,100669.44018548564,0.0,1.563027581516136,-0.747136674137173,0.5925016196272476,0.24597634368131868,湛河区
2017_02_27,273.8830240432159,291.0389424855169,284.8132137859333,102252.68013274106,275.33003059732835,100368.39669706656,0.0,1.1889930804723519,2.5919116076438944,0.6066148456147208,0.2502917181318681,湛河区
2017_03_01,260.2387587016315,286.1077306377386,281.2587062722182,102704.26053485223,273.7739389297936,100778.8993153642,0.0,3.213867155339324,-3.58173836833613,0.5861392302569909,0.258922467032967,湛河区
2017_03_02,264.94819558094156,287.33751037701137,282.6266113819099,102014.88925655761,274.8700541815054,100109.15891248258,0.0,0.9392331327677115,2.4938173481053063,0.6335674301937795,0.2632378414835165,湛河区
