Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_03,274.7923438027045,281.5988047169332,276.1653292445003,102318.159791235,273.1480777032638,101641.81368207872,1.2995747836500925e-05,-0.17489218484802652,1.8048237251135584,0.26530152825892694,0.012946123351648351,濮阳县
2017_01_08,273.1948805875136,279.8218894252863,275.060727694645,102390.8004566251,271.2890708151332,101709.20342342848,2.3502024472941732e-07,0.0926699097974145,0.22379880187146428,0.24534224942915617,0.03452299560439561,濮阳县
2017_01_11,270.4644511254759,280.9989602893497,276.15296612327137,102469.96181182437,271.70526465792994,101789.24352071711,4.470348358154297e-08,1.0569793477652587,1.4338297576412058,0.4009153811541767,0.04746911895604396,濮阳县
2017_01_12,266.9299767838772,282.0783683825273,276.1737653496536,102110.00303352039,271.52783016557254,101435.5089954286,4.284083843231201e-08,1.2033759974460398,-0.1300968005285714,0.41108141818995425,0.051784493406593406,濮阳县
2017_01_13,265.38860641395183,280.55143975515097,273.93383512238864,102687.24874982428,268.4975282995754,102001.13816810772,0.0,-1.8150651708529308,-1.2395284785438716,0.4969230579006482,0.056099867857142854,濮阳县
2017_01_14,262.53256761331414,278.77389551071536,273.2817748117661,103264.97730153828,268.2024297635179,102570.02339649964,0.0,-2.066758441714482,0.12916246009025942,0.44087568680739425,0.06041524230769231,濮阳县
2017_01_15,267.2253556112578,277.12412520701974,273.7474017799102,103040.80293702791,268.5209648704176,102346.49529124604,8.135771744563045e-08,-0.13111421526721523,2.120868222936646,0.4462099791520286,0.06473061675824175,濮阳县
2017_01_16,269.33120526215134,278.249656362386,274.77070957179546,103024.02438610986,270.6625223819191,102333.39533565378,4.0922676336202e-05,-0.6339812855297723,1.429007651449935,0.35529718297926555,0.06904599120879122,濮阳县
2017_01_17,270.5873793731961,278.8265266844793,274.54556222432205,103059.32390058959,271.26198950145005,102370.86878185104,0.0,-0.6768552414993331,0.3318749978039825,0.22820580834541807,0.07336136565934066,濮阳县
2017_01_18,270.4630260433824,277.9747439431905,274.38655692714656,103070.47251907946,271.7394590925149,102380.60148509803,1.2210217915718802e-06,0.20197714278743467,-0.36958497908637783,0.3461404557195095,0.0776767401098901,濮阳县
2017_01_19,258.48394231932156,280.0098128651078,273.0170422398786,103321.5569473129,265.1807712629554,102622.9945711435,1.862645149230957e-09,0.8714315369209565,-3.00075648233353,0.3365177832458891,0.08199211456043956,濮阳县
2017_01_20,257.4997134235866,274.9433009407868,271.5264493658746,103253.12232716061,265.8854385364815,102551.17804535481,4.284083843231201e-08,0.5356294903508669,2.7363835807951213,0.44318387836785583,0.08630748901098902,濮阳县
2017_01_21,260.30348376463314,279.7740261636885,272.6863594996794,103212.6275703081,266.92460130910246,102518.65282447661,1.862645149230957e-09,-0.945508255502752,-1.5878421198853123,0.41278745235364467,0.09062286346153847,濮阳县
2017_01_22,262.4701267676169,279.02317670422514,272.5349431280189,103378.53591593858,266.9838691367176,102682.70889248217,4.284083843231201e-08,-1.2413695488926626,1.1224874416635677,0.4441643192338658,0.09493823791208791,濮阳县
2017_01_23,266.22244380382205,279.480578386046,273.56549235978537,103338.8760562562,268.31044926606245,102644.62422625443,0.0,-1.065539631858737,0.9079187347032537,0.397642502888601,0.09925361236263736,濮阳县
2017_01_25,270.09234983637873,281.8473626563276,277.08931636766584,102882.05016558422,269.54379405431797,102198.77315971673,1.862645149230957e-09,0.6114611507532548,3.694769546959394,0.4025704535590973,0.10788436126373628,濮阳县
2017_01_26,268.843729602917,287.2917468575613,280.6396439135352,102677.6756086335,271.632952887232,102001.32748229148,4.470348358154297e-08,0.3080030300417956,-0.43312677026511925,0.25148301383529387,0.11219973571428571,濮阳县
2017_01_27,263.6263028882472,281.30563079965555,277.7457388672448,102692.50359644374,271.2320014651434,102008.03844910886,3.2559411305940165e-06,-1.5773105401436924,1.8104837498637947,0.365922913620646,0.11651511016483516,濮阳县
2017_01_30,260.1168854997649,274.18299259131356,271.3083460729688,103550.36216883542,266.7502379696223,102845.88202999414,0.0,-0.5049192185414575,0.23814552573967715,0.4121762242040503,0.1294612335164835,濮阳县
2017_01_31,264.74512445851565,276.34831699584663,272.74351922925786,103074.40758912964,268.6001144727551,102378.92502426145,9.701820869232094e-07,0.9049694562537406,1.7596456814766388,0.2840000405957861,0.13377660796703297,濮阳县
2017_02_01,263.11028110823196,278.3952252206932,272.51052000902047,103652.17146300031,268.4036908817829,102956.20377698897,1.862645149230957e-09,-0.5678141979590897,-1.886304270509443,0.4062440346459552,0.13809198241758244,濮阳县
2017_02_02,267.7755826020356,279.3284748624555,276.1864401793631,102898.032918007,268.7848995633759,102208.63654194749,0.00018943494790063758,0.8008566981113145,2.8592957337705007,0.33947754260697083,0.14240735686813186,濮阳县
2017_02_04,272.6462736164376,281.6507271483002,275.63271163546057,101904.74954548148,271.1551019947955,101228.89715418546,8.568167686462402e-08,-0.2313100345350637,-0.3255164850832905,0.26375409452168264,0.15103810576923077,濮阳县
2017_02_06,265.32548634457254,281.2729083807264,277.5364775820079,102995.43201186531,273.6302485663224,102308.02596158194,2.1052828572262255e-05,-2.04145693751484,-2.0921408695375834,0.3461911871386707,0.15966885467032968,濮阳县
2017_02_08,266.99763527512073,276.81248340041924,272.9388382808842,103075.8859406973,267.51459334934776,102381.57674981249,8.621205589109642e-05,0.48500717636360424,-2.4948184094371526,0.3277016575647308,0.16829960357142856,濮阳县
2017_02_09,260.36347534686155,277.59135156165934,273.1848954185646,102975.47053844898,268.13391210395366,102282.53557650233,0.0,0.8742030388378852,-1.4811914840925111,0.4657699679321195,0.17261497802197803,濮阳县
2017_02_10,258.83687185014236,279.9877546402437,274.3886153208036,103090.8429561627,269.30850391677313,102401.88126828062,0.0,0.5839027437592212,0.005027057088708335,0.4077465774484548,0.17693035247252747,濮阳县
2017_02_11,265.3827122862887,284.7329285266028,276.7343167610149,102839.53743699039,269.77735472682554,102160.75243278651,0.0,-0.072632208069467,1.8610645872910436,0.44966501312780965,0.18124572692307694,濮阳县
2017_02_12,268.7276081238452,287.1739756889975,278.7940952737718,102680.93475808701,272.297312377748,102009.38044603633,0.0,0.2669774487173251,2.2841792808673054,0.4286594806866355,0.18556110137362639,濮阳县
2017_02_13,272.71925789277367,288.42045166465834,280.7959373805093,103170.6173589083,273.83000979095635,102498.39524022986,0.0,-0.8681109892301923,-1.0771725730635693,0.4237184763840908,0.18987647582417583,濮阳县
2017_02_15,272.48255286362513,289.91706229345544,285.3212209143426,101710.87497021293,277.89597145003825,101052.30537692535,0.0,0.6175576698300305,4.690987062727661,0.4049454865056056,0.1985072247252747,濮阳县
2017_02_16,271.819614799662,290.3184346713425,281.92259910377913,102072.85367735151,275.2830659076164,101401.59405914221,0.0,-0.32909246771492684,-3.682592097316391,0.4440199264996677,0.2028225991758242,濮阳县
2017_02_18,272.75740603853563,288.3644350369889,284.23237981487284,101774.13947753367,276.09339394670354,101111.68995765988,4.284083843231201e-08,1.1646893909359952,4.423396948047347,0.4167602866412258,0.21145334807692306,濮阳县
2017_02_19,270.8059271639536,292.69807197852174,285.56952569567505,101084.43081177158,276.7219001758724,100428.78697891466,0.0,-0.7050908193863592,-2.326599083633634,0.4267574390788559,0.21576872252747256,濮阳县
2017_02_20,258.05861894727053,280.42093238333905,277.4057549416399,103088.84028321225,274.126512311893,102398.72038106402,4.667069114293919e-05,-3.1698558049024923,-3.469907292912155,0.4309966808268252,0.22008409697802198,濮阳县
2017_02_22,270.77705341614313,278.3970706723203,273.6877397576844,102628.30821640752,266.18870287541216,101940.97103668755,0.0,0.5991904891903882,-0.49608619138054244,0.1695482238919238,0.2287148458791209,濮阳县
2017_02_23,266.37271021581444,281.1573658420125,276.8408907576812,102946.53289786656,273.4219936113608,102261.97114755766,0.0,-0.2099138310853196,0.6985013847632612,0.47886329097041574,0.23303022032967033,濮阳县
