Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,272.4149252744983,281.8766681965408,278.7463075968622,102253.56368521096,274.66402410292596,101025.62668545097,1.862645149230957e-09,0.7443460289216505,0.4806843114626728,0.2874580337812181,0.00905358097982709,遂平县
2001_01_03,270.13198398981535,278.81567783655873,274.87443148763793,102619.32975829615,271.943302754354,101358.68207099555,4.284083843231201e-08,-1.0297321894210516,-2.188566068951704,0.10675045702938063,0.013580371469740636,遂平县
2001_01_07,271.56401833383916,273.6213215506025,272.43109215154664,102340.69142748255,268.4459999437361,101070.33638112828,0.0063309663714198995,-0.7412685500580701,-2.525870389093477,0.04780188794322929,0.031687533429394815,遂平县
2001_01_10,271.68811425964856,277.67487125882565,274.18157560109324,101732.40434375448,270.5567104278193,100494.19128501842,1.862645149230957e-09,2.7142143721519725,1.6941716028748417,0.020625251550312574,0.045267904899135444,遂平县
2001_01_13,268.73137711809414,278.51466335085263,272.06508797973703,103080.3068401016,266.61456396695974,101801.93331321405,0.0,-0.47539180458319885,-2.2392887906528536,0.0789303222810688,0.05884827636887608,遂平县
2001_01_14,266.0312621697818,273.38721692366613,269.99643577519146,103509.82061897297,266.9921942054088,102216.3110760274,0.0,-1.0951265351027606,-0.4566492330420221,0.11695850930135335,0.06337506685878963,遂平县
2001_01_16,270.7069877161113,278.4092431890186,274.3610029126032,102859.55141840519,268.5826867892851,101600.17480029425,0.0,-0.8512331317317353,0.5804737878162856,0.20109739581836014,0.07242864783861672,遂平县
2001_01_17,273.4651686420418,280.20009222606313,276.4002799637552,102391.54826354608,269.9499517476457,101145.81854443143,0.00015587198278920562,-1.045695400575836,0.8592397272630052,0.12658175018171805,0.07695543832853026,遂平县
2001_01_18,273.46637362680934,283.46739858557584,277.2835941864565,102518.68208280989,272.3043109596191,101269.23177936082,0.0002834303015855765,-0.6733774904335653,-2.2116430316888707,0.3147535289476763,0.0814822288184438,遂平县
2001_01_26,267.43373932946497,273.64129176248645,269.76176078352285,102502.25175367734,265.9848126893593,101232.58225946304,1.862645149230957e-09,2.090787621283794,1.0678155625760077,0.014491639881968546,0.11769655273775216,遂平县
2001_01_28,263.74599493123674,275.8493506380473,272.24115613584286,103058.58277638849,269.35710048688816,101791.09389199677,1.862645149230957e-09,1.6089168077634897,-0.18496692937507786,0.048528035326381745,0.12675013371757926,遂平县
2001_01_29,269.9503654887853,280.3333568938277,275.3604893525033,102376.19559818273,270.5718788736716,101136.97424700473,4.284083843231201e-08,2.022971237243159,0.30776262081775063,0.01543716326971535,0.1312769242074928,遂平县
2001_01_30,272.51459808555,282.2016029355198,277.88829109684156,101868.49339770521,272.2455729949798,100640.44957694947,5.064052040551855e-09,0.718666549072989,0.7226270463870674,0.056279891381651195,0.13580371469740635,遂平县
2001_02_07,267.3602322011605,272.4481061097407,270.40416132672834,103165.21694506686,268.3214945311463,101880.55753782272,0.0,-1.0131866849040192,-1.0824393665252965,0.17652061810354888,0.17201803861671472,遂平县
2001_02_08,272.04859380596406,277.5623533453303,274.55889608623505,102700.87377714802,270.30364569293664,101448.55899665406,0.0,1.1684305690016834,1.3362470654698457,0.22278621451238823,0.17654482910662825,遂平县
2001_02_09,272.2278787140779,282.86187314293136,276.7746229455255,102655.00673184701,272.432700374988,101420.55512182279,0.0,0.06406408445563226,0.7142970058473898,0.20563175368947337,0.18107161959654178,遂平县
