Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,269.9155234215867,282.64821279049323,276.84806936694315,102255.95786341942,269.9583166860035,100843.58942349727,1.862645149230957e-09,0.027137784503407775,0.6975826910416588,0.17129884826910424,0.00905358097982709,中原区
2001_01_03,263.98512448812124,276.1616464006538,272.15724205947794,102788.69793182265,269.1129435589772,101332.22764833464,4.284083843231201e-08,-2.197607265796742,-0.5424068835004148,0.1578128435299977,0.013580371469740636,中原区
2001_01_07,271.026200779109,273.5039744464798,272.225979265117,102433.93039376137,269.1540443142822,100984.22606952644,0.004528436169209833,-1.4405331795292822,-0.17437518813425515,0.005880927396467832,0.031687533429394815,中原区
2001_01_10,269.1010624647455,280.43968480242063,273.2113260874014,101641.2447862093,267.4845466389141,100225.2402530132,1.862645149230957e-09,1.0933021311293687,1.0252011198337112,0.0017756004555563732,0.045267904899135444,中原区
2001_01_13,266.6575008241219,274.2408398627513,269.87293961037807,103192.51574159895,266.0438565387549,101718.43253232691,3.752013994307648e-05,-2.042936590015722,0.10848291046599436,0.012635095691759139,0.05884827636887608,中原区
2001_01_14,262.02252039354454,273.7600885341416,268.6978957672569,103536.90678297331,264.99448154031666,102052.15320395326,0.0,-0.6668025035500561,0.0009286046166765197,0.009479256011951693,0.06337506685878963,中原区
2001_01_15,265.44465231150696,273.95513389899645,269.0085874547457,103344.86154975103,265.49484731273134,101873.71148191536,0.0,-0.3351589560996109,1.0744440185926396,0.00811662143952524,0.06790185734870317,中原区
2001_01_16,267.1202434031902,276.5707528597545,270.343852592931,102908.83658712184,266.0406187485961,101457.37307296888,0.0,-0.24683401989303838,0.6578375936764176,0.022382143828769668,0.07242864783861672,中原区
2001_01_24,268.5791889657303,273.2532482697501,270.9871554787789,102832.0688710051,269.27838954653964,101368.29591979303,0.0006888995259673097,-1.1071689885388722,-0.4813543457345233,-0.007506217311485517,0.10864297175792509,中原区
2001_01_26,268.1734015442127,276.58125316367244,272.287963908292,102340.50006108127,267.7178202848532,100901.80418530839,1.862645149230957e-09,3.011039527565512,1.262959761014388,0.01970658289352041,0.11769655273775216,中原区
2001_01_28,261.0895576416121,277.26081388021146,272.5980307662801,102933.75816034818,269.04105598537916,101485.02692530955,1.862645149230957e-09,3.0705798950534646,0.6648795050212954,0.005400059871495842,0.12675013371757926,中原区
2001_01_29,265.5373145718808,280.04072033576585,274.9118643824927,102322.61205350659,269.49773940524864,100904.16198549485,4.284083843231201e-08,2.901319404798398,0.6237165120226696,0.007197645134599214,0.1312769242074928,中原区
