Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.2605942829584415,264.2102658017989,281.0682308632316,275.69980515551646,102475.71153174032,269.7727793811071,97903.64736046713,0.0,-1.3626122302372996,-1.09088614079665,0.004315374450549451,孟津县
2018_01_05,0.030144585931092628,267.1890602417451,272.5175284070617,270.44337931888884,102751.96871027822,266.371491651583,98030.17940370564,0.0001113274069245396,-0.21526574981777521,-0.19637891068843608,0.021576872252747254,孟津县
2018_01_07,0.011263263548249906,266.0996660701024,272.90721772740017,270.64963484619267,102510.74281987119,267.23651771682455,97810.27892008267,0.00011906665720803204,3.196672374345014,-1.2914819345588577,0.030207621153846155,孟津县
2018_01_08,0.02617916697987074,259.9366306394698,271.9907110514346,268.05145177164616,102778.5116738325,263.7507681250639,98058.02905142086,0.0,3.700918047453839,-1.2505169651650485,0.03452299560439561,孟津县
2018_01_09,0.05182550289542362,260.19896427391654,275.43450258813135,269.26689244332147,102831.99808744478,263.8025637794528,98148.31814151848,0.0,3.585461822738316,-1.634013576109488,0.03883837005494505,孟津县
2018_01_10,0.06717827574526414,260.75469612590285,275.20806988350915,268.40933875600666,103175.48108524943,263.172173366227,98478.7950148955,0.0,2.4050565028727444,-1.2532255154451735,0.04315374450549451,孟津县
2018_01_11,0.09642021411086636,259.9228218707248,272.5514615672161,266.95657976865033,103673.61832690099,261.48978615597946,98915.39652809661,0.0,-0.24203953903347059,-0.7350720954685339,0.04746911895604396,孟津县
2018_01_12,0.10579755466353069,260.4096998385562,277.0746733615885,268.8490041681685,103165.31077393024,261.89883176505384,98482.40253046379,0.0,0.7216759853421556,-0.45801978361730394,0.051784493406593406,孟津县
2018_01_14,0.12650840411204908,266.40236145134463,281.2042303345812,274.164248074238,102196.45097005194,268.4019036597652,97641.26825999861,0.0,0.9395965424294411,-1.2326635096583194,0.06041524230769231,孟津县
2018_01_17,0.14960318986771598,266.67214731646493,281.11121287331724,275.24338202453885,102153.75110732036,270.4264489859171,97600.71038724747,0.0,1.6820400141852216,-1.4736691094078767,0.07336136565934066,孟津县
2018_01_19,0.2725418224313105,266.77696007680964,284.99708046958693,276.5104586762322,102276.94210687742,270.26380664739804,97756.49411275511,0.0,1.6906943753534998,-1.2908682561620501,0.08199211456043956,孟津县
2018_01_26,0.07860652076820009,259.27794193454963,270.36746837974505,268.5774133166102,103430.71780252812,266.61371416204315,98623.04558818102,0.0008018836451335774,-2.237150590206188,0.1920870992776226,0.11219973571428571,孟津县
2018_01_29,0.11504314931511242,256.0949442936565,275.9873268225468,270.85840697667857,103124.24350512288,265.8938097226472,98400.52671353605,1.862645149230957e-09,2.4782391836685678,-1.1565191667448897,0.12514585906593406,孟津县
2018_01_31,0.274160898548254,256.063809618257,277.4625401105263,271.96194974047785,103062.53774099714,266.9787988622834,98379.04564655351,0.0,2.590102764970263,-1.3242010378272835,0.13377660796703297,孟津县
2018_02_02,0.28554618106743995,252.91528448409164,274.4773468963591,269.7756650842943,103997.36038320724,264.365765219748,99221.11006293278,0.0,2.2011352383273564,-2.2148438981728846,0.14240735686813186,孟津县
2018_02_03,0.3114018098045396,254.23326240011218,276.1255412714115,269.9271992771264,103629.58504798645,264.3609289912795,98900.47172079001,0.0,1.6966161477874357,-1.0485379944034872,0.14672273131868133,孟津县
2018_02_04,0.28249577825929495,255.17862343722825,277.57723701361397,271.49958801978556,103444.92282294625,265.3539955673331,98748.52097325241,0.0,2.2914531436026895,-1.159733753770324,0.15103810576923077,孟津县
2018_02_05,0.29915342017832003,257.76703386382223,280.36287012766064,272.6734153747939,103141.96784284383,266.22891232543907,98472.92098822816,1.862645149230957e-09,1.4061941311188546,-1.1226620170923884,0.1553534802197802,孟津县
2018_02_06,0.27397591291115686,260.10951686479723,278.9985413990688,272.75067479157315,102571.21778626234,266.55324987757666,97954.50540122321,4.470348358154297e-08,1.257418400902999,-0.3437259695684855,0.15966885467032968,孟津县
2018_02_07,0.2753901557916742,257.89946068085504,281.0566193699205,273.53885070966726,102668.07861402885,267.3133561742834,98023.8654586725,4.284083843231201e-08,0.9938922061008638,-1.3886108306274527,0.16398422912087912,孟津县
2018_02_08,0.25975355044306775,261.99792558058095,277.7971590426482,273.9052583163606,101884.38538964439,267.4191722315845,97299.6567474835,0.0,-0.009942495650220847,-0.6589497462789882,0.16829960357142856,孟津县
2018_02_09,0.21355031225750934,259.7640724156432,284.23728432092116,278.32524254224796,102388.68242938767,272.5208237831865,97822.92774969709,0.0,1.248939243987719,-2.232712595401089,0.17261497802197803,孟津县
2018_02_11,0.26694689706938535,250.64445200567272,276.9051968580948,272.3851343546775,103254.99869912601,268.8752664213935,98562.55509761021,0.0,3.7617050752454646,-1.939026092785719,0.18124572692307694,孟津县
2018_02_12,0.304162031480203,255.393205972095,281.3230359077103,274.08760382579374,102702.43327495894,267.9952139537999,98105.82202021059,0.0,2.8129897474448597,-1.0871922274994248,0.18556110137362639,孟津县
2018_02_13,0.27652583199122593,263.94895226840544,288.68451540180496,278.81398261215907,101387.62226027438,268.9282529540668,96953.6259974625,4.284083843231201e-08,1.852531295017059,-0.6521654953994117,0.18987647582417583,孟津县
2018_02_14,0.26207472421865174,258.6120050043563,285.39755060184586,279.0006441090423,101988.18733293905,274.0778722513863,97454.85292712225,0.0,-2.902385788934632,-0.33463668774281535,0.1941918502747253,孟津县
2018_02_16,0.2565069917623314,264.17928228512085,287.0782062764958,279.8409984427985,102045.21437824641,270.5828835420975,97532.57311551014,0.0006368833740496088,-0.83760081762099,-0.6691375360889855,0.2028225991758242,孟津县
2018_02_17,0.5644768556403065,273.06648433023815,278.80741004185813,277.1240261584964,102201.15000027737,274.2344516495364,97635.69748720425,0.001745495637103223,-0.7394049770022934,-0.9359689315229601,0.20713797362637362,孟津县
2018_02_18,0.15121740337759612,273.70726625162456,284.02383482391383,279.8653421678297,102304.35519647498,274.32553435380146,97771.5112810751,0.0004977149709373043,-0.2554756532483144,-0.32899251152093395,0.21145334807692306,孟津县
2018_02_19,0.18868977653132812,273.0902791146377,284.4094591209323,280.573120572682,102219.88704508974,276.800081517709,97698.37359317708,2.1531007799392813e-05,-0.4553946602954767,-0.09763381389821808,0.21576872252747256,孟津县
2018_02_21,0.19430664059453398,266.7919857994414,282.1177331507511,276.40534802855507,102536.36825145845,270.98974834219035,97959.79514859362,1.218359505253923e-07,2.0594671049565165,-1.059437453738209,0.22439947142857142,孟津县
2018_02_22,0.3080288237799057,264.3274550802071,286.73602855305217,279.0312602076704,101834.98775747628,271.6566296326032,97351.17091369205,1.862645149230957e-09,2.588572270172735,-0.6296992884662036,0.2287148458791209,孟津县
2018_02_23,0.30832958784196884,269.32244302459657,290.62469947347256,283.1990331552162,101656.5900355028,274.4352103318243,97226.08933310903,4.284083843231201e-08,-0.7602342651136932,-0.8191068155243979,0.23303022032967033,孟津县
2018_02_25,0.28997601450852456,268.12915631227423,286.92140786742766,279.51622138453155,102164.59217833994,270.0021006908482,97658.59309864359,0.0,-0.12083760782390934,-0.15373033577172127,0.24166096923076924,孟津县
2018_02_26,0.274653109848743,269.8509300997021,293.0515673943604,286.1955925356085,101594.40900058461,274.7598392396373,97195.53246835024,0.0,-0.05697607908006386,-0.5466721453861205,0.24597634368131868,孟津县
2018_02_28,0.2635398002688627,276.59161760779256,292.07719704976677,284.5231416496827,101146.19077203209,277.56025120652356,96751.51528388409,4.284083843231201e-08,1.2877384621671317,-0.3359159981113127,0.2546070925824176,孟津县
2018_03_02,0.3023871737339165,274.6849422879811,286.9830264271472,281.4429950923384,100786.762153548,275.6892385315371,96362.46863599247,4.284083843231201e-08,-0.5152249951199745,0.10242758789506615,0.2632378414835165,孟津县
2018_03_03,0.3727861187594022,279.38669360479764,290.52233948019153,284.9095748296095,100430.42792924576,277.61812537185494,96069.39559650392,0.0008151040730392764,-1.4670520445762956,-0.6035156782495156,0.26755321593406595,孟津县
2018_03_08,0.3884069815332193,271.2725489320352,283.09585012435707,277.7690149998223,103035.74400365243,273.48043086100535,98442.76684478877,0.0,-0.9324075595087097,0.26737694081163754,0.28913008818681324,孟津县
2018_03_09,0.29179337829655816,274.44952445367323,287.078780934181,280.7646601158825,102071.622082493,274.42374506919145,97602.69696363794,0.0,0.2915527230440124,0.014399992929625434,0.29344546263736265,孟津县
2018_03_10,0.3589805124220522,275.6299336274796,292.6593824239019,285.9918650410489,101894.3073012954,276.98063143171606,97467.04694363223,0.0,-1.522199107395091,-0.6371872800023313,0.29776083708791207,孟津县
2018_03_11,0.2628796320825154,277.76717439736797,291.49451727446774,285.2496284939327,101777.12578118939,280.2496971464349,97363.2184343221,0.0,-1.454877779529634,-0.22369482219721828,0.30207621153846154,孟津县
2018_03_12,0.3645768236252169,279.5222448655842,295.94682787577193,289.01620079157055,101125.4857609541,281.3268356660174,96783.25415086045,0.0,0.5263270266545146,0.20176630867328532,0.306391585989011,孟津县
2018_03_13,0.3628330319474929,280.0244378986402,299.4649302128144,292.20031734951306,100862.86508256155,283.82167323362614,96550.53302750162,1.862645149230957e-09,0.00041261030705801307,0.09336617661040984,0.3107069604395604,孟津县
2018_03_14,0.3700352369916114,282.2835389844543,297.89989943916584,291.2494476473164,100816.59084604873,283.4670729526329,96499.0227981895,4.6566128730773926e-08,-0.4675001741126703,0.23041824536214442,0.3150223348901099,孟津县
2018_03_15,0.3775601295141874,272.61745679388565,292.7513106331109,283.80856800529426,102244.01947528459,277.18386600799613,97739.8563273558,1.4125824303203546e-05,-4.319321954360124,1.1725839268707507,0.31933770934065936,孟津县
2018_03_16,0.403432402976508,261.38013287203677,282.0481352565809,280.4151152401242,102664.44448732502,277.1233125539364,98071.72668449124,4.122161508616285e-05,-4.460662565422909,0.21503124306970828,0.3236530837912088,孟津县
2018_03_20,0.37500026228013555,268.9696877010434,286.1310474904586,280.82429811590333,102587.19990696416,275.6767500889716,98039.1569613504,9.833895674679108e-05,-1.4024123789266059,0.2831420853037399,0.3409145815934066,孟津县
2018_03_21,0.3139548719282601,270.99399721430353,285.81969554483493,281.29259488390625,101983.32109616631,276.5062563061428,97494.63934034485,0.00012554655977154713,0.14668974885982855,0.11355413200132879,0.34522995604395607,孟津县
2018_03_22,0.398304303453735,274.44998828816676,294.0172559131956,286.623322542558,101424.14196518235,280.3231577929248,97038.65342754428,7.239501999088608e-05,1.3170460710631622,-1.146345427358034,0.3495453304945055,孟津县
2018_03_23,0.36046558228092673,278.71690874049324,294.4895494060506,289.1045608128125,101529.28708589844,282.27088634843676,97162.38805595569,0.00016273974240019765,-0.321017052116725,-0.5427220172965831,0.35386070494505495,孟津县
2018_03_24,0.429373794908967,276.2748110294975,294.2152287831801,288.0192643820847,102185.96283882222,282.2852641650058,97782.1878809417,1.752636148752382e-05,-1.6642247177166312,-0.24663655720766897,0.3581760793956044,孟津县
2018_03_25,0.4346643856220525,276.37705196741115,295.36284097522446,289.7578999774617,101963.17674759167,283.690723386357,97580.10345461254,1.862645149230957e-09,0.1674733974119351,0.44287943172322947,0.3624914538461539,孟津县
2018_03_26,0.4227556867321477,280.4356905900433,299.2325770413412,291.2829134031556,101424.834701921,284.0352988749498,97096.20896275861,0.00021963589756067203,1.8336624051715587,-0.3158115870294686,0.3668068282967033,孟津县
2018_03_27,0.41082314572799444,274.8131978796822,302.96499000565353,293.97154828797886,100934.92539253747,286.51929569541744,96650.4885192454,0.0,2.2839815778291332,-0.3012057121536687,0.37112220274725277,孟津县
2018_03_29,0.34106270777370196,276.33968806425065,295.9821734890272,289.4287412274168,102001.5148324287,284.6779116282313,97594.26456009565,4.284083843231201e-08,-3.950245275814016,0.2264145958705886,0.37975295164835166,孟津县
2018_03_30,0.3891069622528941,276.16699158954907,293.5432900415095,288.92104507886467,101943.03828432168,285.0057596205702,97550.62486250736,0.0,-1.3060933954288758,-0.1696507312271101,0.38406832609890107,孟津县
2018_03_31,0.4032185637998925,279.1655064118676,300.36745845164154,292.93526612287576,101235.23346692816,286.6858871428986,96925.321477159,3.492586698698944e-07,1.8138143559712114,-0.41340474129642524,0.3883837005494506,孟津县
2018_04_01,0.3654887199414628,275.6616652556062,302.63451126872803,294.60436983773013,100933.14909258459,287.2203358868129,96644.92184254293,4.284083843231201e-08,1.413678491610035,0.006043151076465568,0.392699075,孟津县
2018_04_02,0.44634844146945,279.6928840136719,303.3694333551745,296.7205823349748,100669.09601124754,290.1943642237018,96395.4047361647,0.0,-0.09461500354655711,0.3202737081705804,0.3970144494505494,孟津县
2018_04_03,0.370076915599129,274.8349165479221,295.99544295775127,287.1315373098389,101696.07437538437,279.4500206725191,97261.66536783888,0.00022951902702626675,-4.771496057412997,1.0639571580269198,0.4013298239010989,孟津县
2018_04_06,0.4358701980142996,261.99670875577533,285.7692195577362,280.9680496108473,103079.36138882734,274.1759869297198,98522.85899792922,0.0,3.8536788899377536,-3.235924186700192,0.41427594725274725,孟津县
2018_04_07,0.45953992875378,265.1303605707721,291.8602169113351,284.5454103473661,101821.21765710595,278.4714334620012,97410.34004448232,0.0,3.2324346335920557,-0.4675581073902655,0.4185913217032967,孟津县
2018_04_08,0.5199032320169185,268.53482546207357,299.72162678891397,290.9419520799065,100971.98632316312,283.6703147434394,96654.7447601268,0.0,1.6497258011709617,-0.47968895851370685,0.42290669615384613,孟津县
2018_04_09,0.47631221570106685,278.96265652104887,301.12909792679187,293.9620053102817,100385.8919563021,288.1201065923329,96107.16894590034,0.0,-0.35633216815453084,0.18251991017705058,0.4272220706043956,孟津县
2018_04_11,0.32233318918305975,279.1539951125421,296.6204864529686,291.44499451162943,101214.23674504524,286.7368778632235,96858.30222362904,0.01550590457788656,-3.081675029964568,-0.5645514292912216,0.43585281950549454,孟津县
2018_04_15,0.5091620199078629,275.4403592304952,292.29931810643063,287.2084825442176,101905.43284476404,281.67192556601407,97503.43229066803,0.0,0.054220311795342875,0.32662430415679666,0.4531143173076923,孟津县
2018_04_16,0.49039530405461995,278.04351861780833,294.4329106178372,288.9480902617542,101570.36008719585,284.1719775853805,97195.88212414135,0.0,-0.856573175952757,0.08477565302306588,0.4574296917582418,孟津县
2018_04_17,0.5107190984223603,282.8586325176134,297.12181230963887,291.3555175275929,101234.65556467393,286.9165102759225,96895.47011556466,0.0,-0.8015862230204632,-0.20013381361945098,0.46174506620879124,孟津县
2018_04_18,0.5319702678907391,286.67000755421236,300.312498983786,294.25788431655315,100820.16522720736,289.3408003704514,96519.49157215141,1.862645149230957e-09,-1.4101197377475474,-0.37137022332612424,0.46606044065934066,孟津县
2018_04_19,0.5356220582540507,286.03850479347864,301.486893665786,295.29585381066755,100770.69889918035,290.14572374809006,96474.70929824864,4.284083843231201e-08,-3.178313630011028,0.11593281923629704,0.4703758151098901,孟津县
2018_04_20,0.5130554509715733,289.4941623290426,300.6372192592006,295.0276223468053,100652.56851329534,292.03530463513334,96352.7649480933,0.013620992268278986,-2.3185953800374954,0.7614849149731725,0.47469118956043954,孟津县
2018_04_26,0.5888398532432042,285.3987890029174,299.6762543975645,292.3345194357548,101355.55880099077,286.4162519880524,97033.68881833769,1.0364062276853799e-06,1.6880218007629435,-0.6091148271231331,0.5005834362637362,孟津县
2018_04_27,0.5896995889797669,286.2103424349183,300.2500610625646,294.5805366859018,101615.29811054924,289.0709003953705,97284.27025737434,5.165706180213464e-05,-1.0537582283405602,-0.583241122309372,0.5048988107142858,孟津县
2018_04_28,0.5925603786883797,285.03696824956313,300.82759948105297,295.93470737999775,101001.5559777411,290.72058104062563,96697.06661061471,4.213824290238987e-05,-0.4700225383244936,0.6163831581009647,0.5092141851648352,孟津县
2018_04_29,0.6188883392479533,286.8137286087862,302.6908726339989,296.2121776985919,100596.06864222854,290.1797182057167,96330.33395295464,4.6955877165300477e-07,1.985486187561984,-0.36245734571251065,0.5135295596153846,孟津县
2018_04_30,0.4018307012810397,288.6136314081067,301.18368014913955,295.9507798320496,101002.02915496136,291.3615945156179,96701.70271000071,0.00031411380383483505,-1.4731984134731808,-0.5549974328242759,0.517844934065934,孟津县
2018_05_02,0.6165341899549895,282.88495963426277,297.4763617774624,290.4791360997211,101930.9857813391,284.2782253062224,97551.5289819096,0.0019738232778851177,-0.13535081409138958,-0.5380675541456346,0.526475682967033,孟津县
2018_05_03,0.6214614892683986,278.08846799164616,299.8622913755009,293.64435758396024,101511.85753992235,288.22837741967754,97178.18629788987,0.0,-0.9204109127228312,0.06871217922130812,0.5307910574175825,孟津县
2018_05_04,0.5518471812806668,286.35743230758305,298.74634870827066,293.70721832865445,100844.09618609489,290.0428069047002,96528.09601040535,0.00012183612579834119,-1.2709036328909757,1.083328296234553,0.5351064318681319,孟津县
2018_05_05,0.5836009568905028,288.52162369702916,298.71609973021754,293.2548871756115,100653.82095134331,289.97358592725834,96348.42007582693,0.01116654390085292,-0.21541898299510706,-0.042058866875614255,0.5394218063186813,孟津县
2018_05_07,0.6125961714789679,281.99910178259245,298.27137137098623,292.767637345878,101108.15393666388,287.3100028962575,96783.64101524018,4.284083843231201e-08,0.2553635399314189,-0.1737020535955529,0.5480525552197802,孟津县
2018_05_08,0.43513999309781093,281.46508117337356,298.35861855368415,293.9208647623043,101680.86827649652,289.57448495361973,97335.39432572611,0.0,-2.1103413671433224,-0.4616951634565397,0.5523679296703298,孟津县
2018_05_09,0.5500642179367738,282.1054494067795,298.3918253091599,293.8925426786947,101882.24063027964,289.56333758637777,97526.67056831492,1.6561930019393634e-06,-2.2417380881353752,0.4299444957711202,0.5566833041208792,孟津县
2018_05_10,0.404581040521473,284.83818089611043,296.9493255719041,292.64160868740686,101402.18296981891,289.2311763768772,97053.88249793167,0.0038220962079648455,-1.782970634065626,0.36822990627430385,0.5609986785714286,孟津县
2018_05_11,0.5836789972088644,287.813566932248,295.98762066425337,292.2009748046741,101016.10040664075,288.39599698035215,96693.3981313064,0.00014141989700004894,1.907321660419543,-0.33724372088814736,0.565314053021978,孟津县
2018_05_12,0.5414380475284338,285.9338093482381,302.3310718402037,295.9403038516386,100600.06109902126,290.1569562464781,96328.56801832073,0.0,1.6024394460856664,0.23556989504363915,0.5696294274725274,孟津县
2018_05_13,0.5679131661519626,287.1966393633894,306.4523638959909,299.67932680014223,100260.19015919346,294.03407135463294,96021.79029376124,0.0,-0.5146847473648641,0.5821539197214554,0.573944801923077,孟津县
2018_05_14,0.5822066815225334,291.6140106001141,302.6210068843153,298.97628077149693,99886.58670827952,295.6323731665107,95651.5738701796,1.1797600279459482e-05,-1.8971408601064945,-0.0019591099692537945,0.5782601763736265,孟津县
2018_05_15,0.6704712573990218,293.47914304021634,302.24432172022307,297.56166552790404,99660.12914271167,293.24115817291306,95421.14033565682,0.001617351673543273,-1.512974222018659,-0.3173405499457855,0.5825755508241759,孟津县
2018_05_16,0.5967214261287579,293.6488207017056,304.45264963785695,299.2331030636992,99858.76261118359,293.8934604298211,95624.49489551899,0.0002537279735063656,-0.504230153143284,-0.14849172250869144,0.5868909252747253,孟津县
2018_05_17,0.14664211967723667,293.2180223477228,303.85002759742105,298.46878215431667,100474.48754167343,294.43611618395784,96205.94361572184,0.0013189521871457143,-0.7745865641744638,-0.02391484865866696,0.5912062997252747,孟津县
2018_05_22,0.45975729835716356,280.4497817166453,299.4638006745106,291.2274652578106,101473.19212043523,283.26696160140057,97137.73744368879,0.0,2.5856735160995683,-1.8216942333584498,0.612783171978022,孟津县
2018_05_23,0.5964894103505992,281.8122794071893,298.7717872855101,294.85837562986507,100890.97588282304,290.26254207630564,96585.8723009545,0.0019122620741279163,0.06125461060322602,0.25743124319197114,0.6170985464285714,孟津县
2018_05_25,0.565335535656772,291.1479753277054,300.8047735147195,295.1530287489284,100477.28909782572,291.0855208556694,96198.3502431377,0.0007420686511681976,0.312655901548999,0.028739581555755487,0.6257292953296703,孟津县
2018_05_27,0.5028002577429187,283.15574733655785,302.3621066416523,295.7796955579939,101022.82419971959,289.13316554187264,96732.14509827855,0.0,2.3340416828190045,-0.9164689502222819,0.6343600442307693,孟津县
2018_05_31,0.5235428129865072,282.8081451249097,303.1757975222496,298.0456290102649,101419.04121758138,290.7590924030615,97120.51140862511,0.0,-0.9552635583605054,-0.17022904319862686,0.6516215420329671,孟津县
2018_06_03,0.4487380780190856,285.62132685387246,304.77699129079303,298.2460289075052,100808.29793824468,292.1322620643946,96549.11505330828,4.284083843231201e-08,1.5596829409637347,-0.4679437325018661,0.6645676653846154,孟津县
2018_06_04,0.4887379577669789,281.5720420858785,305.9056373265991,297.7277520625883,100823.16093089225,289.1388066172037,96565.5241976099,0.0,1.3673762005182495,-0.3480377992377859,0.6688830398351648,孟津县
2018_06_05,0.46296552787047224,280.97902343098997,307.471528679712,300.295245439006,100603.62036618777,293.10160104108485,96360.26191737797,0.0,0.6448847444981143,0.703954876749259,0.6731984142857143,孟津县
2018_06_06,0.4422379269587905,287.17691290651055,307.59771406080546,301.06845426298855,100513.91798765412,295.28450796594893,96283.82046092811,0.0,0.3465569025597538,0.5952886514657705,0.6775137887362638,孟津县
2018_06_07,0.4253633629015822,284.71182141724626,308.0162596096453,302.4621513762791,100721.27707437622,296.6225841300409,96482.65416946677,5.015046358813115e-06,-0.7114263273846444,-1.6362583710449343,0.6818291631868132,孟津县
2018_06_09,0.46147076549488764,288.3403551720495,298.0006589377024,293.03323145199244,100570.08290489088,288.8021063034769,96267.95587600516,0.00014347308318230835,0.2991686823632066,-0.9490507798531138,0.6904599120879121,孟津县
2018_06_10,0.46635460751190394,287.70282627992634,304.28874742112157,296.6183714715207,100239.89293959228,290.3093913500743,95987.2983438571,0.00013869976861849697,0.22837458355429008,-0.6145074149987646,0.6947752865384615,孟津县
2018_06_11,0.47789398504274805,286.748516981862,307.13115900340176,300.18565010501663,99972.06777325281,293.4921804735527,95754.91160039927,0.00042975744352880435,0.3344557161315631,-0.4543507465504515,0.699090660989011,孟津县
2018_06_12,0.44579510578501674,288.12478230644757,307.59591842541425,301.0503466540752,99786.15404723097,294.5011127499895,95582.28949008373,0.00013752644045669375,-0.08053507503220736,0.15512428883081658,0.7034060354395605,孟津县
2018_06_13,0.4618353042098942,288.8766991533331,309.7568558158872,301.3837163302293,99934.75389539455,294.6304424704488,95711.35348604861,0.001988726119718404,-0.8736347691916378,-0.5662627101891955,0.7077214098901099,孟津县
2018_06_14,0.4803486450225568,288.6675791921551,305.2957891246981,299.785093938494,100359.91564703133,294.47693811108434,96115.91695701468,4.117035890313649e-06,-1.299129741102333,-0.3361398855704708,0.7120367843406593,孟津县
2018_06_15,0.4368599383190122,287.1329420706676,306.27870296728037,301.6454243852796,100507.7060855186,297.59386389128724,96267.73195711391,1.862645149230957e-09,-2.1826175793692615,0.16090091622918803,0.7163521587912088,孟津县
