Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.21488911650474346,265.3545946267755,282.17917406957577,276.6789019995127,102554.04318556622,271.37752836192163,101553.38158430278,0.0,-1.7848899073860949,-2.7800952997026296,0.004315374450549451,开封市区
2018_01_05,0.04137965973168786,267.08385965152354,276.31834431096814,271.8821132726043,102789.05552739164,267.60303183747806,101765.96968912649,6.191383704615061e-06,0.23520459163603785,1.1335363164632228,0.021576872252747254,开封市区
2018_01_07,0.0013192573547853431,268.1539863802638,274.1692919542506,271.48671387598694,102315.56618316723,267.9881903387528,101301.0412909975,0.0001575171527257807,2.924171545300916,0.6402328581622745,0.030207621153846155,开封市区
2018_01_08,0.03131932876483756,263.48700991874256,275.00380180573336,272.59101388802947,102509.46539444911,270.6455226477404,101489.90790622772,0.0,5.383935196155818,0.12452806250089682,0.03452299560439561,开封市区
2018_01_09,0.09193529269491083,262.69932996060464,280.12204774346316,275.51065758642585,102627.7706928806,271.1023850103252,101617.27925854958,0.0,5.271868041607095,-0.1593982803645498,0.03883837005494505,开封市区
2018_01_10,0.1668494345507561,261.3140036820069,280.228051295827,275.0954300388627,103048.6063353972,270.3220358816836,102030.00584303946,0.0,3.034941637623482,-0.9133866111314304,0.04315374450549451,开封市区
2018_01_11,0.25205039235444493,254.97327051501418,275.68907412581564,271.0542194058001,103723.31226386745,267.8867853432874,102685.97869990306,0.0,-1.4690866641493552,0.12877806185578386,0.04746911895604396,开封市区
2018_01_12,0.2415935878648869,264.38098506302345,278.2359023543917,272.75892380392776,103228.81006386728,267.8633252259315,102201.88733748924,0.0,0.7935573522084242,3.238311152430565,0.051784493406593406,开封市区
2018_01_14,0.25414548764665823,269.01376812405556,284.7018215262213,276.2707170879191,102200.25860017046,270.53797204833694,101214.03916439108,0.0,0.029466957870941512,0.5929846731142799,0.06041524230769231,开封市区
2018_01_15,0.2139836908662716,270.9078608226557,280.12147315631177,275.91022879348355,102119.13338362379,271.0092456144523,101125.29890851988,0.0,0.2569249982913543,-0.7549853190101005,0.06473061675824175,开封市区
2018_01_17,0.10645090391617933,269.5038866685831,282.40490376202257,276.8265640257629,102141.98070378735,272.2995554993556,101147.01850879092,0.0,-0.16941016921619298,-0.9061993344526139,0.07336136565934066,开封市区
2018_01_19,0.1789723412734371,268.7717836034165,285.36462966502324,277.5775159313063,102268.5708744671,271.25277875935365,101285.68366088721,0.0,0.30801200085978525,1.6916877290945473,0.08199211456043956,开封市区
2018_01_23,0.14357565138104358,262.2434308115417,272.5895268469653,269.91210142004746,103004.34486004055,267.48195936907604,101971.62361880303,4.470348358154297e-08,-2.0219230083810293,-1.78369831890313,0.09925361236263736,开封市区
2018_01_29,0.24877549541483965,259.09325110578084,275.52520466297375,270.7676603826267,103083.03854335315,266.9349701645479,102059.9107709558,1.862645149230957e-09,0.45086694946028527,1.3067536483045756,0.12514585906593406,开封市区
