Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.3197258395201271,271.20969496301575,284.65569980375005,279.6994954772911,102502.88883991813,273.0317576261338,102013.33311300108,0.0,-1.87078370983841,0.9946267200357886,0.004315374450549451,永城市
2018_01_05,0.005778864064562959,264.4715883912214,272.83736500073,267.32570589020395,102821.0010154853,264.31364627077977,102311.7799703474,5.582261166574971e-06,0.5322491781575132,-0.8610790029299262,0.021576872252747254,永城市
2018_01_06,-0.03547368565782466,269.5502022164981,273.3492380021064,272.1754544258434,102522.85289589036,268.51008535636095,102017.6760758081,0.003023760542306924,-0.9100668595042662,-2.1678828789324283,0.025892246703296703,永城市
2018_01_08,0.038611576460840666,265.372193515103,273.8732363135929,270.1142122912052,102484.61256137915,264.59307875539645,101977.23713604965,0.0,4.072340420647939,-0.4145034474799138,0.03452299560439561,永城市
2018_01_09,0.06339712805457781,264.93297963086525,276.3332948624246,270.7686699750603,102575.23267422272,264.25094980115927,102070.7324187377,0.0,3.8279583213932034,-0.31688295731048594,0.03883837005494505,永城市
2018_01_10,0.09042647549786886,264.324733150218,276.7943636227,269.47331415820304,103046.19404020462,263.9412978032485,102540.224884332,0.0,1.8617206537457751,0.3177851482925145,0.04315374450549451,永城市
2018_01_11,0.14574948052027784,257.15482638262586,273.915990223226,268.77929063715646,103708.90463505828,264.07824368929033,103194.2062777986,0.0,-1.6496429120161,-1.9197784581403383,0.04746911895604396,永城市
2018_01_12,0.1870276243334094,260.3969172773777,274.1760857599598,269.3385365140029,103422.15786303877,264.10885030501686,102908.21462250975,0.0,-0.11600927332660577,2.5421037337220453,0.051784493406593406,永城市
2018_01_14,0.3874946411659362,270.53181287325026,282.4233248374727,275.6030724664439,102318.870964728,271.14806925950137,101826.85614724483,0.0,0.37182206305747567,2.171669324446424,0.06041524230769231,永城市
2018_01_15,0.4203889910659891,272.431037386841,283.1748906455926,279.13789973235646,102068.4694461779,272.0675239589517,101581.51457453085,0.0002958417867049951,-0.9419305198807641,0.0018874684841683096,0.06473061675824175,永城市
2018_01_20,0.15016366069560508,274.84985292358414,282.4716665897997,277.5836384199129,102250.15636647816,273.45619352261883,101760.91122407487,0.0,-0.6154762296836195,1.8027233377604863,0.08630748901098902,永城市
2018_01_22,0.18908468413323973,269.92005158003917,277.4457615057479,274.6746302871713,102310.35250694894,271.07913664881164,101810.14073133828,1.378188718622058e-06,-0.5804383982858364,-2.683577428819133,0.09493823791208791,永城市
2018_01_26,0.27652179325200077,259.8946665273518,272.62979613090727,270.23666372540384,103462.68176427987,267.4804979530197,102947.31188751846,8.300142287167279e-05,-2.795878068950775,-0.4453515409174314,0.11219973571428571,永城市
2018_01_28,0.09095563923846324,265.74117322019754,271.71326286939706,268.72420852243226,103237.9050423035,266.4146000266136,102724.63920810171,1.5963681892393844e-06,0.8951089931493408,-1.754773421463193,0.12083048461538462,永城市
2018_01_29,0.08811887147611279,263.7022506054869,275.884842545829,270.7674542937405,103092.70109854438,266.9976736817675,102585.68438295642,1.862645149230957e-09,0.4068012801404816,-0.746819109935062,0.12514585906593406,永城市
2018_01_30,0.3677733341957557,264.3625955660429,278.34873313364204,274.15014710304416,102962.86447873722,268.7577518722684,102459.52286300334,1.4478112502339711e-06,1.0157506017120768,1.404610692320047,0.1294612335164835,永城市
2018_01_31,0.33542740613611016,265.7609193501722,280.56086352601716,274.6303782276021,102992.07022399727,268.8877938901123,102492.3384227207,2.2777825760004556e-06,1.3140692637710942,0.46464026395802666,0.13377660796703297,永城市
2018_02_01,0.4177852857090897,264.7691143790878,280.418010580848,275.16566149932163,103030.88013005538,269.320223497643,102530.18134167157,0.0,1.2141813914641923,1.3065730631626957,0.13809198241758244,永城市
2018_02_02,0.397641278104013,254.45750240959512,276.1965906865633,270.9749219237388,103828.93666637574,265.2724173304228,103315.8408446244,0.0,0.14709242116856733,-3.9529313673427198,0.14240735686813186,永城市
2018_02_03,0.4372956379199416,257.7076296867428,275.89370835501546,271.32980821267387,103691.17542065364,266.054398272773,103181.16130441191,0.0,0.3419621493556861,-0.08397547165533571,0.14672273131868133,永城市
2018_02_04,0.41817003876792896,261.6833468437384,278.0771203457225,272.57175155109735,103411.5745717963,267.473656181543,102905.90149944725,0.0,1.7806482354341775,1.1406102754758607,0.15103810576923077,永城市
2018_02_05,0.4140173015568767,261.0348010302178,280.28997043071,273.61273324909655,103183.8686151755,268.7687986521055,102677.771598198,1.862645149230957e-09,-0.6956361747252062,-1.0336815211386006,0.1553534802197802,永城市
2018_02_06,0.40372530826807995,264.79013500274635,278.03690556961806,273.5615335549272,102718.24053955081,268.2270898989459,102215.42149989374,4.470348358154297e-08,-0.9315529233272646,2.7182607944571777,0.15966885467032968,永城市
2018_02_07,0.3967630780083843,261.044376412155,281.1675503198156,273.72937327389815,102656.65774726105,267.6196401644219,102156.14369128179,4.284083843231201e-08,0.14775420407230036,-1.8417688022445293,0.16398422912087912,永城市
2018_02_08,0.4056715340256597,263.35293189685166,279.3432891469377,275.3568532227142,102093.78620486447,269.0714849344906,101597.51460424096,2.770121591031046e-07,-1.3341249181571877,3.0282056215653004,0.16829960357142856,永城市
2018_02_11,0.3724046258682478,256.8544498484682,280.5190771184739,273.396554547243,102996.6198799716,267.924568489268,102495.1367202228,0.0,2.5695084521582667,-1.0723232578352249,0.18124572692307694,永城市
2018_02_12,0.4366640701219254,258.1946565104043,281.42295263116614,275.36844676446964,102731.38798809769,270.138387259495,102236.39988178154,0.0,2.8005421529991654,0.5913032138211223,0.18556110137362639,永城市
2018_02_13,0.394619803173495,269.69209329427844,288.40423216383624,282.77391258558737,101641.74571315481,273.64911877622086,101160.38428350551,4.284083843231201e-08,2.6691283505963224,4.126053720525946,0.18987647582417583,永城市
2018_02_16,0.2930681355300176,273.8078495476722,283.7256627486597,278.9310460644352,102194.26850501179,275.4881207395835,101706.75981713171,0.0,-0.9527633828583251,0.5412936699462535,0.2028225991758242,永城市
2018_02_17,0.31552997230291285,272.30302253514395,284.1609852152229,280.3593180439714,102163.53522383774,276.49445038781334,101674.40362905696,9.751289930869703e-05,-3.44500752709415,0.679463100026991,0.20713797362637362,永城市
2018_02_22,0.4688970761385876,271.3204987596932,286.53136351193683,281.2505530940062,102022.97611802374,274.68975334710785,101537.75797444214,1.862645149230957e-09,3.093657921949003,2.6876220929217065,0.2287148458791209,永城市
2018_02_23,0.4549086693757359,276.49826021284684,290.37193641366775,284.4617685655089,101875.6503071327,278.3037006354501,101396.70443812996,4.284083843231201e-08,-0.1583286190514652,2.6138699629168842,0.23303022032967033,永城市
2018_02_24,0.37186818834786434,271.4548813734935,283.7189100708077,278.7650538017119,102772.9453548555,273.3006515109736,102277.97959613109,1.3265068179687898e-07,-2.762288696048425,-1.9505128948305754,0.23734559478021977,永城市
2018_02_25,0.4371662633492504,274.0552326955384,283.918257981608,279.45839705457513,102466.21040391411,273.8035870872469,101975.89459553463,0.0,-0.14468751061493323,2.566966865254881,0.24166096923076924,永城市
2018_02_26,0.41533388202689897,278.5609173777882,289.63016297537195,284.3756267024136,101873.1534362486,277.70103959604904,101395.44900644923,0.0,0.22576323994657213,2.9891542722633586,0.24597634368131868,永城市
2018_02_27,0.46749999007030546,280.28029734788174,288.83637606073813,284.037916470198,101408.64516147498,280.10400158594405,100930.55649473415,0.010578404813002026,-1.6933026549505485,-0.8307423900819654,0.2502917181318681,永城市
2018_02_28,0.37975622509299417,279.56992817913294,285.5827456230896,283.1588913062011,101258.37436273083,279.1723660778018,100780.21751792717,2.2895042549595073e-06,1.8451010037380868,0.11711674524349559,0.2546070925824176,永城市
2018_03_05,0.6005189420967217,272.1494179176362,283.57878786367274,279.80950200488815,102829.22825748073,275.38742065600405,102336.5744519246,4.284083843231201e-08,-1.7289597507346115,-1.5000122290114613,0.2761839648351649,永城市
2018_03_08,0.514282857540219,271.349304556713,282.60702992908625,277.0161935752861,103081.60284011335,271.750638512134,102586.09617316932,0.0,-0.9401659050273043,-2.2708774366866953,0.28913008818681324,永城市
2018_03_09,0.5568778314853653,273.9422921986486,285.43974040703483,280.7417692647679,102384.86469177512,273.3111101254388,101897.09433321025,0.0,0.5089056832280189,3.4292854218636895,0.29344546263736265,永城市
2018_03_10,0.5728607018992837,279.28372246952335,290.80556397149235,284.95034195934016,102074.63684651871,279.64446675511863,101597.93645722306,0.0,0.010053634116600046,2.625862709099828,0.29776083708791207,永城市
2018_03_11,0.5781771644950313,279.0507196117848,293.5027212484154,287.03755750978377,101951.58982070735,281.79134321715503,101478.10496870446,0.0,-0.9660901206435616,2.2461679987549,0.30207621153846154,永城市
2018_03_12,0.6042815673395457,281.51655442426363,295.4600029591591,289.67996839513404,101416.42717404531,283.503092988669,100947.39666354285,0.0,0.7049187426820206,3.644390603658371,0.306391585989011,永城市
2018_03_13,0.6254113535153528,284.0402677931755,298.1768962366648,292.0137668966477,101155.17054774844,286.6143423049071,100689.71851114748,1.862645149230957e-09,0.17752538578298646,3.362688486074685,0.3107069604395604,永城市
2018_03_14,0.6334034586764684,287.95298452628356,296.46605417652523,291.74345854355624,101017.7803089119,288.18592606682216,100552.59531015299,0.0016519351116173356,0.2547621102051924,2.6246595856231703,0.3150223348901099,永城市
2018_03_15,0.494387582911311,276.0876569384725,295.0625938641475,283.65167140177255,102080.52642531726,276.36566243453444,101596.30546152768,0.010648568422524526,-2.426864427827084,-4.247828883198159,0.31933770934065936,永城市
2018_03_16,0.5937013716585903,269.09886074524496,284.3562651264685,279.97442590859015,102722.26614423207,276.32244356044714,102228.32809304468,4.470348358154297e-08,-3.1227158941019613,-0.6456602056402198,0.3236530837912088,永城市
2018_03_17,0.42441892721224134,277.10888502397745,283.3171093605003,280.5741282482035,102022.107427138,277.2537505515446,101533.77766111078,0.008554527930381176,-2.039369493810077,-1.770064274211286,0.32796845824175824,永城市
2018_03_21,0.710948975059809,272.28857150837877,284.5562991934316,279.3091838484855,102081.39634219305,275.14708978068035,101595.32487616575,0.0,1.4802807715680986,0.27420331653467483,0.34522995604395607,永城市
2018_03_22,0.5810099952818075,279.2868359297238,289.52485385784735,283.99011253225007,101578.23897527331,279.185199015033,101103.75428177323,0.0001767791390402157,0.5728833448828035,2.057588632117777,0.3495453304945055,永城市
2018_03_23,0.6865761618550027,282.37995558722184,294.95496915418994,289.7678890284315,101723.76025401121,282.46316768310436,101252.93336360362,0.003525422001512032,-0.5239127215170483,2.181724121203836,0.35386070494505495,永城市
2018_03_24,0.5389251959494562,282.7903209256651,294.4448309805802,288.12172033514753,102143.5543689615,281.6560797154054,101670.98500888639,3.058807002336607e-05,-1.9906404948464083,-0.2904576578468434,0.3581760793956044,永城市
