Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.23554206192226704,264.9523938565242,281.72650056361465,276.19424818665635,102465.20768534786,269.77055066446854,99183.32786251012,0.0,-1.456390577770988,-1.1475462187094863,0.004315374450549451,洛龙区
2018_01_05,0.04063392113109571,266.9493610117027,273.24758557732633,270.89691592436077,102765.56415310212,266.4032933642541,99369.11407164375,0.00012572495307798756,0.18862218694854777,0.536313700890335,0.021576872252747254,洛龙区
2018_01_07,0.006261461982168348,267.1828191737488,274.364722403605,271.6164878917795,102567.37562220411,267.0621519698889,99188.39010224381,6.0687081870045286e-05,4.707514920061841,-0.24359205472087486,0.030207621153846155,洛龙区
2018_01_08,0.03290820383370136,262.50792298613084,273.1903043536896,270.5560475309427,102841.13128462015,267.7903244162195,99452.3548732587,0.0,5.218794591890333,0.006405650500500546,0.03452299560439561,洛龙区
2018_01_09,0.05768747388671226,263.88909591122444,276.823970618435,272.6875676521228,102886.30974830523,268.0316340118954,99526.94198043515,0.0,4.609183409860527,-0.0372664521348585,0.03883837005494505,洛龙区
2018_01_10,0.08569137862632731,263.4814703614871,276.9002898123237,270.9996975561532,103213.47645100663,265.6513565734382,99840.55313358684,0.0,3.787771311756433,0.29635987404371983,0.04315374450549451,洛龙区
2018_01_11,0.12500915315226266,261.69767804407326,274.5311380016458,269.3724680447795,103684.76790004723,265.29905881034773,100265.47124919934,0.0,0.0030820130573323006,0.45488658048408154,0.04746911895604396,洛龙区
2018_01_12,0.19187345033328487,262.6531648969697,277.5790989320886,271.1013021168484,103188.91064471612,265.1412444112406,99818.66281951618,0.0,0.9086658596621178,0.8232598269616273,0.051784493406593406,洛龙区
2018_01_14,0.20542552922006116,267.694073531558,282.367002555056,274.98811772661367,102212.49590952152,269.6100124074029,98938.79924940882,0.0,1.8450245465598505,-0.0544894466140306,0.06041524230769231,洛龙区
2018_01_15,0.02624213109135758,269.70379104983795,278.57962747663504,275.58337242259256,102192.09167777786,272.144297924375,98895.60779753617,1.432870459038685e-05,1.5467821313791812,-0.07479596975429419,0.06473061675824175,洛龙区
2018_01_19,0.24048115409025603,268.00125885163635,285.78529857384734,277.7423704045304,102305.23098093945,271.32663865526166,99054.49039035222,0.0,2.6258448146972353,0.10596718997110194,0.08199211456043956,洛龙区
2018_01_20,0.24700897039890696,268.3133993489855,285.3599710622607,278.3354233741045,102125.37868143922,271.1632798427066,98890.32822097259,0.0,2.0760031342532135,0.38698164168606947,0.08630748901098902,洛龙区
2018_01_29,0.07917491388207647,257.39677385887444,275.66395282487383,271.1721995579372,103181.50257276573,266.7822470665543,99778.1908681999,1.862645149230957e-09,4.136277595624063,0.2064239251781812,0.12514585906593406,洛龙区
2018_01_31,0.23245532741496425,256.27378388853833,278.02072613158356,273.0302196486864,103099.33484229635,267.9228427927196,99735.83532341215,0.0,3.5968246790469336,-0.2592828609766921,0.13377660796703297,洛龙区
2018_02_02,0.23948410443752444,252.521963890053,275.20756060757503,270.8689153390151,104012.00762670655,265.3840258475015,100589.51429077078,0.0,2.992569638896026,-1.5780300985468756,0.14240735686813186,洛龙区
2018_02_03,0.25607233599923823,253.70706219260097,276.8777175797958,271.1442039408185,103649.43669208871,265.36713680325835,100255.84340625921,0.0,2.5505522580566464,-0.130275665338893,0.14672273131868133,洛龙区
2018_02_04,0.25450396398225167,255.11802468345667,278.3185531997638,272.83229629284574,103474.10892546483,266.2747440228359,100103.94104060989,0.0,3.293797367183135,-0.18961892142769463,0.15103810576923077,洛龙区
2018_02_05,0.24193944016207156,257.4259550693871,281.19441718681287,273.8625520213827,103155.99036876603,267.89793067980986,99806.43046616165,1.862645149230957e-09,2.2656482921538483,-0.5165435348434956,0.1553534802197802,洛龙区
