Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.1888864973767329,264.8222560008567,281.5579197381906,276.1296163676733,102463.00827419448,269.8009071204932,98895.90148160515,0.0,-1.4519768911725262,-1.2174909209023426,0.004315374450549451,瀍河回族区
2018_01_05,0.038045639441042625,266.9700407821423,272.825647418579,270.8102101084321,102765.7088512043,266.60394893566627,99073.20452333376,0.0001373252613036808,0.13988742778180235,0.5018364385662405,0.021576872252747254,瀍河回族区
2018_01_07,0.009327314254224053,267.03413433737705,274.3783556779219,271.5309954297287,102576.62086628086,266.9098798264006,98902.91039314048,6.469606265203622e-05,4.875768502626348,-0.44994902928154396,0.030207621153846155,瀍河回族区
2018_01_08,0.03191403805783203,262.3486646373955,273.09866222229533,270.4581879029696,102848.27358294488,267.74787963957385,99164.14712260192,0.0,5.351025906917285,-0.1493339506460839,0.03452299560439561,瀍河回族区
2018_01_09,0.05176739075126398,263.83912984780835,276.6730700923736,272.7434949758958,102890.9651685801,268.0387483352537,99238.67249192139,0.0,4.789113521653713,-0.1885998036861684,0.03883837005494505,瀍河回族区
2018_01_10,0.08941433567418464,263.40021333346965,276.746043142649,270.9184103826979,103216.85852798211,265.8085650323928,99550.79807789042,0.0,3.959142415403892,0.1164038136963649,0.04315374450549451,瀍河回族区
2018_01_11,0.13037738485517217,261.8316519067213,274.33862169848277,269.380569631231,103680.78194965857,265.34970314611866,99965.78604507589,0.0,0.1286344981165724,0.37368831987918094,0.04746911895604396,瀍河回族区
2018_01_12,0.1881445386664722,262.5657280541709,277.4476572862294,271.1044749241937,103187.54469463138,265.18274714295023,99524.61312414648,0.0,0.9419071663896341,0.7537212491724418,0.051784493406593406,瀍河回族区
2018_01_19,0.2209673048198198,267.9102497744394,285.60553379094085,277.59479341300397,102306.93070131332,271.18884385835264,98773.33040192659,0.0,2.7629273078788064,-0.024819461427578255,0.08199211456043956,瀍河回族区
2018_01_29,0.09662726053468892,257.1931338891042,275.4241986204291,271.00144072462035,103189.30469443646,266.5827370217848,99488.51105551666,1.862645149230957e-09,4.282838297297863,0.058324464398436415,0.12514585906593406,瀍河回族区
2018_01_31,0.22097307338131014,256.213922585112,277.75892807563184,272.8547656634078,103104.57291359607,267.84931053317894,99447.44814710849,0.0,3.7106266512312365,-0.3892562249266906,0.13377660796703297,瀍河回族区
2018_02_02,0.22643698595750206,252.2925382662892,274.92159344673985,270.73422552221615,104019.13063195095,265.3716285361412,100297.01575905668,0.0,3.1006240182911022,-1.6752318847656067,0.14240735686813186,瀍河回族区
2018_02_03,0.2519590311643221,253.49270551963642,276.7087071818808,271.08104171193594,103651.7730841124,265.29591820608124,99962.36478606617,0.0,2.676935770264283,-0.2730345386002935,0.14672273131868133,瀍河回族区
2018_02_04,0.2408067762183533,254.95735703549684,278.1401977160816,272.7363584365425,103478.28201873241,266.1766884495158,99814.30367270327,0.0,3.409059626774178,-0.3135796890921428,0.15103810576923077,瀍河回族区
2018_02_05,0.23588092360366192,257.2857034192848,281.02693666987443,273.73664206338884,103156.67913173256,267.96917942242516,99515.67602890597,1.862645149230957e-09,2.423853729039725,-0.6653280439851008,0.1553534802197802,瀍河回族区
