Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.21159490595020733,267.6631917284198,280.2780207341073,274.7894664579598,102318.13079469447,269.342987225495,94201.73666845978,0.0,-1.0106151914726356,0.5009306357986256,0.004315374450549451,灵宝市
2018_01_05,0.01635602165017074,267.42836052235384,271.26874322277246,269.48769000734166,102617.54470659234,263.5098571718541,94194.14133857825,0.0006506031048322525,-1.2677698499492647,0.646987742010898,0.021576872252747254,灵宝市
2018_01_08,0.01938303720940663,256.92987930378905,271.7564794437238,266.79845934220197,103144.81423406144,262.0994690634797,94709.77046519856,0.0,3.4680412075337577,0.15278690710036752,0.03452299560439561,灵宝市
2018_01_09,0.03377521316970462,258.96727397634,275.19543184759505,269.2155835286832,103179.99441234296,262.65647165112614,94811.48384673483,0.0,3.731028203630595,-0.5241559971347569,0.03883837005494505,灵宝市
2018_01_10,0.034501289323288956,258.6737329087433,275.11487786965705,267.9110360767693,103366.06403090255,262.37665882201435,94991.37661842354,0.0,1.8680893009468198,1.0904574935060976,0.04315374450549451,灵宝市
2018_01_11,0.03447139052436211,261.02065320745334,275.2360854372746,269.5269343219284,103614.61083270221,264.78424804023035,95206.92056811188,0.0,0.5463724722914163,0.7409716320010857,0.04746911895604396,灵宝市
2018_01_12,0.056239977553234226,263.01911814491797,277.23111421749064,270.06646282067413,103051.8691919549,265.1635770741452,94743.15143578235,0.0,-0.43148926809273036,1.058646052997459,0.051784493406593406,灵宝市
2018_01_14,0.057954583975338654,267.85235436599464,277.7973392867417,272.16858620601124,102219.72168723748,267.634235613164,94062.65587551385,5.943809351964107e-07,0.0348914653035623,0.5174782176247987,0.06041524230769231,灵宝市
2018_01_15,0.0546021185146128,269.3212878425691,276.9037553829589,273.06469397787095,102303.10624949966,269.70833644939626,94099.70945684401,0.00012991894054921143,1.2339812734897415,0.2032058942626642,0.06473061675824175,灵宝市
2018_01_16,0.02192499382461576,268.34562273105195,278.7846221485318,273.54990991466616,101662.91166381746,269.8621362463168,93574.52252755489,0.0,-0.2559317272794907,1.1855377442956996,0.06904599120879122,灵宝市
2018_01_17,0.05186066131326586,267.3392924235501,277.7378892572013,274.8288527108583,102366.45838468666,271.33594315437966,94189.22765259768,0.0,0.9381312140879053,-0.3555424456253447,0.07336136565934066,灵宝市
2018_01_19,0.10963387578967271,267.55441023307776,281.26628233276824,274.9447785050899,102408.82895375833,269.8967944776759,94295.66533938848,0.0,0.32430548260639913,0.292522891545204,0.08199211456043956,灵宝市
2018_01_20,0.12719495245636364,268.9011904843977,281.15402323786105,275.73662080659926,102236.36991140025,270.9486515710377,94156.9388643224,0.0,0.46463601015206796,0.3059390427204608,0.08630748901098902,灵宝市
2018_01_22,0.10653397245452823,268.7080801139217,279.9375489644484,275.05606803176687,102057.1450700472,269.49875376960347,93941.78242224014,2.1966410498789623e-06,-0.27583395304514774,0.3154774937314641,0.09493823791208791,灵宝市
2018_01_23,0.15492126974629503,267.44363975612,273.14887265678084,270.9984671000155,102716.50272612945,268.8547750432781,94349.60335004695,0.00024330768493266213,-1.8891804692978866,-0.27944189750906384,0.09925361236263736,灵宝市
2018_01_26,0.03749196559364717,262.49614951789493,269.1216969494318,266.9045265879571,103151.73602809903,263.72548021960074,94611.26898900613,0.0008008652624884927,-1.8761248988837935,1.1884875843907334,0.11219973571428571,灵宝市
2018_01_29,0.04533110283035309,256.85557022489104,270.2334332815841,267.24215337468064,103471.48807771718,262.3887821711639,94938.80453855624,1.9353895736385586e-05,1.5301951220400185,-0.2523772540688936,0.12514585906593406,灵宝市
2018_01_30,0.10685995713947724,258.6942984938844,272.4154750499648,269.89464254541366,103424.94374930506,265.8706793896836,94962.51614169788,7.249579575729785e-06,2.2334026658671737,-1.0410022419716305,0.1294612335164835,灵宝市
