Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.17302308274758715,268.5028381347656,282.3907775878906,277.4422912597656,102388.65625,272.2349853515625,97810.2265625,0.0,-0.5358027815818787,0.1448492854833603,0.004315374450549451,石龙区
2018_01_09,0.04526659400736358,262.82843017578125,277.364013671875,273.52490234375,102853.53125,269.04754638671875,98158.84375,0.0,3.874239921569824,-1.7925267219543457,0.03883837005494505,石龙区
2018_01_10,0.044143248742962014,262.5900573730469,276.46551513671875,271.1717529296875,103152.96875,266.5452575683594,98453.3046875,0.0,2.9663515090942383,-1.440170407295227,0.04315374450549451,石龙区
2018_01_11,0.07050548087943674,261.2754821777344,273.12701416015625,267.4303894042969,103704.8125,262.5557556152344,98900.5390625,0.0,0.23907195031642914,0.1656937301158905,0.04746911895604396,石龙区
2018_01_12,0.08042198905940293,263.0093688964844,273.76531982421875,268.0286560058594,103243.0703125,262.43206787109375,98489.6015625,0.0,0.47804728150367737,0.39598801732063293,0.051784493406593406,石龙区
2018_01_14,0.21276841044246506,268.8217468261719,281.5052185058594,274.5429382324219,102189.4765625,267.8589172363281,97615.5859375,0.0,1.156088948249817,-0.47868672013282776,0.06041524230769231,石龙区
2018_01_15,0.11907402518742446,271.22430419921875,278.6620178222656,275.57684326171875,102128.0859375,270.8714294433594,97526.25,0.0,1.3273569345474243,-0.9804157614707947,0.06473061675824175,石龙区
2018_01_19,0.17818100622942104,268.4139099121094,285.2321472167969,278.1427307128906,102267.8984375,273.0544738769531,97733.4140625,0.0,1.639194130897522,-0.9898262619972229,0.08199211456043956,石龙区
2018_01_20,0.17026957466931525,269.8619689941406,284.0452575683594,278.5408630371094,102103.5703125,273.999755859375,97584.6015625,0.0,0.9465776085853577,-0.3560250699520111,0.08630748901098902,石龙区
2018_01_26,0.035763315154443705,261.6025695800781,269.4206848144531,267.56146240234375,103416.9609375,263.8753967285156,98574.1015625,0.0007032770663499832,-1.1109766960144043,0.14412258565425873,0.11219973571428571,石龙区
2018_01_29,0.04205892773166295,258.89434814453125,272.3285827636719,267.7645568847656,103170.4296875,263.8345031738281,98399.1796875,1.862645149230957e-09,2.9468185901641846,-1.632041573524475,0.12514585906593406,石龙区
2018_01_30,0.056334558883128445,260.8305358886719,274.982666015625,272.2829284667969,103058.3125,263.9221496582031,98321.90625,2.174265682697296e-05,3.4940185546875,-2.3478572368621826,0.1294612335164835,石龙区
2018_01_31,0.10813118427103971,259.0828857421875,274.9529113769531,271.3163757324219,103108.40625,267.4831848144531,98389.2109375,0.0,3.0844926834106445,-1.5383535623550415,0.13377660796703297,石龙区
2018_02_02,0.21329130507423363,253.60935974121094,274.2597961425781,270.84716796875,103962.9375,266.2646484375,99160.5625,0.0,2.9478843212127686,-3.0032434463500977,0.14240735686813186,石龙区
2018_02_03,0.22472080982846604,254.16380310058594,275.4353332519531,270.48968505859375,103649.1015625,266.11395263671875,98886.40625,0.0,2.083507776260376,-1.31337571144104,0.14672273131868133,石龙区
2018_02_04,0.2180471144452014,255.65582275390625,276.9267272949219,272.5829162597656,103459.90625,267.6531982421875,98732.25,0.0,2.6526834964752197,-1.7153693437576294,0.15103810576923077,石龙区
2018_02_05,0.21654655140258974,258.4477233886719,279.80584716796875,273.0515441894531,103124.21875,267.5938415527344,98443.8515625,1.862645149230957e-09,1.9153428077697754,-1.5342679023742676,0.1553534802197802,石龙区
2018_02_06,0.19728131171386015,263.4130554199219,279.7932434082031,273.941162109375,102566.40625,268.13787841796875,97935.71875,4.470348358154297e-08,0.6597645878791809,0.553236186504364,0.15966885467032968,石龙区
2018_02_08,0.20600847202672556,265.2490234375,279.468505859375,275.4423522949219,101864.09375,269.4224853515625,97269.8125,3.559514880180359e-06,0.14043961465358734,1.4961248636245728,0.16829960357142856,石龙区
2018_02_11,0.2033472516578258,253.42933654785156,277.86181640625,274.2845764160156,103243.2109375,271.4898681640625,98543.4765625,0.0,3.8040101528167725,-2.5982377529144287,0.18124572692307694,石龙区
2018_02_12,0.22742323941865916,256.2816162109375,282.5262145996094,276.0388488769531,102735.3671875,271.842041015625,98128.875,0.0,2.6376607418060303,-0.9314887523651123,0.18556110137362639,石龙区
2018_02_13,0.20606502783848296,270.0163879394531,288.7513427734375,280.5823059082031,101448.1328125,271.7681579589844,96972.0625,4.284083843231201e-08,0.739137589931488,1.1331077814102173,0.18987647582417583,石龙区
2018_02_16,0.18793427961432066,270.9974060058594,286.8275146484375,280.2265319824219,102041.6015625,272.1805114746094,97498.9453125,0.0,-0.694237470626831,0.177195206284523,0.2028225991758242,石龙区
2018_02_22,0.23883184143960884,266.40875244140625,287.528564453125,280.6280212402344,101894.8359375,272.8145751953125,97391.375,1.862645149230957e-09,1.6836682558059692,0.7273922562599182,0.2287148458791209,石龙区
2018_02_23,0.22593513071569174,273.48370361328125,290.70330810546875,283.27410888671875,101643.125,275.311767578125,97171.3828125,4.284083843231201e-08,-0.1781734675168991,1.0640949010849,0.23303022032967033,石龙区
2018_02_25,0.2039174285466392,270.9397277832031,285.7934875488281,279.16845703125,102229.75,271.0536804199219,97681.4921875,0.0,-0.320526659488678,1.7152241468429565,0.24166096923076924,石龙区
