Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.24535102895254104,270.76563401955514,280.91110305362884,277.24061773745154,102288.05719510293,273.2190685153378,96601.10900316875,0.0,-0.8925871782925573,-0.2186492320551123,0.004315374450549451,西峡县
2018_01_08,0.021913596552187897,259.49364298984807,275.6615028694878,269.6134501931227,102972.30782658755,264.19430049963955,97077.45323319381,0.0,2.4616977186637095,-2.2341112967513,0.03452299560439561,西峡县
2018_01_09,0.05801876069787761,260.1507629664796,278.9896551286788,271.09624427234746,102975.28621112829,264.77332834407997,97135.84818300727,0.0,2.4362005381495457,-2.3865267007806947,0.03883837005494505,西峡县
2018_01_10,0.10189434902668948,260.9751987339622,277.5169634224542,268.3328339519359,103223.46947047955,262.23409037802196,97381.52482318495,0.0,1.0477708361223246,-2.1625845633517145,0.04315374450549451,西峡县
2018_01_11,0.2123126052402725,265.00984098105755,276.54502200042015,270.21269445348514,103614.3677160631,262.30144804545614,97694.5141281498,0.0,-0.25039397567195515,-0.4973660244086525,0.04746911895604396,西峡县
2018_01_12,0.26765813031478825,265.5113415648089,276.08425033234795,272.16680163166916,103222.56563610557,267.309747578526,97341.11059401218,0.0,-0.48166780954363864,-0.0566331964684118,0.051784493406593406,西峡县
2018_01_14,0.32673985663802135,271.7933868880244,281.3879952359239,275.8601087609463,102163.88031787619,269.9155323684016,96471.23759329374,0.0,-0.3953926943960136,-0.4195299544720397,0.06041524230769231,西峡县
2018_01_15,0.2504356984167117,273.73256440322143,280.0436654945596,277.555093038415,102070.33274486811,272.797034983391,96371.71605929219,2.4009873362837575e-06,-0.12746890018731205,-0.36364759586913586,0.06473061675824175,西峡县
2018_01_19,0.2235307882723943,270.2289846267141,284.23411405394,278.340377691743,102298.03021103525,273.0985084747887,96638.49288246881,0.0,0.05442820448613573,-0.2757272351454408,0.08199211456043956,西峡县
2018_01_20,0.22811277586829137,272.63452356846994,284.3721995441373,278.5238775992135,102118.22979456653,273.21246717434695,96480.13691985965,0.0,-0.1068185255853753,-0.19371966167348934,0.08630748901098902,西峡县
2018_01_22,0.19880388826109166,273.6199745454563,281.45128494368265,276.8172264551002,102064.26421477334,272.3300765110729,96353.7642379875,5.068772632939889e-05,-0.8850922582237629,0.500878277639779,0.09493823791208791,西峡县
2018_01_25,0.004228975641630906,265.3470387297371,269.3127617465149,268.1065901849062,103504.21694735298,266.7852130478344,97474.04499059083,0.0033013557193629457,-0.8685528397628275,0.0022483319738363706,0.10788436126373628,西峡县
2018_01_26,0.023493799700290256,263.5137684550767,268.76752933176635,267.5146114244562,103342.09379861252,266.2455009350102,97307.56780959513,0.0016183868977556906,-1.5437741299534258,0.664927602750612,0.11219973571428571,西峡县
2018_01_28,0.06252815591455352,261.7572816004892,271.91369243900033,265.6960516062266,103346.83418108564,260.4352582107155,97380.37097730208,1.6259538174796985e-05,1.0384921675760765,-1.9916943072727409,0.12083048461538462,西峡县
2018_01_29,0.031255023776931005,259.6756494261142,272.78793112263435,266.5523745314764,103190.12602039591,260.3272117529549,97252.98272949396,1.862645149230957e-09,0.7845709321095308,-1.9759556280093211,0.12514585906593406,西峡县
2018_01_30,0.06288402879084973,262.2789047238434,274.2407387347668,271.14586218930435,103114.83760375465,261.63075386636814,97215.82314183282,1.412552674233794e-05,1.4484233812776584,-1.5939899636419177,0.1294612335164835,西峡县
2018_01_31,0.12064452613175781,262.1252644329944,274.8118920426107,271.22164537413437,103163.17995039267,267.0356816784975,97286.31166799921,0.0,1.576886876134129,-1.7201422021823518,0.13377660796703297,西峡县
2018_02_03,0.24501462634409885,259.3644118266684,275.7442308026284,270.6540144201626,103645.17233566612,265.4043696500149,97718.55007315484,0.0,0.0329057370290288,-0.7405845434748892,0.14672273131868133,西峡县
2018_02_04,0.23354854945916761,259.78157448890363,276.98434699457863,271.7309339691461,103495.46631286507,266.3330704958605,97615.1408036467,0.0,0.8480188833217132,-1.0912825318880284,0.15103810576923077,西峡县
2018_02_05,0.26499025380445645,261.56978570407307,280.1449595267085,273.45124129133046,103105.3044111185,267.79631416174783,97291.63080497319,1.862645149230957e-09,0.7693696939923744,-1.0235028457367072,0.1553534802197802,西峡县
2018_02_06,0.2552543018056534,265.25935612729137,279.3047151942411,274.2221251418012,102605.72435093691,268.3813155643586,96833.21999770896,4.470348358154297e-08,-0.04143982811654166,-0.08069500008484999,0.15966885467032968,西峡县
2018_02_08,0.11081875602332389,266.7230864022246,278.1256345180851,275.32602530220976,101919.563402636,270.868375667259,96184.54682459973,1.9885694519173123e-05,-0.5740573567915583,-0.12150917739842085,0.16829960357142856,西峡县
2018_02_10,0.1267881940830918,262.13103658031343,279.97819386198614,275.4700701582859,103031.4514129708,270.5055929075326,97237.9150731185,5.627213338489385e-07,1.339857858371739,-2.167611989290549,0.17693035247252747,西峡县
2018_02_11,0.24175882102960988,260.1901835986653,280.97591904420267,274.8141888673082,103227.98662656573,270.20359078512314,97415.54869386177,0.0,1.6963581595373765,-2.6914860883196323,0.18124572692307694,西峡县
2018_02_12,0.25540421333413793,261.08158290831267,283.84757283082917,277.31124151960546,102812.16103419873,270.6622024631063,97079.08451259103,0.0,0.8305415965146407,-0.6230940989357966,0.18556110137362639,西峡县
2018_02_13,0.20977491140529497,271.180813607756,287.43896815658957,280.54779277651636,101595.58455021231,271.415029040159,95999.28975055326,1.0662835008773867e-06,0.3733122207361052,0.06593225874903001,0.18987647582417583,西峡县
2018_02_14,0.2264113023292973,272.20383505964736,287.3088714521227,281.53586178674533,101636.22034575118,276.41188106566875,96028.58031098681,0.0,-1.170285779998289,0.0826158158053846,0.1941918502747253,西峡县
2018_02_15,0.09804124079622678,269.8472565912941,282.1390366667748,278.04614324421954,102160.5151752366,273.756612624833,96447.96690212985,0.0,-0.32527198263734386,0.4576546321426249,0.1985072247252747,西峡县
2018_02_16,0.2168843236036102,273.2734311608936,287.23091228707125,281.1070690098203,101931.8073505648,273.92213910433463,96302.7099076296,0.0,-1.317702284133257,0.1355387718426144,0.2028225991758242,西峡县
