Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.22750473094237902,264.7852478027344,281.5099792480469,276.1112365722656,102462.3828125,269.8095397949219,98814.1640625,0.0,-1.4507217407226562,-1.2373815774917603,0.004315374450549451,西工区
2018_01_05,0.03537831054600773,266.9759216308594,272.7056579589844,270.7855529785156,102765.75,266.6610107421875,98989.0546875,0.00014062412083148956,0.1260283887386322,0.49203190207481384,0.021576872252747254,西工区
2018_01_07,0.007332241043263253,266.9918518066406,274.3822326660156,271.5066833496094,102579.25,266.8665771484375,98821.7265625,6.583612412214279e-05,4.9236159324646,-0.5086321830749512,0.030207621153846155,西工区
2018_01_08,0.02439898476059386,262.3033752441406,273.0726013183594,270.43035888671875,102850.3046875,267.7358093261719,99082.1875,0.0,5.38862943649292,-0.19362269341945648,0.03452299560439561,西工区
2018_01_09,0.04904470468569268,263.8249206542969,276.6301574707031,272.7593994140625,102892.2890625,268.040771484375,99156.6953125,0.0,4.8402814865112305,-0.23163551092147827,0.03883837005494505,西工区
2018_01_10,0.06823466432898959,263.3771057128906,276.7021789550781,270.8952941894531,103217.8203125,265.853271484375,99468.3984375,0.0,4.007876396179199,0.06522846966981888,0.04315374450549451,西工区
2018_01_11,0.09162134010645287,261.8697509765625,274.28387451171875,269.38287353515625,103679.6484375,265.3641052246094,99880.5625,0.0,0.16433872282505035,0.35059741139411926,0.04746911895604396,西工区
2018_01_14,0.17084231475233952,267.5409240722656,282.1063232421875,274.8912353515625,102213.3359375,269.4817199707031,98573.1640625,0.0,1.9365812540054321,-0.28056225180625916,0.06041524230769231,西工区
2018_01_17,0.15266096351792427,266.8100891113281,281.0457458496094,276.0921630859375,102188.6328125,271.17999267578125,98548.1328125,0.0,3.136742353439331,-0.3935612738132477,0.07336136565934066,西工区
2018_01_19,0.22916595234060463,267.8843688964844,285.5544128417969,277.5528259277344,102307.4140625,271.149658203125,98693.375,0.0,2.801910400390625,-0.06201216205954552,0.08199211456043956,西工区
2018_01_29,0.08571681621237176,257.1352233886719,275.35601806640625,270.952880859375,103191.5234375,266.5260009765625,99406.1328125,1.862645149230957e-09,4.324516773223877,0.016208400949835777,0.12514585906593406,西工区
2018_01_31,0.23397930468986106,256.1968994140625,277.6844787597656,272.80487060546875,103106.0625,267.8283996582031,99365.4375,0.0,3.7429893016815186,-0.426217645406723,0.13377660796703297,西工区
2018_02_02,0.23518462535423415,252.227294921875,274.84027099609375,270.6959228515625,104021.15625,265.36810302734375,100213.8359375,0.0,3.131352186203003,-1.7028738260269165,0.14240735686813186,西工区
2018_02_03,0.25335021224272175,253.43174743652344,276.66064453125,271.0630798339844,103652.4375,265.2756652832031,99878.90625,0.0,2.712876319885254,-0.3136318624019623,0.14672273131868133,西工区
2018_02_04,0.25545584076377986,254.9116668701172,278.0894775390625,272.7090759277344,103479.46875,266.1488037109375,99731.9375,0.0,3.4418375492095947,-0.34883126616477966,0.15103810576923077,西工区
2018_02_05,0.22779267226270544,257.2458190917969,280.97930908203125,273.7008361816406,103156.875,267.98944091796875,99432.9921875,1.862645149230957e-09,2.468843698501587,-0.7076389193534851,0.1553534802197802,西工区
2018_02_06,0.24055975844986352,261.4154968261719,279.94537353515625,273.2259216308594,102586.125,267.0816650390625,98904.6171875,4.470348358154297e-08,1.6323013305664062,0.5744785666465759,0.15966885467032968,西工区
2018_02_07,0.24292835067493948,258.1822509765625,281.23199462890625,274.21478271484375,102674.21875,267.3094787597656,98972.9140625,4.284083843231201e-08,1.8483848571777344,-1.2439934015274048,0.16398422912087912,西工区
2018_02_08,0.23068299258965325,262.1141357421875,279.54608154296875,274.8746032714844,101878.4296875,267.8867492675781,98223.9765625,0.0,0.16032452881336212,-0.09656480699777603,0.16829960357142856,西工区
2018_02_11,0.22549873414003418,250.58184814453125,277.46014404296875,273.54718017578125,103302.2578125,270.7028503417969,99565.5078125,0.0,4.463672161102295,-1.2401782274246216,0.18124572692307694,西工区
2018_02_12,0.24566465006317018,255.33233642578125,281.943115234375,274.7885437011719,102744.625,268.0898132324219,99075.8125,0.0,3.588402509689331,-0.01916912943124771,0.18556110137362639,西工区
2018_02_13,0.2393882322972717,266.2975158691406,289.72381591796875,279.2613830566406,101417.6171875,268.5342102050781,97873.9609375,4.284083843231201e-08,2.3074018955230713,0.47457921504974365,0.18987647582417583,西工区
2018_02_14,0.2204667109687036,259.5296325683594,285.67071533203125,278.9585266113281,101981.5078125,274.2374267578125,98362.5078125,0.0,-3.147418737411499,-0.8432424664497375,0.1941918502747253,西工区
2018_02_16,0.21914915257659115,265.5380859375,287.9377136230469,280.1372375488281,102031.3125,271.0320129394531,98434.15625,0.0001262463629245758,-0.8733928203582764,-0.543377161026001,0.2028225991758242,西工区
2018_02_21,0.15528181312455588,267.0969543457031,282.6165466308594,277.4874572753906,102564.7265625,273.42388916015625,98913.0234375,0.0,2.9945151805877686,-0.2900497615337372,0.22439947142857142,西工区
2018_02_22,0.26811201402048296,264.3404541015625,287.71636962890625,279.3676452636719,101850.6484375,272.17962646484375,98276.4453125,1.862645149230957e-09,2.9831457138061523,0.07381708174943924,0.2287148458791209,西工区
2018_02_23,0.253931264111289,270.6617126464844,291.71929931640625,283.47198486328125,101651.0859375,273.56329345703125,98113.8984375,4.284083843231201e-08,-1.0092371702194214,-0.4278886020183563,0.23303022032967033,西工区
2018_02_25,0.2555787550520716,269.0734558105469,288.2608947753906,279.7398376464844,102167.875,269.97344970703125,98569.25,0.0,-0.32735323905944824,0.7337921261787415,0.24166096923076924,西工区
2018_02_26,0.19392031766293805,272.0646667480469,293.903076171875,286.3371887207031,101593.8359375,275.0484924316406,98083.40625,0.0,-0.26666688919067383,0.2880062162876129,0.24597634368131868,西工区
2018_02_28,0.24125368237180259,276.1300964355469,293.1617431640625,285.0412902832031,101150.4140625,278.1010437011719,97648.09375,4.284083843231201e-08,1.3612796068191528,0.059638381004333496,0.2546070925824176,西工区
2018_03_02,0.2151476887294894,275.7892150878906,287.90264892578125,281.4611511230469,100795.375,274.7409973144531,97259.2890625,4.284083843231201e-08,-0.7589046955108643,0.8260319828987122,0.2632378414835165,西工区
2018_03_08,0.3264360629920215,271.8409729003906,284.0804443359375,278.753662109375,103025.40625,273.9369201660156,99364.7734375,0.0,-1.5222889184951782,0.5504200458526611,0.28913008818681324,西工区
