Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.2839651347391737,267.514883949761,284.4336050808368,278.26264344063475,102449.99307169316,273.17016165974775,100869.23602855169,0.0,-1.0719997671393553,-1.1121232189383483,0.004315374450549451,许昌县
2018_01_05,0.015102205619259117,265.71169511309535,271.14179394674517,267.7656040107688,102814.94662813001,263.32853928630857,101171.00801997723,0.0003165711195022738,0.7209228487502001,0.35152180717825904,0.021576872252747254,许昌县
2018_01_07,0.004760012128316715,267.81360461048865,274.1989980246991,271.25585935597405,102401.14874143677,267.9084315947923,100777.61154236466,0.00024386610237019332,3.4067727881221495,-1.4303368067178306,0.030207621153846155,许昌县
2018_01_08,0.016187033880004906,263.97117277388816,273.76556834535216,271.87832224704044,102683.5149606523,270.15412108483196,101054.33979701686,0.0,4.767239147785925,-1.3149922957009363,0.03452299560439561,许昌县
2018_01_09,0.03960234954204825,265.23444962077053,277.61110441175725,273.54513955978103,102779.08150455699,269.92368599308554,101165.11412820056,0.0,3.9964304794190637,-1.1411628986992888,0.03883837005494505,许昌县
2018_01_10,0.06956965537920218,265.32353418938067,277.2001464588245,272.94052339644276,103102.77672026967,268.81337025580245,101482.97512571166,0.0,3.029275314913303,-1.6288920053181148,0.04315374450549451,许昌县
2018_01_11,0.15143746714288903,261.0036825019433,273.856228863089,269.33111657204967,103732.9035463837,264.97665065171327,102075.88445424306,0.0,0.12262764286065587,0.04296969183657609,0.04746911895604396,许昌县
2018_01_12,0.1656566598636377,265.566585564568,274.7263662145443,270.2941515839034,103297.62812805333,264.23572137950794,101654.14299739081,1.595624440639739e-07,0.5920463597133135,2.072539537411909,0.051784493406593406,许昌县
2018_01_14,0.30867654820249973,270.36923785693995,283.0184402908923,275.84360846674065,102212.60932544174,270.97728618194986,100637.30076058583,0.0,0.9241899586629232,0.914154363119571,0.06041524230769231,许昌县
2018_01_15,0.3629171259632833,271.9933533302976,281.32581925436756,276.93087078032426,102103.75408491207,271.4505232064757,100523.99048540597,0.0,0.5244777570257304,-0.8484466801613445,0.06473061675824175,许昌县
