NAME,YMD,NDVI
息县,2016-03-08,
郸城县,2016-03-08,
确山县,2016-03-08,
杞县,2016-03-08,
马村区,2016-03-08,
西平县,2016-03-08,
辉县市,2016-03-08,
舞钢市,2016-03-08,
新野县,2016-03-08,
洛宁县,2016-03-08,
凤泉区,2016-03-08,
虞城县,2016-03-08,
项城市,2016-03-08,
渑池县,2016-03-08,
商水县,2016-03-08,
禹州市,2016-03-08,
偃师市,2016-03-08,
北关区,2016-03-08,
华龙区,2016-03-08,
武陟县,2016-03-08,
中原区,2016-03-08,
内乡县,2016-03-08,
山城区,2016-03-08,
召陵区,2016-03-08,
汝南县,2016-03-08,
遂平县,2016-03-08,
叶县,2016-03-08,
唐河县,2016-03-08,
西华县,2016-03-08,
汤阴县,2016-03-08,
范县,2016-03-08,
吉利区,2016-03-08,
管城回族区,2016-03-08,
涧西区,2016-03-08,
淮滨县,2016-03-08,
孟州市,2016-03-08,
宝丰县,2016-03-08,
上街区,2016-03-08,
山阳区,2016-03-08,
宜阳县,2016-03-08,
罗山县,2016-03-08,
解放区,2016-03-08,
驿城区,2016-03-08,
淇滨区,2016-03-08,
延津县,2016-03-08,
魏都区,2016-03-08,
原阳县,2016-03-08,
邓州市,2016-03-08,
卧龙区,2016-03-08,
睢县,2016-03-08,
龙安区,2016-03-08,
中站区,2016-03-08,
夏邑县,2016-03-08,
沁阳市,2016-03-08,
平桥区,2016-03-08,
光山县,2016-03-08,
泌阳县,2016-03-08,
修武县,2016-03-08,
西峡县,2016-03-08,
宛城区,2016-03-08,
殷都区,2016-03-08,
老城区,2016-03-08,
红旗区,2016-03-08,
扶沟县,2016-03-08,
社旗县,2016-03-08,
温县,2016-03-08,
太康县,2016-03-08,
正阳县,2016-03-08,
西工区,2016-03-08,
博爱县,2016-03-08,
柘城县,2016-03-08,
永城市,2016-03-08,
安阳县,2016-03-08,
湛河区,2016-03-08,
襄城县,2016-03-08,
义马市,2016-03-08,
长垣县,2016-03-08,
兰考县,2016-03-08,
镇平县,2016-03-08,
新密市,2016-03-08,
开封市区,2016-03-08,
卫滨区,2016-03-08,
洛龙区,2016-03-08,
鄢陵县,2016-03-08,
卫东区,2016-03-08,
二七区,2016-03-08,
获嘉县,2016-03-08,
南乐县,2016-03-08,
荥阳市,2016-03-08,
濮阳县,2016-03-08,
瀍河回族区,2016-03-08,
灵宝市,2016-03-08,
上蔡县,2016-03-08,
通许县,2016-03-08,
新安县,2016-03-08,
鹿邑县,2016-03-08,
中牟县,2016-03-08,
栾川县,2016-03-08,
沈丘县,2016-03-08,
郾城区,2016-03-08,
郏县,2016-03-08,
惠济区,2016-03-08,
宁陵县,2016-03-08,
陕县,2016-03-08,
伊川县,2016-03-08,
汝阳县,2016-03-08,
鲁山县,2016-03-08,
淅川县,2016-03-08,
长葛市,2016-03-08,
新郑市,2016-03-08,
川汇区,2016-03-08,
林州市,2016-03-08,
开封县,2016-03-08,
浚县,2016-03-08,
牧野区,2016-03-08,
许昌县,2016-03-08,
新蔡县,2016-03-08,
桐柏县,2016-03-08,
清丰县,2016-03-08,
临颍县,2016-03-08,
淇县,2016-03-08,
南召县,2016-03-08,
新华区,2016-03-08,
舞阳县,2016-03-08,
新乡县,2016-03-08,
潢川县,2016-03-08,
滑县,2016-03-08,
浉河区,2016-03-08,
卢氏县,2016-03-08,
梁园区,2016-03-08,
民权县,2016-03-08,
新县,2016-03-08,
尉氏县,2016-03-08,
嵩县,2016-03-08,
湖滨区,2016-03-08,
方城县,2016-03-08,
淮阳县,2016-03-08,
济源市,2016-03-08,
平舆县,2016-03-08,
台前县,2016-03-08,
封丘县,2016-03-08,
源汇区,2016-03-08,
孟津县,2016-03-08,
金水区,2016-03-08,
睢阳区,2016-03-08,
固始县,2016-03-08,
商城县,2016-03-08,
登封市,2016-03-08,
巩义市,2016-03-08,
汝州市,2016-03-08,
内黄县,2016-03-08,
鹤山区,2016-03-08,
卫辉市,2016-03-08,
文峰区,2016-03-08,
石龙区,2016-03-08,
息县,2016-03-09,
郸城县,2016-03-09,0.539303957263134
确山县,2016-03-09,
杞县,2016-03-09,
马村区,2016-03-09,
西平县,2016-03-09,
辉县市,2016-03-09,0.3430027090983979
舞钢市,2016-03-09,
新野县,2016-03-09,
洛宁县,2016-03-09,
凤泉区,2016-03-09,0.2572531206870395
虞城县,2016-03-09,0.4512626975117543
项城市,2016-03-09,0.5167563671478588
渑池县,2016-03-09,
商水县,2016-03-09,0.4268346918088708
禹州市,2016-03-09,
偃师市,2016-03-09,0.09859146871120046
北关区,2016-03-09,0.2384531416412897
华龙区,2016-03-09,
武陟县,2016-03-09,
中原区,2016-03-09,
内乡县,2016-03-09,
山城区,2016-03-09,0.15998915792786544
召陵区,2016-03-09,
汝南县,2016-03-09,
遂平县,2016-03-09,
叶县,2016-03-09,0.3145146272339484
唐河县,2016-03-09,
西华县,2016-03-09,0.4419728347769417
汤阴县,2016-03-09,0.285316916415277
范县,2016-03-09,0.11463909913236109
吉利区,2016-03-09,
管城回族区,2016-03-09,
涧西区,2016-03-09,
淮滨县,2016-03-09,
孟州市,2016-03-09,
宝丰县,2016-03-09,
上街区,2016-03-09,
山阳区,2016-03-09,
宜阳县,2016-03-09,
罗山县,2016-03-09,
解放区,2016-03-09,
驿城区,2016-03-09,
淇滨区,2016-03-09,0.1362247845840094
延津县,2016-03-09,
魏都区,2016-03-09,
原阳县,2016-03-09,
邓州市,2016-03-09,
卧龙区,2016-03-09,
睢县,2016-03-09,0.323166603453041
龙安区,2016-03-09,0.13522652850486472
中站区,2016-03-09,
夏邑县,2016-03-09,0.5262090617341886
沁阳市,2016-03-09,
平桥区,2016-03-09,
光山县,2016-03-09,
泌阳县,2016-03-09,
修武县,2016-03-09,0.07665924546790047
西峡县,2016-03-09,
宛城区,2016-03-09,
殷都区,2016-03-09,0.21230082490938196
老城区,2016-03-09,
红旗区,2016-03-09,
扶沟县,2016-03-09,0.5005599971775683
社旗县,2016-03-09,
温县,2016-03-09,
太康县,2016-03-09,0.4715199497511878
正阳县,2016-03-09,
西工区,2016-03-09,
博爱县,2016-03-09,
柘城县,2016-03-09,0.4930617914883191
永城市,2016-03-09,0.5853083982012248
安阳县,2016-03-09,0.23193229092047973
湛河区,2016-03-09,
襄城县,2016-03-09,
义马市,2016-03-09,
长垣县,2016-03-09,0.30386829496862633
兰考县,2016-03-09,0.27345857573017546
镇平县,2016-03-09,
新密市,2016-03-09,0.23645447057648303
开封市区,2016-03-09,0.09596582191917606
卫滨区,2016-03-09,
洛龙区,2016-03-09,
鄢陵县,2016-03-09,0.4360064143578215
卫东区,2016-03-09,
二七区,2016-03-09,0.18524576889787617
获嘉县,2016-03-09,
南乐县,2016-03-09,0.26564850027691994
荥阳市,2016-03-09,0.194298356058055
濮阳县,2016-03-09,0.20712636032333887
瀍河回族区,2016-03-09,
灵宝市,2016-03-09,
上蔡县,2016-03-09,
通许县,2016-03-09,0.33737006653258855
新安县,2016-03-09,
鹿邑县,2016-03-09,0.384767197709992
中牟县,2016-03-09,
栾川县,2016-03-09,
沈丘县,2016-03-09,0.5424854490999581
郾城区,2016-03-09,
郏县,2016-03-09,
惠济区,2016-03-09,
宁陵县,2016-03-09,0.35241982238653063
陕县,2016-03-09,
伊川县,2016-03-09,
汝阳县,2016-03-09,
鲁山县,2016-03-09,0.21616171892902142
淅川县,2016-03-09,
长葛市,2016-03-09,
新郑市,2016-03-09,0.18162222817292245
川汇区,2016-03-09,0.44545747906223626
林州市,2016-03-09,0.1449259727217743
开封县,2016-03-09,0.14736275816923275
浚县,2016-03-09,0.2886962606643064
牧野区,2016-03-09,
许昌县,2016-03-09,
新蔡县,2016-03-09,
桐柏县,2016-03-09,
清丰县,2016-03-09,
临颍县,2016-03-09,
淇县,2016-03-09,0.15789904330867743
南召县,2016-03-09,
新华区,2016-03-09,
舞阳县,2016-03-09,
新乡县,2016-03-09,
潢川县,2016-03-09,
滑县,2016-03-09,
浉河区,2016-03-09,
卢氏县,2016-03-09,
梁园区,2016-03-09,0.38138903927583756
民权县,2016-03-09,0.3751373740030797
新县,2016-03-09,
尉氏县,2016-03-09,0.3427439032307497
嵩县,2016-03-09,
湖滨区,2016-03-09,
方城县,2016-03-09,
淮阳县,2016-03-09,0.49857725604576975
济源市,2016-03-09,
平舆县,2016-03-09,
台前县,2016-03-09,
封丘县,2016-03-09,
源汇区,2016-03-09,
孟津县,2016-03-09,
金水区,2016-03-09,
睢阳区,2016-03-09,0.4452497618117842
固始县,2016-03-09,
商城县,2016-03-09,
登封市,2016-03-09,
巩义市,2016-03-09,0.12161349209258124
汝州市,2016-03-09,
内黄县,2016-03-09,0.18878722989050348
鹤山区,2016-03-09,0.14782390019814118
卫辉市,2016-03-09,0.21996425230704938
文峰区,2016-03-09,0.21375440546495258
石龙区,2016-03-09,
息县,2016-03-10,0.5101511600126977
郸城县,2016-03-10,0.6970286082657143
确山县,2016-03-10,0.25738829727450857
杞县,2016-03-10,0.5074884352766559
马村区,2016-03-10,0.40486184205141235
西平县,2016-03-10,0.4022847452005799
辉县市,2016-03-10,0.4193208426159274
舞钢市,2016-03-10,0.4057613696762168
新野县,2016-03-10,0.4790378779560215
洛宁县,2016-03-10,0.2791220550895099
凤泉区,2016-03-10,0.4304007829853595
虞城县,2016-03-10,0.6418315425438323
项城市,2016-03-10,0.616788361468156
渑池县,2016-03-10,0.2715231008031895
商水县,2016-03-10,0.5706595040091991
禹州市,2016-03-10,0.3905976196667241
偃师市,2016-03-10,0.30677609682634005
北关区,2016-03-10,0.36556450445145455
华龙区,2016-03-10,0.2822752403061147
武陟县,2016-03-10,0.46032433761377717
中原区,2016-03-10,0.2373252493248802
内乡县,2016-03-10,0.42478137489024814
山城区,2016-03-10,0.2640821904538849
召陵区,2016-03-10,0.396111932547602
汝南县,2016-03-10,0.4054583261721686
遂平县,2016-03-10,0.4035493722100937
叶县,2016-03-10,0.43222900536137737
唐河县,2016-03-10,0.5406844363561317
西华县,2016-03-10,0.5637232971272149
汤阴县,2016-03-10,0.4420890727404128
范县,2016-03-10,0.3697648070394871
吉利区,2016-03-10,0.35262836710929474
管城回族区,2016-03-10,0.19420584999701682
涧西区,2016-03-10,0.18975440233905894
淮滨县,2016-03-10,0.46472740869810575
孟州市,2016-03-10,0.41019878738865284
宝丰县,2016-03-10,0.4618503695079965
上街区,2016-03-10,0.2886134796360114
山阳区,2016-03-10,0.3486111623605835
宜阳县,2016-03-10,0.27817854666198916
罗山县,2016-03-10,0.35413286547982764
解放区,2016-03-10,0.24230108414090337
驿城区,2016-03-10,0.26871863027030707
淇滨区,2016-03-10,0.31345540153437934
延津县,2016-03-10,0.4864480722000483
魏都区,2016-03-10,0.28009742218687783
原阳县,2016-03-10,0.53267459396972
邓州市,2016-03-10,0.5700442730886583
卧龙区,2016-03-10,0.39201653455109364
睢县,2016-03-10,0.5756338809678185
龙安区,2016-03-10,0.24951760243434096
中站区,2016-03-10,0.22047352704611392
夏邑县,2016-03-10,0.6636197189782962
沁阳市,2016-03-10,0.5443672173226074
平桥区,2016-03-10,0.356793644561457
光山县,2016-03-10,0.3074461749525367
泌阳县,2016-03-10,0.34885009047473187
修武县,2016-03-10,0.4190593099500725
西峡县,2016-03-10,0.3004644459236736
宛城区,2016-03-10,0.49202198971640837
殷都区,2016-03-10,0.33187940722803705
老城区,2016-03-10,0.22916869091537528
红旗区,2016-03-10,0.425059140547492
扶沟县,2016-03-10,0.5517970543079797
社旗县,2016-03-10,0.49830427861150317
温县,2016-03-10,0.4299952042671512
太康县,2016-03-10,0.6400443580867724
正阳县,2016-03-10,0.5739690424289939
西工区,2016-03-10,0.25296346771338646
博爱县,2016-03-10,0.33903262561921843
柘城县,2016-03-10,0.6560399948899415
永城市,2016-03-10,0.6736449353612673
安阳县,2016-03-10,0.334620371262391
湛河区,2016-03-10,0.5067949163830417
襄城县,2016-03-10,0.47605011070464226
义马市,2016-03-10,0.2611272785606353
长垣县,2016-03-10,0.49092792128267365
兰考县,2016-03-10,0.46091494865304883
镇平县,2016-03-10,0.45387842000923945
新密市,2016-03-10,0.29668075908298025
开封市区,2016-03-10,0.2890760380304766
卫滨区,2016-03-10,0.49392781522976653
洛龙区,2016-03-10,0.2410422228758367
鄢陵县,2016-03-10,0.428640909004912
卫东区,2016-03-10,0.30211901572032834
二七区,2016-03-10,0.18195558971764755
获嘉县,2016-03-10,0.556296440653464
南乐县,2016-03-10,0.45226068896491656
荥阳市,2016-03-10,0.3081430449786089
濮阳县,2016-03-10,0.4457705629412194
瀍河回族区,2016-03-10,0.2310624253520914
灵宝市,2016-03-10,0.20508258001200866
上蔡县,2016-03-10,0.5273040840973352
通许县,2016-03-10,0.45856104844609574
新安县,2016-03-10,0.2992778668352732
鹿邑县,2016-03-10,0.6352524197322592
中牟县,2016-03-10,0.2812593906577015
栾川县,2016-03-10,0.20804108168982144
沈丘县,2016-03-10,0.6288279766680132
郾城区,2016-03-10,0.49026219177481584
郏县,2016-03-10,0.4230473855668696
惠济区,2016-03-10,0.23099576629843127
宁陵县,2016-03-10,0.5338249865080883
陕县,2016-03-10,0.1829108307255332
伊川县,2016-03-10,0.2866300886046211
汝阳县,2016-03-10,0.2733307564815048
鲁山县,2016-03-10,0.34732649927790504
淅川县,2016-03-10,0.43831529574646294
长葛市,2016-03-10,0.4879253524076207
新郑市,2016-03-10,0.2956722269495066
川汇区,2016-03-10,0.42589637213452436
林州市,2016-03-10,0.21858431099864484
开封县,2016-03-10,0.3792689239693694
浚县,2016-03-10,0.49558609902076817
牧野区,2016-03-10,0.3512778267262803
许昌县,2016-03-10,0.4529303365654445
新蔡县,2016-03-10,0.4901778192388975
桐柏县,2016-03-10,0.2918901700452718
清丰县,2016-03-10,0.42906396400897884
临颍县,2016-03-10,0.4166809758711226
淇县,2016-03-10,0.38208250165268537
南召县,2016-03-10,0.2340968729642107
新华区,2016-03-10,0.39037859957972026
舞阳县,2016-03-10,0.5082412509053191
新乡县,2016-03-10,0.5020945378226869
潢川县,2016-03-10,0.3248981774959408
滑县,2016-03-10,0.5152576468874995
浉河区,2016-03-10,0.23582153280461365
卢氏县,2016-03-10,0.1859810860232822
梁园区,2016-03-10,0.49802334923189506
民权县,2016-03-10,0.48853293393467534
新县,2016-03-10,
尉氏县,2016-03-10,0.5051886280054447
嵩县,2016-03-10,0.22540322451735265
湖滨区,2016-03-10,
方城县,2016-03-10,0.3872548053672867
淮阳县,2016-03-10,0.6070544336870952
济源市,2016-03-10,0.32991453899793116
平舆县,2016-03-10,0.5628481151287283
台前县,2016-03-10,0.3517731173984981
封丘县,2016-03-10,0.5515862929307448
源汇区,2016-03-10,0.39519314941534106
孟津县,2016-03-10,0.3538934166881674
金水区,2016-03-10,0.19096309769440475
睢阳区,2016-03-10,0.6413717724297947
固始县,2016-03-10,0.23112649679062716
商城县,2016-03-10,
登封市,2016-03-10,0.2957996507416738
巩义市,2016-03-10,0.2641515529492802
汝州市,2016-03-10,0.33381018376436944
内黄县,2016-03-10,0.3234155710804966
鹤山区,2016-03-10,0.21396043227336572
卫辉市,2016-03-10,0.45185736451608693
文峰区,2016-03-10,0.4617611005582693
石龙区,2016-03-10,0.20163061699749735
息县,2016-03-11,0.5976544165557842
郸城县,2016-03-11,0.6053567401417103
确山县,2016-03-11,0.4402423490710019
杞县,2016-03-11,0.4395871432689562
马村区,2016-03-11,0.3783436652852514
西平县,2016-03-11,0.6140303292022494
辉县市,2016-03-11,0.37615963468971686
舞钢市,2016-03-11,0.4911417248577063
新野县,2016-03-11,0.4945708333029331
洛宁县,2016-03-11,0.2831778501841927
凤泉区,2016-03-11,0.39945511353591284
虞城县,2016-03-11,0.5403199851886354
项城市,2016-03-11,0.6317001874473481
渑池县,2016-03-11,0.3022239005865233
商水县,2016-03-11,0.6177797033320872
禹州市,2016-03-11,0.4081761829432543
偃师市,2016-03-11,0.33365971783746234
北关区,2016-03-11,0.35228276262248076
华龙区,2016-03-11,0.2563019601527984
武陟县,2016-03-11,0.4095833091769275
中原区,2016-03-11,0.23705734755944194
内乡县,2016-03-11,0.4061761038668072
山城区,2016-03-11,0.26071602707573205
召陵区,2016-03-11,0.586509339143008
汝南县,2016-03-11,0.6489837200765998
遂平县,2016-03-11,0.6219218076612832
叶县,2016-03-11,0.5691696178421023
唐河县,2016-03-11,0.5673049928373007
西华县,2016-03-11,0.5451990151232029
汤阴县,2016-03-11,0.38809559690366763
范县,2016-03-11,0.3183149008436364
吉利区,2016-03-11,0.31204063375730895
管城回族区,2016-03-11,0.20578840169493728
涧西区,2016-03-11,0.25080271451113323
淮滨县,2016-03-11,0.5499317909603252
孟州市,2016-03-11,0.37615687731051706
宝丰县,2016-03-11,0.48331130324651783
上街区,2016-03-11,0.22994937383426592
山阳区,2016-03-11,0.33939608610675553
宜阳县,2016-03-11,0.29390991482471235
罗山县,2016-03-11,0.36459074251143464
解放区,2016-03-11,0.20088793470063043
驿城区,2016-03-11,0.5869697039455624
淇滨区,2016-03-11,0.2922918212213959
延津县,2016-03-11,0.4507427429441987
魏都区,2016-03-11,0.4118489442528336
原阳县,2016-03-11,0.5002379014509197
邓州市,2016-03-11,0.5543001340545242
卧龙区,2016-03-11,0.3841130370598368
睢县,2016-03-11,0.5249711336758297
龙安区,2016-03-11,0.2245030547825603
中站区,2016-03-11,0.20772311043677255
夏邑县,2016-03-11,0.5652325820480227
沁阳市,2016-03-11,0.4995703546382271
平桥区,2016-03-11,0.3824946339647499
光山县,2016-03-11,0.31148647991132433
泌阳县,2016-03-11,0.39938709462035704
修武县,2016-03-11,0.3853773738865815
西峡县,2016-03-11,0.2991646790387669
宛城区,2016-03-11,0.5485971675481526
殷都区,2016-03-11,0.3244342999010375
老城区,2016-03-11,0.2497557129338433
红旗区,2016-03-11,0.4337733974369891
扶沟县,2016-03-11,0.5385201618325693
社旗县,2016-03-11,0.5726108592275642
温县,2016-03-11,0.38548585864934726
太康县,2016-03-11,0.5934537690769968
正阳县,2016-03-11,0.6637008631032724
西工区,2016-03-11,0.2547180808206248
博爱县,2016-03-11,0.395654815899518
柘城县,2016-03-11,0.5471599327096727
永城市,2016-03-11,0.6226394117422686
安阳县,2016-03-11,0.3044106312621408
湛河区,2016-03-11,0.5376774789911231
襄城县,2016-03-11,0.5669553397923749
义马市,2016-03-11,0.2680044751114055
长垣县,2016-03-11,0.40876867365453373
兰考县,2016-03-11,0.36267336560375985
镇平县,2016-03-11,0.44707334643269775
新密市,2016-03-11,0.31885190098099103
开封市区,2016-03-11,0.2801244096874327
卫滨区,2016-03-11,0.4991934332636584
洛龙区,2016-03-11,0.2747962370265798
鄢陵县,2016-03-11,0.491454527570882
卫东区,2016-03-11,0.34730589723671773
二七区,2016-03-11,0.21152473472391092
获嘉县,2016-03-11,0.5205599157345724
南乐县,2016-03-11,0.38483970729648503
荥阳市,2016-03-11,0.2943889835055254
濮阳县,2016-03-11,0.3801108759054242
瀍河回族区,2016-03-11,0.23122513096352357
灵宝市,2016-03-11,0.22283642020175617
上蔡县,2016-03-11,0.6089478528496954
通许县,2016-03-11,0.40973710538042823
新安县,2016-03-11,0.2957458536445078
鹿邑县,2016-03-11,0.5266907287131265
中牟县,2016-03-11,0.27712637079555386
栾川县,2016-03-11,0.2374420534832549
沈丘县,2016-03-11,0.6303720115357717
郾城区,2016-03-11,0.5760037667279053
郏县,2016-03-11,0.43410645729985947
惠济区,2016-03-11,0.22226922812693137
宁陵县,2016-03-11,0.44869660784430565
陕县,2016-03-11,0.24659405755849792
伊川县,2016-03-11,0.3262342514761307
汝阳县,2016-03-11,0.3206141227880952
