NAME,NDVI,YMD
息县,0.8216889705309809,2017-07-21
郸城县,0.7801449498592169,2017-07-21
确山县,0.8043361202738224,2017-07-21
杞县,0.7230309094410438,2017-07-21
马村区,0.7109756440090153,2017-07-21
西平县,0.7659996957806642,2017-07-21
辉县市,0.7573237397395135,2017-07-21
舞钢市,0.7655425734583969,2017-07-21
新野县,0.6874535843918049,2017-07-21
洛宁县,0.6224450729260613,2017-07-21
凤泉区,0.5911187569684411,2017-07-21
虞城县,,2017-07-21
项城市,0.7630104173965067,2017-07-21
渑池县,0.5480640616212046,2017-07-21
商水县,0.7472105194215978,2017-07-21
禹州市,0.694660863490202,2017-07-21
偃师市,0.6268223247542426,2017-07-21
北关区,,2017-07-21
华龙区,0.5820697918447002,2017-07-21
武陟县,0.6890643522251451,2017-07-21
中原区,0.5738128643772116,2017-07-21
内乡县,0.6426139644242516,2017-07-21
山城区,0.6494187531973084,2017-07-21
召陵区,0.7896146869417715,2017-07-21
汝南县,0.8327657048420193,2017-07-21
遂平县,0.719028071498707,2017-07-21
叶县,0.7283966546753016,2017-07-21
唐河县,0.7434155789814122,2017-07-21
西华县,0.7556578216929798,2017-07-21
汤阴县,,2017-07-21
范县,,2017-07-21
吉利区,0.6547957788829571,2017-07-21
管城回族区,0.6087943644648136,2017-07-21
涧西区,0.5854452263474504,2017-07-21
淮滨县,0.8336499511701929,2017-07-21
孟州市,0.7081571419438923,2017-07-21
宝丰县,0.7136343647240393,2017-07-21
上街区,0.6764705882352942,2017-07-21
山阳区,0.6274547464474657,2017-07-21
宜阳县,0.5823152591092122,2017-07-21
罗山县,0.8242341440652993,2017-07-21
解放区,0.6477617858460197,2017-07-21
驿城区,0.7712573880107908,2017-07-21
淇滨区,0.6588844765862824,2017-07-21
延津县,0.7982970465052016,2017-07-21
魏都区,0.7168276989851419,2017-07-21
原阳县,0.7589138563714588,2017-07-21
邓州市,0.7018124448010596,2017-07-21
卧龙区,0.5805186025505018,2017-07-21
睢县,,2017-07-21
龙安区,,2017-07-21
中站区,0.6481708056084535,2017-07-21
夏邑县,,2017-07-21
沁阳市,0.7230219504125125,2017-07-21
平桥区,0.7919725805478256,2017-07-21
光山县,0.8084620297439676,2017-07-21
泌阳县,0.7499884992164166,2017-07-21
修武县,0.69191561811298,2017-07-21
西峡县,0.6911276982358794,2017-07-21
宛城区,0.6199292987333513,2017-07-21
殷都区,,2017-07-21
老城区,0.4824758692895402,2017-07-21
红旗区,0.74023945468037,2017-07-21
扶沟县,0.763538466984252,2017-07-21
社旗县,0.5689486208605132,2017-07-21
温县,0.6453916114608944,2017-07-21
太康县,0.7803393711255897,2017-07-21
正阳县,0.8284634016582111,2017-07-21
西工区,0.5735276183829531,2017-07-21
博爱县,0.6593487024923002,2017-07-21
柘城县,0.7981092953558433,2017-07-21
永城市,,2017-07-21
安阳县,,2017-07-21
湛河区,0.6936827845455567,2017-07-21
襄城县,0.7069801292189272,2017-07-21
义马市,0.6280200780866185,2017-07-21
长垣县,0.7481357270050446,2017-07-21
兰考县,0.7022069265242483,2017-07-21
镇平县,0.6392505125484701,2017-07-21
新密市,0.6396453092413935,2017-07-21
开封市区,0.6915557084640634,2017-07-21
卫滨区,0.7141082621608105,2017-07-21
洛龙区,0.5947983466820339,2017-07-21
鄢陵县,0.7645808500879805,2017-07-21
卫东区,0.7549182543802851,2017-07-21
二七区,0.610967938341524,2017-07-21
获嘉县,0.7313836296988063,2017-07-21
南乐县,0.709220489385476,2017-07-21
荥阳市,0.6620567872691053,2017-07-21
濮阳县,0.7673886427146429,2017-07-21
瀍河回族区,,2017-07-21
灵宝市,0.6433739522984442,2017-07-21
上蔡县,0.7430446816328053,2017-07-21
通许县,,2017-07-21
新安县,0.6017224960887781,2017-07-21
鹿邑县,0.7723228473385292,2017-07-21
中牟县,0.7007547288163273,2017-07-21
栾川县,0.7163924514227581,2017-07-21
沈丘县,0.7480023196678262,2017-07-21
郾城区,0.7471230791704881,2017-07-21
郏县,0.7246121171059479,2017-07-21
惠济区,0.6017201866408947,2017-07-21
宁陵县,,2017-07-21
陕县,0.6011651053611679,2017-07-21
伊川县,0.6217838815688896,2017-07-21
汝阳县,0.6845862950439897,2017-07-21
鲁山县,0.724068479910189,2017-07-21
淅川县,0.6430800204829241,2017-07-21
长葛市,0.666713299626357,2017-07-21
新郑市,0.6406723561273482,2017-07-21
川汇区,0.7074547935571912,2017-07-21
林州市,0.7522704239674592,2017-07-21
开封县,0.7246903739569746,2017-07-21
浚县,0.7413300903680002,2017-07-21
牧野区,0.6170376289259044,2017-07-21
许昌县,0.7427152535438433,2017-07-21
新蔡县,0.7832481763693925,2017-07-21
桐柏县,0.7603860460289547,2017-07-21
清丰县,0.7012390757640208,2017-07-21
临颍县,0.7894227185859883,2017-07-21
淇县,0.7665089115735663,2017-07-21
南召县,0.6326658959131951,2017-07-21
新华区,0.7092328661344045,2017-07-21
舞阳县,0.7203527706180434,2017-07-21
新乡县,0.7248954372515638,2017-07-21
潢川县,0.8199838820338448,2017-07-21
滑县,0.7792800913417702,2017-07-21
浉河区,0.7415234593063885,2017-07-21
卢氏县,0.6902300808198356,2017-07-21
梁园区,,2017-07-21
民权县,0.6898141430489384,2017-07-21
新县,0.7703023061697296,2017-07-21
尉氏县,0.7866755744617299,2017-07-21
嵩县,0.7024680474552493,2017-07-21
湖滨区,0.5215102510906396,2017-07-21
方城县,0.6964590139133774,2017-07-21
淮阳县,0.7988457879955467,2017-07-21
济源市,0.6951332601226786,2017-07-21
平舆县,0.793458003070282,2017-07-21
台前县,,2017-07-21
封丘县,0.7842599478646566,2017-07-21
源汇区,0.7083394959267078,2017-07-21
孟津县,0.6097561768533687,2017-07-21
金水区,0.4699357851722125,2017-07-21
睢阳区,0.7835219572134577,2017-07-21
固始县,0.8321259785891854,2017-07-21
商城县,0.8134212989460402,2017-07-21
登封市,0.5986023150118666,2017-07-21
巩义市,0.6471230814788788,2017-07-21
汝州市,0.672453093492735,2017-07-21
内黄县,0.7660199757065411,2017-07-21
鹤山区,0.6213549354532608,2017-07-21
卫辉市,0.7900572599231953,2017-07-21
文峰区,,2017-07-21
石龙区,0.6275226015921294,2017-07-21
息县,0.8099025195742696,2017-07-22
郸城县,0.763083445649375,2017-07-22
确山县,0.8194530340732328,2017-07-22
杞县,,2017-07-22
马村区,,2017-07-22
西平县,0.8064532776900178,2017-07-22
辉县市,0.7291549575555175,2017-07-22
舞钢市,0.7704908701856372,2017-07-22
新野县,0.804842424272455,2017-07-22
洛宁县,0.7372417576641878,2017-07-22
凤泉区,,2017-07-22
虞城县,0.7732646444907525,2017-07-22
项城市,0.7706345703380851,2017-07-22
渑池县,,2017-07-22
商水县,0.7849353316429565,2017-07-22
禹州市,,2017-07-22
偃师市,0.8073104735405812,2017-07-22
北关区,0.6382064712159391,2017-07-22
华龙区,,2017-07-22
武陟县,0.620614208638338,2017-07-22
中原区,,2017-07-22
内乡县,0.6554409058800029,2017-07-22
山城区,0.8418725733624921,2017-07-22
召陵区,0.789095098640392,2017-07-22
汝南县,0.8319134813320717,2017-07-22
遂平县,0.8128309091303753,2017-07-22
叶县,0.780734304790953,2017-07-22
唐河县,0.8042930436997162,2017-07-22
西华县,0.7950472963070594,2017-07-22
汤阴县,0.840725931782658,2017-07-22
范县,,2017-07-22
吉利区,,2017-07-22
管城回族区,,2017-07-22
涧西区,0.7056645846257277,2017-07-22
淮滨县,0.8052435721469124,2017-07-22
孟州市,0.7640888978637324,2017-07-22
宝丰县,0.6869771852292206,2017-07-22
上街区,,2017-07-22
山阳区,,2017-07-22
宜阳县,0.5884616919641283,2017-07-22
罗山县,0.8046717456989267,2017-07-22
解放区,,2017-07-22
驿城区,0.7882582102342249,2017-07-22
淇滨区,0.8492810083318845,2017-07-22
延津县,,2017-07-22
魏都区,,2017-07-22
原阳县,0.32852212948619475,2017-07-22
邓州市,0.7707368881810601,2017-07-22
卧龙区,0.702090861138885,2017-07-22
睢县,0.7597988971431904,2017-07-22
龙安区,0.8347638024037503,2017-07-22
中站区,,2017-07-22
夏邑县,0.7474831569846608,2017-07-22
沁阳市,,2017-07-22
平桥区,0.7975886324166749,2017-07-22
光山县,0.786248065301673,2017-07-22
泌阳县,0.7918842008766789,2017-07-22
修武县,,2017-07-22
西峡县,0.7649296033593211,2017-07-22
宛城区,0.7650766105055271,2017-07-22
殷都区,0.7820933750466128,2017-07-22
老城区,0.46643884783331296,2017-07-22
红旗区,,2017-07-22
扶沟县,0.8011146744527662,2017-07-22
社旗县,0.8291935316413586,2017-07-22
