Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,269.125244768201,282.7425014399555,277.50338271313063,102220.78754809167,271.8015423608369,98071.37364135496,1.862645149230957e-09,1.870035155076314,0.35018546615920937,0.21655613125843515,0.00905358097982709,伊川县
2001_01_03,267.1740286704742,279.00905811082924,273.57359831148614,102666.8687107706,268.7447633759826,98391.91573862442,4.284083843231201e-08,-1.580532950709298,-1.0410708673854434,0.10609451943529534,0.013580371469740636,伊川县
2001_01_04,267.67233788849927,274.86822792030694,271.40618860162743,102839.0335378612,268.59296123461263,98528.78738541744,3.630876881345452e-05,-1.2355144810088294,-0.5627690262324466,0.18896338368000085,0.01810716195965418,伊川县
2001_01_07,270.7418608950611,275.2596585677109,272.60624362408385,102385.08242336313,269.4370598022972,98095.07678015345,0.005038926614977463,-1.262747329219536,-0.2661344879731979,0.0099443593704002,0.031687533429394815,伊川县
2001_01_09,264.74545072783917,277.4944229201336,270.82196067325276,102408.77236843802,266.5846134235661,98145.78743092179,0.0,1.291095382181514,1.4666994286621782,-0.012823397293392913,0.0407411144092219,伊川县
2001_01_10,268.01595091660687,279.72964474623006,273.1604434646326,101671.85727311742,267.1965842398845,97494.20211902063,1.862645149230957e-09,2.673078284779769,0.6328322745444742,0.011239739333215317,0.045267904899135444,伊川县
2001_01_11,267.9169070325725,278.24467761080723,271.31663361335734,102190.96299838215,267.1921695103681,97903.54385128374,6.657801724783487e-06,-0.6692556070657151,-0.5436435141870398,0.012308139108701993,0.049794695389048994,伊川县
2001_01_13,262.93247973577445,277.7520936394115,271.95501688541395,103114.25952018081,266.5139172013626,98817.63459504874,0.0,2.0183822256368256,-1.738800347087047,0.04751832563035774,0.05884827636887608,伊川县
2001_01_14,260.8954996201549,274.46775365140604,269.6415238390574,103461.84475456431,265.80980407082865,99100.22639887696,0.0,0.8595260288858239,-0.5009448506177189,0.11337073363637323,0.06337506685878963,伊川县
2001_01_15,265.85776586033734,273.55146099492214,269.77339667479004,103300.27318226446,266.143684585306,98949.94722237517,0.0,-0.4440655428175784,0.48622322588933775,0.029282503826298642,0.06790185734870317,伊川县
2001_01_16,267.4284419129071,275.1741972886024,270.47724435966245,102885.84626863913,266.1739722133772,98584.80271267281,5.407655340677862e-07,-0.16423596307255559,0.1494391018575403,0.03178816874136121,0.07242864783861672,伊川县
2001_01_17,269.4231881983434,277.31367800898306,272.1095606523511,102372.44117357518,265.86209159846567,98125.9983366391,3.9300954018903554e-07,-0.7324635984523401,0.27420710950436905,0.0853480930419768,0.07695543832853026,伊川县
2001_01_18,271.3159309617054,277.30161916749194,273.115845707236,102683.41103836306,269.3144988872328,98402.34039490977,0.0007798810278092792,-0.618805067333616,-0.9278620362355607,0.13093051059118954,0.0814822288184438,伊川县
2001_01_20,270.12231649332074,278.1428118020507,272.8888149674499,102234.73170527024,269.3512867125978,98003.6901642911,2.585833118084907e-05,-0.9241463447222638,0.32898831143557783,0.18527529582562127,0.09053580979827089,伊川县
2001_01_26,266.8563081302191,275.91881479261707,270.68444009014337,102455.73083618197,266.2677476718206,98181.49187016743,1.862645149230957e-09,2.869406731258872,0.39559794263647124,0.0048725247561662325,0.11769655273775216,伊川县
2001_01_29,265.17370532638375,278.85489194093157,273.4237065561178,102400.72284164264,267.0427409341235,98185.17669165146,8.131183191205489e-07,2.4651265118049253,0.15307278497837157,0.00785990985354548,0.1312769242074928,伊川县
2001_01_30,268.0447284158666,279.59241720425445,275.9246193872966,101904.3003650765,269.313115042213,97714.17313404013,2.064626939362926e-06,0.9868911034283822,0.34577816985387383,0.020963817928443595,0.13580371469740635,伊川县
2001_02_01,267.3455063088536,279.22037449288064,274.22485832136744,102350.18993811579,269.8786730829309,98143.18355841136,0.0,0.5850986981038877,0.8277955999048963,0.06798008811362154,0.14485729567723343,伊川县
2001_02_02,270.2696363284953,281.2462651333833,276.3252097698115,101883.21560891958,270.34313530122523,97720.24439564958,2.237144520791728e-08,0.199686612735566,0.7974736153322483,0.11442263121250378,0.149384086167147,伊川县
2001_02_08,271.86473371739004,280.5606419403275,275.2218076616106,102613.85647320047,268.2916353491631,98410.24551567723,0.0,1.476441081532856,0.5693194291797,0.18402848708264458,0.17654482910662825,伊川县
2001_02_09,268.9239460070686,283.5447417176585,275.89147929031054,102602.13890822168,269.5671690214938,98422.43849540756,0.0,1.9898581150205652,0.13868964461150698,0.18395779125310155,0.18107161959654178,伊川县
2001_02_10,271.4002941749119,284.3965649547466,276.36402411033697,102599.80318615265,270.14007345864735,98355.667911532,0.0010687660684481752,-2.4609578952875797,-1.2667992568743913,0.20583891635389318,0.18559841008645533,伊川县
2001_02_14,270.5864325497325,285.87084151956753,279.2303640438602,102386.30619622671,270.30975954333377,98239.6385157527,4.284083843231201e-08,2.160157200682398,0.8916656658400895,0.15309703948766382,0.2037055720461095,伊川县
2001_02_15,266.12282374625516,284.06561352727454,277.67221483038554,103102.75221794173,270.76621054573314,98890.65182893998,0.0,2.192498193141517,-1.2756891215142632,0.19104910627707472,0.20823236253602306,伊川县
2001_02_16,268.7562958176581,280.5464497560133,277.5561771567086,102809.69228101589,271.1772660611083,98565.98737203886,0.00036005554797165234,-2.4270318617108426,0.9965979094268826,0.22518081131245601,0.2127591530259366,伊川县
2001_02_17,273.35756162995375,284.5700244928419,277.87315693013505,101904.59297185706,272.87614887096777,97762.39969414627,1.1873539848118644e-06,0.8838962402772623,0.6189541392004744,0.15907500638127084,0.21728594351585018,伊川县
2001_02_18,276.657505248929,289.1554833624889,282.3932609679002,101840.73975879526,273.9524671838244,97751.46521168308,3.6411286594357833e-06,-0.753286588098831,-0.23298087461326372,0.22154830541830878,0.2218127340057637,伊川县
2001_02_19,278.0996543639818,285.88231121439145,281.8535221742866,102239.59487473812,277.26154786012046,98106.31674958335,0.0014004981829578835,-1.6139863970796904,-0.6514961659375362,0.17111467016032192,0.22633952449567724,伊川县
2001_02_21,279.006019791531,289.1897057115066,282.46731521020075,101490.64822619614,276.12428120854287,97397.79932846957,0.0,-0.7266973458145883,0.5693117096233715,0.26821429286633514,0.23539310547550432,伊川县
2001_02_24,268.31533384176424,279.6645032648786,274.9890749215612,103184.94547382656,271.03273591022935,98905.6664434403,6.267066734456642e-07,-0.9647347563470777,0.2165701163575632,0.2931148283691884,0.24897347694524496,伊川县
2001_02_25,268.54518074568085,280.1782920793688,275.8172871570396,102894.24356174433,271.48370215636254,98624.03528311726,5.466678668583104e-06,-2.5138035300866,1.1482185465313273,0.3103098938280521,0.2535002674351585,伊川县
2001_02_28,270.6727316936731,287.6488516416513,282.4478107936016,102092.28539101446,274.5337786849856,97988.96582243375,0.0,3.1790220308103994,0.316630518035009,0.25097404166677956,0.26708063890489914,伊川县
2001_03_01,273.24378544855483,292.1894773096342,285.509253154075,101979.99311296981,278.36052306990933,97920.75000987152,0.0,0.3093869121435741,0.6671782671705163,0.2918627005473835,0.2716074293948127,伊川县
2001_03_03,256.1962799967205,286.71954907669664,280.9936693304463,102479.1026544159,273.42692125413544,98314.52241395086,4.0978193283081055e-08,4.523010631165002,-2.0834312718968078,0.3208177589308097,0.28066101037463975,伊川县
2001_03_04,268.5338619788931,289.1263190940626,282.9849756471777,101697.90162068939,274.15499078580785,97613.2137802545,5.420597520369402e-06,0.44703350964566424,0.8655463959655277,0.3090943777168816,0.2851878008645533,伊川县
2001_03_07,260.52965744059975,281.9803926721531,276.3507885093038,103201.27215114428,271.93868930875544,98949.67049696538,0.0,1.5940311300640537,-0.9061501418992978,0.25248020338995975,0.298768172334294,伊川县
2001_03_08,260.2016260848207,282.8380106286286,276.145331599029,102859.5106252869,270.93901485726303,98645.00599072626,0.0,3.1155697627253414,-0.16349925050498365,0.40280834911504243,0.3032949628242075,伊川县
2001_03_09,270.4554855038271,291.04576005354585,282.6658201652037,101821.65670858079,271.7760898981378,97756.7719637817,0.0,2.546282871229562,0.3719955237622125,0.27735886618670763,0.30782175331412104,伊川县
2001_03_10,272.30792076670684,290.5097832790595,282.2918988349894,102284.51288728969,275.3328054967493,98155.57655608127,0.0,-0.947951545042288,-0.4235914986537911,0.27963096358858364,0.3123485438040346,伊川县
2001_03_11,266.9611605350385,291.4485809009902,283.8616633451159,102239.86524274322,276.5147223256562,98169.12935554225,0.0,3.243470818560067,-0.1504161678520147,0.343032745817768,0.31687533429394815,伊川县
2001_03_12,272.8226442065351,295.32549447517107,286.41562968161224,101655.2617380797,278.0240171850646,97627.861617642,1.6073095047149257e-07,-0.5115398850763322,1.1069897058974534,0.37306325616174324,0.3214021247838617,伊川县
2001_03_13,278.6146636601488,297.00663935617536,288.9907027725586,100839.44667214737,280.5428840754361,96860.81008176522,7.381125028167835e-07,0.5994329155082744,0.8174069410012985,0.33211407423403944,0.3259289152737752,伊川县
2001_03_14,267.79138594845796,292.7248623071911,286.4884488214432,102180.04692308967,280.23496545156434,98078.66720720727,0.0006944934022728501,0.2813088799327932,-1.0125987750759602,0.1976493626314631,0.33045570576368877,伊川县
2001_03_17,271.06440066094706,290.8388078928576,284.48494856498706,101614.53637092139,278.8707769710372,97562.27153101795,0.0,4.096303508041534,-0.4726430047579604,0.3641670107501033,0.34403607723342944,伊川县
2001_03_21,274.155830292929,300.46878126759924,291.7713267018526,100613.3717216338,284.0831442269689,96662.56906038856,0.0,2.0697406312721958,-0.3254670245925147,0.39569018508909004,0.36214323919308355,伊川县
2001_03_23,275.2179744966826,291.190057527729,287.184880361748,101041.41253834212,281.2812558715201,97037.24665508985,0.0,0.9998780465149933,0.9331950258236839,0.25904432595547655,0.37119682017291067,伊川县
2001_03_26,277.1945035426581,288.22650865082994,284.1614391830867,101076.22915841476,278.6307723767584,97006.39617047065,0.0026671943857264355,-1.4456623207450725,-0.5200809515174336,0.29613022908052755,0.3847771916426513,伊川县
2001_03_27,270.34706104439124,286.1523017214485,279.78074015307135,101890.08337640247,274.8648321886856,97719.19727313527,4.540996490572131e-06,-0.06603421225375469,-1.3606075800570074,0.27766943664170807,0.38930398213256484,伊川县
2001_03_28,264.3273972110279,287.1639308548389,280.58920564597787,101821.3620660409,274.49126214763027,97710.07743809547,4.083481998431423e-08,2.6133446657394463,0.08450574523672472,0.478679774555524,0.3938307726224784,伊川县
2001_03_29,272.4864521899925,294.08221435283946,285.9056227441229,100976.31236707057,277.5248228046336,96967.89691384799,0.0,1.716312082980611,0.8718764081509628,0.4686144411400216,0.39835756311239195,伊川县
2001_03_30,269.27169100989835,289.30890304265205,283.14194048835856,101950.47867876365,277.89517605511355,97827.12310502668,0.0,-2.8705633954944902,-0.48107733299702354,0.42044014583139167,0.4028843536023055,伊川县
