Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,271.38879920256056,282.4427267986269,278.00828162965126,102251.10290030489,273.11343251137953,101629.81350123911,1.862645149230957e-09,0.7504542355392345,0.12641541764932362,0.2858827135670667,0.00905358097982709,淮阳县
2001_01_03,269.35607094756625,278.6665230882084,274.8618573908393,102646.40311955701,271.80917740887054,102010.12585672384,4.284083843231201e-08,-1.594145994143967,-2.3426295234554035,0.09859874474664986,0.013580371469740636,淮阳县
2001_01_07,272.2101426031063,274.75617720618476,273.5669320910649,102342.98773266209,270.9479064209324,101704.11356074359,0.005532758685767456,-0.848482164004923,-2.989070385419885,0.15815220251476553,0.031687533429394815,淮阳县
2001_01_09,270.7019849549254,274.9381935523265,272.3249710280372,102563.73692157835,270.42122138453163,101923.3357090781,2.698234418128827e-06,0.3750086085623559,1.620433034693572,0.020841223463419236,0.0407411144092219,淮阳县
2001_01_10,271.5470951424975,279.4525196509284,274.23273213894913,101713.78193041356,270.1363612470009,101087.61695261615,1.862645149230957e-09,2.407491443081069,1.4469724803939612,0.11617598098975979,0.045267904899135444,淮阳县
2001_01_14,263.85734724772124,272.7953017162678,269.2015425234907,103545.42766840912,266.66868022737856,102890.22158683365,0.0,-1.0864430205638909,-0.9161098451706459,0.20405331193009765,0.06337506685878963,淮阳县
2001_01_15,266.2899843423951,273.76077111783053,270.9497326975406,103395.4276513221,267.26558636725855,102747.56954685813,0.0,-1.2600201561763023,1.642602813662625,0.28610310968876307,0.06790185734870317,淮阳县
2001_01_16,269.3159529422975,276.9436569761161,273.82677315418607,102917.26407160248,268.43666430507574,102279.84810129127,0.0,-1.6169657107712514,1.281319450404129,0.3143728173249062,0.07242864783861672,淮阳县
2001_01_17,272.6890298827793,279.76582525527834,276.26264645042465,102433.93274945655,270.62465185485377,101805.64628630895,0.00010273746208543977,-1.5549932038884695,1.156710573609229,0.33192019113658827,0.07695543832853026,淮阳县
2001_01_18,273.10926513219226,282.6042032544378,276.4812647180456,102555.40216690011,272.360662342113,101923.73460962548,0.00027017334668769176,-1.1790564065856217,-2.4024911228387142,0.34903930392060195,0.0814822288184438,淮阳县
2001_01_26,267.4491984792621,271.8029382360515,269.27413294742485,102467.93213046124,263.0552712698904,101825.94056477415,1.862645149230957e-09,1.997638817219169,0.7315399545620437,0.012674453744335616,0.11769655273775216,淮阳县
2001_01_29,268.7086651240443,279.2760735093457,273.9953310381994,102364.84325640734,269.7035363354837,101737.87968654782,4.284083843231201e-08,2.2197159232492165,0.7170905000781866,-0.00605143749061047,0.1312769242074928,淮阳县
2001_01_30,271.4318482655254,280.4840995212007,276.7066958329584,101866.93743856918,270.4344989790823,101245.26887854528,9.780733612662638e-05,0.4200971260194644,1.1234112775678928,-0.00041310099032174725,0.13580371469740635,淮阳县
2001_02_08,272.1185674242324,276.7189791476719,274.1850268358133,102706.23579293005,269.45750909781384,102072.94503972371,0.0,1.0470849083205371,1.8989635659340314,0.2155910676878955,0.17654482910662825,淮阳县
2001_02_10,274.7605780950739,285.54064647933535,278.350008489395,102587.62705397757,272.98305557937795,101960.14970328056,1.380521027361533e-06,-1.6918333992591519,-1.113524169639237,0.1612447024538001,0.18559841008645533,淮阳县
2001_02_14,274.3731418731779,284.56678832944164,279.7715265639284,102445.16621868023,272.1524923533016,101823.53694120121,4.284083843231201e-08,2.7804601784295593,2.794468077495029,0.4027520499887598,0.2037055720461095,淮阳县
2001_02_15,269.25657333849836,285.83480003612385,279.5456412120941,103003.11141202402,273.55579655367757,102376.9573928035,0.0,-0.3002569555273417,-2.0488305262107414,0.29828662476574946,0.20823236253602306,淮阳县
2001_02_16,268.86727347924165,281.89782586486257,278.4479383592687,102952.12757354627,273.62259394988286,102320.45615770908,0.0,-2.96496023753561,2.0857793285735324,0.34045543052289556,0.2127591530259366,淮阳县
2001_02_18,277.2858693359867,288.5385469935916,281.7897086608177,101935.0484804567,274.3837833373796,101324.67915113179,0.0,-1.3300616303266255,1.1455728659630604,0.33747704690788305,0.2218127340057637,淮阳县
2001_02_19,277.5355645664773,288.5289960160511,283.0045636158713,102220.35113860187,276.95692361837797,101605.39624958498,0.0002631719803437329,-2.7596341926753833,-0.4950469423641898,0.35596677851140085,0.22633952449567724,淮阳县
2001_02_24,268.6206171401474,278.01340619458585,273.9233446874928,103271.40177426802,270.1008379920131,102631.77598135897,1.862645149230957e-09,-1.4105572980394614,-1.2112294583963803,0.4652723160543507,0.24897347694524496,淮阳县
2001_02_26,274.79875342639644,278.9280792003574,276.92273557822733,102546.31176375161,273.4151435397209,101914.38778330303,0.002805639338185463,-0.01199370513290029,-0.3485036438375311,0.3838450006941759,0.258027057925072,淮阳县
2001_02_27,275.19786453620975,282.6862055700316,277.64121832474984,102368.83698415698,272.7975902958575,101747.83580664452,1.1572994154487712e-07,0.779381028946318,-1.626282260808694,0.4935745088767783,0.2625538484149856,淮阳县
2001_02_28,276.2732730153621,286.0302020182306,281.49858010378574,102098.3378282082,273.9657858680639,101483.40979358662,0.0,1.9933923397408566,1.1071982514775704,0.46134378556479533,0.26708063890489914,淮阳县
2001_03_01,275.5689319292041,290.93853471309944,285.31372638314025,102137.72040124953,278.2216054293345,101529.76255680584,0.0,-0.5901955129298657,1.4755667687803304,0.3299274787394516,0.2716074293948127,淮阳县
2001_03_02,276.90298508972086,289.62222584020236,285.79523810832603,101958.04274426156,280.55559507777275,101351.56276490798,0.0,1.3035388051503054,0.4637603446121909,0.36554792845089623,0.27613421988472625,淮阳县
