Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,264.48132314805275,281.2453449013431,274.45237418481986,102347.15703634545,268.87476386713683,101675.2852219253,1.862645149230957e-09,-0.5232441576277069,-1.1836747928107796,0.11259375783694126,0.00905358097982709,清丰县
2001_01_03,260.76001613117427,275.54866456891267,271.1554991497107,102875.6045568782,268.1263144061179,102190.8925173471,6.373293464973328e-07,-1.312482933869018,-2.008990531540209,0.15337823274289256,0.013580371469740636,清丰县
2001_01_09,268.62023802073156,273.111458301214,270.685913251703,102346.20413641176,268.4129148076375,101665.94399027372,1.0621492684372091e-06,0.44253597955862134,3.261788067503661,-0.01385168330007485,0.0407411144092219,清丰县
2001_01_10,267.18692786612365,276.8588471159174,269.8578453231422,101712.50046619822,264.34259401265126,101036.82821320221,6.936697300981835e-07,-0.36482219247408054,-0.8853643651072544,0.006682050947112272,0.045267904899135444,清丰县
2001_01_13,262.91544609069575,269.4865500889221,265.306452157832,103277.04281343317,260.74774135819547,102579.48478921012,0.001047611212790062,-1.255606440602747,-2.062606650799184,0.0033598810266834197,0.05884827636887608,清丰县
2001_01_14,260.05930206050596,268.5063522728193,263.7367804048818,103635.39146511475,260.64391294349554,102932.3946522178,0.0,-0.9001170123708144,0.6349240511294734,0.004488825296339965,0.06337506685878963,清丰县
2001_01_16,265.57339418726696,272.7943305549262,268.7898972914847,102986.15502970097,263.0631992506484,102301.24094198056,6.93454753830943e-07,-0.8252642935391352,1.4179464824094616,0.013750193562439677,0.07242864783861672,清丰县
2001_01_17,268.4265273470982,275.93059140824863,271.13524673391726,102473.37314369372,264.728034796802,101797.7888468586,0.0,-0.4015662492864182,2.2683820317449706,0.015598908350444033,0.07695543832853026,清丰县
2001_01_18,268.55754658960086,272.2483723901429,270.0604183313494,102860.61859493692,267.98105045838815,102172.95992588534,0.0005600322940143759,0.3308754515562694,-3.373801004927961,0.018750594437467103,0.0814822288184438,清丰县
2001_01_26,266.02700628538605,273.87610609784593,270.11471169972754,102285.40002839034,265.75295880935164,101608.40308826903,1.862645149230957e-09,1.0924757270022354,1.5295933776632726,0.010304588673480646,0.11769655273775216,清丰县
2001_01_28,260.4443304936257,275.88577273101527,271.5193028652837,102825.03741975046,267.3319477613585,102145.4088321641,1.862645149230957e-09,1.6520855391987763,1.5715443207707043,0.00997920671955138,0.12675013371757926,清丰县
2001_01_29,264.76767441983026,280.4783567730663,273.8463553203101,102283.8954608188,267.58721538754736,101619.18036115108,4.284083843231201e-08,0.022583005906473032,0.5255188476576798,0.006904638095040284,0.1312769242074928,清丰县
2001_01_30,268.79169099443,280.14165880454993,276.1894110619873,101805.48335489683,269.59908845530623,101142.50308631132,4.240072207413085e-05,0.5925626012030718,2.220133940004071,0.014673361248017611,0.13580371469740635,清丰县
2001_01_31,263.2691126786136,280.56091177828586,275.9692004313303,102307.11404273135,270.10530209006504,101642.13272393141,0.0,0.527649451461003,-2.4190499915480994,0.018565596894252245,0.14033050518731988,清丰县
2001_02_01,265.84618520396185,277.94161092530993,274.3870221032423,102340.7870502234,270.12468486250015,101669.83601601649,0.0,-0.10011248197943995,2.5921205793972515,0.04919487891678504,0.14485729567723343,清丰县
2001_02_02,270.7670633039312,281.0049694085697,276.4732036644505,101907.04591101859,270.160666424166,101243.6718579319,0.0,-0.03283380417161281,3.08122459532897,0.07665131075840519,0.149384086167147,清丰县
