Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,269.84285184421833,282.3823186016282,276.85262270007024,102270.83310522068,270.1463922072661,101335.4641363792,1.862645149230957e-09,-0.5663808330264937,0.44601395126975146,0.1358785618315352,0.00905358097982709,金水区
2001_01_03,263.21991838291126,276.003386759613,272.3260436788792,102794.4031379939,269.42415848732753,101833.83115778361,4.284083843231201e-08,-2.2961498139264216,-1.3149058424582267,0.1258812725592707,0.013580371469740636,金水区
2001_01_07,271.2925305193105,273.5760985317608,272.5168496847809,102436.8782628892,268.19506946864516,101481.87971587296,0.004097421923966411,-1.6283897907085463,-0.9261776293744314,0.002519382143032428,0.031687533429394815,金水区
2001_01_10,269.2065649802739,280.44138966647614,272.9358783278607,101648.74620035497,267.7777730197375,100711.11220159795,1.862645149230957e-09,0.21862760828937278,0.983206567118357,0.003099430510762283,0.045267904899135444,金水区
2001_01_13,266.2401655047929,272.4327753513877,269.0250121647368,103215.69061349377,265.7591518948411,102239.47618226991,4.32526353183521e-05,-2.442689991547259,-0.6291405275119825,0.00503452304850515,0.05884827636887608,金水区
2001_01_14,262.4722809944304,272.92705666611266,268.1268678910271,103555.33615575757,264.63415427149465,102573.85094971937,0.0,-1.114912985823243,0.0664631106134493,0.0018862229154997768,0.06337506685878963,金水区
2001_01_15,265.4441503975974,273.19429317653635,268.7497111438847,103356.96367197433,265.11107697380527,102386.24033135158,0.0,-0.5281969905360866,1.5119888740374907,0.004814111218375821,0.06790185734870317,金水区
2001_01_16,267.10031204674334,276.15083680289143,270.3427224412399,102918.45850049857,266.27597860838836,101960.92943141091,0.0,-0.3666701822560234,1.0786527066504086,0.012983122678341787,0.07242864783861672,金水区
2001_01_24,268.26560447227456,273.57449537853176,271.4380755854354,102826.28188251221,269.4456077540545,101862.11971848927,0.0006822901837608902,-1.7144887791727668,-1.6976628801955498,-0.004437044069732087,0.10864297175792509,金水区
2001_01_26,268.28428068918,275.91475190893084,272.2516130833363,102326.7924022455,267.6809188298357,101377.00478982874,1.862645149230957e-09,2.735669203818319,1.494956728095976,0.02340064028942399,0.11769655273775216,金水区
