Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,269.2832154821171,283.1467188453986,277.65383557896314,102227.23721024279,270.95073820595945,99670.17134168834,1.862645149230957e-09,1.0125216597586042,0.5480281556673556,0.19877329938608077,0.00905358097982709,偃师市
2001_01_03,266.07768934518765,278.0475259799206,273.03011808511536,102719.18704280425,268.6892786107112,100083.05809532283,4.284083843231201e-08,-1.9539611804779862,-0.8468947511444752,0.08840935784923912,0.013580371469740636,偃师市
2001_01_04,267.22824689881855,274.66964762944355,271.32609008266036,102860.92833212938,268.65567283407165,100211.57140810265,1.3201880039723248e-05,-1.258361691792623,-0.3696463487754257,0.1679138301172061,0.01810716195965418,偃师市
2001_01_09,265.3713338370919,278.32544541102493,271.7271391247653,102386.42526527244,266.7880860738049,99770.12764818067,0.0,0.9451524212107756,1.3568645574407414,-0.016370990148041435,0.0407411144092219,偃师市
2001_01_10,268.4383190785127,280.8378393862291,273.67878072658976,101655.7751051218,267.36303352472004,99085.2743978448,1.862645149230957e-09,1.8094909925455787,0.9415414967121337,0.026477757702013594,0.045267904899135444,偃师市
2001_01_11,267.83382855106305,277.87735203910853,270.88996898790475,102220.16941343129,266.71658961989937,99579.31647325339,2.374147635277103e-06,-0.9665543140756773,-0.21213561202934875,0.03240098291213137,0.049794695389048994,偃师市
2001_01_13,264.16576721421575,278.6513386971984,272.1003051800778,103113.40916084887,266.3425605299634,100468.78997361599,0.0,1.2101032815995414,-1.2356499842355504,0.07712484680948925,0.05884827636887608,偃师市
2001_01_14,261.5285669916135,274.7879523047959,269.80525781346165,103475.99162553281,265.8363938044012,100792.19152988745,0.0,0.1818789539474935,-0.25700656162000046,0.11728537881731782,0.06337506685878963,偃师市
2001_01_15,265.7164702262431,274.47566331860673,269.87175285889435,103308.5757177205,266.2983857067879,100637.26663000228,0.0,-0.17575962577965226,0.5523508025619343,0.02855474204900163,0.06790185734870317,偃师市
2001_01_16,267.1592504986683,276.9621873725871,270.6868189459012,102889.468445611,266.36504653860055,100249.30301462203,2.853135684581705e-08,-0.13186173835414952,0.3028753706281628,0.027465878880479053,0.07242864783861672,偃师市
2001_01_17,269.0326999205694,277.84604059782936,272.0291831213837,102386.8091028013,266.53589302367027,99779.3299172689,8.328582899278445e-07,-0.5069506310546404,0.28266411287342585,0.06510889553365104,0.07695543832853026,偃师市
2001_01_18,270.92190018643674,277.63364851866726,273.16159014542774,102703.27381885525,269.7347074975942,100071.74777021143,0.0007411057714621938,-0.9551892752839758,-0.5886943286218085,0.06449261158126618,0.0814822288184438,偃师市
2001_01_20,269.90581225927673,278.1454998395529,272.6348107168149,102256.48407956315,269.34862356385645,99655.33215928524,1.7820638779788764e-05,-0.6097313855465822,0.3877844446919497,0.16024907957434972,0.09053580979827089,偃师市
2001_01_26,267.8993789973137,276.73577115707656,271.7115532463826,102416.37013703496,267.8434297825924,99792.94956946388,7.750129506942581e-08,2.3435653237889693,0.8371664603657307,0.01620958882924975,0.11769655273775216,偃师市
2001_01_29,265.1967377179809,279.6302522425524,274.0093991290316,102383.91030022713,268.0742420279401,99793.25131214164,1.2380412566223415e-07,1.932846564998693,0.6310047408839675,0.07118762952464633,0.1312769242074928,偃师市
2001_01_30,267.8460410435813,280.52060626074746,276.18095380897074,101889.29292342668,269.6265058517831,99317.41030395193,1.110354591159726e-07,0.7149122452243682,0.5710719726028664,0.10728555940635669,0.13580371469740635,偃师市
2001_02_01,267.44055221922684,279.53007916025126,274.3205976611583,102355.0908353003,269.4601644613787,99767.68952770586,0.0,0.25596273934907127,0.7303227992599827,0.08247872210070009,0.14485729567723343,偃师市
2001_02_02,270.6928540823991,281.75221889949296,276.5217057408766,101885.2290891674,270.0052031218346,99328.05657555907,0.0,0.3779596353324499,0.7228403036900575,0.0983629020581034,0.149384086167147,偃师市
2001_02_08,271.18342398595445,280.79106993229277,275.139888526856,102606.64066324716,268.2333125635355,100023.17922159398,0.0,1.2901686973797908,0.9527211103835538,0.17392857414451793,0.17654482910662825,偃师市
2001_02_09,268.3933492808538,283.99622408168005,276.1648355236752,102599.87756228073,269.50172012759526,100030.57995858314,0.0,1.526999406348026,0.4372864849601726,0.17711177526178415,0.18107161959654178,偃师市
2001_02_10,270.2770281262129,283.5342256325434,276.14381538096626,102662.59630352778,269.9007568563789,100047.09446612957,0.0011346858434001486,-2.9471824366692,-1.1060901212570347,0.1557959713705692,0.18559841008645533,偃师市
2001_02_14,270.9040516920912,286.16485928461896,279.3505659226224,102362.49501591471,270.6049842443504,99814.14370257535,4.284083843231201e-08,2.1086565485016187,1.1787842714305312,0.30690996386393943,0.2037055720461095,偃师市
2001_02_15,266.3681914512156,285.2384074520372,278.1138707396915,103093.96572186904,270.33251614959744,100507.11753232015,0.0,1.7645752971595874,-0.7601532440841638,0.22335983263195744,0.20823236253602306,偃师市
2001_02_16,268.9962555990734,281.5920059222995,277.7991059322869,102843.76094221648,270.91215123598954,100238.97656920234,0.0009706606576390426,-1.8899143801257883,0.36910860827038783,0.2267914931427123,0.2127591530259366,偃师市
2001_02_18,276.5655192417886,289.54252099260725,282.359007757546,101859.2285860572,273.92633311996224,99346.48905673159,3.6166146517520493e-06,-0.561229974777576,-0.05587440789508395,0.1915099525168857,0.2218127340057637,偃师市
2001_02_19,278.1870475511449,286.3682194831657,282.417531887885,102259.07517884241,277.9074252451866,99720.5878726431,0.0007559972976500192,-1.8347210167305195,-0.7821383274788621,0.15047955224546986,0.22633952449567724,偃师市
2001_02_21,278.9290899011478,289.63332663011766,282.3498117816426,101499.68732292666,277.07309281038727,98988.8850681911,4.149914102746197e-08,-0.4151317687231146,0.38535277125878153,0.2792171993233382,0.23539310547550432,偃师市
2001_02_22,279.62661671189267,283.4865949953181,281.3668721859323,101236.34552326957,277.9096871269495,98712.66107684003,0.005373805107022481,-0.8827194136044118,-0.4246922110374265,0.17964568454711077,0.23991989596541785,偃师市
2001_02_24,269.38082459535684,280.0664257107344,275.03787211854916,103202.51332753139,271.10916268709036,100573.65821441585,4.160244068880899e-08,-0.9840753187374169,0.40994698947153785,0.313423306609595,0.24897347694524496,偃师市
2001_02_25,269.3699472474556,281.00412247407405,276.19629895915443,102918.92319125884,272.19002572044707,100301.67518856045,2.4752686371017747e-06,-1.9303065216942439,0.6726869168522736,0.2691910207529487,0.2535002674351585,偃师市
2001_03_01,273.9768097401617,292.56110666153677,285.47236864290164,101993.8162360103,278.01570381801423,99497.33075092934,0.0,0.19447277413406494,0.5496844534176969,0.2806560402329075,0.2716074293948127,偃师市
2001_03_03,256.2936630247409,287.1595593528338,281.51744892189726,102442.20588194543,274.07194294467666,99886.59650527005,4.0978193283081055e-08,4.472026208839215,-1.3037997929405742,0.35993736718167463,0.28066101037463975,偃师市
