Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.18621882824537905,269.55819330479903,281.6961403411904,275.79098382517645,102943.78677033592,271.3463313668151,102376.95649076965,0.0,-0.024176589578554907,0.17434960801070154,0.0044247783098591556,固始县
2002_01_02,0.3366243854662133,270.18079620052004,285.1104880364235,279.1508097299138,102785.11705067134,271.32856489625425,102225.14767536058,0.0,2.252914916129392,1.4989184761505832,0.008849556619718311,固始县
2002_01_03,0.30327509740945297,271.588395925197,286.60364200229463,279.53360412898877,102551.58308324369,274.97548238864476,101995.61254125874,0.0,2.6675975303508093,0.04341668711939806,0.013274334929577464,固始县
2002_01_04,0.3549439912370586,272.5049364676614,289.6556442563817,282.5581199645263,102171.632783134,276.73642446373503,101621.44117080078,0.0,3.4221822142890748,1.5016984896800396,0.017699113239436622,固始县
2002_01_05,0.34613192901835044,274.3343238266532,290.8678089319505,281.7064786063316,102131.27912787042,276.29467097508683,101584.16458097186,0.0,1.1371919247848306,0.5091926391319316,0.022123891549295775,固始县
2002_01_06,0.15806867285304183,274.83189128816934,289.3021508419259,281.85259122039776,102301.71356265238,274.2304417493305,101749.78703830668,1.1796068533709449e-05,1.853649351478743,0.06463092899398519,0.026548669859154928,固始县
2002_01_07,0.2845372670440959,269.5973563243386,283.6114306469824,277.75322444243267,103013.527348423,273.06679191976906,102447.53453269738,0.0,-2.3132199136803466,-0.1317578050940484,0.030973448169014088,固始县
2002_01_08,0.24537548922535526,270.2181265923844,285.7270784829001,278.6642211226353,102876.0022868307,272.69714646772337,102314.71037379467,0.0,-2.081857807860978,0.9491017609059967,0.035398226478873245,固始县
2002_01_09,0.3262640016536053,274.94359537716275,289.96166769962315,283.89357959911007,101997.90881991245,273.67004705284273,101449.31574425234,0.0,2.7232957619742235,2.2337840237056743,0.039823004788732394,固始县
2002_01_10,0.2685200808553343,278.6989094685544,291.6315238397172,285.0732359918893,101675.08906944962,280.02028532521007,101130.084593251,0.0,2.9025077535082926,2.0647107482348033,0.04424778309859155,固始县
2002_01_11,0.34109924146159415,279.78514393373933,293.36639825604976,285.3916574817582,101536.49085253316,280.0199906953401,100997.59584425585,0.0026046287717337484,0.03361382174759394,2.0164464653365304,0.04867256140845071,固始县
2002_01_12,0.2416762049046091,282.54869777786945,289.2111739839089,284.3227073827701,101564.62782359004,279.11509729321955,101020.82499004662,0.003019628029922869,1.195228605966204,-0.3555818176892697,0.053097339718309856,固始县
2002_01_18,0.32051061836103545,269.84651417131596,278.9742222538208,274.3058267698883,102615.70410055063,270.77093801213886,102045.44735120477,6.573220927112578e-08,-0.7410872572919419,-0.30338928072891264,0.07964600957746479,固始县
2002_01_19,0.3185301377323934,272.33768075473637,280.4805910541438,277.55444470369076,102560.43301172717,271.68496926392646,101995.35145084874,1.1064909945436332e-07,1.2189259489061064,0.2545897546084656,0.08407078788732394,固始县
2002_01_20,0.21478185987929505,268.75585358273145,283.473982309269,277.95179638572637,102689.92846797463,272.4682124441522,102124.28108837207,1.862645149230957e-09,2.759585595313093,-1.4756799567405832,0.0884955661971831,固始县
2002_01_21,0.3839674792967621,266.36669869779706,281.48985731513255,275.9693515139006,102773.3960446255,271.73578556617997,102206.82621716884,4.0978193283081055e-08,1.575737841999501,0.2931597829674734,0.09292034450704226,固始县
2002_01_22,0.37117569879667983,266.93241233114526,283.31052261968296,276.3599278054933,102895.53101973164,270.39249307710344,102326.63945991686,0.0,0.2210011150907858,-1.2313089566574558,0.09734512281690141,固始县
2002_01_23,0.3930952404586235,265.1893970684438,280.9065445950279,276.4727563158205,102948.79054289557,270.86032273572005,102377.15091654996,0.0,-2.7707705218897427,0.47565960887486763,0.10176990112676056,固始县
2002_01_24,0.26927239991613405,268.7493910199274,280.6815976670175,276.6739496336795,102666.99104146399,273.48136086513153,102097.4565256216,1.6166284209756137e-06,-3.099741854810139,-0.5013613966658585,0.10619467943661971,固始县
2002_01_26,0.36462545044596056,274.38562603528106,279.7042334189705,276.67561269589066,102766.09020003276,272.25154892186634,102198.15038773272,1.3695986125766907e-05,-0.780306655710115,-0.032549382051568064,0.11504423605633803,固始县
2002_01_27,0.3677023240538251,273.46942954005345,281.79263296367236,277.13504127064306,102898.18344227427,272.59660987398075,102332.44510099578,3.4852628999799746e-05,0.012143807261151461,-0.5025236497848693,0.11946901436619718,固始县
2002_01_28,0.22833362934639606,272.8129660726002,281.9808033154634,276.34010365559607,103115.15568370624,270.9079600330831,102549.0468192422,3.289717371020612e-05,0.8330573788036758,-1.0506224482388993,0.12389379267605635,固始县
