Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.13093164555157455,269.65330069761245,281.7452481086076,275.7038895762032,102955.2677821124,271.3591863423174,99009.02704251898,1.0102118289590268e-05,0.8312098401242602,-0.18864449804173558,0.0044247783098591556,淅川县
2002_01_02,0.2174227491936391,272.3518396788435,285.79258316715436,278.49615157895846,102759.92524786116,271.5968439901714,98856.14179413122,0.0,1.6708585175762256,-0.0790657804169841,0.008849556619718311,淅川县
2002_01_03,0.23407262753620056,268.740239537549,286.9125545094222,279.5079076127207,102726.11122568828,274.8066839965109,98813.09360341722,0.0,2.8954648196367563,-1.6663797832825116,0.013274334929577464,淅川县
2002_01_04,0.26571398306474014,270.14103990327243,289.1441370728564,280.60837395572275,102306.71159181518,274.6130766897034,98438.04979296958,0.0,3.021797060883102,-1.2663529359135661,0.017699113239436622,淅川县
2002_01_05,0.2411026987043358,273.65417971364946,290.24427889214655,282.70473287506843,102136.0307294286,275.1778665291089,98291.20009442908,0.0002496848816570762,1.272933701253023,-0.35417222468305154,0.022123891549295775,淅川县
2002_01_06,0.24015890724707703,271.40811267307436,291.01270343930867,282.6834669254875,102486.60952908245,274.5029143876174,98628.1398647918,0.0,2.9377807403033054,-1.7264426318562212,0.026548669859154928,淅川县
2002_01_07,0.19673001361628278,269.1714240698971,284.4104955251428,278.585759592198,102917.21149603174,272.1796018959818,98988.00683214453,0.0,-0.5044506622725365,-0.24816409065983713,0.030973448169014088,淅川县
2002_01_08,0.18390002951720924,271.3791844113162,285.2505841523219,278.22073912184334,102776.61096369899,272.37142872109735,98859.885520144,0.0,0.035845055804065926,-0.11696487222778494,0.035398226478873245,淅川县
2002_01_09,0.16919086511280457,274.20331189413065,285.7621067628378,279.5485488805891,102044.08389039303,272.94834659923924,98185.86017151586,0.0,2.329592708919226,-0.0075692073914057365,0.039823004788732394,淅川县
2002_01_10,0.23745464246667922,275.260685916728,289.16806036556284,280.5855142085994,101691.2029286635,274.81544545837147,97860.38548005214,7.577726927122763e-08,2.677908794890532,0.017489263482245162,0.04424778309859155,淅川县
2002_01_11,0.25273654191502165,275.6077923868385,287.7619933940863,281.16585949083094,101427.8846978932,274.8353233264318,97611.41875076444,1.862645149230957e-09,0.7733991680828592,0.03442323060892696,0.04867256140845071,淅川县
2002_01_12,0.18323767660327844,276.68201527630515,288.0483031873253,281.2671398430133,101573.4597226137,276.3390972018146,97733.02124065973,5.040963498152022e-06,0.2895558458012388,0.45013884658598136,0.053097339718309856,淅川县
2002_01_20,0.16222477771625227,267.5398283173367,282.17104333084103,276.79717213532444,102952.16707597315,270.6099447281649,98976.79690001847,1.862645149230957e-09,2.728637296062104,-1.7444504528311116,0.0884955661971831,淅川县
2002_01_21,0.2564398914271043,267.8801842662655,282.8009404828941,276.16358442641376,102774.2767756794,270.568210900586,98818.87110580686,4.0978193283081055e-08,1.6161263569869424,-0.9889817925479703,0.09292034450704226,淅川县
