Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.2741321048560412,264.36463997647695,280.29584413475885,273.1364218619656,102803.2541816703,267.96355515719205,99371.5336351013,0.0,0.95889081085056,0.9943663015554328,0.0044247783098591556,淇县
2002_01_02,0.30598648390616445,264.57340730026004,284.1259485895459,275.89045899729405,102477.90881860182,268.08266456675483,99103.36005854835,0.0,1.354702602455534,0.5880288316368313,0.008849556619718311,淇县
2002_01_03,0.27084748046007395,266.3015641268048,282.8283068413507,275.59798741089736,102311.77239438333,270.64142439189317,98940.79571713091,0.0,1.334836541514052,0.3158080784563502,0.013274334929577464,淇县
2002_01_04,0.32493490010645865,267.5900680570971,289.70560608093933,278.92016491626816,101863.06232948585,271.01536412617656,98556.24387731602,0.0,1.770091075485237,-0.2822192074647853,0.017699113239436622,淇县
2002_01_05,0.2822434194225348,268.2804074671236,287.0084986468675,278.78512192370897,102001.69395240535,273.2159749059496,98658.61422388056,0.0,0.619182641637211,0.24356468030998996,0.022123891549295775,淇县
2002_01_06,0.11111368192111992,268.68446075923157,287.50623665124795,278.88655987287524,102328.70095320938,270.97330581314986,98956.01908312216,0.0,-0.2551497331202384,-1.560685785121796,0.026548669859154928,淇县
2002_01_07,0.26083329105009,263.57718132150166,278.74937769155963,273.0683045506817,102983.55980849691,269.28265835085733,99529.5134900582,0.0,0.15000545682132083,1.673267576421389,0.030973448169014088,淇县
2002_01_08,0.21210690451745637,266.99739551950614,281.6113593010812,275.04524932805475,102722.63201803982,269.4082257697293,99308.00111763038,0.0,0.6030340994824384,1.1760410607685348,0.035398226478873245,淇县
2002_01_09,0.26823220768189093,267.5075236813418,286.5969047772102,277.8542263685968,101571.91806914694,271.3751337054375,98270.33863905401,0.0,1.8621175732516262,0.7900000912675387,0.039823004788732394,淇县
2002_01_10,0.28594517080747317,268.3424415095788,290.0353512277469,279.66979260733575,101324.14673688788,272.43078740983844,98054.54972189329,0.0,1.1812921881932106,0.4129940137844129,0.04424778309859155,淇县
2002_01_11,0.2702286323863242,268.40871323890434,289.75505237935226,279.9708299410114,101270.65741581815,273.0482541695085,97994.4997987015,1.862645149230957e-09,1.006585220464533,1.0841624612680414,0.04867256140845071,淇县
2002_01_13,0.1873244847094254,269.0906412807097,276.26009772313125,274.96498991326365,101856.84392327342,272.20096918401805,98423.03057850304,6.158172596779858e-05,-1.1172961338357075,-1.3300304460660146,0.05752211802816901,淇县
2002_01_16,0.22023605400607235,269.5382816960541,276.5602958130499,273.7146463817087,102616.59932646937,271.2536202375588,99148.06809150225,5.764641086773444e-06,-0.4549809974286999,0.42793540942401187,0.07079645295774649,淇县
2002_01_19,0.17214453850024777,270.3738654062598,281.5115344651066,277.4123434981479,102366.62634919859,272.35919770553716,98971.85433116944,2.1420419216156006e-08,0.7636638242727136,0.2249705685899435,0.08407078788732394,淇县
2002_01_20,0.2999687047438975,259.4262228994442,281.06000669959656,274.95803842723444,102687.06968500045,268.3558741613576,99253.09969871971,1.862645149230957e-09,1.9721312635741928,-2.0635628573613074,0.0884955661971831,淇县
2002_01_21,0.31824056405462436,260.3650905206824,281.02165931542453,274.2711434666822,102628.57367881753,268.3296397926775,99196.45569094726,4.0978193283081055e-08,0.8672502465116687,-0.1143000567287535,0.09292034450704226,淇县
2002_01_22,0.3467937505228476,259.88395159814047,276.5102406351054,271.9335064532682,103030.77872790347,266.67952150280223,99534.81351488139,0.0,-0.5943023503669622,0.0035059004737973136,0.09734512281690141,淇县
2002_01_23,0.3039161228928865,262.95326258370386,278.7477665030812,273.0919924183448,102828.22825617401,266.90916764869894,99367.60092095962,0.0,0.7489462921565363,2.2271553987597326,0.10176990112676056,淇县
2002_01_24,0.20749386248660187,264.65880927792887,279.3277468110159,273.6607482623155,102774.3521776795,269.5626328258955,99317.93975135068,0.0,0.22829055364432116,2.0087703338756895,0.10619467943661971,淇县
2002_01_25,0.1619769558516299,266.18704904829485,278.19478176468436,273.91359979540124,102554.43602331636,270.07035716084556,99106.0406963419,0.0,0.44196899675570234,1.3539722428440741,0.11061945774647888,淇县
2002_01_26,0.11979750064245781,268.5881490564573,278.95189611857234,274.3070005879214,102796.84982867898,271.0773824696061,99344.55026496343,0.0,-0.7495419275016109,-1.2213022043628052,0.11504423605633803,淇县
2002_01_27,0.12943363862212767,266.7098190196082,277.8849085254072,273.14234763403425,102919.2228137082,268.74233739385255,99458.0990914543,3.4430983061148204e-07,0.14470697259746268,0.5651748554451215,0.11946901436619718,淇县
2002_01_28,0.2471008946881188,263.5729294678283,280.1633545075961,273.50443508434614,103109.1584351049,268.2148725293975,99650.60906560566,1.862645149230957e-09,-0.13755702233803618,0.10547106253799277,0.12389379267605635,淇县
2002_01_29,0.33074647796216333,262.0317780986836,282.110993479525,275.5711609339657,102883.63170438829,268.45855116165916,99462.43160979023,4.0978193283081055e-08,0.7422083955443541,0.18918992289613817,0.1283185709859155,淇县
2002_01_30,0.2884114394412708,262.654415189987,281.89686717619355,275.9642671405796,102990.1484382992,270.7635363541046,99555.15307156948,0.0,-0.32081115650764297,-0.2554700547501203,0.13274334929577464,淇县
2002_02_01,0.2981786500011759,261.6027316730421,282.8418002441034,275.5751430154923,102614.68765922023,269.0019392941182,99213.45922469301,0.0,0.8867697775190433,-0.23459451772670667,0.14159290591549298,淇县
2002_02_02,0.31354286764559053,263.24404706569015,284.7998389144916,277.4785854183184,102504.64170999517,270.50991850437254,99117.163175889,9.313225746154785e-10,0.8089831608622906,1.4911468567321995,0.1460176842253521,淇县
2002_02_03,0.25533272559656045,268.4863646409604,284.02592210454065,279.00589471137255,102376.0846218968,271.7616695720117,98995.69100994857,2.1420419216156006e-08,1.0252571822859704,2.1439913881364006,0.15044246253521126,淇县
2002_02_04,0.23871303052240903,269.791722340469,286.2056786108263,278.73035338235576,102108.23967854626,271.85117972763567,98764.36340396857,0.0,0.8322960552212942,0.6715574756250372,0.15486724084507042,淇县
2002_02_05,0.23245128920631247,268.0722172134387,288.4419137929533,280.00534311957716,101644.20912138178,272.16944469459077,98342.22183705372,0.0,1.5103178141433955,1.3361009451180743,0.15929201915492958,淇县
2002_02_08,0.2694470278516603,262.1247750750729,280.7642928230168,276.2794617942955,102585.99611539449,272.39543881837574,99152.2629418587,0.0,-1.2245662775156527,-0.6658161914628687,0.17256635408450705,淇县
2002_02_10,0.1728169680113037,263.12126541090845,285.78245986666565,277.9769498886209,102414.18480252156,271.1019635935419,99051.47194059155,0.0,1.1286491898348148,0.10525283000141368,0.18141591070422536,淇县
2002_02_11,0.30675825922948236,264.2633111558586,286.80016095650586,279.36435806459156,102138.05654816296,272.24387507744575,98806.15733229042,1.862645149230957e-09,0.7165502154098066,1.3607636698321213,0.18584068901408451,淇县
2002_02_12,0.28231003862430953,265.10282216253717,290.84284064579253,281.4857368817254,102108.91898738587,272.10037240404387,98769.88603436352,4.470348358154297e-08,0.029299468477820993,-1.8467967043152034,0.19026546732394367,淇县
2002_02_16,0.21007583802370822,272.0114840155298,290.6157399401379,281.8741680650511,101822.40359108843,273.4492057940025,98525.14669067382,0.0,1.682574681829777,-0.17442384235436256,0.20796458056338027,淇县
2002_02_17,0.301354439323425,268.54405921926184,288.45085719017567,281.1597665963714,102609.66050860674,274.6082962168898,99229.20794001147,0.0,-1.2058146673194843,-1.921128648417883,0.21238935887323943,淇县
2002_02_19,0.2910192667108327,268.88960609111564,284.15044752466395,279.5481878894771,103148.2479334202,272.08441541727404,99726.62313864351,0.0006998273466210679,1.1537075753048307,3.4271437754171568,0.22123891549295777,淇县
2002_02_20,0.35454248602379657,274.5289133394392,285.3336269069518,280.98612106109607,101934.63102772686,276.7163313586947,98601.34206340813,7.633432298988917e-07,1.1079160139817896,2.638198164037174,0.22566369380281692,淇县
2002_02_21,0.1692703405385243,272.74124788642035,289.78878850909314,282.6134688290516,102519.74806735807,276.11414950141005,99184.3088489065,4.284083843231201e-08,-0.8429535775289023,-2.178940889636737,0.23008847211267605,淇县
2002_02_22,0.33797541691393873,269.39403443862335,285.9481589307264,281.8375011454988,102992.76709327335,276.25911697190577,99609.43802822322,0.0,-0.7928826839429641,-2.064137046329416,0.2345132504225352,淇县
2002_02_23,0.2538950628313762,269.282775332898,285.35892892507576,280.7544899502412,102716.5504418634,275.38037484969715,99338.85359401189,0.0,0.04165625600307455,0.33950755285555945,0.23893802873239436,淇县
2002_02_24,0.26311547056183593,270.0252048328816,283.2219728948651,280.0706876753973,102296.22674719381,276.42397050388934,98927.88605654155,1.862645149230957e-09,0.4380017522681535,1.9724698920457815,0.24336280704225352,淇县
2002_02_25,0.13575344228220423,273.7600520744146,285.8342299024475,282.0798803632115,102173.87664541532,276.86293083567966,98827.97079789323,4.284083843231201e-08,-0.04436414398931641,0.12214760485008895,0.2477875853521127,淇县
2002_02_26,0.24857416491377277,269.8440316504269,286.322514550028,282.4300801657133,102027.83889200998,277.11462050899763,98685.46518173117,1.862645149230957e-09,-0.22518309050722943,-0.6344148406224742,0.25221236366197186,淇县
2002_02_28,0.2909007964658528,274.5664001736049,288.50253481773944,282.719489605813,101972.64473310011,275.1158024447372,98636.0184191744,0.0,0.420968850667722,2.2167362929146495,0.2610619202816902,淇县
2002_03_05,0.3451676234127779,267.6188494062158,285.74403165463787,278.264438879456,102154.78381564716,271.90836075212053,98802.2652316218,0.0,2.3179510186837877,-1.6301479532347178,0.28318581183098596,淇县
2002_03_07,0.39549806624856776,268.62637867895455,286.1900613983708,280.37320832519333,102318.6873537946,275.3757465454815,98963.94743476469,0.0,0.13226977935598389,-0.08353221655942548,0.2920353684507042,淇县
2002_03_08,0.38045181118558263,273.11088240061025,289.26330725997093,283.5648552348307,101883.17908842683,276.72460757349586,98571.28018472587,0.0,1.3779518488964757,3.403923737001995,0.29646014676056337,淇县
2002_03_09,0.31568422584378514,277.6022812853631,293.8751184682831,287.82984960083206,101777.08561576111,279.33665358165365,98490.39367970798,0.00030502767579680164,-0.08505367175506261,-1.156543411029168,0.3008849250704225,淇县
2002_03_10,0.34835484644756304,272.1689125800626,287.8335466260312,284.341783534549,102328.44533082975,281.1279858443308,99000.97889201745,0.0014842223747174536,0.2881852870084109,-0.3530273520631094,0.3053097033802817,淇县
2002_03_11,0.17259755817870465,278.01979119619625,291.48962715968423,284.83593146362637,101802.55118593662,279.514421914659,98523.77092631359,0.0001101954046305257,1.1040675658770633,1.5423321988450596,0.30973448169014084,淇县
2002_03_12,0.352163801615145,281.4011533595231,294.08598916141443,288.2181320239607,101709.51193922939,280.82723637643335,98443.61430750084,2.8971821739506564e-06,0.11132034376758393,1.0875837611378774,0.31415926000000005,淇县
2002_03_14,0.4051021486655207,275.6062355808398,295.87211051594875,289.2178838133115,101186.67305214697,284.03744210592356,97950.77958351358,4.284083843231201e-08,1.6535310901233355,-1.3629365147527102,0.3230088166197183,淇县
