Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2003_01_01,0.19784534847049634,268.60037885172915,277.02176896920867,274.4436034157825,103183.64183022006,270.5360415888999,100777.02062685137,4.6329575981467494e-05,-1.8900069173285505,-1.2377214053607242,0.004399989635854342,桐柏县
2003_01_02,0.07105327179439751,268.21853396609754,277.3487126232044,274.0336621971152,103324.46599100782,271.18829763966886,100925.85530691266,0.00018765282137048512,0.6930998561700975,-1.1033091854747796,0.008799979271708685,桐柏县
2003_01_03,0.21007193460817838,261.8360181636256,276.2723735463085,272.27218829314967,103391.28944780231,268.6771179348768,100975.76936374966,0.0,-0.9713321580340168,-1.172280044344956,0.013199968907563024,桐柏县
2003_01_04,0.23929889384401035,261.54379646917675,274.81006779256137,270.7578894604164,103946.35383862785,266.4230933694389,101495.94735616689,0.0,-1.414410960407079,-1.8247421134956034,0.01759995854341737,桐柏县
2003_01_05,0.22364956114886136,262.5734238521656,274.9459111131996,271.3309924545097,103763.52701998632,266.753515095067,101323.99286377874,0.0,-0.06943021822377372,1.1347246998037286,0.02199994817927171,桐柏县
2003_01_07,0.18848073945495178,265.6822325459894,276.08487355710344,271.0618722856182,103301.47550253563,266.8309500155147,100883.94382508713,4.0978193283081055e-08,-1.3658967107489604,0.38215244487432753,0.030799927450980393,桐柏县
2003_01_08,0.20711982423849082,269.0784455612017,279.22333710003124,275.01456433079346,102747.0719885857,268.83880066201334,100370.03379447707,0.0,1.0578128189672953,1.7000721866676236,0.03519991708683474,桐柏县
2003_01_09,0.1006164045629662,269.64404786376355,282.1448023343687,276.4669123180639,102651.38319701974,271.09351686672693,100294.34940927489,1.862645149230957e-09,1.298908557144781,-0.2456128918064039,0.03959990672268908,桐柏县
2003_01_10,0.22124147478566727,269.6329055107065,284.39854294743395,277.6661582422317,102735.391296079,271.08157754464327,100391.71424146474,4.0978193283081055e-08,1.1500275274469929,-0.17162082063424539,0.04399989635854342,桐柏县
2003_01_11,0.18848707147200214,268.83577648670206,285.1289155020324,278.24462381619475,102658.9398444658,272.3941526597995,100323.20356977974,0.0,1.3012863872621179,0.9952575856459327,0.04839988599439776,桐柏县
2003_01_12,0.1994432143435685,271.7225116232372,285.95061450761045,279.7136131979819,102087.49561040984,274.6269808343006,99780.52148144238,0.0,2.6672172164551973,1.485095644574252,0.0527998756302521,桐柏县
2003_01_13,0.21053346351528826,271.0221960330345,288.6364511748493,280.9308944418923,102330.19417224021,274.50350814447467,100014.13344821044,0.0,0.8222961486866983,-0.996209529819002,0.057199865266106445,桐柏县
2003_01_14,0.19804750973727475,268.95663632401454,281.78672607415893,277.416007593737,103187.63919559492,273.4514053934467,100802.93899896588,0.0,-2.366172265882933,-1.3909722260032646,0.061599854901960786,桐柏县
2003_01_15,0.20867942529996925,271.5852735926318,281.63060188927557,276.9750043958455,102624.96009701685,273.2552435717714,100269.80826109806,0.0,0.23411484356953635,1.8915078526805236,0.06599984453781513,桐柏县
2003_01_16,0.21377028110629903,274.97786210974226,285.95085538177324,279.7818896629747,102115.19002231494,274.10225258247107,99804.98543161941,1.862645149230957e-09,1.8128034486395872,1.8796009121289479,0.07039983417366948,桐柏县
2003_01_17,0.1701696246294968,272.3898454715037,282.46347498375326,278.20018334069266,102792.67614941187,274.46069618202955,100435.71866436108,0.001822656163193987,-2.0604412251269597,-1.835586695071298,0.07479982380952381,桐柏县
2003_01_19,0.1907293181203039,271.90519309506493,283.8987535526464,278.06093292193,102277.41376524368,272.2954171731712,99948.57028641367,0.0,-1.4586767018119535,0.2687444277495939,0.0835998030812325,桐柏县
2003_01_20,0.1495124700280657,272.7046357043257,285.1292211019676,277.59643711705337,102291.99489675164,272.719582700579,99953.57858566784,0.0,-1.644723033989886,-0.9778942141958993,0.08799979271708684,桐柏县
2003_01_22,0.19524067448065877,270.089846601918,285.1755612199472,278.62543613663996,102003.40332553424,272.89478816625973,99675.7786191926,0.0,0.6200201599586915,-1.8253107786269707,0.09679977198879552,桐柏县
2003_01_23,0.19317024734448335,271.77842502999215,283.95069667506885,278.7141860589817,101829.85063779603,273.00004791937636,99507.97241628359,0.0,-1.1827357258772204,2.034610075437159,0.10119976162464984,桐柏县
2003_01_24,0.19240689280148018,273.17544783485977,283.08284209694267,279.123955527482,101922.04822216339,275.3818199061919,99581.48269940993,0.0021895439338770932,-2.763617958911507,-1.0866116005404542,0.1055997512605042,桐柏县
2003_01_27,0.2425348701538472,261.5493996903224,278.44154024770114,274.206363044266,103040.3037255561,271.0558911924224,100650.05933327618,0.0,1.281577613141751,-0.3803540896894159,0.11879972016806722,桐柏县
2003_01_28,0.2523914648227382,266.8727607162904,283.15624356533107,276.9913822852683,102788.74535480469,270.49286575778007,100431.64696622393,0.0,-0.28906491229327447,-0.4799502945035401,0.12319970980392157,桐柏县
2003_01_29,0.19501270200226226,269.1456260585712,281.40268971368556,276.68637267162234,102664.4537822974,270.2615250548945,100294.43313729312,5.578146907922973e-07,-2.4760866591784643,0.5571538134732573,0.12759969943977592,桐柏县
2003_02_02,0.22634540565107458,273.58061390060965,280.72338888504913,277.2822295338066,103114.93927342168,271.45665134032373,100747.26640359728,0.0,-1.1503432814925174,0.030400904264864827,0.1451996579831933,桐柏县
2003_02_04,0.24001402203855918,266.9857073087201,283.94128548268094,277.33962744674744,103302.34199476078,271.01738063229385,100939.4777130984,0.0,-0.7439118132780174,-1.2738499773775709,0.15399963725490196,桐柏县
2003_02_05,0.21232091870423841,267.7808106141713,283.3444270907941,277.2907165219769,103187.77283594343,271.2972222376362,100825.68691628879,0.0,-1.0508683960358463,1.275400625780374,0.15839962689075632,桐柏县
2003_02_06,0.22741610858889658,270.5121573970299,284.90599917940284,279.5391160328614,102133.28480450065,273.25945392788054,99808.45143602477,0.0,0.7634172085775132,2.8694857482972607,0.16279961652661065,桐柏县
2003_02_08,0.2280033204622036,278.7166986807422,287.12231365743287,281.6425773336259,101352.10462912878,274.8116597095318,99052.56132413445,0.004836270849568185,-2.0402285733435424,-0.12304216480733375,0.17159959579831932,桐柏县
2003_02_12,0.04049479715439958,267.892556825772,277.3463136534925,272.81032789142074,102899.41439716832,266.85846552028977,100504.11449251171,0.0,0.47549099041760023,1.629355136668566,0.18919955434173671,桐柏县
2003_02_17,0.1621243382705208,276.57204475945827,285.38134373906234,280.1745242044181,102015.05131066545,275.7072898642549,99700.68816816648,8.970410770719808e-07,1.4459030698986954,1.8719439773679545,0.2111995025210084,桐柏县
2003_02_18,0.2583214954737914,278.0740748009323,286.9785992138121,281.9089246874445,102106.41990018127,275.86980296245156,99806.48579571587,4.284083843231201e-08,-0.5729696834863324,0.43989890213369254,0.21559949215686278,桐柏县
2003_02_19,0.18855005070606218,277.37647842035153,288.2769235799593,282.78503436532174,102268.84168450284,276.9488687436003,99962.90665295167,0.0,-2.406959845186596,1.1078836170200383,0.21999948179271708,桐柏县
2003_02_20,0.25000607132030134,278.0192678023962,287.13657357243886,283.8134843398855,101200.25839738046,278.9879111095166,98919.51819457916,0.006456207576855592,-2.6454960424242238,1.7311553603202845,0.22439947142857142,桐柏县
2003_02_23,0.15926643801874962,275.83104820931015,282.3012741201669,278.45169292968245,101976.0235277102,274.85740858270395,99645.13671726489,0.0,-0.5524858029366781,0.37110138701899087,0.23759944033613445,桐柏县
2003_02_24,0.18444179052229778,279.586403981305,284.7409591520141,281.75242253744545,101790.41520828976,276.0611298014548,99482.17340880443,0.0012501095486478627,-0.6439309163679193,1.0455091330046562,0.2419994299719888,桐柏县
2003_02_26,0.13849269406033582,277.34616162943684,284.3946875189441,281.9284663995495,102299.53647916944,279.3384998529384,99970.19319703414,0.0005916029820998307,-3.5470935933505197,-2.7449881759750174,0.2507994092436975,桐柏县
2003_03_01,0.3520447177143876,277.95668885687064,283.7528172473317,280.24050735377483,101407.22294764579,273.5927641503228,99093.99798820102,0.001112347827184704,-0.12645149270523182,1.5903067294990647,0.2639993781512605,桐柏县
2003_03_06,0.04435295172531846,270.90481635608444,278.521119445924,274.5432281264324,102604.26951375017,270.4220616210056,100234.00132434853,2.3283064365386963e-08,1.6800283097304374,0.14116684360411416,0.2859993263305322,桐柏县
2003_03_08,0.2462664989682719,272.3963050522438,288.38760473921195,282.57978259488937,102805.60586772909,276.88294161725605,100495.58608098792,1.862645149230957e-09,-0.6023420174123741,0.39952298278250026,0.2947993056022409,桐柏县
2003_03_10,0.28291865287922663,275.2055764484946,288.2894960284269,282.4484769697815,102523.68723403523,277.79618465131165,100204.83572316224,0.00029395983329467544,-2.5531555705209414,1.6518185346395433,0.3035992848739496,桐柏县
