Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2003_01_01,0.05197349032771498,264.0926818847656,271.2243347167969,269.4255676269531,103358.8125,264.18792724609375,99022.9375,0.0013174321502447128,-0.3760634660720825,-0.40939685702323914,0.004399989635854342,牧野区
2003_01_03,0.14952704627688956,255.29888916015625,272.00946044921875,266.3995361328125,103374.1328125,261.5500793457031,98994.5703125,0.0,0.7894477844238281,-0.8046968579292297,0.013199968907563024,牧野区
2003_01_04,0.12434764735745445,254.46124267578125,271.4285888671875,265.4943542480469,103981.5078125,259.82135009765625,99568.9609375,0.0,0.26853182911872864,-0.8543532490730286,0.01759995854341737,牧野区
2003_01_05,0.1255399585629812,256.7012023925781,271.53790283203125,265.86956787109375,103611.3671875,259.90301513671875,99242.3984375,0.0,0.7497544884681702,0.7869121432304382,0.02199994817927171,牧野区
2003_01_06,0.04171984228905612,258.9617919921875,272.4010314941406,266.8353576660156,103384.6640625,261.9495849609375,99036.5390625,1.862645149230957e-09,-0.45128440856933594,-1.1060868501663208,0.02639993781512605,牧野区
2003_01_07,0.06727513100262975,261.0904541015625,273.0574645996094,267.6773376464844,103242.6484375,263.16265869140625,98913.7890625,4.0978193283081055e-08,1.1463690996170044,0.8886237144470215,0.030799927450980393,牧野区
2003_01_08,0.09085952045459594,264.39288330078125,276.8099060058594,271.8128967285156,102489.7890625,264.816650390625,98273.6796875,0.0,1.332428216934204,0.7240426540374756,0.03519991708683474,牧野区
2003_01_10,0.1238773662360091,265.0139465332031,281.18841552734375,273.5705871582031,102620.2421875,267.03759765625,98418.15625,4.0978193283081055e-08,0.3995496928691864,-0.7463831901550293,0.04399989635854342,牧野区
2003_01_11,0.15532988221613359,265.5521240234375,283.3078918457031,275.6443786621094,102334.5078125,268.583251953125,98180.8515625,0.0,1.7206640243530273,-0.6700587868690491,0.04839988599439776,牧野区
2003_01_13,0.18328347140895068,267.5370788574219,286.6433410644531,278.3289489746094,102370.90625,270.3826904296875,98208.53125,0.0,-0.15512661635875702,-2.0807788372039795,0.057199865266106445,牧野区
2003_01_15,0.1360600539837157,268.54150390625,277.12493896484375,273.3155822753906,102501.2890625,269.85040283203125,98275.25,0.0,1.6517935991287231,1.5819791555404663,0.06599984453781513,牧野区
2003_01_16,-0.0067527738303228835,269.9482727050781,283.7001037597656,275.7995910644531,101983.4921875,270.09991455078125,97851.78125,1.862645149230957e-09,0.447237104177475,-0.20114262402057648,0.07039983417366948,牧野区
2003_01_17,0.1180218998940527,268.5155334472656,278.2229919433594,273.6520690917969,102972.6640625,270.8629455566406,98721.65625,4.470348358154297e-08,-0.5727209448814392,-1.0662933588027954,0.07479982380952381,牧野区
2003_01_22,0.09430544942223888,267.9200744628906,282.4858093261719,275.0793762207031,101984.6796875,269.48919677734375,97785.0625,3.2257288694381714e-05,0.21509802341461182,-0.9610396027565002,0.09679977198879552,牧野区
2003_01_23,0.09717633143823678,269.0935363769531,278.9959716796875,274.2615661621094,101874.40625,269.44915771484375,97685.15625,0.0,0.6710954308509827,1.0072861909866333,0.10119976162464984,牧野区
2003_01_27,0.20446789769768697,258.0809631347656,275.8014831542969,270.42962646484375,102775.1171875,266.5965881347656,98492.65625,0.0,2.157381296157837,-0.06278332322835922,0.11879972016806722,牧野区
2003_01_28,0.16893408026510176,261.9729309082031,278.0901794433594,271.5889892578125,102870.4609375,266.9256591796875,98585.8125,0.0,-0.62076336145401,-0.6456984281539917,0.12319970980392157,牧野区
2003_01_29,0.15992896947706978,264.1761779785156,275.2314147949219,271.8607177734375,102838.2421875,266.5566711425781,98552.0703125,5.587935447692871e-07,0.30061522126197815,1.0625399351119995,0.12759969943977592,牧野区
2003_01_31,0.009370347666170419,266.4208068847656,273.2989196777344,270.9573974609375,103251.9921875,268.72125244140625,98932.375,0.00036439765244722366,-0.5180360078811646,-1.240322470664978,0.1363996787114846,牧野区
2003_02_02,0.06181186757303613,271.28729248046875,279.31463623046875,275.010986328125,103120.3671875,270.44561767578125,98885.3515625,2.5406479835510254e-06,-0.15717478096485138,-0.6211317777633667,0.1451996579831933,牧野区
2003_02_04,0.16322807004962794,263.5047607421875,281.99334716796875,275.23492431640625,103320.15625,269.0784912109375,99072.8984375,0.0,-0.4059828817844391,-0.7155428528785706,0.15399963725490196,牧野区
2003_02_05,0.17863114024551768,265.4217834472656,279.26336669921875,274.733642578125,103115.9296875,269.8325500488281,98872.5390625,0.0,1.1140836477279663,1.1913015842437744,0.15839962689075632,牧野区
2003_02_06,0.17711301952149056,267.2214050292969,283.6376647949219,276.8062744140625,101875.7578125,270.6463928222656,97749.9296875,0.0,1.9396861791610718,1.214824914932251,0.16279961652661065,牧野区
