Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2003_01_03,255.90105810961617,272.45111500931216,269.1201807626696,103482.08464182349,266.0637771570758,98423.42418584818,0.0,3.1404181007964564,-0.6361445840686424,0.1991212343631698,0.013199968907563024,登封市
2003_01_04,256.1252714882554,272.6090964209905,268.51398299870175,104024.99313432132,264.31662239051013,98931.3658994728,0.0,2.196767983398833,-1.1167377097308984,0.18411596076772527,0.01759995854341737,登封市
2003_01_05,257.63097834580674,272.646782435857,268.468670803708,103682.33530748427,263.75971057501937,98631.20875321094,0.0,1.8877222412521326,0.9412298478847901,0.18775236345179644,0.02199994817927171,登封市
2003_01_06,260.68984774766255,275.0067548532468,269.24605547827133,103343.58566465354,264.90424755596973,98335.44329498493,1.862645149230957e-09,-0.10567057688626244,-0.4014865394576969,0.18328859932149844,0.02639993781512605,登封市
2003_01_07,261.77288655527076,273.8952728682378,268.7614026204347,103281.31495554556,264.8929339818147,98277.05760190032,4.0978193283081055e-08,-0.26188343134135256,1.0585129265959619,0.17599254523278995,0.030799927450980393,登封市
2003_01_08,265.92822252028674,276.4973968682292,272.9179365645502,102655.88577521103,265.09252704686526,97741.17813953344,0.0,2.055475460215791,1.0335564517582128,0.16275229136354913,0.03519991708683474,登封市
2003_01_09,264.2789165944923,278.9945888977525,274.0103680727377,102700.07101773014,269.84660079086444,97790.94258886106,1.862645149230957e-09,2.8472350344260113,-0.3056033485779366,0.09208713072198772,0.03959990672268908,登封市
2003_01_10,264.7969350472305,281.21586301806406,275.14052955083486,102788.18106246182,269.66247723648075,97892.5942901948,4.0978193283081055e-08,3.397635840568117,-0.6350555855735368,0.20042750469013684,0.04399989635854342,登封市
2003_01_11,265.35101388886767,281.9820266300362,276.5040986632828,102629.44944470347,270.968044637187,97760.02322005002,0.0,3.5221104352686283,-0.06450995742915934,0.21738331599785343,0.04839988599439776,登封市
2003_01_12,266.20730056120493,283.5742198913797,278.1596562524014,101985.57177796423,273.38078543657684,97196.18802759312,0.0,3.8333622995693273,0.01656147155044865,0.19331960330340245,0.0527998756302521,登封市
2003_01_13,265.98214809110215,285.7798716945837,277.9032873775557,102441.15531357602,271.7554030646682,97617.2104856754,0.0,2.1773138054169427,-0.573434418721925,0.2116839060929747,0.057199865266106445,登封市
2003_01_15,268.8261640548382,278.87668365746066,273.76091735173185,102525.1291493221,269.44463104934556,97648.0204058439,0.0,-0.43700564704519085,1.4990782862442145,0.1866108095769077,0.06599984453781513,登封市
2003_01_16,271.13273488928075,284.1730137729956,277.15249653538507,102048.30975766735,269.7759111359685,97273.15172859085,1.862645149230957e-09,2.349955280258185,0.07972829884197079,0.1676545858451948,0.07039983417366948,登封市
2003_01_17,269.82217300134647,279.22907355032356,274.7583141378771,102929.29147049368,271.08727937095233,98029.51245391693,7.839228091908497e-08,-1.777540388212749,0.1459084540262076,0.15590502390424618,0.07479982380952381,登封市
2003_01_18,268.105632789017,282.0436824523669,275.85315724189434,102635.86933701482,269.86595385640425,97787.05309541181,2.18321486259412e-06,2.053100378874091,-0.2632225913100229,0.0658819206184237,0.07919981344537816,登封市
2003_01_19,269.90745101215373,280.4991413925784,274.98346725133786,102301.88613575498,269.84778119532064,97466.36894669899,0.0,-0.06591318168603164,0.8835763857702497,0.18499127919723696,0.0835998030812325,登封市
2003_01_20,270.2396621038568,281.51656918342695,275.19626269011604,102396.95154697819,270.3518066554525,97535.02458479512,0.0,-1.4547556097725536,0.027897482744070706,0.17359302080745745,0.08799979271708684,登封市
2003_01_22,267.39037621286417,282.324430280435,276.1309719159622,102040.76130580372,269.26385934919136,97199.18809065911,0.0,1.9266763658207409,-0.9124204830299362,0.19126824676028273,0.09679977198879552,登封市
2003_01_23,269.7144155789175,280.63360077936676,275.1868442332663,101821.04752067807,269.32104301740264,96998.60299011461,0.0,-1.0642990893269269,1.2793691544277974,0.18996745254903558,0.10119976162464984,登封市
2003_01_27,257.8265229940357,275.4883724363722,271.23972768800496,102975.57884563648,268.2547650987325,98011.35816504864,0.0,3.4490066014153142,-0.4058849424348146,0.21735082902793923,0.11879972016806722,登封市
2003_01_28,261.83941636339074,279.80951163737757,273.1649335105757,102850.9936613243,267.19847631827537,97931.17556066011,0.0,1.3188415880011561,-0.651217545639328,0.21363088715141784,0.12319970980392157,登封市
2003_01_29,265.9229990976393,277.1105663993995,272.9096557906831,102760.30237513698,267.2709350845141,97826.96225981847,6.308446861285265e-07,-1.6049190653324448,1.0965505377267488,0.18551865135068124,0.12759969943977592,登封市
2003_02_02,272.26085373082475,280.65720326526326,276.23140883621426,103097.72261290264,271.0925225063765,98216.22707229134,3.929559450376533e-07,-0.20124774235278145,0.6529307335084388,0.18819169153116908,0.1451996579831933,登封市
2003_02_03,267.7710986519867,282.4514855560968,277.6855886301121,102863.51935338698,272.92004131188094,98016.18737736094,0.0,3.1767612207598486,-0.7967381969331176,0.06704524278110961,0.14959964761904762,登封市
2003_02_04,263.3556031152222,282.00533477622724,275.825393017888,103355.98569106028,270.3406331991401,98443.27431897595,0.0,2.141964994096342,-1.0668054580363342,0.22053751747215194,0.15399963725490196,登封市
2003_02_05,265.5091700556983,280.68535999418515,274.79976426693884,103132.86811584482,269.4666784371822,98238.3764289001,0.0,-0.18590465252666816,0.9564534910720786,0.2188927984944051,0.15839962689075632,登封市
2003_02_06,269.5366964803927,283.88933909049825,277.27386904202257,101970.27271077548,269.9460806200866,97187.1153405378,0.0,0.35838160244187484,1.355900594648881,0.22023504841759012,0.16279961652661065,登封市
2003_02_07,272.91500707665017,281.99407212637436,277.87109192653776,101180.8341544712,272.8063087294567,96435.54145943718,0.00017207340968217508,-0.464016888435471,0.9402923916360969,0.1721008569505714,0.167199606162465,登封市
2003_02_08,276.1656002589659,284.3827436501394,279.9292112289934,101470.69572100774,274.5413421485446,96708.29707053294,0.0038101039698145395,-1.8748792648927628,0.14342072974636091,0.18988614258362665,0.17159959579831932,登封市
2003_02_11,263.4370185859177,271.9752409332186,268.3894108766711,103444.43831195365,265.70916297904193,98400.49429198862,1.2449919168043782e-05,-0.836461504197534,0.8738047526744227,0.01737442601982084,0.18479956470588235,登封市
2003_02_12,268.9338645334198,278.07197842183115,272.8671387930956,102711.94988409097,266.15330839577007,97812.69382694001,0.0,0.8710548953730418,1.2831894552607748,0.023416185326626333,0.18919955434173671,登封市
2003_02_13,271.4668586139076,279.2506816326384,275.73986408010546,102495.41277192229,270.5359145028937,97619.28691263961,3.719409552184235e-05,-0.9418205299088471,1.1130928246990817,0.13384772840921516,0.19359954397759105,登封市
2003_02_16,272.896680243116,282.73075535050725,278.09575442290384,102268.40950546933,273.8836586014645,97450.82091423793,2.8270051924631612e-05,-0.7366374571550004,1.4037207236071783,0.2119036357392099,0.20679951288515408,登封市
2003_02_18,275.63528335505276,287.68659769086054,281.6966665963987,102098.34926349674,275.80898877089373,97353.85398465925,4.284083843231201e-08,-0.3779515046394789,0.26899669341374927,0.19970700420885407,0.21559949215686278,登封市
2003_02_19,274.877496811105,285.93805460342594,280.6896113117902,102272.59724985145,275.65015402581577,97489.92540226885,1.8654067948058166e-06,-2.4178999390010336,1.3094633391186414,0.12470202592537959,0.21999948179271708,登封市
2003_02_20,275.1272586857304,282.5886712265923,279.3291490620397,101424.17831877337,275.0214459534717,96638.25862198166,0.004925440588066419,-3.407137968332295,0.7421766360056317,0.2007168970807845,0.22439947142857142,登封市
2003_02_22,274.3094816177425,277.9334411443946,275.5505699631703,102089.27435514002,272.8519381906697,97206.24944216164,0.0009923967404241278,-1.1393927134614918,-0.25985473632000256,0.030572705273496408,0.23319945070028011,登封市
2003_02_23,275.41700637051497,283.11599761532926,277.6465727160738,101861.15406258788,274.04275990566225,97072.48686679901,1.4015370232875717e-08,0.2415763124866899,0.798979546490348,0.09625370025074281,0.23759944033613445,登封市
2003_02_25,278.76223637674855,285.05418375873256,281.4230621638199,101917.92113516874,278.2221336197663,97145.68188132509,4.0179365469449635e-05,-0.494360562672309,-0.7948507890100894,0.16944300200814727,0.24639941960784315,登封市
2003_02_28,273.38082330752326,280.4650215758711,276.6192452196941,101812.57521389282,273.30149720069954,96984.77152965507,5.078199419888736e-07,0.1068597437219078,0.47655555053707754,0.18299154690783997,0.25959938851540615,登封市
2003_03_01,276.83605937253645,283.66344928224163,279.37053156547154,101287.38237246615,274.2495462718436,96521.74919878761,0.00020950273946067336,-0.7017207854594393,1.5142387249206337,0.1713927123061484,0.2639993781512605,登封市
2003_03_02,276.257286880717,288.31413639217453,282.29055930591346,101354.97503729035,274.346414720122,96625.93226247627,4.9091998077888086e-05,-0.4227990988068989,-1.863708991631501,0.1999450242563566,0.2683993677871149,登封市
2003_03_07,269.42963334660607,283.9163804199367,278.4772304495597,102657.63274757654,274.2013247109594,97848.2403426953,4.284083843231201e-08,3.070707660915484,-0.7269087901066181,0.12323967384124765,0.2903993159663866,登封市
2003_03_08,268.51969147020725,286.2427218616236,281.6260141650413,102817.20934729822,275.0690617121299,98026.156046105,1.862645149230957e-09,0.5091204932697828,-0.03770229207592192,0.2724062530192849,0.2947993056022409,登封市
2003_03_10,274.4391352239454,285.74119580589615,281.3188843383093,102604.96549122562,276.04396060403985,97790.8590378391,9.375185143393021e-05,-2.663003084417732,2.186617210545499,0.25967064241314974,0.3035992848739496,登封市
2003_03_18,274.23736837822787,284.06808092074505,279.5111056263351,102771.99609570432,275.43923731029247,97944.05515878163,7.044021261486052e-08,0.18472729010737376,0.8906574498049735,0.2647645414062222,0.33879920196078434,登封市
2003_03_20,271.03190681409365,290.8763798847142,282.909634057922,102059.62896954748,275.02261988856446,97324.48931733506,9.860884245906817e-07,1.959268050269761,-1.206004565210468,0.3065143327227886,0.347599181232493,登封市
2003_03_21,269.28668506883946,285.549529730731,280.5500921739879,102976.8846520064,275.9521621945688,98144.52590435502,0.0,-1.5486152148065717,-0.10513415278380261,0.35018923313805234,0.35199917086834737,登封市
2003_03_22,274.3045682206227,283.8105064216969,280.16561591303787,102449.49965824104,276.4561353025555,97636.53236717063,1.2991401256046152e-05,-0.41183913425323987,1.3300562635320483,0.2974425919249068,0.3563991605042017,登封市
2003_03_23,273.8638867819436,289.19300471465823,283.3347511616813,101984.5622663173,277.9663478387176,97277.86204432424,0.0,3.1355326191472264,-0.3823708396230411,0.1884807550589131,0.36079915014005604,登封市
2003_03_24,276.0082209009808,291.5139320800518,285.3882204042378,101689.60274459046,279.8142544132292,97022.64710430734,0.0,0.13003371723152302,1.251840052531868,0.3060671569987184,0.3651991397759104,登封市
2003_03_25,282.8406088366454,294.29762855141064,288.65034138809955,101145.22560122238,281.7573053282772,96527.87134965166,0.0,-0.5366567592547469,1.6526008921364133,0.32858406716763205,0.3695991294117647,登封市
2003_03_27,274.3976162461757,288.26847157615975,284.8387198265796,102019.59575871413,281.1271651751623,97300.56374349096,3.0687438576316538e-06,-1.523005512998914,1.5187313148392199,0.3364920155745569,0.37839910868347343,登封市
2003_03_28,279.34138119666807,294.13998339306903,287.23264775765654,100859.78349658426,281.5765554118317,96241.90747430107,0.0,-0.18585877500883694,1.5409379493609578,0.3529546693162568,0.38279909831932774,登封市
2003_03_29,285.0991188545781,298.4480743968914,290.956861710372,100099.09410998838,283.6513997250286,95551.52233150385,2.8186466801672253e-08,-0.7506374614402712,1.3175299398959586,0.3215604495674943,0.3871990879551821,登封市
2003_03_30,287.5894620972337,298.1428424681936,293.3795805523751,100275.34057487005,286.9273565882577,95721.23448291226,0.0007851161936391393,-2.1012282715318316,-0.3014293835868975,0.2515625801121285,0.3915990775910364,登封市
2003_04_03,279.2974207968968,287.1300773899618,283.78665254575145,101758.5937916852,279.6948258175452,97022.87139040425,1.8083140170274814e-06,-0.5211426230027731,-0.5783572333550059,0.38434016416803835,0.4091990361344538,登封市
2003_04_04,277.0795548836539,289.4768901055028,284.5371336895172,102163.05475633299,280.05456617283176,97453.17252699475,0.0,-1.4585028792024708,-0.6598759372073177,0.3990151874970793,0.41359902577030816,登封市
2003_04_07,275.1079160245133,293.9711747210359,288.2772729293268,101395.42056825648,283.15139441267456,96766.34542419079,0.0,3.0703780927778594,-1.1184786867477707,0.39164905552138746,0.42679899467787114,登封市
2003_04_09,278.19378558848496,289.924022129304,285.97057727184637,101708.34852794855,281.752231148096,97002.64209853715,0.00015018830531579992,-3.577357134977466,1.7737756143360937,0.382285711584197,0.43559897394957986,登封市
2003_04_14,277.3052449153466,297.6084338905262,289.95289372688154,100883.15794134673,283.16894936813526,96296.18871561385,0.0,0.813351044752036,1.9215690608687577,0.39084272521329166,0.45759892212885156,登封市
2003_04_15,282.82014963220684,299.687844449177,292.92832015572924,100528.22469415748,285.9909086478602,95963.94366487573,1.862645149230957e-09,-1.0944121992227371,3.564899564692812,0.4731883285237437,0.4619989117647059,登封市
2003_04_16,288.89117364992484,301.6176274732461,296.9155294930504,100281.43462295976,288.9223262341535,95752.7882280119,0.00014820178063177782,-1.3315762141248804,3.5503894758824264,0.43825316728941827,0.46639890140056023,登封市
2003_04_18,280.329868911849,286.18020285824986,283.48823828339636,101746.22465274796,281.5623934437392,97007.3044622268,0.004255907204327566,-0.792037395653149,-0.7639488201789801,0.26640481490139767,0.4751988806722689,登封市
2003_04_20,278.5250002690446,291.33484895022474,285.8070951492845,102120.3283609374,281.6437237420014,97394.28402152141,5.3448878868282594e-05,-2.6371595894228257,-0.9710717152411458,0.46632641072165176,0.4839988599439776,登封市
2003_04_23,284.16683733869326,292.388671648869,288.7375265166289,101517.84122927087,284.50893335510125,96883.36110064544,1.6070431578341305e-05,0.4327965641255904,0.3159014417421505,0.3824822390089306,0.4971988288515406,登封市
2003_04_25,285.5981124287534,295.6139141068941,290.32097113744663,101004.562113758,284.4104504364423,96410.91338459552,6.246134512081954e-06,-0.11223846879363762,1.6982731835835745,0.46322559249386247,0.5059988081232494,登封市
2003_04_26,286.8753504603779,299.2786824774665,292.92297905695096,101159.91736067619,288.18336112615987,96585.36259727823,4.284083843231201e-08,0.9316115143969956,0.5417642990452488,0.44378160448120774,0.5103987977591037,登封市
2003_04_27,286.62356305307617,299.8434047412965,293.2150730538643,101185.41284449877,286.87762599410877,96602.68032752411,2.7493797441232896e-05,-0.516507065987799,1.6849581061813044,0.48014266452007365,0.514798787394958,登封市
2003_04_29,284.8888070602911,296.466072134444,291.0530485399597,101933.99808952255,285.5689542976572,97299.99082226702,0.0016533681293151143,0.5042491317012837,-0.40617617835212094,0.519929197643542,0.5235987666666666,登封市
2003_04_30,282.42915299287915,301.4935291076534,293.8485855618632,101312.03093521549,286.1739706625451,96740.1843406823,0.0,1.038693857352008,1.0765167013801036,0.4684823115774494,0.527998756302521,登封市
2003_05_01,285.1884175310718,302.653082850968,296.1517725890129,100541.77292967855,288.38484214677254,95998.9842624914,0.0,-0.7049411484933517,3.5265609278350225,0.5596582267642605,0.5323987459383754,登封市
2003_05_02,287.2704025754365,301.0805678140886,295.4700473932004,100219.18850111232,289.5937347700323,95688.14564593395,1.8736530751887123e-08,-1.3133443608954516,2.3978981429127884,0.4892357057389559,0.5367987355742297,登封市
2003_05_04,288.51816481082227,295.2788838219786,292.19438898383703,100942.46983777935,290.60541708914246,96345.23672657838,0.0013946962906955308,-3.8297151930350424,-1.0527716234367768,0.500900627069484,0.5455987148459384,登封市
2003_05_08,280.4015012995847,290.17584420961947,286.480324078315,102199.79720458148,283.2163683652588,97498.93446612086,0.0,-0.6544917741500116,1.1325222027524648,0.43175630799155224,0.5631986733893558,登封市
