Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2003_01_02,265.7650118476391,276.3110878512234,271.4323997972731,103357.12167800551,267.6044892302028,99033.79693576193,6.936950775708408e-05,2.4924659806633787,-1.5995271765542398,0.025916216688904238,0.008799979271708685,鲁山县
2003_01_03,259.00575431296505,272.5353184047385,267.6914201566048,103448.69312795461,264.73405374381787,99077.98512248643,0.0,2.5431541319625746,-1.6478902500482762,0.29446847792091696,0.013199968907563024,鲁山县
2003_01_04,257.3939053104654,272.5105581567786,267.38684177235666,104005.08544548055,261.2204038285759,99589.64486255117,0.0,2.419900293738074,-2.1522871618447286,0.29457546560839004,0.01759995854341737,鲁山县
2003_01_05,259.2020690986867,273.3809334776177,267.93323082047016,103689.90138936084,261.1626272332787,99315.81820749598,0.0,1.1161736787706402,0.5851195417477272,0.24966975499651278,0.02199994817927171,鲁山县
2003_01_06,261.92533129353745,276.1006412049356,269.60751597313117,103309.05901138906,262.148798927495,98977.09526018938,1.862645149230957e-09,0.5850380823293697,-0.7075767548763585,0.24597651749363422,0.02639993781512605,鲁山县
2003_01_07,262.2347823136292,273.5131744892771,267.86183399760387,103288.45489399627,262.2615027585236,98941.57353090623,4.0978193283081055e-08,0.12582010926431286,0.7604183979620601,0.15619463906965206,0.030799927450980393,鲁山县
2003_01_08,267.2034358562155,276.9089096444046,272.51283237833627,102664.54103248144,263.7491939055379,98408.69238325887,1.9510395998356786e-07,1.2146583708157503,0.5792276105382125,0.21430594771175557,0.03519991708683474,鲁山县
2003_01_09,265.6933420415085,280.3080358406584,274.53808827217694,102649.91858212094,270.19850581058125,98417.56054315968,1.862645149230957e-09,2.411193405732364,-1.510934657582364,0.09039990601847549,0.03959990672268908,鲁山县
2003_01_10,265.2433099451264,282.7890704519223,276.85696096429257,102743.05470868864,270.4406787660288,98519.44684717178,4.0978193283081055e-08,3.1434735896827646,-2.0265763553574074,0.2725623339820307,0.04399989635854342,鲁山县
2003_01_11,265.48602224117315,283.8046580185368,276.4595373595339,102599.82315331767,271.5286408976984,98409.80877959983,0.0,2.6381540838466297,-0.9763173850293067,0.2880558710095519,0.04839988599439776,鲁山县
2003_01_12,266.33352339692624,285.266728024989,277.35437237628634,101975.47206625066,271.1592170503434,97854.03780599099,0.0,2.7921872424169347,-0.4060416469908091,0.26135412462247554,0.0527998756302521,鲁山县
2003_01_13,264.99646085396097,287.58645815613016,279.03270126504736,102390.36180015866,270.9304331215351,98227.58912058864,0.0,2.2630483528968677,-1.7730431694511932,0.2862555236739218,0.057199865266106445,鲁山县
2003_01_14,267.72355203417254,279.330247789282,275.08396491834947,103288.30451767166,271.0544987577876,98998.28968076632,0.0,-1.1761523046938558,0.006815571314408163,0.19020542010416538,0.061599854901960786,鲁山县
2003_01_15,269.2688891647028,279.79580131656985,274.71714623932036,102526.14058765082,270.6624664779304,98296.69694138224,0.0,0.09195232518695551,1.580853287835037,0.16295321560241444,0.06599984453781513,鲁山县
2003_01_16,272.6140528692765,284.71793435545953,278.03609826016344,102022.73770919336,270.60922446422717,97897.94357467184,1.862645149230957e-09,1.3416287270214227,0.09101504556387723,0.20189656155734528,0.07039983417366948,鲁山县
2003_01_17,270.4810813891007,280.23277775513856,276.1431629670554,102896.50794158482,272.38393019293864,98654.5616661893,0.0003429681382812268,-1.0478790022247078,-0.2850284503656122,0.16817722556358336,0.07479982380952381,鲁山县
2003_01_18,268.84897971043523,283.31054701957595,276.49273700771926,102619.622255454,269.92264932403907,98426.9100421115,4.284083843231201e-08,1.9015881627188247,-1.0898701913099924,0.09767635113210099,0.07919981344537816,鲁山县
2003_01_19,270.87915329899505,281.4740358266474,275.70514116079835,102296.86848849073,270.88406747398653,98104.09730317262,0.0,-0.1702042591577731,0.5138603183234002,0.13912129443001311,0.0835998030812325,鲁山县
2003_01_20,270.61807171609536,284.2437185455988,276.7310954700143,102350.14534037744,271.4320294309449,98145.00623253209,0.0,-0.7270240005385342,-0.6563254493413819,0.22213805046893548,0.08799979271708684,鲁山县
2003_01_22,267.2207188303476,283.1868283646898,277.63019169922404,102036.86101914465,271.0718427146723,97844.56431927373,0.0,2.3387267736025326,-2.015818864667462,0.267726681657758,0.09679977198879552,鲁山县
2003_01_23,270.060783227158,281.7656021653512,276.1334707244229,101803.46748435192,270.60710227393736,97622.37930916011,0.0,-0.14920884684957894,1.5373027761184959,0.19914482116623203,0.10119976162464984,鲁山县
2003_01_24,271.54940513023575,278.88214867762895,276.2583444038511,102111.40275165912,273.16930990099365,97880.3774669831,0.0007176634715066275,-1.1144963941963026,-1.2872548613312242,0.14865436819665784,0.1055997512605042,鲁山县
2003_01_27,259.55289665580625,277.0747228316385,272.0369357346789,102983.296462471,268.5861913218881,98689.90727772251,0.0,2.6121317104743165,-1.4071663586094232,0.29219791254606553,0.11879972016806722,鲁山县
2003_01_28,261.722357655998,281.2377400924056,274.7689231784069,102824.7917838523,268.84097795197033,98570.98051809306,0.0,1.66837452612073,-1.6510165637619008,0.28855457900651876,0.12319970980392157,鲁山县
2003_01_29,266.89006824371467,277.9236368320172,273.87147198946883,102740.51293741743,268.33858426418055,98459.35187147104,4.245794215798992e-06,-1.3090939062069642,0.6348135942771215,0.23587439001757818,0.12759969943977592,鲁山县
2003_02_02,272.5218861867807,280.3539173583707,276.35194051503925,103100.09883198583,270.0262937251747,98858.50542028736,2.0778369422033145e-05,-0.051556793321924935,0.4384883612095913,0.21756657903746476,0.1451996579831933,鲁山县
2003_02_03,268.92241088018903,283.4034944528182,278.7372544094517,102868.50026900937,275.13004527702526,98667.1432082319,1.640126902851601e-05,2.68160621213132,-1.5045489157378613,0.08900176638725811,0.14959964761904762,鲁山县
