Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,269.21031119430126,282.24470441332414,277.20116756893907,102273.65000478618,270.09527775329593,101009.8190876491,1.862645149230957e-09,-0.30431557245366014,-0.18366201432916057,0.14803819582384606,0.00905358097982709,中牟县
2001_01_03,263.27809992053415,275.95163374716645,272.26436746268513,102786.37199561654,269.3895549707725,101487.15295272233,4.284083843231201e-08,-1.89364936493172,-2.1555928704977916,0.12110197997828485,0.013580371469740636,中牟县
2001_01_07,271.1605148551502,273.21642579185755,272.1446202671004,102434.42100030965,267.14648673864986,101141.36971630243,0.004901671176278531,-1.4482646762636266,-1.9546521709185625,0.007862710022611711,0.031687533429394815,中牟县
2001_01_10,269.1743412761326,280.4521404368241,272.89048697605006,101653.43878793009,267.5035190907634,100387.22496228713,1.862645149230957e-09,0.4815703891272687,0.15103431827227154,0.00922660433627065,0.045267904899135444,中牟县
2001_01_13,266.05336819572204,272.271828952554,268.9601170661531,103212.4327218105,265.843018234545,101892.38651279244,3.307082529967692e-05,-1.9136857799923124,-1.918711493693657,0.014888844024179558,0.05884827636887608,中牟县
2001_01_14,262.24156010275783,272.5527376399533,267.97049974609786,103560.99979466184,264.4420186121892,102233.72719561278,0.0,-1.171887850808716,-0.22490001924136885,0.009496681172092326,0.06337506685878963,中牟县
2001_01_15,265.7441836725928,272.83504691369086,268.99271892112216,103361.32700996344,265.28307741936146,102049.52746690986,0.0,-0.42919965627439344,1.7452383384806918,0.025030872876568598,0.06790185734870317,中牟县
2001_01_16,267.4941406064545,275.35555338888565,270.861310881475,102917.53243893434,266.7371725647824,101624.2096021061,0.0,-0.3353649313618302,1.1434948146796933,0.021069665981539525,0.07242864783861672,中牟县
2001_01_17,269.9648492845176,277.9553842942228,272.58363883430434,102430.44002754914,267.85373155338846,101153.37925721736,5.318413111273084e-08,-0.5879337818221568,1.5241985754346108,0.02932097422222127,0.07695543832853026,中牟县
2001_01_24,268.33295223622287,273.06233616544864,271.1743920235902,102813.32002182426,269.15062145448917,101507.63555916953,0.0006493229364806709,-1.6239717432752354,-3.2418001333928177,-0.003973537447660872,0.10864297175792509,中牟县
2001_01_26,267.86706307427704,275.45471721766273,271.8270237328754,102342.67718095978,267.0352960154333,101058.41234120769,1.862645149230957e-09,2.297087130017146,1.1515014354795652,0.024834579973359645,0.11769655273775216,中牟县
2001_01_28,260.9316709065415,276.6355366505668,272.4188023546298,102927.80288408013,269.5869031421135,101636.93474549107,1.862645149230957e-09,2.5729797525175977,0.7412878281078131,0.03576971154351832,0.12675013371757926,中牟县
2001_01_29,265.83337157955475,280.1239439554651,275.21804484394875,102305.99238196091,269.99765719127896,101041.72520318173,4.284083843231201e-08,2.6447026332620416,0.06274041216664153,0.047943343279360326,0.1312769242074928,中牟县
2001_01_30,268.28807849756794,279.7653887305538,276.3495987347187,101851.60560494885,270.2755134009184,100591.66914909956,4.8522519667278855e-05,1.298284272736968,0.7859072235069751,0.06610542355897976,0.13580371469740635,中牟县
2001_02_02,271.6352931553604,281.4441414464096,277.2093370827206,101907.54077594866,270.8361708147621,100652.80922323032,0.0,0.3056701009425354,2.309300625297771,0.10333588458199916,0.149384086167147,中牟县
2001_02_07,265.0627798775158,271.2295931583031,269.1824066461347,103185.43500490965,267.09939597694205,101870.65271361136,3.604938053196518e-06,-0.9304895546806919,0.37350019080288105,0.034696000512606025,0.17201803861671472,中牟县
2001_02_08,271.31935009225606,277.6449804141286,274.14646823247335,102617.0664958611,268.4206193295922,101344.95221826564,0.0,1.3163061555783047,1.5766724426801366,0.04513339579354111,0.17654482910662825,中牟县
2001_02_14,271.94997603460394,284.98909960450766,280.06035777934864,102315.00859342495,271.77630449422804,101067.778669807,4.284083843231201e-08,2.60398225597517,1.908627305542843,0.17263469461496403,0.2037055720461095,中牟县
2001_02_15,266.7570069978029,285.3203571128642,278.59311582356776,103061.857677764,270.78329411967405,101791.92860815318,0.0,0.8599961814374781,-1.8803510545887543,0.1753309200475852,0.20823236253602306,中牟县
2001_02_16,268.4073466420391,281.19992086272197,277.49317174796784,102936.59726525293,270.93372534310816,101659.12700842883,2.9511952084281703e-05,-1.2577876938279724,1.976348594881948,0.18062202210041547,0.2127591530259366,中牟县
2001_02_18,277.0201990465608,288.97609322475984,281.5985622050495,101907.15629624884,274.5542041674163,100675.43035039732,0.0,-0.842017284440968,0.9994119946686133,0.13317538669361068,0.2218127340057637,中牟县
2001_02_19,277.9910432493904,287.7639397138896,282.58297181978514,102286.0641798938,276.1265401037027,101043.3075546552,3.2132496875726162e-06,-1.90248171289161,-1.1305357925443946,0.1525767632754028,0.22633952449567724,中牟县
2001_02_21,279.6750863862607,288.8841191791169,283.3944870822521,101536.11870834552,278.6622773140265,100306.41013216862,1.0969220282473996e-07,-0.11602854461542163,1.5778928514751713,0.17573099998820815,0.23539310547550432,中牟县
2001_02_24,269.12563944096144,278.34779853731715,274.71499371593063,103272.57842868919,272.1640784999893,101979.97948381702,1.862645149230957e-09,-0.6510451839880128,0.5105325916151257,0.2198433137011878,0.24897347694524496,中牟县
2001_02_25,269.6668635365378,280.27790685241416,275.71926982430705,103016.13052868383,272.2005785854169,101732.44719203211,4.284083843231201e-08,-1.077046941655688,1.9836834191288222,0.23343064933531582,0.2535002674351585,中牟县
2001_02_26,272.85679958247215,276.9226701697408,275.24570199964444,102585.37427883719,273.0729309967193,101302.21854318224,0.001580922541616895,0.5892286767503665,0.366738294475459,0.11320548514693482,0.258027057925072,中牟县
2001_02_27,275.4983911233626,283.8553265421755,279.2937347632231,102371.20443652742,274.68648930050716,101121.69947517387,2.742070516590937e-06,0.8498449968698695,-1.0484569254992808,0.10729813729172316,0.2625538484149856,中牟县
2001_03_01,274.63098749708996,292.0062318297177,286.16782889950775,102042.43871506354,278.89421521511235,100816.87756171654,0.0,0.2089024530419443,1.5374896708964805,0.22227175198662774,0.2716074293948127,中牟县
2001_03_03,257.1005899283009,286.82651421025656,282.03967535401006,102316.7879947079,277.07218989077785,101066.50468384576,4.0978193283081055e-08,5.795044343193396,-2.451653886518459,0.20450644143272764,0.28066101037463975,中牟县
2001_03_04,267.53036133243637,288.70601011025485,283.7622063134134,101732.01922610369,276.4154491225409,100498.9466748388,0.0,1.4549196161254898,2.0531720210852455,0.22837306696239845,0.2851878008645533,中牟县
2001_03_07,260.5939326408045,282.28893431566394,277.5057206722295,103131.93297859622,272.38683295988176,101853.59586453684,0.0,1.8005633201609663,-0.6047848001773637,0.1844674971587246,0.298768172334294,中牟县
2001_03_08,260.22819601165804,283.2773913124537,278.3473548608334,102760.11466653568,273.5319163992062,101493.81375234407,0.0,3.339128876409231,0.7928048520780323,0.2663162228325574,0.3032949628242075,中牟县
2001_03_09,269.5334799209037,291.03224581065246,284.0741033765413,101739.85104815979,274.7756713897819,100518.10854341916,0.0,3.211267728321457,1.529424808080256,0.22958409996276785,0.30782175331412104,中牟县
2001_03_10,270.68986087378846,285.0476037301804,280.4121788486423,102387.01027712582,274.9914611990985,101131.59241967414,0.0,-1.8510467793025571,-2.548026917569033,0.2123713115656436,0.3123485438040346,中牟县
2001_03_11,271.0588888902281,291.18806036264925,283.6538689277094,102164.30263458772,276.2143311071664,100935.90509618529,1.1367998502161063e-05,1.5817249234305983,0.19025194932451966,0.22174412708187383,0.31687533429394815,中牟县
2001_03_12,276.02842666246204,292.93206062128155,286.7748922078365,101788.59092396044,277.21860125458636,100568.21588381866,2.2343153534331444e-05,-0.744998753579356,2.182038257312488,0.23803953379306664,0.3214021247838617,中牟县
2001_03_13,279.55029207122743,295.6585672481153,290.0891540392188,100836.85353758153,284.38545732181046,99641.15001309999,4.284083843231201e-08,1.1339818060613307,3.2861923972512117,0.19857770585076287,0.3259289152737752,中牟县
2001_03_14,271.26527889571844,292.730936784349,285.24143020267843,102215.29315868179,280.24510475108895,100979.1304440256,0.0001488343189019198,-2.416099849184886,-2.5029350721960197,0.1499951380075609,0.33045570576368877,中牟县
2001_03_17,272.8480056699766,292.9777752110996,287.3579972406891,101416.76518305538,279.3528923426774,100203.04227436824,0.0,4.336991263571327,-0.12951166088684157,0.271654516030982,0.34403607723342944,中牟县
2001_03_21,272.6774373408816,301.3900124519385,293.0941620599129,100561.6616866001,285.8651839897664,99375.32315583616,0.0,1.3820115953271823,-0.31322405951974147,0.27724719665674263,0.36214323919308355,中牟县
2001_03_23,276.91655602478426,291.90117675320516,288.16111000862514,101032.30448644087,283.07070427950106,99828.31047552884,0.0,0.5969780107961798,2.6895730851982007,0.17074117257046376,0.37119682017291067,中牟县
2001_03_25,274.0393011065108,291.38887255099615,286.89945047963283,101303.5222958422,280.8001374926521,100084.075157106,0.0,-1.1611261020396997,0.3664364856702464,0.29692391317882805,0.3802504011527378,中牟县
2001_03_26,274.7848619288532,286.7626190467463,283.39856515561667,101160.4355170466,277.28371991424723,99930.62053111744,0.00196394345205834,-2.075459442748782,-2.48311920996009,0.18471586079183291,0.3847771916426513,中牟县
2001_03_27,268.4476902201264,279.69779856049655,276.46053131371326,102013.688192724,273.7303238576983,100744.26307754713,0.0,-1.7427094998302748,-2.476608903060403,0.28236460959659504,0.38930398213256484,中牟县
2001_03_28,265.4940772690447,287.595390896931,281.23306573835333,101779.46469641468,274.21147597401597,100540.97687284656,6.564278831809273e-07,2.4046279252050913,0.144277429689251,0.33524556026539837,0.3938307726224784,中牟县
2001_03_29,269.5694535847349,293.65378150541295,286.813618480017,100984.063552789,278.3491029019624,99773.86173682282,0.0,1.6762515088247867,0.20524564767123699,0.3604694180872314,0.39835756311239195,中牟县
2001_03_30,268.1920996201125,287.5324340447592,282.6096222224132,102054.59522615597,277.9969995958517,100809.49374816906,0.0,-2.99434200327166,-2.411374444815524,0.3158831970272969,0.4028843536023055,中牟县
2001_03_31,272.62793423319886,287.943754928573,283.2696112917282,102360.91592924033,278.754392466238,101117.17119718491,0.0,-0.7605262411924194,2.553838090377481,0.34206446165453874,0.407411144092219,中牟县
2001_04_01,278.8416954462804,292.9025543633366,287.7991162587048,101190.36489045499,280.90770059676385,99984.24809125204,0.0,0.9995142747186614,3.5043638341303174,0.3215909908396734,0.41193793458213257,中牟县
2001_04_02,278.62007280663744,298.0464681300402,290.8506521762396,101281.91670415745,283.7158439503747,100075.79867380651,7.459386272916923e-06,-2.6575972696243677,-3.3204614883319334,0.29013268977424844,0.4164647250720461,中牟县
2001_04_03,273.39333614517574,289.99408463020023,285.38436029211346,102172.34736777058,281.3438718941868,100943.1675059781,2.1576656989975943e-07,-1.769859744592326,0.44292498726498336,0.2893381974981487,0.42099151556195963,中牟县
2001_04_04,274.52853039994505,291.98499331983044,287.2991472106807,101633.3043887757,282.19597714080845,100419.31087374152,0.0,0.16892660124025058,3.0444610216673693,0.36935810296753485,0.4255183060518732,中牟县
2001_04_05,276.5437676600638,293.59390676963926,287.6956392117007,101781.16239503428,281.1539790847281,100557.58585256123,0.0008339459537795649,-2.6337655679240792,-3.2824406748404202,0.30585197383053614,0.4300450965417867,中牟县
2001_04_07,283.71913950877865,294.2914332764814,289.1499796888849,101015.71656590854,282.88509976921887,99815.06064313614,3.8497979619232976e-05,-0.560339544118189,2.1049437604819503,0.32100355560076677,0.43909867752161386,中牟县
2001_04_08,285.8796184805017,296.1716020728992,290.7497839485216,101009.97822747259,284.89457288752965,99808.67537231374,0.000860313289234138,-2.397765202545657,0.7831739273273106,0.2686169268164786,0.4436254680115274,中牟县
2001_04_12,275.20885626133764,295.4037461893754,290.19216345447165,101054.7016173288,283.6613162636067,99852.46859880131,0.0,2.323780616920307,2.430444423324506,0.36697244576449706,0.46173262997118153,中牟县
