Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2004_01_02,266.807655967369,285.57393449578933,277.78456634718754,102194.80406167281,271.92172990292255,101088.05675930053,4.470348358154297e-08,2.5578787104310665,0.7390422837540794,0.27533357424059113,0.00860710301369863,尉氏县
2004_01_03,269.10011044454757,281.9968711579198,275.61060991949523,102518.51026872807,271.11983790128767,101398.68330367582,4.284083843231201e-08,-0.09525587057508465,-1.7941180194185884,0.14540080173029057,0.012910654520547944,尉氏县
2004_01_04,272.4088273287552,282.826193896449,277.6942586086754,102586.74888385487,271.460817396854,101472.7612419472,0.0,0.18945602145004964,0.31524626168189024,0.23265442211809062,0.01721420602739726,尉氏县
2004_01_06,273.47352949908895,284.4610890723842,278.03444997734863,102713.30098278317,273.2031346597431,101602.4824758343,9.313225746154785e-10,0.9800906006719639,0.3019232021308187,0.14630328409971619,0.025821309041095888,尉氏县
2004_01_07,268.5562924622434,280.3181969325324,276.49255536132665,103471.9145406813,273.61623851999514,102327.22558719116,0.0001548486972404151,-2.5395247186520646,-4.181684855435017,0.07946280856642896,0.030124860547945206,尉氏县
2004_01_08,268.75638007161365,276.60437944024,274.28984845124813,103146.52313945352,272.1903951589707,102003.34747192753,1.5765750392889116e-06,0.5603369157935901,0.8042847040839624,0.11249395134736535,0.03442841205479452,尉氏县
2004_01_09,272.1433513488028,279.23286747647205,275.17386406475055,102898.04271399193,271.8420952787878,101767.18192371531,1.083785099009418e-06,-0.5439743825731425,-0.022287357539024704,0.20648506966904212,0.03873196356164384,尉氏县
2004_01_11,270.93703262899237,278.70194535085307,275.84866683251187,102854.2874598472,270.64587122834894,101723.15338411485,2.6359568606562846e-06,2.3076276329169034,1.0523152970089922,0.19049469058384247,0.04733906657534247,尉氏县
2004_01_12,264.9036238622716,279.2876137139776,273.5624688265029,103041.03202718154,267.464359366592,101900.1472295347,0.0,1.1087140583209938,-0.6207990579965087,0.19619178917734753,0.051642618082191775,尉氏县
2004_01_13,267.2639914809415,279.2363496937174,276.05669632204143,102443.4894299849,267.2769353018352,101313.74115107571,6.862268242383317e-07,-0.13924301222746302,2.8260832309041817,0.2725138898438319,0.0559461695890411,尉氏县
2004_01_15,271.3539687765568,275.00886807732223,274.09165861523695,102922.75258498907,272.2718732696052,101774.06223687922,0.0047171667268541785,-1.564633167865291,-4.57409133724335,0.14608363729876644,0.06455327260273973,尉氏县
2004_01_16,269.2037701807242,274.19628073151466,271.724771224201,103035.43107307599,269.44422793930164,101882.36946923034,9.823737534424206e-05,-1.617407220080607,-2.0930393639995057,0.04763215798468811,0.06885682410958904,尉氏县
2004_01_17,269.3048186777404,273.5320360834408,271.78256991587324,102846.34358727072,269.57154298939827,101693.15058261801,0.0006707797988031893,0.061766680135899026,-0.5313206566631706,0.21030928504940685,0.07316037561643836,尉氏县
2004_01_18,265.46640868664144,275.2119716470051,271.5329978855079,103009.1013711518,268.71769032655675,101855.94943051616,1.862645149230957e-09,1.1743505396131815,-0.37908729936065955,0.2115706106398487,0.07746392712328767,尉氏县
2004_01_19,263.3736664979937,278.4130878659094,272.25708885460125,102810.1066497447,268.12934273640826,101667.5430306517,4.284083843231201e-08,1.0078134271880697,-0.2690210546848975,0.3141054951976091,0.08176747863013699,尉氏县
2004_01_21,261.54645568931437,274.1031729881387,269.94642251286365,103141.16279063914,266.05169159612694,101977.4334389283,4.284083843231201e-08,-0.5624011590657918,1.0220105642580235,0.2832694495272206,0.09037458164383562,尉氏县
2004_01_22,264.7967132270326,277.8184692645445,273.85161736398175,102567.31870874477,266.5386076843564,101427.46724133524,0.0,1.669468811061613,1.4669047479234196,0.28005646233954296,0.09467813315068493,尉氏县
2004_01_23,257.2253295557918,275.71096244578393,271.6147798179251,103285.2537010624,266.54230236557663,102125.52524223512,0.0,2.935816415277996,-2.94912170257782,0.2677034073727169,0.09898168465753425,尉氏县
2004_01_24,258.33359034251094,275.0025452729468,270.0184671826396,103241.91779627193,266.07565766513494,102082.47667706088,0.0,1.6042878184511833,0.19250057513607827,0.28478845445845646,0.10328523616438355,尉氏县
2004_01_25,261.8231100538468,276.05284918286037,271.68988444306166,102882.38558134706,265.8175124412323,101735.08748950582,0.0,0.39911668704986514,1.8318728517680616,0.23077104467219445,0.10758878767123288,尉氏县
2004_01_27,262.96174927431605,278.61539400151906,273.0308319047487,102603.83019233556,267.23718759256417,101465.50705056387,0.0,0.8133936049767325,2.116629056027543,0.25116503691319053,0.11619589068493151,尉氏县
2004_01_28,268.3193051936073,282.3988355801819,276.23411844392575,101612.2952496192,269.1986760522445,100498.55912994935,0.0,1.0835464928315055,2.802753499340062,0.2358438056228639,0.12049944219178083,尉氏县
2004_01_29,270.6441605820934,282.58170655905417,276.5484368940348,101797.67774391519,270.7235330598696,100680.90144075299,0.0,-0.8940987030108074,-1.2293468532103284,0.2396128222280492,0.12480299369863015,尉氏县
2004_01_31,271.8546720159364,279.7220777061008,276.36393533553706,102043.47196416464,270.47409762812487,100922.49449820007,4.3884286495535454e-05,0.22222919227791618,-1.7089395171527855,0.21820944161353406,0.13341009671232876,尉氏县
2004_02_01,269.40754834509994,279.291013357265,275.77088304616814,102442.01546283225,272.06466417001235,101314.4602151289,8.079324915637581e-05,-0.6219910554606461,-2.3733596044792016,0.10703233699346709,0.1377136482191781,尉氏县
2004_02_02,260.1793512696171,278.81496126518687,275.44561351165294,102603.84832703751,272.0083998664598,101469.53384474888,0.0,1.383681614730713,-0.894024037444593,0.22272451424674772,0.14201719972602742,尉氏县
2004_02_03,257.45656669276906,280.40030152853586,276.2346917982156,102287.0553601598,272.25747412017273,101163.50938104393,1.862645149230957e-09,3.354679744332928,-0.13736575519740668,0.2569545164673986,0.14632075123287672,尉氏县
2004_02_04,258.2152839514069,281.32605001939214,276.32200267054145,102644.02720077233,271.9003504020049,101515.4627841001,4.284083843231201e-08,3.037648274482929,-1.9887149919679719,0.1698816084348965,0.15062430273972602,尉氏县
2004_02_05,256.06842647269434,278.52023241144536,273.72110957658646,103114.58304803076,270.3889410513,101974.29178641447,0.0,3.070184884720947,-1.0840547085158598,0.2638506867689635,0.15492785424657535,尉氏县
2004_02_06,256.699091890672,281.0380429874858,275.4210163254008,103255.56566435941,271.04112849480765,102118.4244473297,3.725290298461914e-09,3.375907500986923,-1.4012944499006506,0.2974827539305615,0.15923140575342465,尉氏县
2004_02_07,257.69029165947313,284.1584894980807,277.414959010596,102889.22759137923,270.8000951887585,101765.59099279197,8.754432201385498e-08,3.655923350405857,-0.3672672362284339,0.2647395172283917,0.16353495726027398,尉氏县
2004_02_08,261.2604041260204,284.91338645306274,277.4387610470565,102720.10461155769,270.6356032937954,101600.57075312074,4.284083843231201e-08,-0.694069816072745,-0.42457879243360724,0.289921401356105,0.1678385087671233,尉氏县
2004_02_09,268.33207458864945,285.38211285456896,279.5441534630895,102646.96318608386,270.7317201813384,101530.70153827146,0.0,-0.43869676758881787,2.6967996526559865,0.2575999343404996,0.1721420602739726,尉氏县
2004_02_10,272.5645506927183,288.8252230772382,280.8521609360713,102362.06673801072,274.8420881577177,101263.94563568512,0.0,-0.26373273074296105,0.5221698265159777,0.26172630672854225,0.1764456117808219,尉氏县
2004_02_11,271.99462326793304,287.10354221490263,279.4409467016239,102839.87866651706,272.42830653693125,101728.71826112398,0.0,-0.569807644016452,-2.1832777042013114,0.23837919761412416,0.18074916328767124,尉氏县
2004_02_12,269.872100469611,288.0700283909798,281.91385873485217,102449.19654968157,272.9962373431705,101350.49283888628,0.0,1.7680212455025146,1.662812938001227,0.2342992583928017,0.18505271479452057,尉氏县
2004_02_13,267.7461019448755,295.46514713065153,284.8752997846159,101411.0856076556,274.5269473110436,100331.49506771313,4.284083843231201e-08,1.291118158433019,0.6207985401775958,0.22595819315524265,0.18935626630136987,尉氏县
2004_02_14,264.72234257265865,287.5068275923686,280.6057189822611,101990.21685958446,274.44048366593313,100893.1664463617,0.0,-0.7286246659685054,2.0028020171784306,0.27261094174798545,0.19365981780821917,尉氏县
2004_02_15,273.1730374892405,289.72830680149264,282.9026870631561,101925.98878881885,274.92979667028516,100832.24582502931,0.00036599045959301746,-1.230027791071657,-0.7305099594046724,0.24315835962177743,0.1979633693150685,尉氏县
2004_02_16,271.87770427043273,287.59743489375865,281.0231260186531,102188.15933297723,274.17376227723804,101093.7461324155,1.862645149230957e-09,0.7078295146635902,-0.4406416630140425,0.31706719154072316,0.2022669208219178,尉氏县
2004_02_17,270.36126632040026,291.63389809749367,284.44837874636477,101568.33723625493,274.4771733933538,100486.3964690614,4.6566128730773926e-08,0.19351792131926074,2.645998326414354,0.3001218031085296,0.2065704723287671,尉氏县
2004_02_18,277.2672069193838,291.80448632583267,284.51524543820415,101328.53156669483,277.7302042802157,100251.56202433842,8.568167686462402e-08,-0.6292664978825041,2.344110444497025,0.29843206089283775,0.21087402383561646,尉氏县
2004_02_24,273.93180271694246,290.91141846702266,285.2689036211329,101712.68483480021,280.2203981409134,100629.67486638526,0.0,3.0857872782646916,0.026280309685338583,0.36432017269500083,0.23669533287671232,尉氏县
2004_02_25,270.8931812533683,290.35168696975074,284.54325997515576,101652.87526968704,279.71333635121186,100573.2394688157,6.438104417952541e-06,2.4071739639704974,-0.953194875482627,0.32382882907478006,0.24099888438356165,尉氏县
2004_02_26,268.2088878899635,289.3798107673467,284.1845584782451,101869.78971373523,279.31727157773116,100777.90180749822,0.0,-0.07171124865372347,1.1641767413069553,0.37415375690794755,0.24530243589041095,尉氏县
2004_02_27,278.10125236711974,290.08026073125853,286.2008696313498,101026.76650753901,279.6769612024015,99951.19286468484,5.4644789780470746e-05,1.242326955620181,3.777632359501079,0.3288648531450592,0.2496059873972603,尉氏县
2004_03_01,274.55035834461984,283.5017265745558,280.1753617574204,102122.59477997669,275.2495446519505,101011.0399736036,0.0,-0.3902193451581635,0.7948143940798447,0.3803710361684803,0.2625166419178082,尉氏县
2004_03_02,271.7013179053342,284.96994294624636,280.184115772466,102279.76921908704,274.39368610027543,101166.50816190212,0.0015904741454615089,1.9646807597954392,-0.3202788717212627,0.29305534157332597,0.2668201934246575,尉氏县
2004_03_03,262.1260648978112,284.14953296023043,279.04953598613065,102088.30982535447,274.78061439893975,100977.14942344048,0.0,3.4436817711514625,0.5673391710572613,0.39949559133019297,0.27112374493150687,尉氏县
2004_03_04,265.19947703742685,290.71808497369125,284.22056299245776,101389.63768604776,275.79432008097206,100302.231637682,6.054893420029942e-08,2.8607028331631694,-0.598417149686051,0.4045283483543844,0.2754272964383562,尉氏县
2004_03_05,260.9995810628352,285.9460302838582,279.71286028186654,102676.67478510337,271.4817293440016,101556.38376898451,4.284083843231201e-08,1.8436815422138166,-3.382748839161793,0.4069336337189503,0.2797308479452055,尉氏县
2004_03_06,262.19259357368776,283.0432809505617,277.3387685578315,103415.84403134316,271.84152627114844,102282.02160454639,0.0,0.4631409681986879,1.2679196941130617,0.4246705986765711,0.28403439945205483,尉氏县
2004_03_07,266.702153991086,286.3989760416567,282.17265485593316,103115.98394856909,272.9491569619915,102002.08271244231,0.0,1.2623467656473015,2.4373737227088275,0.42794983201417697,0.28833795095890413,尉氏县
2004_03_08,274.7212004064411,295.4821095353625,288.9302287556575,101567.67039800453,280.3300124415971,100493.29542689,0.0,2.9599361415720153,3.4840941201666578,0.3917867408958033,0.29264150246575343,尉氏县
2004_03_09,277.69461814012004,296.4737798976546,290.872489678415,100286.80117107095,284.4827979361528,99233.30479253705,0.0,2.4599599947266526,4.927068089150214,0.43882525244685977,0.29694505397260273,尉氏县
2004_03_10,270.49714254449395,294.8152247275164,288.63567261082744,101436.16594317187,283.2159186499981,100362.31729787569,0.0,-2.1507652529267056,-2.564432215687977,0.29745543823444376,0.30124860547945204,尉氏县
2004_03_12,278.30097145251904,288.03063568481235,283.27360920255865,102006.41087439645,278.58095677103694,100904.8967240417,0.0,0.4795100025649175,3.92572941449519,0.36388113772345687,0.3098557084931507,尉氏县
