Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2004_01_02,266.2316280168552,285.16864843047495,277.5192134611256,102175.01213871903,271.61056731776563,101271.33022033768,4.470348358154297e-08,2.624582434666078,0.8828484258759096,0.20503095679292638,0.00860710301369863,开封县
2004_01_03,269.1789727321258,281.5669012203364,275.19227615048624,102523.50934529517,271.150214006608,101611.68414903896,4.284083843231201e-08,-0.5362981764072039,-1.6825244433069722,0.11843181743678297,0.012910654520547944,开封县
2004_01_04,272.331825240319,282.5699330724245,277.2506764428434,102592.63282550292,271.02670260664394,101685.55903882298,0.0,0.1650165575375976,0.6726104825706177,0.18162338756913057,0.01721420602739726,开封县
2004_01_06,273.34055141237127,283.86038679471835,278.2154772950511,102722.5848336836,273.585451371235,101817.10740612602,9.313225746154785e-10,0.503542310321774,0.23308469407220003,0.10449635835328241,0.025821309041095888,开封县
2004_01_07,268.1466634413487,279.76102305959745,276.103690302241,103506.48872778467,272.7572421596845,102574.01570715984,0.00014036871695256387,-2.4729180284344787,-4.312404192204249,0.07734398558862439,0.030124860547945206,开封县
2004_01_08,268.5953282863288,276.59691799146515,274.1686005151816,103135.62655149652,272.1447809175838,102205.55585814803,2.3446838810485268e-07,0.804874732987436,1.0395408740125964,0.12026091479357326,0.03442841205479452,开封县
2004_01_09,271.7026061772995,279.19502122841016,274.7987703657085,102913.36888650774,271.77478653814853,101992.74308903926,4.443727072768724e-08,-0.5861832008208306,-0.08752972035234553,0.14949294918060965,0.03873196356164384,开封县
2004_01_11,270.85456398529925,278.17128236737966,275.2749392606139,102830.14936301876,270.8442214363619,101908.28287425866,1.4431766254428625e-06,2.280013709602886,1.3095868258313308,0.1046682662681539,0.04733906657534247,开封县
2004_01_12,266.04233999621056,278.09749615598565,272.700908467807,103045.82994957884,267.28066529948967,102113.84487613107,0.0,-0.19996591125148935,0.25880600132526427,0.15324691196771503,0.051642618082191775,开封县
2004_01_13,266.7358214305759,278.9769737282827,275.6165975308908,102449.96790552569,266.99314528177126,101529.24740869642,0.0,-0.08277894371636145,2.9438235040477148,0.2087939262170806,0.0559461695890411,开封县
2004_01_15,271.1663632981232,275.0922470946807,274.0347735451241,102937.7361764836,271.9754594959091,102003.09514953868,0.0049793327189942655,-1.5990668970412258,-4.757915246688776,0.7171302066002455,0.06455327260273973,开封县
2004_01_16,268.79802594950496,273.89201036331,271.31878508042405,103046.76030579567,268.91580702692573,102107.79135060265,0.00018206951804685057,-1.527927693433204,-2.264447953399014,0.025047202756801473,0.06885682410958904,开封县
2004_01_18,265.88743126035416,274.38600678406397,270.9905096635443,102993.00930370939,267.82430137771104,102053.83098322686,1.862645149230957e-09,0.9049033581349057,-0.056568004458084416,0.12645594813872565,0.07746392712328767,开封县
2004_01_19,263.7115136764867,277.9822413544575,272.03988678098517,102803.95465007306,267.22182723826364,101873.21196019891,4.284083843231201e-08,0.6618046646084423,0.22948641418217042,0.2306635633107612,0.08176747863013699,开封县
2004_01_20,261.98156862252364,278.1989732817974,272.30575317719536,102907.52683126465,266.04220509257914,101969.84275523818,1.862645149230957e-09,-0.6387452670694731,-1.9547483276017459,0.1850810285463837,0.0860710301369863,开封县
2004_01_21,260.6218657228164,273.358392681262,269.4392982445076,103153.25698251152,265.6289650083714,102204.43797945409,4.284083843231201e-08,-0.8516008272292231,1.0740395269455196,0.19078940825696583,0.09037458164383562,开封县
2004_01_22,264.95807951561545,277.2698424935562,273.1761076773478,102557.22691961561,266.07076876199824,101627.70702658441,0.0,1.3468867442857282,1.6801797465561878,0.20044796795763958,0.09467813315068493,开封县
2004_01_23,258.94054951800405,275.50623693051284,270.6073663124811,103269.53880711301,265.8906776346043,102325.23964042267,0.0,1.3319133132751428,-2.5562831268333643,0.14795040970782977,0.09898168465753425,开封县
2004_01_24,258.43782580905463,274.108914599263,269.5556306870916,103235.87604515733,265.7907723941541,102290.55825653333,0.0,1.028733846364309,0.8850880983073826,0.21201945125465335,0.10328523616438355,开封县
2004_01_25,261.63926660560554,275.98416862707944,271.2922169965159,102878.77885733118,265.1646510726131,101944.46736303811,0.0,0.383558730103399,1.9087390191882332,0.16990553376896794,0.10758878767123288,开封县
2004_01_26,263.60369858504373,280.1566646083221,273.08403001574567,102748.50849836279,266.7362005568305,101819.18738486886,0.0,0.13719957886354137,-0.7522325382687225,0.1426373179288303,0.1118923391780822,开封县
2004_01_27,262.7972691076872,278.49653396078065,272.9860876196439,102585.89560395782,266.9657140594269,101659.54422343474,0.0,1.0555710891590464,2.3456162374388687,0.18462589351208322,0.11619589068493151,开封县
2004_01_28,268.04872784403,282.2717850005421,276.0257139156622,101603.06501992814,269.27215650382226,100695.80949420674,0.0,0.9635897815846998,2.973419899103532,0.16598204526582785,0.12049944219178083,开封县
2004_01_29,270.41099907197196,282.24393631068955,276.4831394666014,101819.00894792915,270.424159346648,100908.79315287554,0.0,-1.058935316624521,-1.4994957857727267,0.17408776297585965,0.12480299369863015,开封县
2004_01_31,271.9669473382696,279.4671101582411,276.37604142035923,102046.75036499123,270.6788314938731,101133.77000530096,6.76653142904116e-05,0.06575032228434848,-1.4971235280615458,0.17478505484559187,0.13341009671232876,开封县
2004_02_01,268.6557639018381,278.7360027844167,275.2725578276543,102452.33248314212,271.7786014117813,101533.53020366697,5.586630235420804e-05,-0.9361501421636255,-2.4640451331217323,0.10649386847734679,0.1377136482191781,开封县
2004_02_02,260.85987246095806,278.2922075236944,274.40269318481313,102586.6646357309,270.51249838264215,101662.37517795201,0.0,0.9683861924185798,-0.4577498786176398,0.14443677564882026,0.14201719972602742,开封县
2004_02_03,257.7196756516092,280.16143237970044,275.9882245610095,102250.48277740373,271.2352009240181,101334.53994374585,1.862645149230957e-09,3.7705872895530286,0.2793380900877172,0.15773451806866137,0.14632075123287672,开封县
2004_02_04,258.89075013375714,281.2371059060747,275.7252151948831,102620.33218548237,269.49904804562584,101700.8815688949,4.284083843231201e-08,2.870925713483464,-1.9567788455959194,0.14438255170959108,0.15062430273972602,开封县
2004_02_05,256.6216591025234,278.13456444180895,273.5764230225342,103086.57491366474,269.7340208149842,102156.45531904773,0.0,3.105215606265789,-0.4438980779363081,0.19332660291971743,0.15492785424657535,开封县
2004_02_06,257.0284552190857,280.8484552565718,275.1386550311951,103219.88678201762,270.56487335339557,102293.84523646512,3.725290298461914e-09,3.411687372880135,-0.8085466364755257,0.20565604019018757,0.15923140575342465,开封县
2004_02_07,258.0021688582213,283.59120812355206,277.21339960255244,102853.17377616151,269.8937792538395,101936.61236724297,8.754432201385498e-08,3.771279550103492,0.12235298547853414,0.19780680712035142,0.16353495726027398,开封县
2004_02_08,261.343103435129,284.7042937537766,277.0842682776277,102737.11928323703,270.15428347960693,101824.44549470778,4.284083843231201e-08,-0.9018204571911488,-0.4378959714425752,0.21186380114108164,0.1678385087671233,开封县
2004_02_09,268.1341550580463,284.91859527465743,279.1305911451254,102659.02205231685,270.3220008309363,101749.21583695766,0.0,-0.6923027990806911,2.770853007313373,0.18214806095104916,0.1721420602739726,开封县
2004_02_10,272.0618769137618,288.6402149096234,280.37203955630116,102377.43934187728,274.81691041067296,101482.60354807012,0.0,-0.5569537104005635,0.17335055226011079,0.1796121708144368,0.1764456117808219,开封县
2004_02_11,271.26939541710453,286.7935476084411,279.2153573622229,102849.1272746855,272.2569838620653,101944.52633465313,0.0,-0.8517996286761327,-2.2042291829681826,0.15613061163377273,0.18074916328767124,开封县
2004_02_12,269.51162028402877,287.59646882468337,281.82798632083905,102421.24618161756,272.5615422768629,101525.71396662903,0.0,2.017170814866953,1.9119211929955138,0.1773392326918805,0.18505271479452057,开封县
