Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2004_01_02,265.8903591032745,284.4815935575236,276.533656407122,102131.14912209431,270.7789963181461,101206.17408089187,4.470348358154297e-08,1.0685486778086086,1.0478681306189241,0.23260852773148535,0.00860710301369863,滑县
2004_01_03,268.2139867261901,282.0561003036243,275.1835218545864,102544.2119946274,270.9142073114184,101610.34933725362,4.284083843231201e-08,-0.39789621338499803,-1.5858266158462797,0.1856462815428401,0.012910654520547944,滑县
2004_01_04,270.9257186498277,282.0215437744558,275.85306776538505,102596.74950839221,270.55250017533535,101664.82763518638,0.0,0.6282882000901756,0.9856172630064991,0.18270152167862502,0.01721420602739726,滑县
2004_01_06,272.7922318879906,283.0564735845026,277.12606357664515,102745.86908379561,272.9973594518785,101814.76718204172,9.313225746154785e-10,0.29841913007862864,-0.16942238988153344,0.0884546648258727,0.025821309041095888,滑县
2004_01_07,266.611494961217,278.278167078244,274.9933317710326,103617.64447538111,270.0554589092591,102658.4598001341,6.693265170290777e-05,-1.227057637743993,-4.128431169022834,0.09157505831421615,0.030124860547945206,滑县
2004_01_08,267.0241570891287,276.59031799946393,273.9018383562834,103087.3850640426,270.4881889466484,102131.90870140718,3.1694662148907874e-07,0.9880284425638541,2.2683223461803372,0.16679883732919765,0.03442841205479452,滑县
2004_01_09,270.6921504094788,279.1351034043549,274.56557592102473,102944.11618959185,270.998236583947,101999.61475837498,0.0,-0.058065095139443544,-0.4639529059327626,0.14191556331724653,0.03873196356164384,滑县
2004_01_11,269.25867127069034,277.7829828793359,274.9083895912858,102763.53175050397,270.85577201978424,101819.79895860207,0.0,1.5220616440808472,1.3239032376797046,0.1646817704092391,0.04733906657534247,滑县
2004_01_12,263.67616689038255,277.5008748974589,271.9563090912301,103046.51818511786,267.3194661293507,102089.30244321248,0.0,-0.8011688001830822,0.2558770264902492,0.17897579188958,0.051642618082191775,滑县
2004_01_13,265.6409344846573,278.4133202285816,274.59390872688846,102417.83627313096,266.53683960980294,101472.44877443346,3.61710316616686e-08,0.432358610206012,3.2120684569321414,0.21435648228683524,0.0559461695890411,滑县
2004_01_16,267.2036427490248,274.0930519889506,270.63360666270944,103083.27096605604,268.0286348326191,102119.67769845172,0.0001751646644635941,-0.9824405055761304,-2.4326693100920096,0.043973677644456435,0.06885682410958904,滑县
2004_01_18,265.9483820880218,273.92131862614576,269.8398508259714,102963.7856153516,265.6896409897675,102003.12436199369,4.981656332105036e-07,0.45873596562414104,0.17035827066234452,0.15377233945194915,0.07746392712328767,滑县
2004_01_19,262.9967950098437,277.74180079801863,271.5203907424414,102775.37570218561,265.91829487828016,101824.0943239449,4.284083843231201e-08,0.839296870083993,0.7007366818848222,0.24180335886142768,0.08176747863013699,滑县
