Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,273.0948433167018,282.5954802850781,279.1825262421263,102257.30911127159,275.55315385319426,100661.57979814308,1.862645149230957e-09,0.49451946072937425,-0.36436673202935604,0.14652473480353131,0.00905358097982709,平桥区
2001_01_03,273.54951789482635,281.9473255131999,277.24236518768606,102529.06441049605,273.7006710518956,100904.18400746447,4.284083843231201e-08,-0.9682187538666076,-1.7542738212931261,0.07140418634330312,0.013580371469740636,平桥区
2001_01_07,272.5535651071175,276.93121510690577,274.8198999844868,102250.45226993262,272.0518165403105,100606.66892585668,0.004306889210314303,-1.599838685141347,-2.5532925256273855,0.1185751081969543,0.031687533429394815,平桥区
2001_01_10,272.2966575870744,280.3066909405766,275.51019542002024,101792.80157657749,271.70449580200807,100185.82337725257,1.862645149230957e-09,2.5077600772890936,1.7966585336681942,0.12193560645128898,0.045267904899135444,平桥区
2001_01_11,273.5902840117874,282.7517172302726,276.44873694261497,102003.56489557537,271.3815676778084,100380.90048768213,2.521081544921772e-05,-0.3611265492125117,-1.3812139059665705,0.2257997958109478,0.049794695389048994,平桥区
2001_01_13,269.44457294026984,280.3073458718296,273.61696814208153,103004.64017596547,268.29711832684416,101351.48501953848,2.2622848081535688e-07,-0.4093615935026008,-2.394389952983689,0.10752441505172812,0.05884827636887608,平桥区
2001_01_14,266.903280561611,274.1398733793403,270.7296777400706,103487.43152552232,268.29476758196313,101808.32381337261,4.347857387497439e-08,-1.1769090295879818,-0.8898475240762085,0.11678957026529276,0.06337506685878963,平桥区
2001_01_16,271.4626417382975,279.44042523554816,275.427801559647,102834.77381373766,269.29449946938485,101203.89360222116,0.0,-0.652846381444993,0.6135955937350014,0.16369406107651568,0.07242864783861672,平桥区
2001_01_17,273.9687372861962,281.1456154447541,277.67327121838525,102366.34880553644,272.03653822563837,100753.1766328324,1.6203689620980583e-06,-1.245944503374562,0.303829582900235,0.1476386452117153,0.07695543832853026,平桥区
2001_01_26,268.11265771788044,275.77372743285366,271.17409263015105,102542.64374338122,268.690837763051,100891.19097060835,1.3386309884936408e-07,1.8856273817205975,0.304661966622742,0.013413572297643152,0.11769655273775216,平桥区
2001_01_28,264.6468437417445,276.6638283316207,273.4801412359999,103085.933097348,270.6594832750489,101438.63180394199,2.402088773620874e-06,0.7083262493049963,-0.7886440892376876,0.11321222957666266,0.12675013371757926,平桥区
2001_01_29,271.3665425823368,281.67959887644025,276.7130074882174,102381.93113670447,271.1142176811284,100773.39511473881,4.284083843231201e-08,1.5427603422823346,0.6425584917913991,0.05745831479996694,0.1312769242074928,平桥区
2001_01_30,273.468508112895,283.68168701735425,279.06245588125336,101867.97057367042,274.1404285172217,100274.2508542648,0.0,0.7553619227202388,1.0066074089934343,0.09814930203728985,0.13580371469740635,平桥区
2001_02_04,274.6476532991014,279.1645842027984,276.6500291251065,102197.73744409872,273.6530179242136,100573.29148754773,0.0003136027847653838,-1.7361953884593824,-1.3540611005656433,0.14525076098659057,0.15843766714697408,平桥区
2001_02_08,272.02035729943645,278.13639618992,275.0121335259186,102722.35533463048,270.54867096648957,101092.64984432753,0.0,0.678391708226989,0.699662873532524,0.14271549617281504,0.17654482910662825,平桥区
2001_02_09,272.90025827696024,283.4028886272357,278.21050548025124,102665.67980899767,273.40921236739786,101059.07137912058,0.0,0.07926974279853793,-0.10539183656253545,0.11746067861580693,0.18107161959654178,平桥区
2001_02_10,274.48258243149945,287.4933757355898,279.9049300510604,102424.16881282387,273.73467185834477,100819.8524189239,7.366430513680396e-06,-1.2463845149315718,-0.09982861012695349,0.19284124360206736,0.18559841008645533,平桥区
2001_02_13,271.4692469727789,279.88069914134627,274.57195282332066,103063.98890566413,271.33456705197864,101433.14881451626,3.2063270253400487e-07,2.012986160846805,-0.4632641927817746,0.023963258866946148,0.19917878155619598,平桥区
2001_02_14,274.46095348508806,284.8322069728608,279.7287150141116,102575.78668081529,273.6001977357491,100970.29415316957,4.284083843231201e-08,2.1256498769553,2.4998420671606576,0.22670263707809288,0.2037055720461095,平桥区
2001_02_15,271.24395707808463,287.048186076781,280.54269513983905,102974.39296574079,274.6573596330487,101365.34453827972,0.0,0.14959024302797724,-2.6317506596804514,0.14593499968928497,0.20823236253602306,平桥区
2001_02_16,271.21988145182996,283.3754425209601,278.7451346534188,102829.5516085733,274.7620978390722,101203.61431948771,0.0,-3.0123546604929934,0.5008473033288957,0.15484458221682254,0.2127591530259366,平桥区
2001_02_18,277.83963586707574,290.16125806152394,283.198888785822,101857.80937545051,275.2419784240932,100285.80738362121,0.0,-1.2575206658466107,0.22300236723466832,0.19189474847211926,0.2218127340057637,平桥区
2001_02_19,278.89369346191364,288.63837099627705,284.1053670765575,102090.41433341177,277.9263696129305,100505.74683131458,0.004672364398101924,-2.3122531274544245,-1.3336690757717924,0.18466616430225416,0.22633952449567724,平桥区
2001_02_24,269.3848513098067,278.21559825928625,274.63193265447717,103225.27249629809,271.2110512751372,101570.32219877785,1.862645149230957e-09,-1.9677574946668286,-2.231208436215271,0.22745445958820507,0.24897347694524496,平桥区
2001_02_28,276.7620131982178,286.99788784999856,281.93797712838375,102199.449922316,276.87822518821133,100617.07351974212,5.373163041411031e-09,2.051672318873833,0.6706343609974913,0.24716819081300656,0.26708063890489914,平桥区
2001_03_01,277.3567935654202,293.0450792417376,286.2707712645463,102127.90567457631,280.5665789382495,100567.45624580803,0.0,0.7570976612685573,1.4429972962034292,0.187705980825324,0.2716074293948127,平桥区
2001_03_04,269.0571346986917,288.7614297784657,284.6144253421966,101889.79038768396,278.08043323148934,100314.22082307369,4.832488727316563e-07,0.2472234776817929,2.0392976780696386,0.2046589574450655,0.2851878008645533,平桥区
2001_03_07,265.20373226973874,281.3026611977612,277.94367416566223,103139.24263363244,274.65562369218316,101505.54830669658,0.0,-0.5174765189722611,-1.8153524848617877,0.18930672449889357,0.298768172334294,平桥区
2001_03_08,264.0142672969807,283.1983867768237,278.4280225373349,102967.75458631931,274.9905241221074,101346.88611942643,0.0,0.9410152142731796,0.10954178458858252,0.27836256266492704,0.3032949628242075,平桥区
2001_03_09,272.716474608771,288.5183819880236,282.94166255630915,102034.12260508859,276.89461811215114,100450.10630212177,0.0,2.381212278446074,2.8259084167600097,0.24002860806421134,0.30782175331412104,平桥区
2001_03_10,277.0334430783924,291.335504850576,284.2056844919543,102186.64089900385,278.1155832700888,100605.91781620227,0.0,-0.4693054840210523,-1.5312559002378636,0.23786405319080975,0.3123485438040346,平桥区
2001_03_11,276.87668714655524,290.7685490803542,283.4787240394642,102287.94542198059,278.48524360201,100721.4791907044,0.0,1.3035750422891978,0.1063967035128333,0.17959492691898513,0.31687533429394815,平桥区
2001_03_12,276.5122298578868,295.4929351014649,288.8931687345191,101901.70945612027,280.96082095641975,100350.10771659059,1.862645149230957e-09,0.6440753860744624,2.466633509067556,0.2753780011642973,0.3214021247838617,平桥区
2001_03_13,279.08973363569623,295.66070651262777,290.71379571157377,101052.04282944999,285.68987571322947,99516.85608090524,5.245371495297481e-08,1.3973084078027977,3.9020565918106507,0.26433791770766735,0.3259289152737752,平桥区
2001_03_14,274.68156103661056,295.6477505813356,287.44784241173556,101953.6593941607,279.87435155882895,100382.88156006756,0.0006203445130667955,-2.6577443519353365,-3.7041976322950485,0.24452730742106843,0.33045570576368877,平桥区
2001_03_17,277.848984200475,290.8211692752778,283.9572951751195,101665.22697993183,277.4618442339588,100105.02514221102,0.0,2.597266469463905,0.5828921476383738,0.2782415653747004,0.34403607723342944,平桥区
2001_03_18,279.8785618627488,292.43080281934357,286.6459264509743,101654.72478264815,281.211365683261,100104.28390132725,0.0001141405110786801,1.7842786048208372,1.148656934125852,0.2697153056854728,0.34856286772334294,平桥区
2001_03_19,279.5339922755611,293.83053574390016,288.271433762615,101366.29412262795,283.2449901546484,99826.14144590985,0.0,2.6453426282491708,0.5186506095258817,0.32330739625870014,0.3530896582132565,平桥区
2001_03_21,282.25352820164045,298.89554858875437,292.0041166948269,100682.77520087655,285.77338208982724,99160.31329117708,0.0,1.7968629146568467,2.4105299836517764,0.33543122093582617,0.36214323919308355,平桥区
2001_03_27,275.3838752564829,285.78799669412655,281.05285187987226,101773.05790627975,277.3220813403777,100174.15422592488,0.0002494353974255815,-2.204637690337959,-3.4508374353704827,0.2787152076748285,0.38930398213256484,平桥区
2001_03_29,280.0364511126475,292.27862187687344,286.9237792286502,101206.95145906818,280.55980917226236,99654.45434246954,0.0,2.5818910906566988,2.596258697378476,0.32240522290217194,0.39835756311239195,平桥区
