Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.06922325517921961,259.7025580759952,273.58465590576253,267.8535787151929,102578.18277713443,260.657465638143,100523.0490332997,0.0,0.8942851190212197,1.479764338761246,0.004315374450549451,文峰区
2005_01_02,0.07582618167617362,263.79944846303385,276.2908688211501,271.38201385345644,101529.14256363755,263.37347630971345,99522.80090565083,0.0,0.42286581401416756,1.057833194285463,0.008630748901098903,文峰区
2005_01_03,0.0932653688492234,263.41124569601567,277.72790580110876,272.15601409461243,102908.29018648181,266.61533300074865,100861.24208914238,0.0,-0.48893352734022943,-2.110541273566283,0.012946123351648351,文峰区
2005_01_04,0.1717191421511113,258.2217718007695,272.90452023981516,269.79917634223006,103364.03223310036,266.5200360092153,101280.87393580585,7.372020892921128e-07,-0.6933918839175575,0.6627873502610607,0.017261497802197805,文峰区
2005_01_06,0.10487362814296253,265.72158618880184,274.1680923912945,270.52723369109606,103098.6236342334,265.5208096153322,101041.63451129406,0.0,-0.14723882310001193,-1.805387949194692,0.025892246703296703,文峰区
2005_01_07,0.16172438053664434,261.81606237327395,274.579730771802,271.08205022829054,103578.71330655864,267.2237820197795,101503.10321144041,0.0,-0.3762104104398973,0.5258541066714488,0.030207621153846155,文峰区
2005_01_08,0.14158134587414017,261.2129821749548,275.76095110134423,270.48047465849424,103590.23235130249,266.1654744178162,101511.78290331586,0.0,-0.44211858914112384,-1.2560629751673027,0.03452299560439561,文峰区
2005_01_09,0.1510077973482037,260.3121888709002,273.858413457856,269.9375644992058,103093.47507409661,265.58903890840566,101024.18209381154,1.862645149230957e-09,0.14633602927724368,2.0328862159977192,0.03883837005494505,文峰区
2005_01_11,0.11283787827999628,264.2076482056101,275.7459056197995,270.7315431072407,103329.48020211147,266.0035207578929,101266.76545969023,0.0,-0.02046589742864122,-0.40973644540968285,0.04746911895604396,文峰区
2005_01_13,0.06701999372374914,267.241112146277,276.88118192464486,270.83909354353096,102811.32520454383,265.82532010271734,100762.68906288657,0.0,0.11730830285036857,-0.33838668648800524,0.056099867857142854,文峰区
2005_01_15,0.31942597232013376,262.1398820566668,277.5946586281518,270.59966139252634,102788.14621651541,264.79438185555364,100743.28176768853,1.862645149230957e-09,0.6165119547535519,0.5982640648589966,0.06473061675824175,文峰区
2005_01_16,0.1987684486462219,264.4139604004954,278.61618145914093,272.39542873464694,102447.64952073291,265.1816759678651,100423.96277577376,4.284083843231201e-08,0.43666894993479666,1.7258768226003034,0.06904599120879122,文峰区
2005_01_17,0.20697932062055333,263.4598037965877,279.8521118763652,273.3932798007589,102386.54242190714,268.4252433332242,100368.00102205947,0.0,-0.02110953314048912,-1.368344684370356,0.07336136565934066,文峰区
2005_01_18,0.2956578289952777,264.57965147945595,278.49210220214735,272.0963474680866,102780.36806033505,266.7659915155859,100742.97630293471,0.0,0.06375521263347665,0.8401675386164974,0.0776767401098901,文峰区
2005_01_19,0.26074591381060813,265.0331852526299,279.2680127360503,272.33718592634926,103083.48174964225,266.9421253043205,101041.84243925646,0.0,-0.018769798799927864,0.05853864510551554,0.08199211456043956,文峰区
2005_01_20,0.20651670337386177,265.7288988348159,278.71950854318146,273.0527295795796,103627.8078734154,268.2181911535561,101566.61623118958,0.0,-0.2987035632677574,-1.2093214377030514,0.08630748901098902,文峰区
2005_01_22,0.2541531315925131,267.17028893726604,278.49248515630524,273.466912142885,102350.81396396027,268.9377461289908,100319.89282673644,0.0,0.0017452790162097293,2.6146017723706634,0.09493823791208791,文峰区
2005_01_25,0.2597091255872276,264.5242806747264,275.3678517210889,271.85781380687365,102481.61598175304,268.81257203387094,100427.15285806921,0.0,-0.5535111847528069,-1.254562646063839,0.10788436126373628,文峰区
2005_01_27,0.23107486064641175,268.8954215683176,279.3052334683588,274.62728427393034,101581.91096786081,270.46569170857305,99573.45214927736,0.0,0.009440132122320437,3.1609062176545435,0.11651511016483516,文峰区
2005_01_28,0.28700315087229844,268.97400225141786,279.5233549469989,274.90398513341285,101486.6110021913,269.26603072257006,99477.79978195122,2.7986686651539937e-06,-0.6705178666829791,-0.5881171810962385,0.12083048461538462,文峰区
2005_01_30,0.17100102378159637,259.2347305187366,275.81837007516845,271.2349911196666,102661.87532493826,268.2266357507218,100609.5789877625,0.0,-0.11475953226129967,1.5815239451781977,0.1294612335164835,文峰区
2005_01_31,0.2565206285613917,258.92030187636436,278.5383112518311,272.12323151784517,102572.36963141654,266.86376320520566,100529.82122806259,0.0,-0.01053847942297212,-1.7007707444081535,0.13377660796703297,文峰区
2005_02_01,0.27657180809256804,257.95481099378657,275.183605043358,270.5899506425095,102815.10981305591,267.1967003577844,100750.51619591442,0.0,-1.3363676038476866,0.7450699732178937,0.13809198241758244,文峰区
2005_02_02,0.19429901174463743,260.7858523856954,276.98074896752735,271.97454032440294,102529.9470596397,266.8341227880063,100479.1139808822,0.0,-0.8782229924029321,2.0152711286279277,0.14240735686813186,文峰区
2005_02_03,0.19523109225028124,264.178221314209,278.4012474756094,273.4351979716419,102005.37287326508,269.15437959708237,99976.65238396569,0.0,-0.6781414708022476,0.765542529425477,0.14672273131868133,文峰区
