Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.1606314437268431,263.2842078427863,274.52567174459824,270.3211208557591,103014.71885278179,265.04294607029215,102460.6819120803,0.0,1.4442125620350397,2.1797681363308943,0.004315374450549451,新蔡县
2005_01_02,0.2709612988212825,267.9414382689094,278.4149579483556,274.33683204791464,101915.13000334261,268.2038824696606,101373.63947252338,7.016103972791003e-05,1.6542701356931684,3.5310485959206996,0.008630748901098903,新蔡县
2005_01_04,0.3245238271248267,265.60686245380725,276.9101729323438,274.0897535025471,103169.72891487095,271.0118982475432,102618.4770873861,1.862645149230957e-09,-2.8190723808661153,-1.0852324774128665,0.017261497802197805,新蔡县
2005_01_06,0.46697460092235293,271.75120556409684,281.44159620796586,275.8526370076885,102813.49743664854,270.6501677835101,102270.5434493088,0.0,-0.5759556206323571,-1.0493336972538871,0.025892246703296703,新蔡县
2005_01_07,0.1879599734103869,267.14068713396296,278.242711298498,274.6203074527436,103465.55014528851,270.1858680076163,102914.07797235351,0.0,-1.6624020512425868,-2.214621967875746,0.030207621153846155,新蔡县
2005_01_08,0.38928033387185246,265.8261020042415,278.0200958958993,273.23689648713093,103440.46739454482,269.4623436571477,102889.0631985406,0.0,-1.390060548520043,-1.2539632682261688,0.03452299560439561,新蔡县
2005_01_09,0.35012308022352107,265.3350622403768,277.0755286478833,272.1570744498656,103188.52923210808,268.29203912046256,102637.35720845051,1.862645149230957e-09,-1.6773735839886985,0.4225132395648223,0.03883837005494505,新蔡县
2005_01_10,0.46018736184055886,268.27407260893574,279.3485743034865,273.6276806860328,102924.08653327635,268.16241879652785,102380.09251691919,4.190951585769653e-08,-0.6558249815620457,0.24346758256649878,0.04315374450549451,新蔡县
2005_01_11,0.3360788898883246,269.7629670633116,279.05424461149676,274.26896414461373,103210.49772724316,269.64552103568354,102664.17935072242,0.0,-0.9262020564842225,-1.6612589853274147,0.04746911895604396,新蔡县
2005_01_12,0.2732421916025019,269.05950400686163,278.5219482720074,273.92229045126817,103078.52697229011,269.9314891802988,102532.85653651586,0.0,-1.5366993993782723,-0.5070020213673043,0.051784493406593406,新蔡县
