Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.0682465262111736,263.50097336865343,275.0621913597089,270.4334172075683,103020.1193832464,264.89115550664724,100847.44562615143,0.0,1.63713781927379,1.564978383495799,0.004315374450549451,浉河区
2005_01_02,0.12488456289071295,268.0991696316964,278.11103674464,273.9761947081247,101909.32441827776,268.7444683319225,99785.17209073948,0.0,1.615958801894096,2.9304310577372097,0.008630748901098903,浉河区
2005_01_06,0.24816881487973802,271.46283450657,281.54336086395716,275.68772178227636,102780.66288986955,270.62414931367556,100650.28149046122,1.3192479057401722e-06,-0.33202321230136467,-1.115034014902822,0.025892246703296703,浉河区
2005_01_07,0.066683626733446,267.5893419748356,277.1457818743749,274.1157431676764,103447.92328622143,271.1004810165134,101276.36333459082,1.2701788578630973e-06,-1.5357957875514627,-2.6242952269821282,0.030207621153846155,浉河区
2005_01_08,0.23981993967874016,266.2773646382775,277.48844757147475,272.82378615821193,103417.24074758205,269.131340187886,101248.65385362784,0.0,-1.3108404359760808,-1.5042312252379684,0.03452299560439561,浉河区
2005_01_09,0.16212800341398825,265.2412292457621,276.6694667443069,272.44585794273536,103162.43114151592,269.3835413085685,100997.57316232288,1.862645149230957e-09,-1.3084035350414522,-0.20398004721430568,0.03883837005494505,浉河区
2005_01_10,0.20706764392212085,268.553563106044,279.3834510841135,275.28720606616383,102902.56183387809,268.97425559908265,100766.82697089027,4.190951585769653e-08,0.4696222017274727,-0.2388807350470977,0.04315374450549451,浉河区
2005_01_11,0.1370666332610867,269.83655463349385,278.15008892494535,274.3359500844705,103212.36029551763,271.2024644476469,101061.38113881365,0.0,-0.3380946122040196,-1.9666709383891696,0.04746911895604396,浉河区
2005_01_13,0.22031925140220465,268.0973690717319,278.5186676537237,273.8827207967331,102810.23820388074,269.5056492658182,100676.99553287805,0.0,0.3486232770234836,0.03542619942740141,0.056099867857142854,浉河区
2005_01_14,0.06546371002446759,265.72516222372155,279.8286461899097,274.13277064142585,102706.68608618579,269.87287758209817,100571.98978601939,0.0,0.5001568703156891,-1.2205343137145594,0.06041524230769231,浉河区
2005_01_15,0.15276106647323662,266.96739132021617,279.00065718433837,272.95831862958977,102824.1594924559,268.9086986579094,100682.8271230858,1.862645149230957e-09,-1.1541094202509499,-0.07920655324870927,0.06473061675824175,浉河区
2005_01_16,0.11035265830077652,268.90913751654836,280.3407778779931,274.63415165692015,102629.87553900464,268.4511453481657,100509.51250426493,4.284083843231201e-08,-0.23320685235128116,1.481627409897558,0.06904599120879122,浉河区
2005_01_17,0.1664709956181293,270.99420708541385,282.3183649031421,277.43158892978437,102331.13685476674,272.55871490268714,100231.02472966095,1.3021333583505246e-07,1.279503758201765,-0.13156216500125031,0.07336136565934066,浉河区
2005_01_18,0.1044959776610142,267.6172482866234,280.2775677998503,275.94493248364523,102741.21218817701,271.72670080825725,100611.33155032042,0.0,-1.2134244061955006,-1.866687505544437,0.0776767401098901,浉河区
2005_01_19,0.2237204414957634,266.52894652472924,281.1445693650623,275.0713773159169,103022.7406191363,271.5359573992502,100886.84505241046,0.0,-1.7976149939837434,-1.0362922597520645,0.08199211456043956,浉河区
2005_01_20,0.23537561161461157,266.92487945544315,280.5886805280802,277.1655725596671,103387.21189995155,272.1491312434855,101240.24577889325,2.140514332359555e-07,-2.1915316722448153,-1.0313988283274913,0.08630748901098902,浉河区
2005_01_22,0.16592920713902207,270.40220709262576,279.0689684843013,274.4966518905988,102484.52464872935,271.2009071414972,100350.29216241016,2.5615980234006013e-08,-0.14470177230238002,1.0015026027027467,0.09493823791208791,浉河区
2005_01_23,0.32970208195513,272.67453170638925,276.2114150535919,273.7996509568218,102207.51334379934,271.5727944959605,100069.19415923652,0.0015806901828426707,0.5068145673674372,-0.12676561042497975,0.09925361236263736,浉河区
2005_01_28,0.22916815224923764,272.41997052983464,278.9789491681172,275.41876356056645,101480.1973774882,271.89843998624417,99371.80110850434,0.0,1.3059481338849217,1.1504327294142391,0.12083048461538462,浉河区
2005_01_29,0.09988374260299547,263.7215757557937,276.59517134124144,273.39773013992766,102589.96763696082,270.0475525946657,100431.12164509452,0.0,-2.270964526631286,-3.786147031478409,0.12514585906593406,浉河区
2005_01_31,0.20448316726370627,263.65634447629617,280.8662141401606,275.5771342493521,102552.10338332721,270.89851984849895,100425.74542593834,0.0,1.6510208126341956,-1.6820169086733798,0.13377660796703297,浉河区
2005_02_01,0.15678827228781442,263.90001775288187,278.0183322633131,273.9456366510562,102756.65736765838,271.0432027142599,100599.81258880344,0.0,-1.7775121255168782,-0.8441549095031142,0.13809198241758244,浉河区
2005_02_03,0.22695015576069064,268.82455103146214,280.66607529987806,275.59661036910234,101939.09254056447,271.51846655667475,99830.0475394463,0.0,0.20562680601753364,2.104070518152071,0.14672273131868133,浉河区
2005_02_04,0.20640683704635499,270.3288456640167,281.37665908020983,277.6113314895982,102093.60104117844,271.5858215157604,99977.33734171223,0.00017479506653066143,-2.2357991217512927,-2.088445375644809,0.15103810576923077,浉河区
2005_02_18,0.04193716126970981,268.27001357311957,275.991215105603,273.4483058904332,103331.94885416179,270.50753649006435,101158.78425059348,6.555614925678646e-05,-0.13133981507307474,-3.4788735250030363,0.21145334807692306,浉河区
2005_02_20,0.20676766769823318,265.5783649743189,278.3245380704319,273.8721836218364,102975.76702836467,269.0757428147298,100823.59980720717,0.0,0.8062721259189867,1.8219575953602536,0.22008409697802198,浉河区
2005_02_21,0.25715874159253543,268.0859314930466,282.096624503509,277.46311849048794,102171.38749834162,271.6419578603003,100059.3567379649,0.0,1.7541602757544004,3.231047060061082,0.22439947142857142,浉河区
2005_02_22,0.24896774802946003,272.981372032603,287.78057916174816,280.5788851100218,101468.80199430042,274.4805422534582,99399.2428719241,0.0,1.252587183887097,2.815684593980036,0.2287148458791209,浉河区
2005_02_24,0.1263111529783167,274.52896822295486,282.9523311924345,278.1956519158887,101770.28057820312,273.1648549553245,99666.73970275481,0.0003933812579722688,-1.9310085837144286,-1.9836360736408523,0.23734559478021977,浉河区
2005_02_26,0.2058834862007212,269.59492248590806,280.4821642541665,277.2767908311096,102891.98831140086,272.9836772679451,100753.86775383966,1.9806102865972605e-07,-2.569252275195834,-0.7038340665318625,0.24597634368131868,浉河区
2005_02_28,0.237107233044291,273.1581431815503,287.80484120317027,281.0491280110153,102507.38095924705,274.77140032748633,100423.53792467808,0.0,-0.7918752838494356,1.4879640093082276,0.2546070925824176,浉河区
2005_03_02,0.1912152989933313,272.753893038926,280.27033733816626,276.61467566993684,103351.57379911825,272.79619223795663,101211.04930100092,1.757484590265043e-05,-0.528145427343705,-2.862387225324787,0.2632378414835165,浉河区
2005_03_03,0.22843319610003612,265.80163949757514,286.5894477791813,280.19398433758835,103161.79906278831,273.9044819748388,101049.38460682615,1.2677603296246287e-05,1.3144609224433081,-1.960120450414514,0.26755321593406595,浉河区
2005_03_04,0.25630286239347055,258.28331242531925,280.0668156213784,275.6506105493093,103621.20464907822,271.59372124661905,101472.13412953496,0.0,2.125846223585395,-2.2502087627615226,0.27186859038461536,浉河区
2005_03_05,0.24864481983040498,265.73692633415754,287.1516673112781,280.73967633321865,102911.36118831622,273.21940678231584,100815.92528637768,0.0,1.9213385801586516,1.7207367661238937,0.2761839648351649,浉河区
