Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.11000681650766984,262.9831747470863,273.7947048978226,269.74515178164967,102923.9700791728,264.24522393702637,102276.26388930737,0.0,2.0342360914914486,2.336560203845933,0.004315374450549451,淮阳县
2005_01_02,0.13374894295753031,268.7763919000689,277.88615314282436,273.7791056242228,101812.9971324602,267.3397905134911,101181.46367488067,8.050840393835989e-07,1.7643318348384984,3.522939376772858,0.008630748901098903,淮阳县
2005_01_04,0.3231238866234934,263.9992691313126,275.5422441991431,272.7243118772268,103256.07441454475,270.03580661224515,102611.61536042533,1.862645149230957e-09,-2.2834911195289163,-0.7649550630583534,0.017261497802197805,淮阳县
2005_01_06,0.45794437167712415,269.91228295691326,278.63728141347434,274.173794968922,102885.68599848212,269.9202640809847,102248.65111629023,4.4639240342929996e-07,-0.5472132464933509,-1.4309980179779058,0.025892246703296703,淮阳县
2005_01_07,0.23711534603138232,265.37656815916654,276.8735487287468,272.95431953256093,103532.16383728471,268.94915981326966,102888.55315984924,0.0,-1.3724849406160349,-1.634059837159488,0.030207621153846155,淮阳县
2005_01_08,0.39786521605724495,264.4411192756719,277.44639753348184,272.5840112041001,103487.27040097643,268.6903538803797,102843.86454010679,0.0,-1.260966461511988,-1.0485698803176966,0.03452299560439561,淮阳县
2005_01_09,0.3970940037339238,264.32461423026007,275.9716025301246,271.73653373910264,103203.85359467503,268.3637888245738,102560.43726005963,1.862645149230957e-09,-1.3414282551427268,1.151006323836032,0.03883837005494505,淮阳县
2005_01_10,0.5987595673275793,268.23580405002053,278.52154194871116,272.76242695960303,102930.91308243666,268.3436346207818,102295.99854915297,4.190951585769653e-08,-0.46332082670989955,0.5971451868928976,0.04315374450549451,淮阳县
2005_01_11,0.4132426052598104,269.0200077577268,278.36906947306653,272.76341901334024,103258.1711916881,268.5586678853045,102620.0212351027,0.0,-0.9316484924704831,-1.625135468199447,0.04746911895604396,淮阳县
2005_01_12,0.5291528578578766,268.03951175979273,278.0073339985139,272.81824908561,103102.16682246591,268.4813915349223,102465.76504414182,0.0,-1.351385591573227,0.061871378540022455,0.051784493406593406,淮阳县
2005_01_13,0.3584150567549189,267.46560952028756,278.1072805005773,272.5794943539717,102800.81852186518,267.6242087412295,102166.06756942917,0.0,0.31254556265651334,1.3302268291482386,0.056099867857142854,淮阳县
2005_01_15,0.4801456216084155,264.9986596809982,278.44396726133556,271.75500354893893,102856.77556500322,266.578606131423,102219.39212950731,1.862645149230957e-09,-0.40917012165776656,0.210693049943636,0.06473061675824175,淮阳县
2005_01_16,0.4082576751064821,266.03432456087955,279.6679000652778,274.0659885811072,102652.32003529454,266.8013908270773,102019.4632156048,4.284083843231201e-08,-0.2916216912073972,2.3893027215740297,0.06904599120879122,淮阳县
2005_01_17,0.4506465580907754,269.7559882268164,282.7920160388423,276.1493997894963,102331.23125206048,270.88283729887775,101704.69891159788,0.0,0.5862362846197109,-0.3958394287826544,0.07336136565934066,淮阳县
