Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.20166381479656365,262.9890335178765,274.839133873904,270.6713326196652,103071.48536375262,265.34076274080286,102435.2883955785,0.0,1.2169503038884588,2.0303707135544147,0.004315374450549451,潢川县
2005_01_02,0.30070475699375665,267.0635138393471,278.8431733092619,274.679312988713,101977.9387177413,268.6730092659707,101356.5179375258,1.2960594716023892e-05,1.7431111846558869,3.278960960940336,0.008630748901098903,潢川县
2005_01_04,0.19924093323101202,265.9433251202962,277.86781618380184,274.58404774337754,103092.84278909635,271.70587783327477,102461.13469660889,1.862645149230957e-09,-3.5855820378692003,-1.423006663422884,0.017261497802197805,潢川县
2005_01_06,0.3093505407638589,272.33833110615535,282.37961151755417,276.4706064579169,102769.97343831147,271.98265940035395,102148.6821436319,0.0,-0.6296464750048654,-0.657376850150435,0.025892246703296703,潢川县
2005_01_07,0.18272743371614092,268.3344896280885,278.80908546401594,275.2517697057734,103397.62905752833,271.47542398156475,102765.31039335488,0.0,-2.318855660473249,-2.3187836151925647,0.030207621153846155,潢川县
2005_01_08,0.2604841437866591,266.5687366751545,278.5800868462842,273.83833433199277,103398.84648197448,269.85288615846724,102766.10467584441,0.0,-1.7285767193532464,-1.427338365117724,0.03452299560439561,潢川县
2005_01_09,0.22873384548559453,265.306458791681,277.7727904169781,272.67163715714855,103164.37727812439,268.4553883406317,102531.90373321308,1.862645149230957e-09,-1.92306099273003,-0.4094186963471708,0.03883837005494505,潢川县
2005_01_10,0.2879542491231875,268.1966948596637,279.965331810725,274.728759598172,102914.71647479705,268.4169005356029,102290.74210513943,4.190951585769653e-08,-0.6865871212690697,-0.4130805918600122,0.04315374450549451,潢川县
2005_01_11,0.22108524873961372,269.5293268388732,279.43061105980547,274.4369460080653,103173.15628555206,270.09516047065875,102546.31866350299,0.0,-1.1438222374409501,-1.606685260223921,0.04746911895604396,潢川县
2005_01_12,0.23851105637532696,268.7770371112869,278.81582849504883,274.5046779073864,103052.7778150847,270.20928089500006,102425.82202804474,0.0,-1.7010468763780648,-0.8712549609176227,0.051784493406593406,潢川县
2005_01_13,0.2641640519474655,266.7439238983017,279.5444119012378,273.6101644758543,102810.10198195884,269.0972743191095,102186.42243185976,0.0,-0.5872950261992631,0.044991020015087514,0.056099867857142854,潢川县
2005_01_14,0.1708212361504277,266.9523129794762,279.94677974714944,272.94470870192373,102700.23083254925,267.7913297910236,102075.59567364327,0.0,1.4238309726960139,-1.4872530728662439,0.06041524230769231,潢川县
2005_01_15,0.22962691817798134,267.14197984708983,279.01166450064323,272.16686184950004,102846.83628901758,267.351299713196,102220.3491288595,1.862645149230957e-09,-1.046973467021118,-0.3761030333213707,0.06473061675824175,潢川县
2005_01_16,0.22867286333092332,266.15992608841333,280.4196361148587,273.9710004722451,102685.53769187586,267.5368024334301,102064.54592076498,4.284083843231201e-08,-1.3641061242281542,0.8623334678988368,0.06904599120879122,潢川县
2005_01_17,0.2552477674064199,270.423313979211,283.2742804468351,277.8028173741799,102325.27359596474,271.6626735904484,101712.75456214597,2.8065232321501588e-06,1.2317017802808374,0.2921737387689522,0.07336136565934066,潢川县
2005_01_18,0.1487462479430252,268.0647335232641,281.6847342311569,276.7467756490512,102703.906487103,272.26156676524425,102082.574419403,4.376656493517306e-07,-1.353591814511103,-1.852401511063286,0.0776767401098901,潢川县
2005_01_19,0.2806370807972494,265.971363888722,281.9380992394807,275.64881576477745,103017.75871628246,271.8022718768867,102394.63154376198,0.0,-2.208086998947571,-0.7988570003302501,0.08199211456043956,潢川县
2005_01_20,0.2844144584307091,266.25623996439066,281.96394695708,278.2717212620193,103383.82137281052,272.1609996675145,102757.99674192804,1.1624843330292396e-07,-3.36746532803165,-0.841076381404279,0.08630748901098902,潢川县
2005_01_23,0.114115767286817,273.73679664341086,278.38491911583844,275.8108760035501,102170.86758476563,271.42271368633516,101549.57836938958,0.0012562400013301298,-0.419478151436241,-1.0731504510625534,0.09925361236263736,潢川县
2005_01_31,0.27334310480395535,266.795312144241,280.74234748490636,274.4998062319308,102523.22242320969,270.30798563706827,101901.49917118074,0.0,1.3048871416842742,-0.7708479704026373,0.13377660796703297,潢川县
2005_02_03,0.2618644628668015,269.82951704772415,280.8258240491625,275.59177986390006,101998.3183178892,271.5323545290809,101381.67338071688,0.00036628824887818324,-0.48069231857748823,1.3698534797503694,0.14672273131868133,潢川县
2005_02_04,0.2832321279015505,273.1535224899377,282.37249761258215,278.58057658469187,102063.55065392784,272.03781690420124,101447.74320042886,0.0008117643894149155,-2.375998945534242,-1.790403214752246,0.15103810576923077,潢川县
2005_02_07,-0.011422787738577212,270.67334844631694,272.9957823283465,272.16828881552647,102983.81863369665,271.37756097247416,102346.82865049134,0.0004883680882919465,-1.3573368656731033,-2.563286356371395,0.16398422912087912,潢川县
2005_02_11,0.07677087952060174,269.3821341787135,275.4471230755813,273.14554491890067,103303.87441056041,270.8647213143752,102668.64833781296,0.0014060833099029254,-2.8339619953444046,-1.2455606810024487,0.18124572692307694,潢川县
2005_02_19,0.2161226757340486,264.79640362718993,274.0587267083997,271.2635628291592,103627.35450536633,267.2907712171157,102987.10095325454,5.7050560548521125e-05,-0.7929704614647488,-0.9565921948372272,0.21576872252747256,潢川县
