Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2005_01_02,262.2866661688641,275.1334859886356,270.31896659240107,101906.04846241766,261.10802763109615,94389.81252011805,1.1961581914784374e-05,1.8877115531478865,-0.6709791614761295,0.12984577515919193,0.008630748901098903,陕县
2005_01_05,263.3283925909581,273.6877457225671,269.606123478163,102502.22123381338,266.9243127733492,94934.38311484442,7.252937690857037e-08,-0.9230675028201747,0.24391643698694182,0.13946971330028024,0.021576872252747254,陕县
2005_01_06,266.42994666846477,276.5661255477154,272.17548955877703,102999.21719300996,267.31952455466615,95459.44418589353,0.0,1.3494330122512819,-0.6334147825334046,0.14347570524540162,0.025892246703296703,陕县
2005_01_07,265.3280525708812,275.1636386626713,272.014973531501,103545.21356295743,269.1443965811764,95894.46751712232,0.0001155770844004299,-0.22889886748179314,0.05927785783225839,0.0721121340688333,0.030207621153846155,陕县
2005_01_08,261.6314172240404,275.1087863795481,271.05871068396294,103432.9482044032,267.86128612218596,95776.10258348192,0.0,-0.21933593125337517,-0.19305509032943952,0.15260162126134455,0.03452299560439561,陕县
2005_01_09,264.3669482932359,274.275915790175,269.82675421451455,103075.5108601327,267.0334841136456,95426.30357425343,1.5911381916951212e-06,-1.5573281841483813,0.4385745166294687,0.1240114393673346,0.03883837005494505,陕县
2005_01_10,265.1965771002496,276.81066425415406,271.6203683024711,102977.08693037345,267.7212744882907,95402.02185804193,4.190951585769653e-08,1.330630571719175,-0.5379199349996945,0.14346582826098508,0.04315374450549451,陕县
2005_01_11,263.885301908344,275.63518668873627,270.72478993243027,103297.9480353161,266.4675168581983,95698.21853634107,0.0,1.6434439011194484,-0.45811748553443493,0.15868716130799654,0.04746911895604396,陕县
2005_01_12,260.70285980370863,274.65335035909965,269.64030713140534,103121.73161382429,265.97215248441034,95507.54038982869,0.0,1.5771292319097658,-0.4062566809292476,0.13484930276841284,0.051784493406593406,陕县
2005_01_13,260.05897366659156,275.26473874062924,270.3344429679269,102952.71141208099,265.5883554906223,95363.66468112924,0.0,2.667947238878198,-0.7652835566309708,0.18825249373445724,0.056099867857142854,陕县
2005_01_14,260.9656304583311,275.56066901642623,269.7368196984575,102812.60028799668,265.12638513285043,95225.85951903969,0.0,1.8988362228680296,-0.5073863684118066,0.16362770498470128,0.06041524230769231,陕县
2005_01_15,260.3426000861925,276.29348558242174,270.1618358624228,102780.3191074651,264.67384059606667,95222.31499443905,1.862645149230957e-09,0.6438918047132494,-0.25592586710039117,0.2095635070420374,0.06473061675824175,陕县
2005_01_16,263.15575583772875,277.51875183133046,271.4882736361615,102522.97988627864,264.61095899251296,95030.80090199213,4.284083843231201e-08,-0.21577404354253038,0.18455213565577372,0.17268050820737152,0.06904599120879122,陕县
2005_01_17,262.3624616299665,278.70016073143796,272.6460548175894,102558.92944473156,268.32076870303894,95054.7871048726,0.0,2.493545070341209,-0.800711608700146,0.14561169276793295,0.07336136565934066,陕县
2005_01_18,260.6427828427297,277.13404789995104,271.93666503281486,102875.28988013945,267.4987984178932,95320.87097618433,0.0,1.986184562626729,-0.6814690879517091,0.16225643613721155,0.0776767401098901,陕县
2005_01_19,260.6898012866618,277.7399773459472,272.6689892063771,103051.66752611841,267.2106737247472,95493.1414324368,0.0,0.6373898321527138,-0.4568697618563892,0.22808991614515756,0.08199211456043956,陕县
2005_01_20,264.96205316034576,277.6634179734515,273.15706828679237,103417.02736679163,269.5257409916056,95798.23299455941,6.447516643573358e-05,-2.3715321208831113,0.3804896246347554,0.17403723822247344,0.08630748901098902,陕县
2005_01_22,268.3839125808656,276.146086320001,272.35571884956954,102311.74795619481,269.798305373021,94772.21623545724,2.6916081924306013e-08,-1.6390835307491678,0.437538196349573,0.18263535342229165,0.09493823791208791,陕县
2005_01_25,264.931308748548,275.4700721462865,272.0392293094489,102283.17609267384,269.29207550390174,94698.6159105305,5.873814433766855e-06,-2.717455629395065,0.7574204101746084,0.11758380687742614,0.10788436126373628,陕县
2005_01_27,269.1795141872473,276.4437526671594,272.54776831169136,101688.20375198247,269.6692605561424,94216.31825933416,0.0,-0.5144327691007451,0.22179900466006422,0.16918023112131098,0.11651511016483516,陕县
