Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,274.77343080556284,282.79835128339226,279.3637691188049,102253.2278655047,275.74064430266844,101379.3371122475,1.862645149230957e-09,0.2922721624666068,-0.6033001231205279,0.14065029098136198,0.00905358097982709,光山县
2001_01_03,275.11300301683053,283.87815607450057,278.7673958180009,102483.63754783574,275.3173909888908,101600.34706546478,4.284083843231201e-08,-0.5651116082935524,-1.6313499424598972,0.08255889026014271,0.013580371469740636,光山县
2001_01_07,273.07998410971004,276.8810394450294,275.3531967121838,102202.6742076501,272.65422894562016,101306.35861867937,0.0029130954425556337,-1.6182767875741542,-2.4960604065313907,0.16094882918421075,0.031687533429394815,光山县
2001_01_10,273.04015355406284,281.04033250784084,276.8316363260116,101847.1106434496,272.2021225126949,100965.01433409225,1.862645149230957e-09,1.9706380818990106,2.991647024028032,0.21422792556813594,0.045267904899135444,光山县
2001_01_11,274.453961483226,283.2940660097044,277.3234578358262,101966.32050879192,273.4398228221685,101083.82932675564,1.634292032987459e-06,0.07311483002114315,-0.45205751227453606,0.23929742490257766,0.049794695389048994,光山县
2001_01_13,270.26886906871346,281.0737825406429,274.2787981573579,102964.06467023616,270.1242057924254,102061.12894287192,2.4580206456347104e-06,-0.19440527002787833,-2.1340669016252107,0.1240127550568186,0.05884827636887608,光山县
2001_01_14,267.7604660849313,274.27647838160357,271.1725952705702,103480.64343267473,268.83184176220647,102563.03188179556,2.1042479398882755e-06,-1.2321932541174194,-1.1511743016644238,0.09529482070784653,0.06337506685878963,光山县
2001_01_16,271.2567255095041,280.07666641036553,275.38068468419704,102847.65651476382,269.9532622961011,101957.21225156813,0.0,-1.0879920095950402,0.4422656530747125,0.16865997308391326,0.07242864783861672,光山县
2001_01_17,274.74948860473137,282.2554757917392,279.02028224820157,102368.29126230994,272.27566563933334,101488.57657165582,7.695722788699159e-05,-1.2076364978839271,0.17151230305756798,0.1737303376597648,0.07695543832853026,光山县
2001_01_18,277.1365139177273,285.30833748575134,281.1554812685081,102354.97363255102,277.1292570682625,101479.11170801711,0.001022534898035771,-1.0196331442584223,-1.4549511483846889,0.18688095350516185,0.0814822288184438,光山县
2001_01_26,268.5942200589237,275.7020788740078,271.2697143543418,102564.20355975021,269.1187233435651,101659.97844660604,3.207463234861709e-07,1.312638955192408,0.5752502114750252,0.0025692109176815737,0.11769655273775216,光山县
2001_01_28,265.8304044047906,276.96604431392274,273.9456335119201,103096.65389472304,271.43773748785395,102195.71383179675,1.862645149230957e-09,0.39805590295222687,-0.6479592064867428,0.0692111758185748,0.12675013371757926,光山县
2001_01_29,271.1943197506312,282.18261166186244,276.8870889502366,102405.33606922616,272.2224617696139,101525.65196392102,4.284083843231201e-08,1.3945616319592853,1.7568957123579823,0.20586301535505233,0.1312769242074928,光山县
2001_01_30,273.778837378774,284.30986550387206,279.5797742389886,101879.85341395713,273.9808343236435,101009.4978549725,0.0,0.5345661020413072,1.2103358231599097,0.17649323773860914,0.13580371469740635,光山县
2001_02_02,272.2088917065226,282.92990118596504,278.77610335417035,101994.46679844799,273.19104817244715,101117.9489217596,0.0,-0.9020046040416841,0.41828155245250537,0.11981254066107602,0.149384086167147,光山县
2001_02_09,274.55247437385043,282.8768461426154,277.9127146516238,102671.56716937303,273.5611685475085,101792.11676231146,0.0,-0.13652308284231027,-0.28248476143831186,0.1369396341476013,0.18107161959654178,光山县
2001_02_10,275.44190621511063,287.5033958208744,280.56238190050163,102407.58461913522,273.490613672271,101531.94819426555,4.130351938464887e-06,-1.6014847527933136,-0.26687570007591455,0.19655617137832407,0.18559841008645533,光山县
2001_02_14,274.6434976062951,284.4334926080276,279.69116794423394,102642.20890941682,273.87995835769686,101760.41503162729,4.284083843231201e-08,1.8454295504902638,3.3617615154678315,0.27020725590201,0.2037055720461095,光山县
2001_02_15,273.1874599466561,286.9185938084122,280.4026670463607,102956.12520823957,274.8316750890264,102076.48441247507,0.0,-0.2869077754440547,-1.833694602475959,0.1346624456138491,0.20823236253602306,光山县
2001_02_16,271.5438201944633,284.01669082559704,279.03913783976026,102828.29154795312,274.86454802602464,101941.39685505081,0.0,-3.3697811229174737,0.08159237298662193,0.17840140764908607,0.2127591530259366,光山县
2001_02_18,277.80563383994195,290.2585446504448,283.2108610027681,101861.21745037563,275.0715360918791,101002.01332849516,0.0,-1.425970896262734,-0.04937197949638877,0.22126077683972303,0.2218127340057637,光山县
2001_02_19,279.3723498466431,289.60645541931916,284.8889284427468,102034.9351227856,277.9323091938948,101170.29792671917,0.007619178746705115,-2.7480256157848437,-1.7671892411280157,0.20050245011658402,0.22633952449567724,光山县
2001_02_22,283.79333607588586,287.07554108904174,284.8170378360231,101019.30288913782,282.03834411776154,100168.42751717243,0.013508773611182646,-0.17191466842661052,-0.5692523647611966,0.14455828594026282,0.23991989596541785,光山县
2001_02_24,269.7441318364945,278.28798937804413,275.0907746599978,103189.75831416693,271.911679749922,102284.74775794172,1.862645149230957e-09,-1.8893595112021806,-2.6131602908078713,0.22095707889377128,0.24897347694524496,光山县
2001_02_25,270.1158310569267,279.93827257613833,277.0697948650518,102907.90817643085,272.9929211265018,102011.05712234149,9.089629034882678e-06,-3.1033280819250004,-0.43715407087571406,0.2172826340701156,0.2535002674351585,光山县
2001_02_26,275.5178204105912,279.64633882153896,277.6637429346636,102476.66401812184,275.67514925945585,101585.96447720623,0.003179968936119283,0.3269402406426078,-1.3740995702059688,0.22514326609874297,0.258027057925072,光山县
2001_02_28,277.27487320876,286.1237951112331,281.8123928156432,102228.65221971253,275.9775315532871,101359.78955029104,2.7639245009783474e-07,1.3649524585098796,0.9299208024143144,0.24905547110898685,0.26708063890489914,光山县
2001_03_01,278.8999743201467,292.2619514007275,286.03806712076585,102178.85000791213,280.4727406674309,101324.06127781852,0.0,0.3309255150192468,1.6170035628280914,0.1527391443386123,0.2716074293948127,光山县
2001_03_02,277.2820806373865,290.6627567469019,286.3437415478141,101975.18438294844,282.2877832156756,101119.8575832619,0.0002759770700029285,1.2885048668007082,0.776716805684849,0.29239659294301557,0.27613421988472625,光山县
2001_03_04,267.9453655752765,288.05228129291555,284.175964276662,101958.54748441748,277.44994463775714,101094.72488535145,0.0,0.015225455785992478,2.1313647014463415,0.22106552646755795,0.2851878008645533,光山县
2001_03_07,266.7766134306329,281.94373960527776,278.5389835789044,103089.18085892289,275.0581384682617,102198.2071666664,0.0,-0.9438937011023056,-2.242139074827013,0.20830578845861036,0.298768172334294,光山县
2001_03_08,265.6390571861273,282.6631618217112,278.37235648085164,103008.66706267696,274.9475191048622,102119.72790602842,0.0,0.38151017197306025,0.09366483537227498,0.2972735524125686,0.3032949628242075,光山县
2001_03_09,271.8500586480534,288.39207891796343,283.2928194031359,102103.19178741131,276.8892830903328,101233.31754459091,0.0,2.2412759440580703,3.88135523852193,0.21464668527267947,0.30782175331412104,光山县
2001_03_10,278.14355101052666,291.1124966470615,284.4429603064132,102160.43185962309,278.4727986696668,101296.0113670182,0.0,-0.13565022488244416,-0.8251076015330541,0.2283731739344545,0.3123485438040346,光山县
2001_03_11,278.39726657203124,289.737055249785,283.7134574354495,102312.06999634861,278.0801547424317,101452.2903168984,0.0,0.6209725195947812,0.42624576375397016,0.12913121988135434,0.31687533429394815,光山县
2001_03_12,277.6592475853678,295.02256161486645,288.98534673683645,101973.0988666509,282.4780297328971,101123.87139863483,1.862645149230957e-09,0.5668732754942433,2.77057131097841,0.27551857759029286,0.3214021247838617,光山县
2001_03_13,278.9721810609544,295.76706700558316,291.30978738299376,101124.70438854027,285.89446832350677,100284.54852174771,4.284083843231201e-08,1.203323015627483,4.549176584857155,0.2730268187279461,0.3259289152737752,光山县
2001_03_14,277.66114062490976,296.7807611259691,288.12859429412526,101884.53349454793,279.3336852508458,101027.76972105482,0.0029492884057062243,-2.180521956219783,-3.168222258844,0.27372257973521624,0.33045570576368877,光山县
2001_03_17,279.03125549885885,289.9905779357832,284.1638688382264,101710.57724787654,277.8015785821517,100852.18691396949,0.0,1.9424606553324413,1.5825755127532837,0.2525425712769641,0.34403607723342944,光山县
2001_03_18,281.30991196670885,291.48731341456187,286.9274974710383,101692.08638590355,282.3547066286979,100841.14858723585,0.00024507673117580913,1.6038548346220094,2.179788057567213,0.12491230241837116,0.34856286772334294,光山县
2001_03_19,281.06263018744704,294.2050658324956,288.3489755220473,101376.49263031766,283.129111127674,100533.70307218395,0.0,2.069053391703466,1.570195999508148,0.29678392752924154,0.3530896582132565,光山县
