Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,275.4772714900682,282.9299426401556,279.4252966600455,102263.48592326044,274.2506138942487,100790.70734672873,1.862645149230957e-09,0.4532478004163295,0.19856108260660837,0.18982483511544826,0.00905358097982709,唐河县
2001_01_03,272.5027660342478,282.5451500390167,277.93963820609525,102500.23647689745,273.8053129413463,100999.59327175969,4.284083843231201e-08,-2.28492245036266,-2.0238947924905073,0.10875464282418727,0.013580371469740636,唐河县
2001_01_04,272.71967543427263,277.9067286211177,275.7423771642726,102707.8277765581,273.23137450766666,101190.61532396954,2.345798973693584e-05,-2.232562286462323,-2.2781397500950247,0.16540464757720805,0.01810716195965418,唐河县
2001_01_07,271.7735606985159,276.4039954728625,273.8290091059845,102276.58997110864,270.36893012578304,100755.27256712566,0.006618684371317282,-2.3835799946664267,-2.4231341979885865,0.0704504936372082,0.031687533429394815,唐河县
2001_01_10,272.46771982863385,280.44192999023176,275.31970981843335,101810.74380709902,271.0924363145369,100320.72983098493,1.862645149230957e-09,2.1298827536637814,1.9088465917636437,0.05582474179465171,0.045267904899135444,唐河县
2001_01_11,272.8282159790024,282.2123167882652,276.0403535294551,102016.57547974325,271.65814905572006,100510.64156661117,4.308736258874348e-05,-1.3435653760051238,-1.5023549136154835,0.25538415058454444,0.049794695389048994,唐河县
2001_01_13,269.43834561758905,280.8981629449126,274.4680425339686,102997.81460875785,268.2418868126963,101473.82104630124,0.0,-1.3972500198459217,-1.977165374933625,0.13264020579722197,0.05884827636887608,唐河县
2001_01_14,266.66562435205554,275.34517729492217,271.766240150245,103447.78793037974,268.4415194787662,101904.0481256409,0.0,-1.4498687745005157,-0.5924513195917968,0.19413102353921194,0.06337506685878963,唐河县
2001_01_15,268.6592139102711,276.98330239419215,272.7990678533174,103268.92502631583,269.7026353015194,101741.11748517655,0.0,-0.8878731190954837,0.21839724002399175,0.1908392698169074,0.06790185734870317,唐河县
2001_01_16,271.32829103896296,280.3529762844191,275.2877870521933,102816.60324788246,270.0052018350505,101310.0023795335,0.0,0.0014548733552158498,-0.056889143048378825,0.22982277476255342,0.07242864783861672,唐河县
2001_01_17,273.832577578162,281.0204821808027,277.1591433451557,102341.37248264182,270.6199715197812,100851.4603759692,6.742555210504334e-05,-0.8176353733695447,0.2062625307235428,0.2232733995024216,0.07695543832853026,唐河县
2001_01_18,274.3844541244682,284.007454590607,278.7043019930521,102434.52052389576,273.46375151409507,100941.93176488482,0.0004507266669218278,-1.660390766017293,-1.9197465251411712,0.1718650872171882,0.0814822288184438,唐河县
2001_01_20,274.7117907506897,279.05021419665724,276.1403073800912,102244.10723200851,273.1177037305187,100746.13994607721,0.0001224436745889683,-1.1886523602527452,-0.16008233592272939,0.2213147906003632,0.09053580979827089,唐河县
2001_01_26,269.26192996335357,276.64630530106785,271.98389850024336,102549.73999621648,268.5922670190162,101025.99800922858,1.191171235725392e-06,1.2568860535099626,1.2746520822605132,0.020899715563241505,0.11769655273775216,唐河县
2001_01_28,264.50053305062465,278.8734003701103,274.76421492524815,103065.77652624898,271.1422769313222,101549.07499478098,1.6173611893827342e-07,-0.4154175985733116,0.198782544419479,0.06085178510076152,0.12675013371757926,唐河县
2001_01_29,271.7946258911654,281.9015746963738,277.0921170676391,102378.3931418341,271.37296265065436,100890.63524660586,4.284083843231201e-08,0.08458177095529873,0.7262410215185958,0.15374932170418887,0.1312769242074928,唐河县
2001_01_30,274.3498199728481,283.72959376595617,279.4155406018909,101867.39555795515,274.1840636213732,100394.54427080508,0.0,0.6200245569423642,1.1745271942270836,0.19576311906377455,0.13580371469740635,唐河县
2001_02_02,272.08065515254503,282.58167165374044,278.6843832193185,101949.92131868216,273.4494463340107,100471.45500612396,0.0,-0.3489740363505456,1.3120570207857436,0.11133532676646082,0.149384086167147,唐河县
2001_02_03,273.6815794251751,283.06709322567707,278.65930565951976,102250.06657056267,273.5906926801431,100757.05077959651,0.0,-1.442842319060976,-1.4554672030230482,0.12216971989814024,0.15391087665706052,唐河县
2001_02_04,273.2994832946254,280.16582530221007,276.386428769979,102187.17000760634,273.60010301366594,100687.25945926765,0.00029077091357922164,-2.4885303642379055,-1.7768166898111355,0.14020742891955762,0.15843766714697408,唐河县
2001_02_07,268.2904920607032,274.9197380935625,271.82134233084054,103122.57470541904,269.48906074465793,101586.93609494792,5.75964927126934e-07,-1.6651609826990812,-0.9867369998303176,0.19731502619362942,0.17201803861671472,唐河县
2001_02_08,272.46299195492423,278.80737420166827,275.25147542173056,102728.00815177098,270.4321590838597,101221.447753131,0.0,1.1809642458157792,0.8249289890357897,0.22435779281064927,0.17654482910662825,唐河县
