Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_02,274.78018860305235,281.06124100268886,278.54045522093463,102353.99593112234,272.4588029987421,101738.02703943684,8.51928772922276e-06,-2.7991762845371198,-0.3678143257393421,0.16000126858125055,0.008630748901098903,潢川县
2006_01_06,262.44248999610915,274.7539826856471,270.67768765206137,103588.05070339818,267.20727614267275,102948.50140299395,0.0,1.6582468071941752,-0.7307963756579808,0.20528331200549083,0.025892246703296703,潢川县
2006_01_07,264.173404588489,276.3838812140529,271.5392899346465,103209.78915563623,268.13389577832277,102576.79849685522,1.862645149230957e-09,-0.39203404031533046,0.6614149293856869,0.16889220873399247,0.030207621153846155,潢川县
2006_01_09,270.3001856668833,283.2080744048847,276.4856251871036,102438.89203311408,271.52643646360497,101821.59802481584,1.955777406692505e-08,1.4347210935936237,2.398995700223988,0.2615473392523891,0.03883837005494505,潢川县
2006_01_10,271.06102711194853,286.2615656921721,277.8809159382841,102124.06055251212,271.2814973081242,101513.81818488793,0.0,-0.679726412819097,0.940565671838447,0.24112585451014973,0.04315374450549451,潢川县
2006_01_11,273.78362832627624,282.1662032421667,278.18184896478135,102106.39472549337,271.7015809732285,101492.86494331338,0.0,-0.943918554014384,-1.4646689776547783,0.2191451982224832,0.04746911895604396,潢川县
2006_01_13,272.74193256151165,278.5876373069325,276.18186507259253,102234.30731482456,273.03661984042265,101615.33542480005,9.592969360594325e-07,-0.5611149984384176,-1.9011871736893737,0.08143067368916389,0.056099867857142854,潢川县
2006_01_14,273.876824202645,279.5754658213267,276.3182568180643,102259.42154244291,272.11056292371677,101641.75865456993,5.406100294153058e-06,-0.19302795080918922,-1.0176958565502352,0.07540887867585493,0.06041524230769231,潢川县
2006_01_16,276.73511923871763,281.73137320185435,279.44633435490164,102058.78862135272,276.37644535193897,101446.10297517666,0.005308924152850739,-2.7382133454197746,-0.9914849911480917,0.1345174670066489,0.06904599120879122,潢川县
2006_01_22,269.8463514332,277.2314910372442,272.9915375756747,103109.12688554553,269.5520240576711,102481.19610150193,0.0,-1.526513599528307,-1.5371825828352366,0.025120647964701454,0.09493823791208791,潢川县
