Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_06,255.10865346174037,274.65218006546786,268.03989709599125,103349.83837627551,263.1639047898581,98938.36011337394,0.0,1.7717221266900525,-0.2662826104290793,0.1524323702747,0.025892246703296703,鹤山区
2006_01_08,260.2022473268682,278.7028750638726,271.44957857938516,102414.57210622288,264.93511804302403,98119.12607364217,4.377216100692749e-08,0.8384021689177623,0.1922708164608853,0.15781953252518077,0.03452299560439561,鹤山区
2006_01_10,263.357458273085,277.42377081631616,272.91929206673757,102451.82483560199,268.81521626683104,98116.87324606012,0.0,0.24121207323679555,-2.2538502758552563,0.037295666479956864,0.04315374450549451,鹤山区
2006_01_11,266.2143157646901,274.56658822252416,272.1164495364719,102610.85486249291,269.852069860998,98231.44306095547,3.015547231746473e-05,-0.1432226962439908,-1.8871277938340403,0.11521086785071567,0.04746911895604396,鹤山区
2006_01_15,267.7083099976716,282.54718900883404,276.4545875543732,102040.01585891414,270.9539931869204,97784.68966419074,0.0,0.21832787380070334,-0.38870535096999825,0.13696330440708276,0.06473061675824175,鹤山区
2006_01_16,269.4725683566319,276.9861112384637,273.9293354177021,102477.00581177726,271.83841356075334,98135.24637932818,0.000940041472324811,-0.5428748209085501,-1.7718928496104365,0.07202352521600353,0.06904599120879122,鹤山区
2006_01_21,266.05434637907103,276.45595658769344,271.23039107651255,102777.94086097518,267.5348445763524,98443.43121923502,0.0,0.41489433478591153,-0.12358079559959792,0.07065719952178828,0.09062286346153847,鹤山区
2006_01_23,267.52434030336127,277.92560873683715,273.11569718260233,103181.25314338,268.94751098576774,98835.61814260851,0.0,0.8051937345597721,1.7726177895750443,0.10865431122491824,0.09925361236263736,鹤山区
2006_01_24,268.3081306806589,278.4130017941302,273.35611609351815,103061.45814856868,268.990182558727,98723.19823941597,0.0,0.6337770491362303,0.825139555326322,0.15028469942682685,0.10356898681318681,鹤山区
2006_01_26,267.3882085663147,281.72612136684126,274.1014886021925,102446.10297629077,268.5072939505627,98207.18411839502,0.0,1.1484587912210735,0.43781135105254776,0.08985691304190598,0.11219973571428571,鹤山区
