Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_02,268.5780596787051,274.15238373236184,271.39084814915725,103190.9622385671,269.4314666013095,99608.55606106062,0.0,-1.1676282036574581,-1.9041008228858218,0.2015417663115454,0.008630748901098903,卫辉市
2007_01_03,266.5049175084354,275.31817603865255,271.50802148477754,103286.51437942147,268.1592345204282,99704.0813218215,0.0,-0.8515928769111917,-1.3807945412152334,0.3697588580591557,0.012946123351648351,卫辉市
2007_01_05,260.37519947590823,281.0666513374405,274.73835725144477,103048.40453611719,269.595290997584,99491.97444864409,0.0,2.0447963332491272,-0.48754105353288635,0.14245100363157148,0.021576872252747254,卫辉市
2007_01_06,258.8568505635807,278.7980216424934,272.68143052768596,103374.02274900401,267.8924220819579,99790.36552586217,0.0,0.6060997769473421,-0.42927783352254695,0.4098166088986367,0.025892246703296703,卫辉市
2007_01_07,259.6450408571001,277.10645873529967,271.70549755960565,103275.30563876331,267.58572510856936,99701.78227844508,0.0,0.12245429927851349,0.31551897013931834,0.3770105442935766,0.030207621153846155,卫辉市
2007_01_08,260.1774829553231,277.797725375163,272.2233926230664,103125.38063006366,267.10506253970874,99557.01237437627,0.0,0.793767779659521,1.5949406347336066,0.36170745646614944,0.03452299560439561,卫辉市
2007_01_09,262.2802977166322,280.7684045987176,273.5220562639898,102613.1556477534,267.3074750746723,99091.3794768778,0.0,-0.11647130077577163,0.07771718809200585,0.37999145606670093,0.03883837005494505,卫辉市
2007_01_10,265.21611480510705,275.79943029759784,272.44765867222833,103272.91172336163,269.1986799365057,99668.72260641275,2.3295431662780054e-05,-1.800065678302784,-4.17745455305933,0.30171989701225604,0.04315374450549451,卫辉市
2007_01_11,265.7560725541595,273.94020983541003,270.78652916866383,103616.85173323941,267.74700199006827,99997.09869172523,7.551833777187909e-07,-1.2714852568276986,-1.9215661156005237,0.03810517483768345,0.04746911895604396,卫辉市
2007_01_13,266.0115864314944,277.7340093704564,272.00950540264955,103194.86083656449,268.01541029055215,99630.89416833626,0.0,0.8873209812738281,1.7434097644172009,0.0844362360196465,0.056099867857142854,卫辉市
2007_01_14,265.7778636328192,277.3982356461122,273.06899802324875,102773.04735090586,268.661697875323,99229.64810383826,0.0,1.1328142122806086,2.1563306240697053,0.10942804847292258,0.06041524230769231,卫辉市
2007_01_16,266.35502776554887,278.0918622650439,271.9305250886003,102840.4203170677,266.7961646994846,99305.32971636752,0.0,0.6182936453343723,0.5377616310660149,0.04746130309435789,0.06904599120879122,卫辉市
2007_01_17,262.2089025205378,283.02340834719934,274.4010517591128,102771.34670493854,266.9750104238885,99274.63373242138,0.0,0.5646923233750251,-0.09610599722296226,0.27799202023288466,0.07336136565934066,卫辉市
2007_01_18,263.9471255452343,281.74262710465985,275.61716588863624,102998.12326361457,270.2999375900115,99472.47464797142,0.0,-0.31583161896632056,-0.36586316446399314,0.32455871122169666,0.0776767401098901,卫辉市
2007_01_20,269.12015523091407,281.18114827919294,275.1526811684388,102807.77930645601,269.24743991341194,99296.38007992248,0.0,0.30101282659381445,0.6876678445296334,0.03301085134518893,0.08630748901098902,卫辉市
2007_01_21,268.1683343595764,279.14729049600186,273.9077266128583,103292.52427233623,270.2350170625839,99733.63515697214,0.0,-1.1654220599155252,-2.147669140266566,0.18917773701464216,0.09062286346153847,卫辉市
2007_01_22,261.62228407616095,276.9654758997347,273.74143873989476,103370.26992714548,270.82846774159754,99788.32323975602,1.9816960937715682e-05,-0.8759179163950166,-1.130635816716767,0.34721583037207415,0.09493823791208791,卫辉市
2007_01_23,265.772153190838,279.3025325264037,274.34967995038227,103199.25861864675,270.8719256532307,99652.6134936524,0.0,-0.10650649126960383,0.47905314335011073,0.2729780301327683,0.09925361236263736,卫辉市
2007_01_25,263.0811352023361,283.6995690529775,275.4247566284187,102635.72301502519,268.962802431424,99120.93560106838,8.493688944472973e-05,1.214861676110095,-0.9634706975648185,0.13360372420942804,0.10788436126373628,卫辉市
2007_01_26,262.04849640663986,281.6955643856469,275.5911913666147,102776.50746302847,269.4666006298331,99249.05991066844,8.151619539067785e-08,1.6884775315644196,0.43744716472401984,0.25567577996747526,0.11219973571428571,卫辉市
2007_01_27,260.0395513290045,280.3007138134084,274.541395523031,103199.7768165336,267.2322694408807,99636.20268973008,0.0,1.0015375950936753,-1.994040821257556,0.23588743241079768,0.11651511016483516,卫辉市
2007_01_28,260.51175422706575,280.8566954282853,274.8636978993712,102382.36101397782,267.4490080603979,98883.76542609326,0.0,1.3148640240178149,1.7059774302397341,0.3422208237050898,0.12083048461538462,卫辉市
2007_01_29,266.4551361138418,287.7617842959987,279.26062332067846,102404.41059051128,270.2640944129775,98939.33408543431,0.0,-0.4010126683984459,-1.3074147231155415,0.3396371258648022,0.12514585906593406,卫辉市
2007_01_30,261.7225926209561,282.24530914515867,276.36519775200367,102527.04161257752,271.04707976205594,99038.79401865246,1.862645149230957e-09,0.9873144086039657,1.3786380017278277,0.33483200362541293,0.1294612335164835,卫辉市
2007_01_31,258.9429299187675,279.3883648680835,273.0574790631283,103446.50974995227,267.7656236332213,99864.38880302096,4.0978193283081055e-08,-0.8732622076218931,-1.9989725000512992,0.2702320798194917,0.13377660796703297,卫辉市
2007_02_01,260.3852124671151,282.54710990621254,276.26130934661666,103038.29130896622,268.03737218387016,99513.5762149221,0.0,0.07920265619347061,0.8163834060698587,0.3399148744036726,0.13809198241758244,卫辉市
2007_02_02,264.6323703094606,284.6979132052687,277.39903279891234,102239.50806979259,270.1456866950776,98793.26684958852,4.284083843231201e-08,1.5499951430603476,1.9398377985835336,0.3229215178840592,0.14240735686813186,卫辉市
2007_02_03,260.6715897669795,286.17252734286404,278.32112239764456,102354.51950704442,270.03622856137383,98891.6839686547,0.0,-0.9382492573481166,-2.983567440893961,0.3419076289482252,0.14672273131868133,卫辉市
2007_02_04,265.8533428407903,284.69695061974335,278.47194420076596,101669.42825400838,272.738116325116,98251.73177851098,0.0,1.5858271847070953,1.8432519067383846,0.287562786532502,0.15103810576923077,卫辉市
2007_02_05,270.6575620931315,288.74000060807964,280.9977432041379,101808.76322689556,273.1923676890918,98406.37873891891,0.0,-0.5592446319546694,-1.3395364780866201,0.11011256850900639,0.1553534802197802,卫辉市
2007_02_06,267.5667666520836,284.3915233570281,281.0039665252844,102400.88605571074,276.8304333055534,98932.61773120514,0.000864774017209708,-1.6991759530254578,-3.9122520420759708,0.26108576275693957,0.15966885467032968,卫辉市
2007_02_09,270.09576613941533,287.4286806160814,279.8273316693678,102158.74088583274,271.6119349488175,98722.58725617947,0.0,0.5430296075225315,-0.48249109600907,0.23878309985053145,0.17261497802197803,卫辉市
2007_02_10,265.4146908135678,282.880942783338,278.4436617907903,102480.91605497654,274.0629393627934,98986.7167958002,1.862645149230957e-09,-0.11594157771723775,0.9597000483473852,0.3947882487321037,0.17693035247252747,卫辉市
2007_02_11,270.1456358441414,285.233242874596,279.1837747932719,101676.02108474841,273.77477139665575,98254.303344001,4.470348358154297e-08,1.1953505412520373,2.0198541003638883,0.3482222697093246,0.18124572692307694,卫辉市
2007_02_12,274.71231953853396,287.0975617170045,282.7083497370973,101269.12554328018,274.22038775602266,97885.7545703445,5.92379968540787e-05,-0.3131211699746439,-0.43297450204606014,0.2312588125343239,0.18556110137362639,卫辉市
2007_02_14,260.8284702105824,280.00137531472024,275.18703913988054,102612.17331343959,271.4618683937718,99079.6631334921,0.0,0.12341803441732302,1.7662603152155307,0.4368252423982221,0.1941918502747253,卫辉市
2007_02_18,272.9490151818095,283.18655847744105,278.6943013718565,101947.1314778965,274.30223767926583,98494.98895063621,0.0001487908827937289,0.8182548092841425,1.3855239874106915,0.129918703640177,0.21145334807692306,卫辉市
2007_02_19,274.3650125118091,286.14638240128346,280.55466110901745,101577.8028444515,274.38314100935213,98166.786900121,2.5608394167282147e-05,1.3999470180904068,2.3959091425380925,0.21398115366109638,0.21576872252747256,卫辉市
2007_02_20,275.3200018851968,289.6873442709823,282.6484930975769,101775.54073098562,276.1019791528669,98384.72636506072,8.239764993655438e-05,0.6204085050661242,1.4021046706509257,0.3422957038048933,0.22008409697802198,卫辉市
2007_02_22,268.5590550903887,292.1650965926875,284.57749689200676,101602.54492383215,277.17408601569673,98213.00741145856,3.2184250573069416e-06,-0.4465301194177348,-0.9716912016481093,0.382072034223633,0.2287148458791209,卫辉市
2007_02_25,277.98207988650773,288.05741293753454,282.7312298136381,101862.9561474241,276.355481359652,98436.80871581049,5.929396352289484e-06,0.21977445883430752,2.3506267029417596,0.22500456421821183,0.24166096923076924,卫辉市
