Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2007_01_01,0.20126941753911345,270.3417700538945,275.00289303394163,272.1831554300007,102975.61112637838,269.8218134803517,98300.6710307801,0.0,-0.16870744050618688,-0.2817174244881307,0.004315374450549451,孟津县
2007_01_03,0.34763606227632343,268.7248007550605,275.70307175849933,272.71153560930145,103271.64151893414,269.49276477109424,98576.93125487387,0.0,-0.3165653394959044,-0.24868748054638065,0.012946123351648351,孟津县
2007_01_05,0.2895321621047031,259.2009185746445,280.1564041134792,274.75372394668676,103364.074866008,270.6838450872013,98666.74408475898,0.0,4.338806379094981,-2.1609722694469444,0.021576872252747254,孟津县
2007_01_06,0.44068472903393124,255.43179538646675,276.83932719354164,271.69943638782973,103596.54093919221,266.77212162942504,98856.73191293888,0.0,3.2044813152531635,-2.1018133999065807,0.025892246703296703,孟津县
2007_01_07,0.4239883258493945,256.6053643196555,277.84254218939776,272.0592150536425,103391.47840729447,266.6741094686481,98682.16125967137,0.0,2.294302070926289,-1.3232503606186776,0.030207621153846155,孟津县
2007_01_08,0.42246273191635053,259.872287518809,278.3375757557096,272.207565283781,103168.72637467954,266.1483931205933,98491.92467997548,0.0,0.5517397699702432,-0.3071389581168756,0.03452299560439561,孟津县
2007_01_09,0.41039471505181413,262.23627967098787,280.86861305162523,273.78330770335805,102570.53765855833,266.3525212995909,97975.92472092433,0.0,0.7918684050364816,-0.5565791397197873,0.03883837005494505,孟津县
2007_01_10,0.3199957412543092,264.9549514134652,276.66309553415266,273.217926808689,103150.78775549038,269.32327163360185,98461.95834982838,2.6007759699639846e-05,-1.5528884422822011,-0.53945152534683,0.04315374450549451,孟津县
2007_01_13,0.14878098510851473,266.01716183881695,276.9300639347379,272.1531670616603,103206.60319788475,267.64332388925567,98526.71176776389,0.0,-0.082267894922313,-0.36554847161990955,0.056099867857142854,孟津县
2007_01_16,0.3510997841733564,261.45260384059145,279.71273442981914,272.43498412336095,102931.98571211916,267.46000823449197,98285.61775559097,0.0,1.940212949100135,-1.3033327955119374,0.06904599120879122,孟津县
2007_01_17,0.4144115302810599,260.36825838161514,282.474817941923,273.88296478321223,102930.13742025732,267.84204279947795,98310.60121870553,0.0,2.3557615587563308,-1.5009709688960418,0.07336136565934066,孟津县
2007_01_18,0.3753615587657859,263.7755134031413,281.53247182618304,274.97865989296196,102960.64997994414,268.81871852684185,98335.03585589111,0.0,-0.825572894887816,-0.8982428964694412,0.0776767401098901,孟津县
2007_01_19,0.29163566266949026,267.1756432506425,280.2234783540403,274.4379237749322,102574.26872312518,268.53162407017516,97958.4893664362,0.0,-0.6920389932151579,-0.8629466451228617,0.08199211456043956,孟津县
2007_01_20,0.17612379178001555,268.6268645691304,281.9699469230958,274.6970109593927,102786.42471052882,268.4084996488953,98198.15177727478,0.0,0.7993568072585949,-0.6058438070106964,0.08630748901098902,孟津县
2007_01_21,0.21052276181992555,267.89494177202175,279.6671512238005,274.71362970926583,103205.22586536202,268.8323804879904,98551.58929180574,2.287391680996335e-06,-1.6441966918035253,-0.777350147272693,0.09062286346153847,孟津县
2007_01_22,0.18294103177767104,262.60277676039306,276.67968375339444,274.0243566469743,103361.10257218833,271.643002344771,98666.50708517725,1.6784965280729738e-05,-1.0849900830995505,-0.40974631720190063,0.09493823791208791,孟津县
2007_01_24,0.15245534958678467,269.86254534934426,280.5321562176635,274.97265995769436,102835.6550710728,269.21598902247734,98229.28518466625,0.0,0.836328177374712,-0.42581061474304843,0.10356898681318681,孟津县
2007_01_25,0.3332807714933719,262.0720103345521,283.34361239302405,276.7711942488068,102768.72438140109,270.233370559307,98158.45572524914,0.0,2.9804611540114627,-1.6423283474515513,0.10788436126373628,孟津县
2007_01_26,0.3800590544264321,262.27032613836906,282.01844985940807,277.4642999339969,102948.10220081345,271.08522162357025,98322.58603154468,2.90713530363301e-06,3.278428310117946,-1.0678870595911616,0.11219973571428571,孟津县
2007_01_27,0.2601480053021242,258.38517690612,279.51061486690844,274.50582724276023,103371.5649226716,267.2205620246494,98688.04062342145,0.0,3.5266756345905583,-2.518206220165259,0.11651511016483516,孟津县
2007_01_28,0.37259091402240635,260.49975955225545,282.11294018176966,274.9726922756937,102457.16296909221,267.43611347971057,97875.4339314571,0.0,1.4923850231715614,-0.5882667145132926,0.12083048461538462,孟津县
2007_01_29,0.4012934394992545,261.5972572091071,287.362864482566,279.37277389766365,102514.59759279559,269.22926786247484,97970.4243162937,0.0,3.0060648280743814,-2.1326412541508635,0.12514585906593406,孟津县
2007_01_30,0.38833413303704817,261.9721493474414,284.3740457298563,276.68422789182165,102563.12341060427,269.2954276779082,98004.30500081231,1.862645149230957e-09,1.5068141096225693,-0.9776249091153858,0.1294612335164835,孟津县
2007_01_31,0.354176927812864,259.96648478425635,284.57996286584716,275.9710076320861,103381.9654961995,268.23714929351775,98747.16408675197,4.0978193283081055e-08,1.8914814034524727,-2.1294827048605534,0.13377660796703297,孟津县
2007_02_01,0.4003874178823194,261.5780096884569,285.7175181138057,276.09191188544634,102999.40229186795,268.4402844560956,98409.71583872125,0.0,1.8481367455758761,-1.2848668906704248,0.13809198241758244,孟津县
2007_02_02,0.38166083130061745,264.3822375335762,285.1353782073537,277.34915314042274,102315.01060807583,269.1280382191373,97798.6107408725,4.284083843231201e-08,0.7519722056389994,-0.5101442707389959,0.14240735686813186,孟津县
2007_02_03,0.3657877118780765,262.6789198547004,288.3875065744629,278.7347597793353,102304.19616722161,270.65386865684724,97769.5924811966,0.0,-1.244397323733666,-0.8952387047667673,0.14672273131868133,孟津县
2007_02_04,0.2710034102583152,265.74993949687223,283.9252022966927,277.37255989953394,101747.31398960167,271.8635058601222,97247.04178977558,0.0,0.2937741358920717,-0.6674845906658352,0.15103810576923077,孟津县
2007_02_05,0.2564559470583941,270.11607131206034,289.14714174099936,280.4403356532012,101775.62827977762,271.9536055382368,97321.12945556537,0.0,0.9957382362350404,-1.1651053921130627,0.1553534802197802,孟津县
2007_02_08,0.21362626136895396,273.1950690756302,284.2561870277774,277.91411607456297,102483.66321003016,272.20602494777444,97931.20101299169,0.0,1.7584618321089414,-1.2657392679789339,0.16829960357142856,孟津县
2007_02_09,0.41481352935808785,271.15364771735415,286.5609395373486,279.0374395470156,102270.90942077285,272.23498087920075,97755.82722492583,0.0,2.3283176115658777,-1.5583201369132962,0.17261497802197803,孟津县
2007_02_10,0.41741220066155377,268.5506200176689,282.92108873864896,278.00680590010177,102463.0888797447,272.40364719913595,97890.38915132271,1.862645149230957e-09,-0.8656305585058323,-0.2611942883464816,0.17693035247252747,孟津县
2007_02_11,0.38404746885390273,270.91972875764463,285.4875988681116,279.11168901121164,101703.6306663256,273.0170261493785,97218.0773933049,4.470348358154297e-08,0.6494567836456403,-0.1209954516945187,0.18124572692307694,孟津县
2007_02_12,0.2897974701153098,274.39782114895394,286.54485975810536,282.347180509692,101265.94717755695,273.60312351078755,96824.89985414775,0.00046357760234810993,-0.2554933448514973,-0.7493880758685402,0.18556110137362639,孟津县
2007_02_14,0.4239216857847865,263.5698434293016,280.81413051348125,275.55066185277974,102562.85017062178,271.89856519484664,97940.17895780169,0.0,-1.499564506398858,-0.23271876794390162,0.1941918502747253,孟津县
2007_02_18,0.3332440205577425,273.7186162991603,283.30504679776936,278.7316281962083,101961.71110703767,273.8359301050073,97434.28617113725,1.240864646501e-05,0.1419789700835557,0.08865630617543338,0.21145334807692306,孟津县
2007_02_19,0.33468611240176493,274.1148770934024,286.38509735503715,280.7481224238617,101608.20802716834,274.2890465758089,97133.50108849168,0.0,0.13407519361322673,-0.08181367961055899,0.21576872252747256,孟津县
2007_02_20,0.4255006571936785,274.6579229885284,289.18241437546754,282.6817349322993,101769.12262070052,274.70156979867727,97324.44394051237,1.0550061020944647e-05,-0.002468423861646727,-0.36967075796817955,0.22008409697802198,孟津县
2007_02_22,0.376774394269891,271.3095710884818,291.1637074576519,284.432485046214,101532.21262009727,276.7352635704922,97089.9943352701,1.1219719069311097e-08,-0.6801421590351223,-0.8362365532737427,0.2287148458791209,孟津县
2007_02_27,0.3682802350842668,276.2710773211937,284.42997879645094,281.8111795715569,102299.49938976632,278.8866767040485,97750.41670466408,0.007922891402755022,-5.665579013131811,-0.3545809095658531,0.2502917181318681,孟津县
2007_03_04,0.5138487346868751,269.76403003115456,282.5047791239006,277.3986103354046,102413.09052955422,271.6358790868227,97804.55751569428,0.0,3.556648695411285,-2.3760011741660656,0.27186859038461536,孟津县
2007_03_05,0.48041480879252074,267.2730567344551,280.17189424374794,274.5765266102945,103330.03031730681,269.4048671237072,98628.52637275029,2.378699971488434e-06,-1.1023372221251804,-0.6066161070419541,0.2761839648351649,孟津县
2007_03_06,0.4846296082045363,267.80506246314155,280.13472633735097,274.3495406016447,102733.17643232003,269.3795885907525,98092.51425354752,7.400090683590695e-07,1.1411609752289116,-0.10565249944810184,0.2804993392857143,孟津县
2007_03_07,0.5035130371826205,269.0476744739256,282.9049015517018,277.66773024631783,102316.54208431313,272.3806529297377,97728.26389330885,0.0,-0.043792768307125786,-0.8109968849545423,0.2848147137362637,孟津县
2007_03_08,0.4211662439552329,272.21614914418984,283.64697931339526,278.9428776030645,102043.12932860364,274.8286739152616,97502.45479077344,0.0,0.19752005170256037,-0.02256548424805677,0.28913008818681324,孟津县
2007_03_10,0.44100457234892143,264.6088562933055,282.706696699052,277.01265861983313,102810.42345274374,271.2289157892559,98190.58858362357,1.862645149230957e-09,1.1353988426182395,-1.6956546957301009,0.29776083708791207,孟津县
2007_03_19,0.36048442545664877,275.1214346456522,285.6223967975037,281.24832142408343,102500.68526847487,276.49447631352734,97960.62774114523,5.0458203058240595e-05,0.39005807796586534,0.33798200092939573,0.3365992071428571,孟津县
2007_03_20,0.48868426097501405,276.80295108100256,287.37699066344794,282.64282322569113,101953.78895475136,278.40171269482164,97465.46492866811,0.0,-0.9623480141661893,-0.39406008196908576,0.3409145815934066,孟津县
2007_03_21,0.5157169494281655,278.8232713248517,290.61488227346325,284.70279020041477,101953.30072626079,279.8497233648699,97491.71468713455,0.0,-1.5268919039553353,-0.3665473942852859,0.34522995604395607,孟津县
2007_03_22,0.4801518322123899,279.6343393303489,289.3516981348235,286.44629456011194,101579.36590329121,280.5610761397685,97139.11777724723,0.0001165733135130397,-2.144351953299422,-0.027055264935146723,0.3495453304945055,孟津县
2007_03_24,0.45519425150094606,276.1091375169096,295.8306563919565,287.254340647393,101152.46829741845,279.2885089481421,96787.41238216638,2.6742619682759235e-07,2.037346233009678,-1.3911260425772523,0.3581760793956044,孟津县
2007_03_25,0.49822852180948063,276.63549867510307,297.1138297146946,289.3718618384846,100884.51365723016,282.08560783981596,96543.38845019936,3.037969784806095e-05,1.1302949873562962,-0.08271377812392497,0.3624914538461539,孟津县
2007_03_27,0.5020187677237257,279.519371841921,296.16248933389153,289.86117702298225,100827.48161038676,283.46503939654053,96481.66606293696,2.858692474035448e-07,-0.4503590360677944,-0.6654771811849868,0.37112220274725277,孟津县
2007_03_28,0.4276332355807755,278.3144960352202,296.66748726532603,290.74074843192335,100649.16650104223,284.64672741312995,96313.1936151637,4.284083843231201e-08,1.042328044735621,-0.5221121894299692,0.37543757719780224,孟津县
2007_03_29,0.4789762292762138,278.5431533665135,301.0527073796959,293.5006744586518,100461.1345883675,287.2342269693718,96143.93544900832,3.846190158509357e-08,-1.2778018828926598,-1.1291137820631236,0.37975295164835166,孟津县
2007_04_02,0.519173425071276,265.9663083731554,287.15668559227186,281.56057955112965,102890.00521463795,275.04691583533264,98340.90276581184,0.0,1.2511293763198708,-2.10870410580283,0.3970144494505494,孟津县
2007_04_03,0.6001401246621185,268.12775940052603,288.70633411620406,282.08007256294286,102542.67852108953,275.8392691313023,98044.03975103516,0.0,1.6119912055799863,0.022736437757468524,0.4013298239010989,孟津县
2007_04_04,0.5660473910600505,271.1494370473841,291.19466573881795,285.7661522066331,102039.05341556063,279.871852430422,97580.81013721475,0.0,-0.8366558400265923,0.6448669074201542,0.4056451983516484,孟津县
2007_04_05,0.4860929146257725,274.90569467435546,292.7366909656331,286.2453564726447,101868.91845235993,279.6200090693424,97454.2828051755,1.0601679035994492e-05,2.0598510687751306,-1.260165664436297,0.40996057280219783,孟津县
2007_04_06,0.45197459221043385,272.806804542103,294.69449183983994,286.6161593949779,102067.40897821901,278.2072725599632,97657.73240130796,0.0,1.3902092538999324,-1.0367080716921435,0.41427594725274725,孟津县
2007_04_07,0.5445344666030715,271.9660249357524,294.7371608044424,287.8017869231778,102154.52258566026,282.0778573803306,97717.86767995021,0.0,0.07075090783092838,-1.213319766482625,0.4185913217032967,孟津县
2007_04_08,0.5360957554355197,274.19504912619755,292.3556291728591,287.4999771992998,101997.97440076523,282.76964814429505,97573.00949293179,0.0,0.09166869645861449,0.7009559880848372,0.42290669615384613,孟津县
