Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_03,268.5565771285361,276.7104122708903,273.0902466595556,103287.28205014228,269.03157984495175,102316.47362997712,0.0,-1.0148483309766503,-0.13571757452043945,0.1972501649872948,0.012946123351648351,惠济区
2007_01_05,261.39193426218486,282.2713691186908,276.8254756849514,103198.65074363981,272.43686419868226,102235.20017059479,0.0,5.294917307706906,-0.818818078909851,0.16233312000301953,0.021576872252747254,惠济区
2007_01_06,258.16645900193777,279.9068391536341,274.13797165952514,103454.44989475627,268.05129084394054,102481.68040009793,0.0,4.2264931477263215,-0.11282261772469943,0.2500369971197786,0.025892246703296703,惠济区
2007_01_07,260.1875974295633,279.394480391858,273.35077677521895,103308.91110733077,267.6065440699651,102338.21619501684,0.0,2.9644645062563613,0.882166661404991,0.2677003506266311,0.030207621153846155,惠济区
2007_01_08,263.0646380610183,279.4767845815126,272.97411678481745,103176.33655538408,267.64751318960066,102210.85180249407,0.0,0.6662555680407918,1.3141348282552874,0.2332195127960595,0.03452299560439561,惠济区
2007_01_09,265.62625541439263,281.91079203699076,274.10898886941357,102608.39603121608,268.3816038981079,101654.88897205763,0.0,0.559354372682479,1.1443195523227394,0.26401914306966084,0.03883837005494505,惠济区
2007_01_10,265.87500431745065,277.8237610476903,273.86180673579685,103182.99802165118,268.9295371179469,102210.46107812141,7.579368832926483e-06,-3.2075691771971475,-1.4540723048571906,0.18561765249785647,0.04315374450549451,惠济区
2007_01_11,267.2254111691241,275.3106533796844,272.4918763036353,103608.46780769173,269.40645009914795,102628.90414824017,4.284083843231201e-08,-1.2942781348918715,-0.48098621909248196,0.16706895293771393,0.04746911895604396,惠济区
2007_01_12,266.13073337335203,277.0705225389047,272.0311557149456,103426.78052093615,268.03540778144475,102454.4681686536,0.0,-0.23449689688134404,0.8949711533986927,0.16294587960439452,0.051784493406593406,惠济区
2007_01_13,267.9893381226548,278.7464365962391,273.1839558159191,103227.18849056715,268.3823929428521,102261.53842779784,0.0,0.1439692018832683,1.3750220012419476,0.07107270607791069,0.056099867857142854,惠济区
2007_01_16,266.09324107052237,279.6432783683233,273.3213777408989,102887.82712995652,269.51670057077257,101927.22617306476,0.0,1.7462095665290256,1.214264876914545,0.056109359866891376,0.06904599120879122,惠济区
2007_01_17,262.6506707727034,284.30967820076114,275.91705518206527,102840.76030009089,269.3560305384248,101887.44237370444,0.0,3.7762194864672702,0.7930915436470335,0.25515825586921353,0.07336136565934066,惠济区
2007_01_18,266.82987594665786,283.0316602261354,275.36014954639467,102990.11855618523,268.7176170227228,102035.41183069925,0.0,-1.010377901385853,0.30080653652267664,0.21222199369486078,0.0776767401098901,惠济区
2007_01_20,270.417283665373,282.62674896390143,275.95813147277255,102808.69306661052,269.18764115913365,101858.80941325678,0.0,0.37985023385359684,1.2438748950196776,0.07092271123822197,0.08630748901098902,惠济区
2007_01_21,269.7107157598712,280.70716674823365,275.2207860737683,103246.3268353514,269.58793551139723,102282.9360413706,0.0,-2.180732886909584,-0.9120391587882655,0.08846323888120959,0.09062286346153847,惠济区
2007_01_22,262.5103254926628,278.28435350583226,275.05890509591796,103357.50001425232,272.11956962138044,102390.0325468851,2.5033392886439602e-06,-1.3867884183335035,-0.43023562221084694,0.17825834650440153,0.09493823791208791,惠济区
2007_01_25,263.3981802287744,285.478602728515,278.4237480969998,102707.63199290218,272.06872365250496,101759.51814057012,0.0,3.55657330864009,-0.3764088345929526,0.13952844428384112,0.10788436126373628,惠济区
2007_01_26,263.05864465133044,283.3957960128753,278.7944689875069,102864.56018562737,272.0494316520196,101912.52301827552,3.582877014541419e-05,3.987710144710074,0.06055092096364108,0.24032058265099654,0.11219973571428571,惠济区
2007_01_27,259.5611065445253,281.9654068918517,276.677302714943,103264.54063028551,268.8410591900163,102302.46952847645,0.0,4.046244186382549,-1.180195124585802,0.17671519995770052,0.11651511016483516,惠济区
2007_01_28,262.672601800199,282.80063358583493,275.7000180827233,102457.69446765317,268.8216331679255,101510.00797457004,0.0,2.036709193967303,1.849857181403747,0.23110861460802634,0.12083048461538462,惠济区
2007_01_29,265.2756834773182,289.8430628286208,281.0697412401799,102412.34983727436,270.45935433250264,101475.57294244006,0.0,2.2477906478935186,-0.09296213484034427,0.22846774867737724,0.12514585906593406,惠济区
2007_01_30,264.41938564731043,284.8474779336222,277.61019353741744,102563.35806120276,270.8020898413897,101620.47920257154,1.862645149230957e-09,1.3944167877531424,1.768671467263038,0.23983915382917956,0.1294612335164835,惠济区
2007_01_31,262.11772017288774,281.7290478321901,274.42639423566,103428.07266746854,268.6016718189853,102461.54133854543,4.0978193283081055e-08,-1.4782686769972497,0.08331789150910876,0.13607443186362325,0.13377660796703297,惠济区
2007_02_01,263.345510743397,286.28753265879425,276.56835338665866,103031.04263526748,269.08336988800863,102076.67392760674,0.0,0.012840639571998208,0.8668525352003652,0.24339982065437396,0.13809198241758244,惠济区
2007_02_02,267.2838664176213,286.85046594266504,278.25086720182185,102318.81670431289,269.68024502487395,101383.95099936053,4.284083843231201e-08,1.2656774473131123,1.9378938813406348,0.21552222569499432,0.14240735686813186,惠济区
2007_02_03,262.8702062292025,287.9837215933406,279.16111398328303,102325.57062460399,269.97433321150896,101386.86798161561,0.0,-1.4506317812112457,-1.0275856389151259,0.2227793969832142,0.14672273131868133,惠济区
2007_02_04,268.49378532141316,285.8715510937722,278.6750409438304,101741.6260577237,270.6681436589908,100813.66485364687,0.0,0.7896291958184573,1.17135906144203,0.2610440142326664,0.15103810576923077,惠济区
2007_02_05,271.0761548197286,290.4351967400073,281.99921706654345,101783.2698545651,275.22968953107846,100861.54993081371,0.0,-0.03726445517911042,0.45008627174941507,0.15196809121864915,0.1553534802197802,惠济区
2007_02_06,268.94498053141734,285.3950758070225,282.17314482617843,102313.49494174859,276.8591571079506,101377.90414443666,0.0051280936980092,-3.3364773829416987,-1.4833749628193797,0.04840983863387122,0.15966885467032968,惠济区
2007_02_09,272.2348715866009,288.60310983251367,280.99722043093556,102200.20567843328,273.59609032949925,101268.82088324623,0.0,2.881457595640836,0.12638927550832194,0.2612079483708479,0.17261497802197803,惠济区
