Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_03,270.2791245164005,276.54407218986915,274.4877485506058,103142.03898858473,272.6684657908798,102593.1475681627,0.0,-0.8960965475549493,-2.3370239071920067,0.2439922262351532,0.012946123351648351,新蔡县
2007_01_05,266.7449870548949,281.5862908914589,277.05003999877414,103153.29446819461,273.2719843103526,102610.44321677616,0.0,3.1595185287969216,-2.3517288392155367,0.44501710453181653,0.021576872252747254,新蔡县
2007_01_06,261.0586737767739,278.7976152457521,273.68313305205,103488.25238677072,268.54663314349534,102938.31671871438,0.0,2.3284127173839426,-2.3080241505600636,0.5366997195156006,0.025892246703296703,新蔡县
2007_01_07,262.26968132028213,279.5089349807891,273.1273459460752,103364.28136248811,268.4655732662301,102815.65944390463,0.0,2.069260548003163,-0.881046337681615,0.6037915224508653,0.030207621153846155,新蔡县
2007_01_08,263.5709222306814,280.22917179482624,273.7143793690384,103282.42564286798,268.7319044671613,102736.28175388373,0.0,-0.5415504126890643,0.7825415229198543,0.5728250846396081,0.03452299560439561,新蔡县
2007_01_09,267.0569705483398,283.3956041696147,276.46743267753885,102759.42793585923,269.86287069145254,102220.89443845631,0.0,0.8023539909609204,2.39052506477264,0.6036414321070315,0.03883837005494505,新蔡县
2007_01_10,269.3306855546198,284.4839304990243,277.3018300535331,102880.48663828419,271.51120596694057,102340.6309317996,1.862645149230957e-09,-1.346163687720465,-1.015980260470047,0.5933352208902117,0.04315374450549451,新蔡县
2007_01_12,268.4156545533936,277.9992322793613,274.3579634178163,103373.85859389853,270.57769233865434,102825.5597633176,3.9957763697131815e-06,-1.3091998284081896,-1.1664942623505858,0.29446225405285653,0.051784493406593406,新蔡县
2007_01_14,268.98920192281224,278.116272312818,275.01051586391793,102917.24721306891,270.97953807680705,102371.4136030181,8.097976506323827e-08,-1.0821719642985965,0.9656120473153644,0.3494369227996757,0.06041524230769231,新蔡县
2007_01_15,270.07899745278695,278.51926512889867,274.1218611929814,102733.20589793012,271.01932657302495,102191.65287524449,0.0,0.48887690075632434,1.1090763462246935,0.3422896544039539,0.06473061675824175,新蔡县
2007_01_17,268.4600006144215,282.7890017773542,275.60762030368164,102938.37415423247,270.11600510713316,102401.45620449256,0.0,2.2367669466868327,0.3003910062125668,0.5076985051599172,0.07336136565934066,新蔡县
2007_01_18,269.3635858427035,282.39680218868045,275.6754362509365,102965.05533183496,270.6843686052977,102427.03504280002,0.0,-1.1581229726070899,-0.19207344494606493,0.5268743398617793,0.0776767401098901,新蔡县
2007_01_19,270.48665280278163,282.94875831976094,276.37708105438685,102638.1219106769,270.82542035532174,102101.35964645157,0.0,-1.4141976310853042,1.00628006290459,0.4510198079090984,0.08199211456043956,新蔡县
2007_01_20,272.46490441726667,283.55952386096635,276.87162365202397,102840.40991582481,271.1146187982052,102302.90616598442,0.0,-1.8362862538751505,0.22169686681007034,0.2458538109452762,0.08630748901098902,新蔡县
2007_01_21,273.468956781067,282.2614927359051,278.01360576695157,103052.6209576013,273.5803396584549,102513.8809515197,3.7807333474966907e-07,-2.076040111025999,-1.1987648244323812,0.5303014356696332,0.09062286346153847,新蔡县
2007_01_23,269.41844373383736,280.0468086451359,275.32990366338214,103267.66997605794,269.79159543556403,102725.10130138736,0.0,0.8712110420360695,-0.03890563463147755,0.4675808887629125,0.09925361236263736,新蔡县
2007_01_24,271.598515113108,281.6220534159521,276.3640857551824,102985.3353641224,270.43135660690143,102446.94165695379,6.0333573664585255e-06,-0.244549944215598,1.6779252071456445,0.29918466559747453,0.10356898681318681,新蔡县
2007_01_25,270.2224335174414,283.3752373761723,277.96950722645136,102746.97133374006,272.7335859158848,102211.42418063385,0.0,1.9184992890162924,-0.10874466591806446,0.37408292834929185,0.10788436126373628,新蔡县
2007_01_28,263.9472958597494,282.85427036822693,277.8757464406915,102729.9621676125,270.28142860385645,102190.645118585,0.0,1.2877311566162943,2.36176139502713,0.5639677909297734,0.12083048461538462,新蔡县
2007_01_29,270.3515097279352,288.3946478337517,280.9251163927148,102395.32714979915,273.97104915624243,101865.47598459169,0.0,2.118508002781749,-0.2079071991483138,0.4536644554986073,0.12514585906593406,新蔡县
2007_01_30,269.5486419713231,285.09813069058356,278.5843731563653,102690.48946398415,273.6443715874443,102156.83839417565,1.862645149230957e-09,-0.47885689379161817,1.4445165874071761,0.5175414216262189,0.1294612335164835,新蔡县
2007_01_31,263.57302372755214,284.1048001373655,276.09366477733283,103299.25715834001,268.6249773952165,102755.71920201494,4.0978193283081055e-08,0.12331426719530121,-3.0069198348735657,0.41758412119021987,0.13377660796703297,新蔡县
2007_02_01,264.1156765375814,284.4219558269023,276.92658982081826,103156.18172995382,269.24751376974916,102617.09975319901,0.0,-0.5857280552536944,1.6100952043349808,0.5708719099754271,0.13809198241758244,新蔡县
2007_02_02,267.9712459674059,287.3042474746325,280.6311106677081,102547.84203526904,271.7056506087504,102016.79939611228,4.284083843231201e-08,0.4369534981753742,2.943597724563912,0.5449427846682214,0.14240735686813186,新蔡县
2007_02_03,271.9861121148685,290.25926326076046,281.84475082619497,102182.3701720426,275.93525735885726,101655.95020248787,1.681300431175619e-07,-0.1356136220946198,-0.6225005457865709,0.5526955506939278,0.14672273131868133,新蔡县
2007_02_04,274.185356154038,287.17060752524594,281.3701191824015,101801.28912739585,275.9583738534959,101279.45656313316,9.87747820197334e-05,-0.3325560422639012,1.3595890422508146,0.5177770913154351,0.15103810576923077,新蔡县
2007_02_05,276.7602270701642,291.8364429704679,284.5441987347792,101767.77533480078,277.8296342832512,101252.79333269052,0.0,0.32515282832617987,1.167169057591808,0.48324731920114283,0.1553534802197802,新蔡县
2007_02_06,279.43769094630517,290.1049033487873,284.0660567424561,102063.38002237769,278.90762742707744,101539.1525923088,0.009406524386033883,-1.8442528192092038,-2.2163031475552213,0.3967831818389349,0.15966885467032968,新蔡县
2007_02_08,275.0919854169664,280.72809572761827,277.48563754572643,102520.48283876631,273.1112642594893,101984.53049448857,6.217884251152245e-07,0.4789666393790615,-1.6295670479342785,0.5011812465786272,0.16829960357142856,新蔡县
2007_02_09,275.6989482180415,285.266041999815,280.72069064003733,102219.2056265882,274.6837826324847,101691.7330534088,0.0,1.743692116100363,0.086633323286632,0.39427429607555636,0.17261497802197803,新蔡县
2007_02_10,269.6758363562281,285.16544262853006,279.11031296004234,102483.88849794916,273.409131979515,101951.12054127186,1.862645149230957e-09,-1.9533046330333281,-1.2531187399730643,0.6541895806516428,0.17693035247252747,新蔡县
