Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,264.43360495398446,279.42168231460295,273.3688741199636,102386.5300772831,268.03805381081145,99706.32764091405,1.862645149230957e-09,-0.4431373101560933,-1.2002725805653007,0.14537280663194416,0.00905358097982709,殷都区
2001_01_03,259.9299502478831,273.2873145173359,269.6122456897813,102920.79110357595,266.20473845583956,100181.04946225797,4.284083843231201e-08,-0.8851556789772932,-1.8549689784988388,0.14176796866570776,0.013580371469740636,殷都区
2001_01_09,265.7241252044969,274.750516861746,269.5047751900157,102229.4335140529,264.7383313694275,99542.22407658523,2.1029397708062973e-06,0.5579014855879643,2.1028168946992527,-0.0033693826038608244,0.0407411144092219,殷都区
2001_01_13,263.7963157163344,269.9521453055428,266.52598951848444,103293.97615756457,260.4711209816279,100518.35014456979,0.0006298316565594376,-0.8446507018773357,-1.4766362390844898,-0.0017594520301837955,0.05884827636887608,殷都区
2001_01_14,258.32452430884206,269.9857339324397,264.3073606053098,103587.98729700758,260.0638513387038,100798.33392550422,0.0,-0.11716208483077459,0.275625341589409,0.006898688977037371,0.06337506685878963,殷都区
2001_01_26,264.69803139448857,275.3142591093537,269.56521636850977,102215.71766375826,264.5089492167958,99547.69386920672,1.862645149230957e-09,1.3868845251934991,0.935010647600923,0.023219871193820074,0.11769655273775216,殷都区
2001_01_28,259.0814428340943,276.0883631631908,270.22923203392287,102771.18963345472,265.2093365677176,100077.35090109086,1.862645149230957e-09,2.0939431422580332,0.7109861917084169,0.017898477281516636,0.12675013371757926,殷都区
2001_01_29,262.4739804896309,280.0829658470932,273.2954340674226,102263.8705011056,265.55142112882027,99619.44990289859,4.284083843231201e-08,1.6335770478677225,-0.19855592763054275,0.04912499786329101,0.1312769242074928,殷都区
2001_01_30,265.6278310419545,279.65980281201547,274.99032662168463,101756.86745949757,267.8546203803746,99126.13638236058,1.3161373055520711e-05,0.9650396047397884,1.2120884788372994,0.11130270432479943,0.13580371469740635,殷都区
2001_01_31,262.2142428007146,280.4178552603273,274.27835745527335,102333.84770796014,267.5075674493392,99682.2253009029,0.0,2.202934994625104,-1.387976661083034,0.04363057324840764,0.14033050518731988,殷都区
2001_02_01,263.91420360504395,277.2081888480762,272.6634211581191,102264.66156926063,267.7943152477078,99609.17616617933,0.0,0.6851565949400908,1.670997007756727,0.1838057625250396,0.14485729567723343,殷都区
2001_02_02,268.72066592372175,281.297946131462,275.6574550373611,101818.9893380834,268.0736744458356,99201.4291323536,0.0,0.47789157340931965,1.0846664067444842,0.17069163981363097,0.149384086167147,殷都区
2001_02_07,262.5368414320985,270.1735579200349,267.2092846935572,103145.25858334244,263.19601808757045,100391.09920383824,1.2732809168399447e-06,-0.2769130204162868,1.1226313256717952,0.05298001982503851,0.17201803861671472,殷都区
2001_02_08,264.77119317217165,276.4048721545362,271.1958246668001,102559.6425272348,263.36160925423474,99897.15789860344,0.0,0.603773386121657,0.8851301385805144,0.0680637682938575,0.17654482910662825,殷都区
2001_02_13,264.49948372629643,279.4632944518781,273.50501143455585,102767.77191374435,268.12616097515695,100111.25985270148,1.862645149230957e-09,1.9084444063219104,-0.4570164860920504,0.055377041184451706,0.19917878155619598,殷都区
2001_02_14,268.2321101991475,284.5837412434854,277.72659419494425,102130.37544341724,268.74767066648326,99529.61985128447,4.284083843231201e-08,2.162900757534046,0.9465107762797884,0.2745747327515871,0.2037055720461095,殷都区
2001_02_15,262.6020202004688,283.2872135290148,275.9485800686173,103075.76553929012,268.8350447914448,100406.81515580381,0.0,1.2820250812100251,-1.856013156568931,0.18061837608987164,0.20823236253602306,殷都区
2001_02_16,266.68970001793826,279.74989153879693,276.41592127212306,102852.63769577711,269.7988609396597,100177.04755411966,0.001165123531385155,0.04207885987529671,3.6373582593186438,0.2825414513061406,0.2127591530259366,殷都区
2001_02_18,275.480117184613,287.3749027508955,280.85202444957906,101936.14757810513,272.13872362403623,99355.37310126361,0.0,0.08868226737750658,-0.1471694039602551,0.18022587632313625,0.2218127340057637,殷都区
2001_02_21,276.5212508033422,288.94849832726965,282.54554756819834,101442.56800325261,275.12441006039336,98886.97091931273,0.0,0.3768277492497521,1.879129583134112,0.20947703238893206,0.23539310547550432,殷都区
2001_02_24,268.1326334459186,278.4444617875986,274.52771621246774,103185.86290517593,271.7225527357007,100488.30879107949,3.3053951632205556e-05,-0.12086374548849184,0.4203526047692953,0.28101370421263394,0.24897347694524496,殷都区
2001_02_25,268.86271939850553,281.59650204267166,277.09181812012304,102931.96572839841,272.27090337304384,100255.85576359635,4.284083843231201e-08,-0.46558347143720197,3.0026714191379127,0.356596129340931,0.2535002674351585,殷都区
2001_03_01,270.1369428297009,291.04499378275335,284.48000452554527,101956.22554425799,275.5244379920356,99392.22060675602,0.0,0.4477312890326642,1.6538442028385847,0.40981760839067816,0.2716074293948127,殷都区
