Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_03,267.9283009428884,275.6540584955822,271.797712385895,103248.37469228888,268.2049664798044,102436.48278046814,0.0,-0.811739192091205,-2.059950177360314,0.2398188977680181,0.012946123351648351,民权县
2007_01_05,264.53620687441924,280.11646949880776,275.289844818678,103038.40383903678,270.86630467249944,102235.49122574079,0.0,2.987437445124947,-1.3616514067981522,0.22116133398007262,0.021576872252747254,民权县
2007_01_06,260.9240203015732,278.0419599823143,272.48381507079904,103401.66720481582,267.3900815756932,102592.75292575976,0.0,1.8477093961327382,-1.060806039488201,0.387871874200861,0.025892246703296703,民权县
2007_01_07,262.89473123230823,278.70964442662586,272.0389749300638,103304.77751833553,267.2204890083602,102497.77600846403,0.0,1.4131071553359695,-0.16238625686661723,0.4170442469558866,0.030207621153846155,民权县
2007_01_08,261.60548574807694,279.2990065018328,273.24398858668724,103217.02755091198,268.2850615449624,102411.39136387019,0.0,0.5221817315215431,1.6470534276786264,0.42118439405132874,0.03452299560439561,民权县
2007_01_09,265.696114868584,281.20062155843306,274.0744952809535,102685.27901586545,269.19319050354574,101888.86973807313,0.0,0.2821083498603389,2.089664056376926,0.40799390876451025,0.03883837005494505,民权县
2007_01_10,268.01308888534953,279.2190992270879,274.38289793086534,103116.71387305447,268.9554354447455,102307.68019295132,2.531145625571562e-08,-0.8054364786635523,-3.7034517920479897,0.37393179227171847,0.04315374450549451,民权县
2007_01_11,266.1789812163919,275.53494543850275,272.3882899148727,103530.75591796271,269.04376926968024,102713.87067346553,4.284083843231201e-08,-0.66385153858158,-3.5219510309051762,0.1833633289835205,0.04746911895604396,民权县
2007_01_12,263.56011362687497,277.1178020160953,271.686219377523,103437.799596202,267.99741127897937,102627.96455158039,0.0,-1.1571062650192359,0.4062730581269983,0.31052123932078496,0.051784493406593406,民权县
2007_01_13,265.2319915827372,278.6344440138008,273.2708724404841,103282.88001892273,268.75459564254896,102477.56817916616,0.0,0.18302413173055357,1.8051252119376737,0.16719048950897888,0.056099867857142854,民权县
2007_01_14,265.8066284563138,278.37577789534424,274.7725683552521,102903.53669553448,269.68870689388535,102101.56522314555,0.0,0.02510095471795494,2.284882269553096,0.33750413758721226,0.06041524230769231,民权县
2007_01_17,265.1942378446993,282.8318335060331,274.726566017354,102831.70804886961,268.65813261918396,102038.54172651158,0.0,1.7092724907244947,0.48173017187070377,0.35319940222002266,0.07336136565934066,民权县
2007_01_18,266.0071658457455,283.7060761729021,275.7298288972825,102996.09967723269,269.3894152939345,102204.29883416551,0.0,-1.5882744161943148,0.3954507395228091,0.344303608356502,0.0776767401098901,民权县
2007_01_20,270.9242888816466,282.7219217277101,276.16790413320336,102866.15875109378,270.1756515419698,102073.08977272433,0.0,-0.27831725834401505,1.9576889575496443,0.32237315254099147,0.08630748901098902,民权县
2007_01_21,270.3959244980944,280.8532605498846,275.435090942355,103213.58656324672,270.4739818221539,102412.43145837219,0.0,-1.2474042120952713,-1.9058201388980915,0.18190832928527467,0.09062286346153847,民权县
2007_01_24,270.91712874764346,281.2727366658944,276.29207022673717,102919.0090355735,269.4435171653806,102123.60625267841,0.0,0.10886346981573204,2.511411876384401,0.14905796508411154,0.10356898681318681,民权县
2007_01_25,268.6487186065809,284.23723931924053,276.98105074775793,102650.5430718724,269.7067328322057,101855.91152748837,7.867863835438926e-07,1.9177852805633078,-0.3631439718332978,0.22380495526044425,0.10788436126373628,民权县
2007_01_27,262.73903892777145,281.0270955999666,275.074268903009,103213.33960914734,268.35315095824734,102410.81414417527,0.0,1.1134675232552862,-1.8148115825451667,0.21607930453405508,0.11651511016483516,民权县
2007_01_28,262.6645718821708,281.2787830246748,276.33145678624817,102554.55811048573,268.55808656249997,101758.24499093041,0.0,1.1961241073155846,3.073708788451025,0.37130963987058363,0.12083048461538462,民权县
2007_01_29,266.5350548461559,287.3349349416438,279.46408142076695,102398.3548610578,270.6493789812955,101611.94381957056,0.0,0.11433272695480609,-1.3155667353987053,0.3469984748922464,0.12514585906593406,民权县
