Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2007_01_01,0.27961727107983114,271.2662536440966,275.600385863815,273.04228539625456,102967.8691077337,270.60341801805237,98008.12060201896,0.0,-0.21492664387730717,-0.17257536602348555,0.004315374450549451,汝阳县
2007_01_02,0.21984396353099808,269.4554683671561,274.807378166149,272.4934584274174,103128.15547931693,270.64828039068476,98146.46435079798,8.895269311040876e-07,-0.8226959967572735,-0.7911160779187569,0.008630748901098903,汝阳县
2007_01_03,0.23571098282321776,267.7204960567727,275.3319854718378,272.926047675258,103270.40003500313,268.988355469085,98284.92546150782,3.1742886386703146e-09,-0.09306834490652466,-0.3882360038458309,0.012946123351648351,汝阳县
2007_01_05,0.27687121076203663,260.4856338900781,280.0387088450678,275.6615831456563,103430.16078456806,271.4430681425534,98456.61122313736,0.0,4.788654283256516,-2.9677761099674558,0.021576872252747254,汝阳县
2007_01_06,0.3617845199865247,254.71796290677526,276.5635953554951,272.7607726957783,103669.94290074141,268.81945632867155,98640.69828242602,0.0,4.397751947413958,-2.1396939743814527,0.025892246703296703,汝阳县
2007_01_07,0.3432261163154865,255.84349548405933,277.5641697310865,273.20085171907004,103458.34563429568,268.385293429104,98457.05036836397,0.0,3.835026142292081,-1.308422662360015,0.030207621153846155,汝阳县
2007_01_08,0.34756292818928286,261.0584829780098,278.66559046777644,272.3833628440598,103177.8310356809,267.465011079369,98225.59431977083,0.0,0.5520772571419214,0.535872431464762,0.03452299560439561,汝阳县
2007_01_09,0.352084884302226,265.4252807726669,281.470119053872,273.9971442124248,102569.66444344712,267.7443720355385,97699.77658385586,0.0,0.25714767796572535,0.6061337895891612,0.03883837005494505,汝阳县
2007_01_10,0.27349470169458157,266.8586490753424,278.2307813822719,274.07795062000446,103089.93027106556,268.8580343299162,98125.23312914919,4.622904111770838e-05,-0.963110150698006,-1.1140935510700125,0.04315374450549451,汝阳县
2007_01_15,0.12148047294732472,267.0277301785849,278.2762784626062,274.59210074339876,102753.56841986584,271.01528575944957,97826.0669226899,1.730070908247577e-09,2.8463541541408337,-0.6388361817246551,0.06473061675824175,汝阳县
2007_01_16,0.24934923208154222,261.6028780783149,278.8319438484503,273.7034727539175,102992.44883114565,269.75688213250544,98053.89397314316,0.0,3.0743782103243933,-0.6732484487274609,0.06904599120879122,汝阳县
2007_01_17,0.327013105600061,261.98210205415506,282.2933921646959,275.28722609730914,102983.92417027066,269.96480676081,98082.33126957939,0.0,3.3153390191082113,-0.5868188840814179,0.07336136565934066,汝阳县
2007_01_18,0.319084848953986,265.51449494373844,281.71809528459,275.38108533882115,102929.14864663889,270.0796659871407,98034.50509146658,0.0,-0.59816461786747,0.2005237484354252,0.0776767401098901,汝阳县
2007_01_19,0.26770152430304245,267.7288685035488,282.28523902297394,275.51559114107937,102525.85623363382,268.8217824581726,97646.90137355606,0.0,-0.6592552439013356,0.6037978361368485,0.08199211456043956,汝阳县
2007_01_20,0.17041707902067357,269.92734901955424,282.72756579534,276.07366090223945,102802.23628324224,269.08984783760894,97932.48845726156,0.0,0.9396360614943089,0.12409930341102411,0.08630748901098902,汝阳县
2007_01_21,0.22723429281430843,269.92871420042053,280.91277927953803,275.5424725369442,103146.55200056241,270.07943924644053,98224.39327966287,1.851815406532165e-05,-1.199299878351282,-0.6144973333452214,0.09062286346153847,汝阳县
2007_01_23,0.20691388990381823,269.23669991986765,281.2970734237651,275.31031546147636,103179.46365550904,270.1261922782475,98272.00518035449,1.325765292333421e-08,1.3459367522478891,0.12533009182457075,0.09925361236263736,汝阳县
2007_01_24,0.1683220418782862,270.809068755097,281.3204234294298,275.66162345676264,102839.2965889706,270.655062310744,97962.99587688713,3.5874611538471325e-09,0.5598983478040934,0.5168624218360994,0.10356898681318681,汝阳县
2007_01_25,0.2658463619711843,264.2094112371508,283.5779726658993,277.3752491579661,102813.79741988669,272.7946886394407,97937.672859124,0.0,3.245844163584214,-1.2458069460790084,0.10788436126373628,汝阳县
2007_01_26,0.21921179241461297,261.18981267343275,282.7977095158481,278.90899428125186,102970.78811868848,273.46073621900024,98083.37569442792,2.767283581209828e-09,3.7576523784920393,-1.5585605644940201,0.11219973571428571,汝阳县
2007_01_28,0.31901441205014697,261.4798916824444,283.3977952961199,275.7885689787036,102482.21954675634,269.6242381649452,97632.71207818217,0.0,1.2756162743524706,0.739993279907249,0.12083048461538462,汝阳县
2007_01_29,0.3523780829767395,261.52066042008374,287.8273586286591,280.7406661636953,102552.43685079992,272.0578647860885,97738.05401656334,0.0,3.999950516931694,-1.7395401628439229,0.12514585906593406,汝阳县
2007_01_30,0.32981448242633365,263.5115114518303,285.49293867651664,278.3675958602433,102572.29508417605,272.5657492405721,97748.08005443934,1.862645149230957e-09,1.3003517520612553,0.11448444074056993,0.1294612335164835,汝阳县
2007_01_31,0.29672948073497046,258.2162850705168,283.6535049876011,277.57388567233056,103419.06468384633,271.1737394945563,98507.95350974171,4.0978193283081055e-08,3.9233631140715386,-2.0817951597085975,0.13377660796703297,汝阳县
2007_02_01,0.3391431216157377,259.7066552484403,286.06579119570125,277.0393780871972,103011.28172265572,268.8584653131333,98159.38877431795,0.0,2.747450344821441,-0.5903405251273321,0.13809198241758244,汝阳县
2007_02_02,0.33809724232186983,265.9097782243067,286.7301608854725,277.8303477792237,102315.34661329917,269.251703825319,97536.25538113128,4.284083843231201e-08,0.3979622620195081,1.0513828707433448,0.14240735686813186,汝阳县
2007_02_03,0.3030201248311731,264.0003084109619,288.76018730640783,279.6538105219878,102264.5706745894,272.6288281145153,97467.30789750803,0.0,-0.7539563612701476,-0.442821209815919,0.14672273131868133,汝阳县
2007_02_04,0.2930831726048953,268.766936057495,285.5482024845167,278.22704208988415,101727.27295504966,272.4604845312855,96962.95951809533,0.0,-0.04882520443667107,0.5281879264640791,0.15103810576923077,汝阳县
2007_02_05,0.21233759272823227,270.4403988381212,289.42924685324874,281.3919026230305,101766.29975428506,273.8569919156219,97051.25882667172,0.0,1.4763760693665484,-0.5535477639747024,0.1553534802197802,汝阳县
2007_02_08,0.17975728216546796,273.593347573356,283.6919198534852,279.05688854067006,102522.86490018766,274.69806842158414,97693.75434105677,6.724373312385591e-08,2.6802513896973266,-0.7436395587814782,0.16829960357142856,汝阳县
2007_02_09,0.3466595613400235,271.9797363339295,286.01160155506324,280.13490923817903,102304.46586811138,273.46981148423674,97517.03467853728,0.0,3.150612183304802,-0.9349114510522926,0.17261497802197803,汝阳县
2007_02_10,0.35389020532276355,268.5477369927533,283.88048109652897,278.5381032479048,102434.14853960347,272.7393474572583,97592.27044014209,1.862645149230957e-09,-1.284219686424758,0.9848547838320869,0.17693035247252747,汝阳县
2007_02_11,0.32921205922006436,272.0913102327431,286.1248500052238,278.8783638594674,101708.22432261873,273.01366002178054,96952.5208560126,4.470348358154297e-08,0.19287044218563923,0.8127116502607239,0.18124572692307694,汝阳县
2007_02_12,0.20050912253247524,276.5751985705076,287.2583037078214,282.75698607155266,101259.38653937998,273.90508457343003,96540.01370138489,0.0019449352173964908,0.1174124886141632,-0.38960993881023753,0.18556110137362639,汝阳县
2007_02_14,0.3394560892097319,263.9049768336783,281.70635826776925,276.7213719973923,102517.67263281743,272.5891176322272,97625.64817948827,0.0,-1.9673686075778862,0.9639932040267117,0.1941918502747253,汝阳县
2007_02_18,0.3056592153087586,273.4871561421443,283.96066993914775,278.40271187957137,101958.31047545448,273.41859541077775,97161.2644127881,5.811773228999416e-06,-0.14612230727146236,1.161890591618417,0.21145334807692306,汝阳县
2007_02_19,0.27149778400008784,274.99175279851374,286.58581052566734,279.8551032257506,101608.36352976346,273.230048812387,96861.00781646425,0.0,-0.1657621877447633,0.9959984349685016,0.21576872252747256,汝阳县
2007_02_20,0.3480745113744494,275.77205894528277,288.92544831988266,282.06883216149816,101772.49166148469,275.6891112052717,97054.64244652755,5.313203602918918e-08,-0.07555496979323613,0.7078550509590554,0.22008409697802198,汝阳县
2007_02_22,0.31879880463042487,273.81792413777225,291.14650420007325,283.5649062148879,101497.12936527867,276.58055550973666,96794.74052221324,1.3885710759893295e-07,0.1071281963508672,-0.16281935196587125,0.2287148458791209,汝阳县
2007_02_25,0.2654979470946679,276.97820662098064,291.1019944054795,283.6520907954265,101670.32736067333,276.1110519649879,96948.31457077294,0.0,-1.614910158214455,1.4729284734346055,0.24166096923076924,汝阳县
2007_02_27,0.39818473320912534,276.83854227682724,284.0591195585744,281.58750558886646,102216.46468492916,278.18700958421834,97402.35861932972,0.00879180410018157,-4.180760718276769,0.36607696590848676,0.2502917181318681,汝阳县
2007_03_04,0.3699862481941529,267.87531722943834,282.2305704296756,278.1089855924649,102468.02688554741,272.9420462003514,97576.5088766664,0.0,5.01814593538829,-3.1574078525045097,0.27186859038461536,汝阳县
2007_03_05,0.3475908119497898,267.1251227759968,279.7032407850676,275.02701942021764,103307.14426542626,269.80673307893244,98329.52980486315,0.0,-0.0032874667555760698,-0.8463903979760579,0.2761839648351649,汝阳县
2007_03_06,0.3767775316508323,268.6054957813332,280.2819582880169,274.80504044633335,102750.33473894854,269.9199337556014,97829.4178365327,0.0,0.38245000644360216,0.5674892672499476,0.2804993392857143,汝阳县
2007_03_07,0.3385968774901579,269.20656350384286,283.1222242162273,278.17631459930743,102300.64807669536,272.74510220406677,97443.79142462707,9.851240602769941e-10,0.03743762529716271,-0.3336547138590969,0.2848147137362637,汝阳县
2007_03_08,0.29575911262261956,272.5426276147613,284.9426671603079,278.9664849238392,102029.3093899413,274.04955090992377,97227.22760639408,9.539503892524093e-07,-0.22318584054296536,1.189836554407423,0.28913008818681324,汝阳县
