Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,269.68868608600707,282.67881105215406,276.7023533319121,102246.26222857148,269.77687751343836,100374.20905487168,1.862645149230957e-09,0.3593997308813714,0.6586516852533614,0.16194078586314534,0.00905358097982709,荥阳市
2001_01_03,264.4249284631478,276.27280699056536,272.091780110502,102781.28491239496,268.89208447674025,100848.2343588816,4.284083843231201e-08,-2.197293438354123,-0.25556305525527045,0.12844732818751095,0.013580371469740636,荥阳市
2001_01_04,267.81693867212056,273.225336255038,271.14141766692256,102902.54764844799,268.89068014386595,100962.5277986498,3.696284862138201e-05,-1.3089589376024175,-0.1730179618944183,0.1295018685690119,0.01810716195965418,荥阳市
2001_01_07,270.8154365424886,273.9635747292926,272.20889621773154,102430.44563812115,269.4372173678246,100504.98046511225,0.004401432983057068,-1.3911251230542083,0.09911469431644332,0.003051595997334068,0.031687533429394815,荥阳市
2001_01_10,268.75346033313053,280.41232163185515,273.30985228088724,101638.17717314177,267.3719319693966,99761.46958724443,1.862645149230957e-09,1.4723032464343466,0.9119381514277816,-0.0010542170652431415,0.045267904899135444,荥阳市
2001_01_11,267.27130005155465,275.73366975383374,269.5548667517887,102269.4294026199,265.98589832124026,100330.25455778727,1.2673955740893422e-06,-1.2355890888958176,0.22921900281631752,0.022563977624327183,0.049794695389048994,荥阳市
2001_01_13,266.50126092828,275.80908479807806,270.55296636151775,103168.3039630986,265.9825782823289,101217.60438312618,2.5027255539390313e-05,-1.4476795051899185,0.11023448084455266,0.008143403535161563,0.05884827636887608,荥阳市
2001_01_14,261.64947570500897,274.06241774501666,268.9402086287461,103525.31363844346,265.08300518351126,101555.80788512868,0.0,-0.4371287363147616,-0.1207542751638822,0.010255491576050437,0.06337506685878963,荥阳市
2001_01_15,265.2711307514366,274.10590489062696,269.0600393822394,103336.75843495784,265.5504661582841,101383.86083631848,0.0,-0.28545196496994474,0.6399845729808848,0.011196840173888372,0.06790185734870317,荥阳市
2001_01_16,266.9812480548801,276.39484961892214,270.22489415180075,102902.96208800114,265.903182562026,100975.89716328004,0.0,-0.24341156099301112,0.3713728467652,0.013670733288602516,0.07242864783861672,荥阳市
2001_01_17,268.93056426136803,277.798748686649,271.8320305215644,102405.33326766484,266.3349693136352,100503.72258919624,0.0,-0.40943690678021594,0.5423753423203275,0.004333014487796199,0.07695543832853026,荥阳市
2001_01_18,269.96056488083696,276.7411580359311,272.4658192641941,102737.38917352894,269.8068069103045,100810.31448392963,0.0004941668517247583,-1.2581738978880381,-0.025062778428971692,0.017580957506495402,0.0814822288184438,荥阳市
2001_01_20,269.92159291646806,277.1855207369608,272.10029815235043,102295.42628477709,269.08399153263355,100391.72160910556,5.932320690129139e-06,-0.9611417911492989,0.6639639135714176,0.012057999139089448,0.09053580979827089,荥阳市
2001_01_24,268.7150717644704,273.089704143925,270.77838969174275,102834.07458144544,269.09160367166584,100889.82713641351,0.0007048686504760152,-0.9163768424546447,0.042510792915822646,-0.0044840043249857195,0.10864297175792509,荥阳市
2001_01_26,268.01737082065114,276.80812048354517,272.1031944894249,102355.58995006263,267.70575259667294,100445.01284764938,1.1897737263924906e-07,2.94639066343819,1.093331472004455,0.014282113150571547,0.11769655273775216,荥阳市
2001_01_28,260.81089901248674,277.0930795870593,272.2859476125957,102949.5101195361,268.5198931616832,101024.5848011372,1.862645149230957e-09,2.936499960737842,0.42322725038309367,0.003687742361267938,0.12675013371757926,荥阳市
2001_01_29,265.1784619165218,279.8761599278165,274.52327063169446,102337.69463380582,269.04997993280097,100452.79463937608,4.284083843231201e-08,2.6756294905662488,0.537709050975921,0.01043275421029512,0.1312769242074928,荥阳市
2001_01_30,267.21497487231443,280.3560158109392,275.90600810050285,101867.78422295324,269.95253066857225,99991.58365235089,1.5485003954375818e-06,0.9508969733386741,0.5739542455837181,0.029600632439223996,0.13580371469740635,荥阳市
2001_02_01,267.28529474110985,278.69738149799423,273.8027323007317,102362.54344623085,269.1836965740635,100472.28958858056,0.0,0.182506229039442,0.9343482985141383,0.0542836989753814,0.14485729567723343,荥阳市
2001_02_02,270.68990439451704,281.8094539488677,276.4582840979087,101877.35129299157,270.7706687172184,100013.50768810345,0.0,0.8151283269461849,1.1104262777848966,0.09306835713921394,0.149384086167147,荥阳市
2001_02_07,266.362955759003,272.1634856115923,269.4116385398897,103164.22373644609,267.4716502713346,101209.83714138334,1.4173077954670484e-05,-0.8640312865413393,0.5294923213745479,0.05921311910665209,0.17201803861671472,荥阳市
2001_02_08,270.3185172037831,279.01916931730364,274.02420637513217,102594.91246708737,268.048947623878,100709.93697143967,0.0,1.8083128714169847,1.0899022870688686,0.12543501142241548,0.17654482910662825,荥阳市
2001_02_09,267.96279360601244,283.20522185371516,275.61381250116193,102588.1873928875,269.3546300438207,100715.64119225755,0.0,1.6670502097232904,0.6435242956130766,0.1252137964601473,0.18107161959654178,荥阳市
2001_02_10,269.84221700928236,281.66203979465115,275.3759023524748,102734.54645845476,270.37121650095276,100818.53141488822,0.0008310722726624144,-3.6045944350439116,-0.603991277850388,0.05081888150444578,0.18559841008645533,荥阳市
2001_02_14,270.9425779302578,285.6544095669532,279.2383810885442,102325.03044081645,271.25760848765526,100467.95515461187,4.284083843231201e-08,2.58121927218136,1.2711784759027036,0.21170537371178352,0.2037055720461095,荥阳市
2001_02_15,266.74211681419877,285.54331212237594,278.1023646148272,103084.57918769383,270.61478415857533,101193.60159948822,0.0,1.433024292335463,-1.0854340503476625,0.19821764782266124,0.20823236253602306,荥阳市
2001_02_16,268.77475596868896,281.21646554958,277.2447972956477,102903.33403805688,271.10721153609967,100999.63498033433,0.00032981336181741683,-1.7194285602746453,0.6086199874316627,0.20840233818591972,0.2127591530259366,荥阳市
