Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2008_01_01,0.33387956352237824,258.66684851194634,276.8592137766732,271.1337152290768,103318.04061506517,267.3195591693234,102766.66289731141,0.0,1.326593618027485,0.013099703311842605,0.004327262534435262,台前县
2008_01_02,0.30663851989121427,263.04706014270016,279.9055488227454,274.2722315599259,102772.67368365028,267.3779006111031,102227.11629999374,0.0,0.44598060105776743,2.4518028878918474,0.008654525068870524,台前县
2008_01_03,0.2553294757064407,264.9873550110042,280.9785181641303,273.0192484780957,102752.54738724564,268.7502274615315,102211.23907269095,0.0,-1.4952730021136094,-0.6067073762437235,0.012981787603305785,台前县
2008_01_04,0.2365678496419511,267.0988481140532,280.24434345803684,273.5126674210613,102421.29693723656,269.31266713675893,101882.43376570716,0.0,-0.21808837564218198,1.8822432200525094,0.017309050137741047,台前县
2008_01_05,0.2586827093291956,268.8461669006799,283.56103294714904,277.6422843061785,101951.06292103668,270.23026286915086,101417.43800932493,1.862645149230957e-09,-0.2055148596231397,3.329871248425128,0.02163631267217631,台前县
2008_01_06,0.24677078016227474,270.41245094940257,282.8599037415571,276.59445205596734,102102.43312570202,270.0590992491281,101566.61637997933,4.284083843231201e-08,0.3402399592311543,-1.0455057537510686,0.02596357520661157,台前县
2008_01_08,0.11041595362863253,272.05305798791204,283.708452741477,276.99000971797955,101733.54217731388,271.4470599025518,101201.23231814102,0.0,-0.0482955207261408,1.3442721252623238,0.034618100275482094,台前县
2008_01_16,0.01830604292887172,263.48421230508865,273.03415588074876,270.12018926291165,104159.11598641281,265.70978773429545,103595.65630755662,0.0009270052423318026,-1.4542295138092634,-0.6359959428262372,0.06923620055096419,台前县
2008_01_17,0.3343714837290708,267.46287636682496,272.23182583493457,270.13880244227454,103637.69649962538,268.70040234926324,103078.03349055318,0.0005176694633122188,-0.6777189744107112,1.3497532025861307,0.07356346308539945,台前县
2008_01_20,0.038162974440121115,265.9475968392179,273.1343810969603,270.5111746514785,103357.83688927595,266.44996434268006,102797.97798628852,0.00036272537206494276,-1.4675065521395183,-4.101677066009374,0.08654525068870524,台前县
2008_01_26,0.22362870590521036,260.5554610180061,274.2600752994946,270.71985459141723,103740.61668085569,266.8680724366102,103181.41946856215,1.862645149230957e-09,-0.6633733778623231,-2.3449305524215345,0.11250882589531681,台前县
2008_01_27,0.23644346945641928,266.6357730726373,275.23409871215216,272.17913393535974,102998.20295338839,267.9805426338315,102444.79032385672,0.0004447795794756977,0.5919822952454357,0.2958580106360145,0.11683608842975207,台前县
2008_01_29,0.08478875300099033,263.67206351239963,275.1559856371326,271.0965918842051,102800.9181684894,267.0248079037767,102248.48511196607,2.218819291487303e-05,0.21032591519748767,-1.8952460069456007,0.1254906134986226,台前县
2008_01_30,0.235391679218677,259.97970725719415,274.5493958612865,269.5811913071394,103308.31865201505,265.1835744011567,102752.02595469044,0.0,-0.25746759000408764,0.020388274282939944,0.12981787603305786,台前县
2008_01_31,0.2540248094252241,260.6712380702552,276.33452462055476,271.341009052143,103303.28414268154,265.33703733806044,102750.27448110186,0.0,-0.023297468567057736,0.6487529596876525,0.13414513856749313,台前县
2008_02_03,0.11981118934930875,262.22912571215824,277.0746041613448,271.3097774657098,102639.8156274219,267.418653429118,102092.74218593955,0.0,-1.2198636805586838,0.07505126339709585,0.1471269261707989,台前县
2008_02_04,0.1949579786365892,267.1928458317133,278.06518275742764,273.9274968866063,102702.02070296355,267.58232954034213,102155.64932938015,9.909769804415411e-05,-0.4597774413274679,0.7666474033686801,0.15145418870523417,台前县
2008_02_05,0.17226456378128846,263.0769043747186,275.55558080780906,270.7091262294242,103133.27757719754,265.67263057964874,102579.48690807637,4.284083843231201e-08,0.44939696450023336,-3.0665174788065963,0.15578145123966944,台前县
2008_02_06,0.24603991245018503,262.585944868071,276.43642650159734,271.1612550462114,102958.32516391923,265.8826020739996,102407.78414920448,0.0,-0.4361356602291473,1.3015756503554454,0.16010871377410468,台前县
2008_02_07,0.17942554462945262,264.85234752467596,278.02151797997755,273.0995388974637,102795.2038555883,267.55157622662335,102246.32203838268,9.965845901427892e-05,1.0065119104432314,0.45626254593529275,0.16443597630853996,台前县
2008_02_08,0.19752340478571975,259.1698328765257,274.0888135923911,270.06881684506817,103199.4041472781,266.4374103455305,102644.67757868255,9.285932613593408e-07,1.7377981908169724,-2.034045284525231,0.16876323884297523,台前县
2008_02_09,0.23615945084483256,261.03237430373053,276.9745664535107,272.72772268307324,102960.41205514625,266.6377483124399,102410.27543756182,0.0,0.6777249308924133,1.5928828400622128,0.17309050137741047,台前县
2008_02_10,0.21445243616136497,262.98774859431217,279.33235994473955,274.0067272840289,102828.61960792076,269.5569961847248,102283.20736897243,2.1420419216156006e-08,-0.42232169307652795,-0.4752826169006367,0.17741776391184574,台前县
2008_02_11,0.20748030233794557,256.5345903098075,278.48468594199926,272.9857225159911,103381.21509471434,266.67736974419574,102827.22334379074,0.0,-1.781143199521138,-3.0124855897978176,0.181745026446281,台前县
2008_02_12,0.19258060224221116,254.57590357418792,273.66523409463576,269.6691378049463,103551.16642598691,266.4818292373123,102992.57154615485,0.0,0.10271672335256138,0.05152572106805827,0.18607228898071626,台前县
2008_02_13,0.22321539040219346,260.56738357401457,278.0050022506782,272.8192651933375,103080.3942739916,266.8578446105155,102531.15818250444,0.0,1.259387591814693,1.4509680145565858,0.19039955151515153,台前县
2008_02_14,0.23727528132570128,261.3760003724867,280.649259520456,274.35416268867704,102858.16068751796,269.20008432029596,102315.3652978833,1.862645149230957e-09,-0.16975513813295984,0.28911639782035026,0.19472681404958678,台前县
