Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,274.44396849297254,282.58942874834645,277.837446279741,102253.46253407314,273.0882135346856,101764.49843705683,1.862645149230957e-09,-0.8707868160696043,1.354327649307453,0.25594688285980327,0.00905358097982709,永城市
2001_01_05,274.6675627641686,279.88332613916606,277.79093400865906,102748.88065003837,275.3472422614799,102252.93546007016,0.011116907131911241,-4.102237138622158,-1.2890306551445128,0.34684753578652433,0.022633952449567722,永城市
2001_01_09,271.14659669887567,274.2049470604783,272.42602635746294,102575.1609167592,270.6245836712517,102071.36600999678,2.9068263795508014e-07,0.33438433459715644,0.8200121734416411,0.03847860904329339,0.0407411144092219,永城市
2001_01_10,271.4833196827666,279.5720842273158,274.02274462888613,101716.90938058254,270.20098348024226,101225.04614315115,1.862645149230957e-09,1.9850825363173268,1.2200428577918379,0.5060461103947008,0.045267904899135444,永城市
2001_01_11,272.13039185355666,278.84348348783004,274.1878944948555,102103.1962530404,270.81175779869744,101604.73162636158,5.426239830195325e-05,-0.6899535268682238,-1.6576973142737568,0.30923101850571316,0.049794695389048994,永城市
2001_01_14,263.2066877402363,271.8370412595521,268.358372317596,103568.54905004779,265.5779162787452,103052.45882731151,2.4834311089774132e-05,-0.47808616073060245,-1.1911984520142096,0.3143097983486516,0.06337506685878963,永城市
2001_01_15,262.89484648649636,272.3271715794737,269.4559362235381,103482.5722532308,265.7184592261871,102970.22837191515,0.0,-1.390888321037999,1.66305088855819,0.5658506780838438,0.06790185734870317,永城市
2001_01_16,266.9030061493353,275.6523005067998,272.9253073415981,103016.31025854022,267.7536584267032,102511.90902891917,1.6272106974476675e-06,-1.9746052912428638,1.6273595453193734,0.513497095979191,0.07242864783861672,永城市
2001_01_17,271.0653012150923,278.84068356321546,274.87024763799417,102518.48484085887,271.4977258633221,102022.75832340393,7.963187540489705e-07,-1.8816552781545457,1.1080709486926685,0.4659999563254775,0.07695543832853026,永城市
2001_01_18,273.80615925719167,281.42044762145173,276.43381994270874,102558.1613774064,273.14287875413066,102063.3903468092,0.0001624608817626275,-1.5973737442498341,-1.7250065987706025,0.47942858446042674,0.0814822288184438,永城市
2001_01_26,267.2838629208824,270.6062638979461,269.1562479159186,102425.77213835887,265.9895117521328,101919.77122790916,7.060015607515743e-08,2.5046747330596557,-0.2165786841503173,0.012228614616332777,0.11769655273775216,永城市
2001_01_29,268.9586879107066,279.05523619593987,273.6715320342057,102384.4313063643,268.7661148218519,101891.0601720709,4.284083843231201e-08,0.9375304216119648,1.2494858871726182,0.1814716482924903,0.1312769242074928,永城市
2001_01_30,273.0190929618279,281.38171198600196,277.16887731560763,101884.34902666106,271.2760695945376,101396.10490212202,7.160796562440985e-05,-0.5065621376887671,1.9257125049070603,0.30347197687481886,0.13580371469740635,永城市
2001_02_02,270.4431595149194,280.2640822543955,276.63663759643634,102098.44698813355,272.11017419594276,101605.92675842962,0.0,-0.9542655064261223,2.596831673584858,0.2539276323685132,0.149384086167147,永城市
2001_02_09,272.4994637093275,280.8844534233156,275.97188826209384,102693.12251207128,272.33144971155946,102200.47291306822,0.0,-0.6819686256481847,0.4131819543747843,0.47287704488662574,0.18107161959654178,永城市
2001_02_10,275.1617819214328,283.30448344583687,277.6536248065225,102661.02581529928,272.5612068653661,102167.8550251255,7.618305935561245e-07,-1.6601732135853817,-0.20865106073189713,0.3772779919210468,0.18559841008645533,永城市
2001_02_14,273.8947222133806,283.54026426962247,279.2107693886102,102431.598022187,272.1278691340071,101941.44930802015,4.284083843231201e-08,2.777165710969352,3.0340231563074656,0.525332458775992,0.2037055720461095,永城市
2001_02_16,267.2476311543019,280.60338170157826,276.92794585679155,103073.63085620936,272.4989635414457,102574.58895931329,0.0,-2.8679169153932023,2.010536640366485,0.471932187058577,0.2127591530259366,永城市
2001_02_18,275.99920681017,286.9918587662391,280.1341427000115,102006.48469411834,272.99402495713383,101524.92639240272,0.0,-1.409107489720183,0.8081981619234319,0.4436573352047674,0.2218127340057637,永城市
2001_02_19,276.7989828786967,287.2315936825201,281.5595822843447,102294.19155626833,276.3917750538332,101808.61404377442,3.3252262279749544e-07,-3.1345910109489927,-0.13063689542758736,0.4440313135062933,0.22633952449567724,永城市
2001_02_21,278.93950212401285,285.3337983849326,280.5716014679116,101670.4957564394,276.44593800947194,101189.4175284527,7.51363221802366e-07,-0.8902519175338329,1.3991519857458843,0.28609096587529165,0.23539310547550432,永城市
2001_02_24,268.2370130196657,277.59756320646363,274.24859086873073,103249.42610162565,270.86350264614,102746.88016858768,1.862645149230957e-09,-0.5082481067112875,-2.3034129028342405,0.6356325845828461,0.24897347694524496,永城市
2001_02_26,276.6079948973588,281.14409735689094,278.93328034513667,102516.23543830456,274.01231839066213,102024.2689259353,0.0053480295562502635,-1.336548265972222,0.8282701469531215,0.5239084898944364,0.258027057925072,永城市
2001_02_28,276.1316598874079,284.2353053429725,280.51393099960944,102061.36455691323,275.17863167685357,101576.14639024576,0.0,1.7142516462493653,0.8022820191212221,0.44033785377651924,0.26708063890489914,永城市
2001_03_01,272.1783747328809,289.5594090415823,283.87405762014026,102184.19179621813,278.3917050970567,101705.63120451852,0.0,0.08827844321386644,0.4161095612214924,0.50948501002295,0.2716074293948127,永城市
2001_03_02,277.1924211650637,289.5095339633564,285.26120003924865,101945.68449123578,280.28769512986634,101467.97122611747,0.0016008652514204373,0.4340273357662887,1.0150341697546819,0.4582942962936666,0.27613421988472625,永城市
2001_03_03,262.2794618787363,284.99795919835276,280.9999033662241,102215.12944680818,276.15802423109545,101728.03987585791,6.19999019277864e-06,3.531250946374479,-2.24117880899232,0.5078238702143754,0.28066101037463975,永城市
2001_03_04,266.08493467561783,286.0574154906108,281.59013628563736,101937.92811921387,275.87620830819634,101453.36957024573,0.0,0.8239142130503787,2.0273460936798204,0.5291993201162802,0.2851878008645533,永城市
2001_03_07,263.06448944277037,280.4954896497814,276.5107622508188,103065.12419228816,273.0549531156331,102566.71177108522,0.0,0.6114873775103888,-1.6839901179598362,0.5252391923512674,0.298768172334294,永城市
2001_03_08,262.5299314006758,280.54192673464985,276.5479180331541,102883.73240219975,273.1187847784781,102386.11155389134,0.0,2.01233722311902,0.600514785517086,0.5965160257476055,0.3032949628242075,永城市
2001_03_09,272.66752562357607,288.3394575659539,283.0360020690573,101870.30161627401,274.8989115242663,101388.40098416139,0.0,3.1047207635312075,3.1622297713579344,0.5513498780472672,0.30782175331412104,永城市
2001_03_10,273.1762329149321,288.8172378556518,281.63187400906867,102299.33403479196,275.5558478341217,101811.00580443877,0.0,-2.940441829477761,-0.7825507936140388,0.43578403159418183,0.3123485438040346,永城市
2001_03_11,275.1766770525228,285.5004829116308,280.2405866530922,102304.92961713255,275.5057689716303,101819.80203343723,2.429088745547033e-06,-0.25634898551552615,0.9650737821645139,0.38331428848368565,0.31687533429394815,永城市
2001_03_12,278.20794204403916,291.1975203453375,285.6561862812819,101999.15096837464,277.54788156002166,101521.78125871271,1.862645149230957e-09,-1.066833061340489,3.0245953131893737,0.5046642456204993,0.3214021247838617,永城市
2001_03_13,278.99598773963015,294.5668921660554,288.8908794434772,101099.39086067378,283.51377116788814,100631.69308642806,3.138922880358726e-06,0.25505330750792465,4.043242611932378,0.5441617471511886,0.3259289152737752,永城市
2001_03_14,273.9848811852197,292.6886820104497,283.8961717513351,102100.9538940257,277.3419384747769,101618.51182877211,9.503299887087029e-05,-1.5362252741130735,-3.4960889081849733,0.45575469654132467,0.33045570576368877,永城市
2001_03_15,272.1381374305256,282.3928178295628,279.8137449197993,102305.2864187196,276.81682280192126,101813.83646587978,0.008915598910900054,-3.093278570232357,-0.8404533190172704,0.5118034903771451,0.3349824962536023,永城市
2001_03_17,278.1558089455248,288.2972581721341,283.1330732798954,101528.15699151065,277.01267044678184,101050.02618422199,0.0,2.150905555993821,1.9069401576909475,0.3223260814136827,0.34403607723342944,永城市
